	1021	3841	CCGE532	CCGM7	CCNWGS0123	CFN42	CIAT899	HAMBI540	IE4803	IRBG74	LMTR13	MAFF303099	Mim1	N161	N561	NGR234	NXC24	ORS2060	ORS285	ORS571	R602	USDA110	USDA6	WSM1325	WSM2073	WSM2304	WSM419
1021	1.0	0.5	0.5	0.6	0.5	0.6	0.5	0.6	0.6	0.5	0.6	0.6	0.6	0.5	0.5	0.5	0.6	0.6	0.5	0.5	0.6	0.5	0.6	0.7	0.6	0.6	0.9
3841	0.5	1.0	1.0	0.8333333333333334	1.0	0.8333333333333334	1.0	0.8333333333333334	0.8333333333333334	1.0	0.8333333333333334	0.8333333333333334	0.8333333333333334	1.0	1.0	1.0	0.8333333333333334	0.8333333333333334	1.0	1.0	0.8333333333333334	1.0	0.8333333333333334	0.7142857142857143	0.8333333333333334	0.8333333333333334	0.5555555555555556
CCGE532	0.5	1.0	1.0	0.8333333333333334	1.0	0.8333333333333334	1.0	0.8333333333333334	0.8333333333333334	1.0	0.8333333333333334	0.8333333333333334	0.8333333333333334	1.0	1.0	1.0	0.8333333333333334	0.8333333333333334	1.0	1.0	0.8333333333333334	1.0	0.8333333333333334	0.7142857142857143	0.8333333333333334	0.8333333333333334	0.5555555555555556
CCGM7	0.6	0.8333333333333334	0.8333333333333334	1.0	0.8333333333333334	1.0	0.8333333333333334	1.0	1.0	0.8333333333333334	0.7142857142857143	1.0	1.0	0.8333333333333334	0.8333333333333334	0.8333333333333334	1.0	0.7142857142857143	0.8333333333333334	0.8333333333333334	1.0	0.8333333333333334	0.7142857142857143	0.8571428571428571	1.0	1.0	0.6666666666666666
CCNWGS0123	0.5	1.0	1.0	0.8333333333333334	1.0	0.8333333333333334	1.0	0.8333333333333334	0.8333333333333334	1.0	0.8333333333333334	0.8333333333333334	0.8333333333333334	1.0	1.0	1.0	0.8333333333333334	0.8333333333333334	1.0	1.0	0.8333333333333334	1.0	0.8333333333333334	0.7142857142857143	0.8333333333333334	0.8333333333333334	0.5555555555555556
CFN42	0.6	0.8333333333333334	0.8333333333333334	1.0	0.8333333333333334	1.0	0.8333333333333334	1.0	1.0	0.8333333333333334	0.7142857142857143	1.0	1.0	0.8333333333333334	0.8333333333333334	0.8333333333333334	1.0	0.7142857142857143	0.8333333333333334	0.8333333333333334	1.0	0.8333333333333334	0.7142857142857143	0.8571428571428571	1.0	1.0	0.6666666666666666
CIAT899	0.5	1.0	1.0	0.8333333333333334	1.0	0.8333333333333334	1.0	0.8333333333333334	0.8333333333333334	1.0	0.8333333333333334	0.8333333333333334	0.8333333333333334	1.0	1.0	1.0	0.8333333333333334	0.8333333333333334	1.0	1.0	0.8333333333333334	1.0	0.8333333333333334	0.7142857142857143	0.8333333333333334	0.8333333333333334	0.5555555555555556
HAMBI540	0.6	0.8333333333333334	0.8333333333333334	1.0	0.8333333333333334	1.0	0.8333333333333334	1.0	1.0	0.8333333333333334	0.7142857142857143	1.0	1.0	0.8333333333333334	0.8333333333333334	0.8333333333333334	1.0	0.7142857142857143	0.8333333333333334	0.8333333333333334	1.0	0.8333333333333334	0.7142857142857143	0.8571428571428571	1.0	1.0	0.6666666666666666
IE4803	0.6	0.8333333333333334	0.8333333333333334	1.0	0.8333333333333334	1.0	0.8333333333333334	1.0	1.0	0.8333333333333334	0.7142857142857143	1.0	1.0	0.8333333333333334	0.8333333333333334	0.8333333333333334	1.0	0.7142857142857143	0.8333333333333334	0.8333333333333334	1.0	0.8333333333333334	0.7142857142857143	0.8571428571428571	1.0	1.0	0.6666666666666666
IRBG74	0.5	1.0	1.0	0.8333333333333334	1.0	0.8333333333333334	1.0	0.8333333333333334	0.8333333333333334	1.0	0.8333333333333334	0.8333333333333334	0.8333333333333334	1.0	1.0	1.0	0.8333333333333334	0.8333333333333334	1.0	1.0	0.8333333333333334	1.0	0.8333333333333334	0.7142857142857143	0.8333333333333334	0.8333333333333334	0.5555555555555556
