OG0004710.2	OG0001698.26	OG0000027.457	OG0001643.24	OG0016785.2	OG0001566.2	OG0012896.0	OG0000471.2	OG0022825.0	OG0012926.0
nan	nan	nan	1.0225899999999999	2.974337	nan	1.8034150000000002	nan	1.458084	2.973177
OG0060556.0	OG0013679.0	OG0044964.0	OG0004741.0	OG0023559.0	OG0026968.0	OG0022182.0	OG0012866.6	OG0004669.1	OG0014855.1
1.503891	20.29244	256.5203	15.24647	2.250296	1.8951040000000001	1.480256	3.7300720000000003	1.576057	2.919057
OG0021483.0	OG0020392.0	OG0045062.0	OG0057438.0	OG0046785.0	OG0009947.2	OG0011655.12	OG0028856.0	OG0014592.0	OG0056955.0
2.598624	1.438872	261.697	2.836785	261.2901	4.581685	2.521616	2.465695	3.1357880000000002	2.4181220000000003
OG0004297.2	OG0000478.2	OG0005167.4	OG0029079.0	OG0005347.11	OG0012466.13	OG0000706.25	OG0027960.0	OG0060394.0	OG0047959.0
119.1765	2.8076659999999998	26.2593	3.708085	3.4052849999999997	2.663009	nan	1.510158	1.522014	3.7852620000000003
OG0014083.1	OG0015193.7	OG0005598.25	OG0004762.1	OG0044357.0	OG0000313.0	OG0037839.0	OG0005975.16	OG0000452.0	OG0009291.7
3.3631849999999996	1.4402139999999999	3.749767	44.983059999999995	1.432123	nan	3.0604560000000003	3.255785	2.476664	3.759474
OG0000441.1	OG0002445.82	OG0048920.0	OG0021654.0	OG0023157.0	OG0047436.0	OG0045956.0	OG0004371.2	OG0034580.0	OG0043853.0
14.15582	1.89969	2.3694669999999998	3.7065690000000004	1.9295349999999998	3.333603	257.9139	0.838325	1.453971	2.4235889999999998
OG0005602.8	OG0003869.12	OG0046805.0	OG0015633.3	OG0045264.0	OG0012385.12	OG0002210.0	OG0053801.0	OG0017779.6	OG0041753.0
4.481407	119.2615	252.2567	3.687819	266.9418	2.611616	nan	2.641314	2.52835	3.234531
