OG0004710.2	OG0012896.0	OG0001643.24	OG0000471.2	OG0000027.457	OG0001698.26	OG0016785.2	OG0001566.2	OG0012926.0	OG0022825.0
0.6036406999999999	0.5931903000000001	nan	nan	nan	nan	-1.8704049999999999	nan	-0.5787829000000001	2.8980900000000003
OG0001388.12	OG0002087.0	OG0000038.0	OG0004608.0	OG0018427.0	OG0000409.24	OG0056740.0	OG0006987.0	OG0000704.0	OG0004027.1
nan	nan	nan	0.5847217	0.9916423000000001	nan	1.568711	-0.3636585	nan	-0.9944854999999999
OG0000606.2	OG0021117.0	OG0000001.1420	OG0001191.24	OG0013740.8	OG0009949.0	OG0004240.0	OG0000382.41	OG0016027.4	OG0001996.0
nan	-0.756151	nan	nan	0.5957411	0.04585063	-0.8713310999999999	nan	-1.277751	nan
OG0000006.561	OG0000643.24	OG0012875.0	OG0001086.0	OG0019494.0	OG0000263.57	OG0004807.4	OG0014207.0	OG0047088.0	OG0002138.0
nan	nan	0.21326460000000003	nan	1.409226	nan	-0.6485198	0.8306398000000002	0.1810671	nan
OG0001734.7	OG0019182.0	OG0000056.0	OG0003610.0	OG0010606.0	OG0015812.0	OG0053838.0	OG0000044.1	OG0001402.24	OG0000512.25
nan	-1.8904439999999998	nan	-0.10514160000000002	0.19719289999999998	0.05812712	2.92164	nan	nan	nan
OG0003604.62	OG0024446.0	OG0007665.0	OG0000032.252	OG0002151.0	OG0005256.10	OG0013957.4	OG0001169.24	OG0000383.2	OG0000001.2899
0.5830363000000001	-0.0030813000000000004	-0.5055036	nan	nan	0.1585717	-1.151386	nan	nan	nan
OG0000405.0	OG0043476.0	OG0007565.0	OG0019016.0	OG0007920.14	OG0000125.49	OG0001435.1	OG0008551.0	OG0000007.976	OG0000830.1
nan	1.542943	-0.2850092	-0.04911848	-0.6179604000000001	nan	nan	-0.8312504999999999	nan	nan
OG0014358.0	OG0000886.24	OG0001238.24	OG0000032.252	OG0001242.28	OG0009781.2	OG0003752.2	OG0012427.14	OG0024512.0	OG0000126.1
-0.09044078	nan	nan	nan	nan	0.4732797	0.4597433	1.117151	-1.544347	nan
OG0001228.1	OG0000946.1	OG0000010.475	OG0004958.0	OG0001134.24	OG0020423.0	OG0049025.0	OG0006410.0	OG0027420.0	OG0000092.1
nan	nan	nan	0.37427659999999996	nan	-1.317618	0.9810515999999999	-0.7503966	-1.97207	nan
OG0000764.26	OG0018934.1	OG0007070.2	OG0043565.0	OG0001163.24	OG0009316.2	OG0000044.1	OG0000082.1	OG0001309.24	OG0007809.2
nan	-1.930247	-0.9949075000000001	1.412542	nan	0.09539626	nan	nan	nan	-0.6296768
OG0000627.52	OG0006805.0	OG0000006.561	OG0000327.1	OG0024566.0	OG0002127.0	OG0020485.0	OG0000175.4	OG0005354.1	OG0001941.0
nan	0.220671	nan	-1.6164	-1.7150029999999998	nan	0.8828454	nan	-1.145624	nan
OG0000054.0	OG0001349.1	OG0000018.1	OG0004412.2	OG0013488.2	OG0001513.24	OG0008965.0	OG0010629.10	OG0000918.1	OG0020760.0
nan	nan	nan	0.1481087	-1.57911	nan	-0.6083887	3.194175	nan	0.7736876
OG0000537.8	OG0000006.561	OG0022225.0	OG0047063.0	OG0000263.57	OG0010608.0	OG0018373.0	OG0002062.0	OG0004865.2	OG0002170.0
nan	nan	1.125242	0.3016255	nan	-0.7602704	1.5688790000000001	nan	-0.142118	nan
OG0001203.24	OG0011159.0	OG0015174.0	OG0000209.2	OG0014662.0	OG0047284.0	OG0000062.12	OG0000082.1	OG0000372.92	OG0005659.6
nan	-0.756959	1.331537	nan	-1.506852	0.28930459999999997	nan	nan	nan	-0.291621
OG0001271.1	OG0000006.561	OG0006436.0	OG0010512.0	OG0000892.1	OG0003382.0	OG0027648.0	OG0000272.36	OG0000524.1	OG0022425.0
nan	nan	0.29926179999999997	0.9358537	nan	0.09325077	1.374692	nan	nan	-0.9829584000000001
OG0017903.2	OG0000955.28	OG0000198.0	OG0000056.0	OG0001122.1	OG0000463.51	OG0016170.4	OG0056848.0	OG0004168.24	OG0007187.0
1.128895	nan	nan	nan	nan	nan	-0.6702314	1.3912280000000001	-1.119177	-0.7333281999999999
OG0004256.2	OG0000032.252	OG0014484.2	OG0001243.24	OG0010631.0	OG0014841.0	OG0000711.2	OG0002113.0	OG0018086.1	OG0000611.0
-0.1459054	nan	1.311393	nan	0.2781475	0.9388859	nan	nan	-1.517458	nan
OG0005582.1	OG0000010.475	OG0007539.0	OG0001243.24	OG0001365.24	OG0016827.0	OG0000209.146	OG0000154.2	OG0008258.0	OG0046862.0
-0.49441540000000006	nan	-0.48811309999999997	nan	nan	-1.9117	nan	nan	-0.2521187	-5.327589
OG0001161.24	OG0012848.0	OG0057290.0	OG0000088.3	OG0008204.0	OG0007348.0	OG0001502.26	OG0001146.1	OG0021271.0	OG0000082.1
nan	1.309065	-1.022049	nan	-1.039877	-0.5896276999999999	nan	nan	1.0234	nan
OG0007549.0	OG0000006.561	OG0043590.0	OG0001813.8	OG0000463.51	OG0000290.0	OG0014542.4	OG0001167.24	OG0006963.0	OG0015978.3
-0.5366979000000001	nan	1.66284	nan	nan	nan	-1.625674	nan	-0.7497658	1.0550959999999998
OG0001366.26	OG0008225.6	OG0000011.1	OG0009024.0	OG0004459.0	OG0002127.0	OG0000046.1	OG0038832.0	OG0016933.0	OG0001770.0
nan	-1.311978	nan	-0.7469468	0.6355970000000001	nan	nan	-0.01446207	-1.2629290000000002	nan
OG0044582.0	OG0000001.1420	OG0000909.26	OG0001075.1	OG0009869.0	OG0000125.49	OG0013292.10	OG0008061.3	OG0005701.4	OG0000771.24
1.2949760000000001	nan	nan	nan	-0.8578181	nan	-0.6144088000000001	-1.621375	-0.30207979999999995	nan
OG0006231.0	OG0001238.24	OG0000359.28	OG0002073.0	OG0013912.6	OG0001275.26	OG0006392.0	OG0010013.0	OG0000082.1	OG0038683.0
-0.1363739	nan	nan	nan	-1.29532	nan	-0.25670770000000004	0.6200213000000001	nan	0.05996615
OG0001405.24	OG0001592.24	OG0001226.24	OG0003661.0	OG0045818.0	OG0004285.1	OG0025937.0	OG0006579.6	OG0000407.1	OG0000018.289
nan	nan	nan	-0.3716409	-5.413761	-1.207726	1.622221	-0.3055024	nan	nan
OG0000054.0	OG0000364.1	OG0000004.778	OG0004609.0	OG0002214.0	OG0008497.0	OG0022289.0	OG0000892.1	OG0011050.0	OG0001048.24
nan	nan	-1.318332	0.5902642	nan	-0.2164974	1.0731760000000001	nan	1.111183	nan
OG0000548.29	OG0000257.0	OG0000012.918	OG0008209.0	OG0001459.24	OG0005027.0	OG0001540.26	OG0020416.0	OG0047180.0	OG0014665.0
nan	nan	nan	-0.5924785	nan	-1.156272	nan	-1.331736	0.2817369	-1.100149
OG0005703.0	OG0000935.24	OG0024959.0	OG0000018.1	OG0000010.475	OG0001014.26	OG0002233.0	OG0057561.0	OG0006851.4	OG0011986.10
-0.4723052	nan	1.490199	nan	nan	nan	nan	2.5293240000000003	-0.8410894	0.3477481
OG0000223.2	OG0011912.1	OG0000010.475	OG0001014.26	OG0000987.19	OG0003989.2	OG0025683.0	OG0012459.6	OG0002170.0	OG0007451.0
nan	-1.61674	nan	nan	nan	0.0002946675	1.0965049999999998	-1.40811	nan	0.43914440000000005
