OG0004710.2	OG0012896.0	OG0001643.24	OG0000471.2	OG0000027.457	OG0001698.26	OG0016785.2	OG0001566.2	OG0012926.0	OG0022825.0
-0.512925319948276	-1.4131151871478154	-1.1587514286937521	-1.3375210295767486	-0.9018499789079885	-1.2039006722965686	-1.8411459704833824	-1.0540927027897475	-3.5083213200135352	nan
OG0001388.12	OG0002087.0	OG0000038.0	OG0004608.0	OG0018427.0	OG0000409.24	OG0056740.0	OG0006987.0	OG0000704.0	OG0004027.1
-0.8583056380354691	-1.1854085623368023	-0.5428785420499038	-0.7715199016700826	-2.9105018491608976	0.10447085776291738	nan	-0.9725628172931492	-1.0273808609918476	-1.2199419221016254
OG0000606.2	OG0021117.0	OG0000001.1420	OG0001191.24	OG0013740.8	OG0009949.0	OG0004240.0	OG0000382.41	OG0016027.4	OG0001996.0
-0.6443071024337754	nan	-0.01727103870140411	-1.2042330522176077	-2.4908615842822894	-2.043943347587597	-2.130365444186607	-1.7863727614880525	-1.9417527831453374	-0.9434164716336325
OG0000006.561	OG0000643.24	OG0012875.0	OG0001086.0	OG0019494.0	OG0000263.57	OG0004807.4	OG0014207.0	OG0047088.0	OG0002138.0
-0.17266872938773947	-0.8596139677169436	-2.6447581560691176	-0.5872726614083572	-2.684086034563258	0.818932344010497	-0.27003400255307203	-1.3778192957794075	nan	-2.6038405109268457
OG0001734.7	OG0019182.0	OG0000056.0	OG0003610.0	OG0010606.0	OG0015812.0	OG0053838.0	OG0000044.1	OG0001402.24	OG0000512.25
-0.8246989660997565	-3.808740574516507	0.25229454120183664	-0.5247075499634715	-1.2915920165164037	-2.1746213961070686	nan	-0.6009930135276029	-0.588573754273535	-1.0667295284676728
OG0003604.62	OG0024446.0	OG0007665.0	OG0000032.252	OG0002151.0	OG0005256.10	OG0013957.4	OG0001169.24	OG0000383.2	OG0000001.2899
-2.356236145662658	nan	-0.7470999712999193	-0.3082871842179762	-0.22145497419719512	-1.0567912914115538	-2.67853364140747	-1.2598063829795652	-1.629947344284086	-0.3641991832410402
