OG0004710.2	OG0012896.0	OG0001643.24	OG0000471.2	OG0000027.457	OG0001698.26	OG0016785.2	OG0001566.2	OG0012926.0	OG0022825.0
4.392777449539969	2.9455225643395324	3.2101128903137615	4.959066512187899	7.0328924937553605	3.76834630985074	-1.1496317731419636	6.524116308090783	1.1797254540653153	nan
OG0001388.12	OG0002087.0	OG0000038.0	OG0004608.0	OG0018427.0	OG0000409.24	OG0056740.0	OG0006987.0	OG0000704.0	OG0004027.1
3.300060562617174	0.8410351257378602	8.28439494743276	4.403511496542265	0.5126156981999752	6.749269192269255	nan	2.186155229109731	0.7579577298431905	0.2478676014009656
OG0000606.2	OG0021117.0	OG0000001.1420	OG0001191.24	OG0013740.8	OG0009949.0	OG0004240.0	OG0000382.41	OG0016027.4	OG0001996.0
5.666171523074633	nan	8.01975167213718	0.42119283114141587	0.6156315225208429	1.4756367886021653	1.3786895704201092	-0.18830943713961304	2.634953320594742	1.35657757737802
OG0000006.561	OG0000643.24	OG0012875.0	OG0001086.0	OG0019494.0	OG0000263.57	OG0004807.4	OG0014207.0	OG0047088.0	OG0002138.0
8.067772562533877	2.8358025360700045	0.7625860003076665	1.2659218325296053	1.2971240166095992	0.46721315263799074	4.644796659653489	0.9262024112634972	nan	-1.858139818315519
OG0001734.7	OG0019182.0	OG0000056.0	OG0003610.0	OG0010606.0	OG0015812.0	OG0053838.0	OG0000044.1	OG0001402.24	OG0000512.25
0.6331133229333672	0.9523387894682458	7.995597575183827	3.1273895741346003	2.3015285704837214	1.5788959722638847	nan	6.606838137470721	0.2187907184010283	2.3702150585190127
OG0003604.62	OG0024446.0	OG0007665.0	OG0000032.252	OG0002151.0	OG0005256.10	OG0013957.4	OG0001169.24	OG0000383.2	OG0000001.2899
0.011289308716003822	nan	4.388944791798468	8.227053962054658	-0.09888543672304297	2.3385363979133778	1.982645051419536	0.3922564164739426	0.4144864590217324	8.148363258092393
OG0000405.0	OG0043476.0	OG0007565.0	OG0019016.0	OG0007920.14	OG0000125.49	OG0001435.1	OG0008551.0	OG0000007.976	OG0000830.1
4.217018121362583	nan	1.3324267503588232	1.0231416933436333	-0.36230651673629655	5.070829990218343	0.3489469790807795	3.914989644391104	8.004067552222748	0.4729903020932754
OG0014358.0	OG0000886.24	OG0001238.24	OG0000032.252	OG0001242.28	OG0009781.2	OG0003752.2	OG0012427.14	OG0024512.0	OG0000126.1
1.7878297053747871	1.995053304341048	1.1591476180968392	8.227053962054658	0.05463120819440418	2.5451024911432962	4.937756890955676	nan	0.0002756387639335981	6.553009003663421
OG0001228.1	OG0000946.1	OG0000010.475	OG0004958.0	OG0001134.24	OG0020423.0	OG0049025.0	OG0006410.0	OG0027420.0	OG0000092.1
0.5736978804428707	2.884393496673009	8.430574733391317	4.619093976464709	-0.18784497114594118	2.037157900329597	nan	2.864927621704044	3.0615252881429518	7.35739525784662
OG0000764.26	OG0018934.1	OG0007070.2	OG0043565.0	OG0001163.24	OG0009316.2	OG0000044.1	OG0000082.1	OG0001309.24	OG0007809.2
2.4624020486275957	2.9081418437568836	0.09416041518068011	nan	0.07396329937684816	1.1489130506519123	6.606838137470721	6.56106806188553	1.2884378831439265	1.6825996145962523
OG0000627.52	OG0006805.0	OG0000006.561	OG0000327.1	OG0024566.0	OG0002127.0	OG0020485.0	OG0000175.4	OG0005354.1	OG0001941.0
1.2548217156929695	2.42105419516455	8.067772562533877	-0.409076916262964	1.6378882452287322	1.0980713798278823	nan	5.665402814704755	1.2397433445677688	2.956129461173289
OG0000054.0	OG0001349.1	OG0000018.1	OG0004412.2	OG0013488.2	OG0001513.24	OG0008965.0	OG0010629.10	OG0000918.1	OG0020760.0
7.924143254740502	0.5421740279403884	5.3560966614625976	4.122899394122833	1.0746636145598025	0.8958602268621011	2.469534989397502	nan	-0.8507741201359225	-0.1536709723237527
OG0000537.8	OG0000006.561	OG0022225.0	OG0047063.0	OG0000263.57	OG0010608.0	OG0018373.0	OG0002062.0	OG0004865.2	OG0002170.0
