OG0004710.2	OG0012896.0	OG0001643.24	OG0000471.2	OG0000027.457	OG0001698.26	OG0001566.2
-3.2419527181667664	-2.3140150132440978	-3.330537769639225	-2.7553564542606015	-2.107803289534515	-2.947305888696155	-2.0445383960764985
OG0001388.12	OG0002087.0	OG0000038.0	OG0004608.0	OG0000409.24	OG0000704.0	OG0004027.1
-2.005203073308613	-2.324816374212189	-1.8817731862070524	-1.9691695698467255	-2.291945228671648	-2.045133690098103	-2.202903991745088
OG0000606.2	OG0000001.1420	OG0001191.24	OG0009949.0	OG0004240.0	OG0000382.41	OG0016027.4	OG0001996.0
-2.356236145662658	-1.3147325934831586	-2.222296244872902	-2.532824877385981	-2.504304837375931	-2.4731299136431737	-2.0782590139204995	-1.8416629728328997
OG0000006.561	OG0000643.24	OG0012875.0	OG0001086.0	OG0000263.57	OG0004807.4	OG0002138.0
-1.4663369871769107	-2.522840788813359	-2.8064174749183515	-2.1831136259850807	-3.435338929969181	-2.0297353209854716	-4.406292471457049
OG0001734.7	OG0000056.0	OG0003610.0	OG0010606.0	OG0000044.1	OG0001402.24	OG0000512.25
-1.9495331296493383	-1.357714316940423	-1.9107730579296047	-1.5245000127350494	-1.859352206845158	-2.1360615495760285	-2.054392296818628
OG0007665.0	OG0000032.252	OG0002151.0	OG0005256.10	OG0013957.4	OG0001169.24	OG0000383.2	OG0000001.2899
-1.9378782880922025	-1.542458237592193	-2.512925319948276	-2.803896602285193	-2.7131188522118386	-2.279283757478869	-2.29689930039584	-1.6248215204103875
OG0000405.0	OG0007565.0	OG0007920.14	OG0000125.49	OG0001435.1	OG0008551.0	OG0000007.976	OG0000830.1
-1.6588112275212596	-1.9534390942422588	-2.7612131404128837	-2.512925319948276	-2.0954195650786827	-1.0118788695359795	-1.3154505308161575	-3.4198931166292352
OG0014358.0	OG0000886.24	OG0001238.24	OG0000032.252	OG0001242.28	OG0009781.2	OG0003752.2	OG0000126.1
-1.509635250014091	-1.936497057693842	-2.3093594213843067	-1.542458237592193	-2.3815733833540693	-3.3971440892428637	-1.6259342817774622	-2.02297657841931
OG0001228.1	OG0000946.1	OG0000010.475	OG0004958.0	OG0001134.24	OG0020423.0	OG0006410.0	OG0000092.1
-2.492484413520771	-2.1240627035336246	-1.5407782431771522	-2.2604974943896146	-3.180495303958067	-2.584673990563033	-1.3163484551875155	-1.905628789407483
OG0000764.26	OG0007070.2	OG0001163.24	OG0000044.1	OG0000082.1	OG0001309.24	OG0007809.2
-2.834441745538826	-2.5059428676863185	-2.1746213961070686	-1.859352206845158	-2.3800705758839222	-2.074000581443777	-2.5178745359200096
OG0000627.52	OG0006805.0	OG0000006.561	OG0000327.1	OG0002127.0	OG0000175.4	OG0005354.1	OG0001941.0
-2.027086823481222	-2.0929555251272016	-1.4663369871769107	-3.5499580271891733	-1.5959688603781748	-2.589007712779105	-1.6141824551483046	-1.8411459704833824
OG0000054.0	OG0001349.1	OG0000018.1	OG0004412.2	OG0013488.2	OG0001513.24	OG0008965.0	OG0000918.1
