OG0004710.2	OG0012896.0	OG0001643.24	OG0000471.2	OG0000027.457	OG0001698.26	OG0016785.2	OG0001566.2	OG0012926.0	OG0022825.0
0.9502230325553657	1.057877257780895	-1.1462318953681279	-0.4219138979696112	0.7772595702079395	-0.48242311792037795	-1.1496317731419636	0.5979055890573353	1.168953390888837	nan
OG0001388.12	OG0002087.0	OG0000038.0	OG0004608.0	OG0018427.0	OG0000409.24	OG0056740.0	OG0006987.0	OG0000704.0	OG0004027.1
0.17815808729906524	-0.11311773471205322	1.194228300642796	0.6816956143506588	0.5126156981999752	0.2542809654702797	nan	1.9210833888488925	-0.013280003143531394	-0.016255718945922905
OG0000606.2	OG0021117.0	OG0000001.1420	OG0001191.24	OG0013740.8	OG0009949.0	OG0004240.0	OG0000382.41	OG0016027.4	OG0001996.0
0.5143631591319802	nan	1.5827312540510659	-0.13545766808492468	0.6156315225208429	1.2117458823545664	0.5115854185175854	-1.0708100084124974	2.632215447713186	0.3432734215622077
OG0000006.561	OG0000643.24	OG0012875.0	OG0001086.0	OG0019494.0	OG0000263.57	OG0004807.4	OG0014207.0	OG0047088.0	OG0002138.0
1.2639616754823781	-0.7087183739587426	0.5494863646132624	0.4287725302119145	1.2971240166095992	-2.402739322484371	0.948285940066496	0.905029838336437	nan	-2.359078831035
OG0001734.7	OG0019182.0	OG0000056.0	OG0003610.0	OG0010606.0	OG0015812.0	OG0053838.0	OG0000044.1	OG0001402.24	OG0000512.25
0.3476227944392375	0.9523387894682458	1.4780772145231542	0.18106948095970005	2.0011384214853396	1.401299706758594	nan	0.4457415121066777	-0.9960970511294475	0.013139911140853007
OG0003604.62	OG0024446.0	OG0007665.0	OG0000032.252	OG0002151.0	OG0005256.10	OG0013957.4	OG0001169.24	OG0000383.2	OG0000001.2899
0.011289308716003822	nan	1.4023636141689768	1.467053296073294	-1.5547891091105914	-0.36387432669958764	1.6813431781573078	-0.65382854600665	-0.656708705713577	1.1156125677639233
OG0000405.0	OG0043476.0	OG0007565.0	OG0019016.0	OG0007920.14	OG0000125.49	OG0001435.1	OG0008551.0	OG0000007.976	OG0000830.1
