OG0004710.2	OG0012896.0	OG0001643.24	OG0000471.2	OG0000027.457	OG0001698.26	OG0016785.2	OG0001566.2	OG0012926.0	OG0022825.0
0.22908299999999998	0.19832	0.19858900000000002	0.08919819999999999	0.217302	0.146741	nan	0.177585	nan	nan
OG0001388.12	OG0002087.0	OG0000038.0	OG0004608.0	OG0018427.0	OG0000409.24	OG0056740.0	OG0006987.0	OG0000704.0	OG0004027.1
0.0509581	1e-07	0.173468	0.43363100000000004	nan	1e-07	nan	nan	0.0198678	nan
OG0000606.2	OG0021117.0	OG0000001.1420	OG0001191.24	OG0013740.8	OG0009949.0	OG0004240.0	OG0000382.41	OG0016027.4	OG0001996.0
0.145565	nan	0.188539	1e-07	nan	nan	0.14785399999999999	0.0775054	nan	1e-07
OG0000006.561	OG0000643.24	OG0012875.0	OG0001086.0	OG0019494.0	OG0000263.57	OG0004807.4	OG0014207.0	OG0047088.0	OG0002138.0
0.14416700000000002	0.0135609	nan	0.029819799999999997	nan	0.0305033	0.163394	nan	nan	1e-07
OG0001734.7	OG0019182.0	OG0000056.0	OG0003610.0	OG0010606.0	OG0015812.0	OG0053838.0	OG0000044.1	OG0001402.24	OG0000512.25
1e-07	nan	0.188898	0.234544	nan	nan	nan	0.0789989	0.017406900000000003	0.04165069999999999
OG0003604.62	OG0024446.0	OG0007665.0	OG0000032.252	OG0002151.0	OG0005256.10	OG0013957.4	OG0001169.24	OG0000383.2	OG0000001.2899
nan	nan	0.2	0.0885307	0.14188	0.255567	nan	1e-07	0.0590476	0.185609
OG0000405.0	OG0043476.0	OG0007565.0	OG0019016.0	OG0007920.14	OG0000125.49	OG0001435.1	OG0008551.0	OG0000007.976	OG0000830.1
0.08582970000000001	nan	nan	nan	nan	0.147031	1e-07	0.0303262	0.237788	1e-07
OG0014358.0	OG0000886.24	OG0001238.24	OG0000032.252	OG0001242.28	OG0009781.2	OG0003752.2	OG0012427.14	OG0024512.0	OG0000126.1
nan	0.107778	0.0171868	0.0885307	1e-07	0.14382999999999999	0.21863000000000002	nan	nan	0.0936625
OG0001228.1	OG0000946.1	OG0000010.475	OG0004958.0	OG0001134.24	OG0020423.0	OG0049025.0	OG0006410.0	OG0027420.0	OG0000092.1
1e-07	0.017393900000000004	0.21723299999999998	1e-07	1e-07	nan	nan	nan	nan	0.223352
