OG0004710.2	OG0012896.0	OG0001643.24	OG0000471.2	OG0000027.457	OG0001698.26	OG0016785.2	OG0001566.2	OG0012926.0	OG0022825.0
2.082919660454	1.679417176972	0.369064679103	2.077047154	0.90064301314	0.6943115457	0.02701875753	1.188815827236	1.600267473551	nan
OG0001388.12	OG0002087.0	OG0000038.0	OG0004608.0	OG0018427.0	OG0000409.24	OG0056740.0	OG0006987.0	OG0000704.0	OG0004027.1
0.9817996993829999	0.792785696742	2.473262479912	1.487821261364	0.43215990558399997	0.9340162949519999	nan	0.876622232746	0.588144762405	0.743381565796
OG0000606.2	OG0021117.0	OG0000001.1420	OG0001191.24	OG0013740.8	OG0009949.0	OG0004240.0	OG0000382.41	OG0016027.4	OG0001996.0
1.4076544377140001	nan	2.400467071927	0.7110540617960001	0.423244145331	0.763722758439	0.44047397688400003	0.39074237246200005	0.57221158531	0.982163978675
OG0000006.561	OG0000643.24	OG0012875.0	OG0001086.0	OG0019494.0	OG0000263.57	OG0004807.4	OG0014207.0	OG0047088.0	OG0002138.0
2.3444180522319997	0.894790682291	0.461939931426	1.5837115336520002	0.476156582206	0.180801971075	1.9714145809130001	1.3616940222690002	nan	0.191710482776
OG0001734.7	OG0019182.0	OG0000056.0	OG0003610.0	OG0010606.0	OG0015812.0	OG0053838.0	OG0000044.1	OG0001402.24	OG0000512.25
0.986467349262	0.11601001439400001	1.7758520409929999	2.485691360375	1.4718410025720001	1.900315403299	nan	1.291015223883	0.632282873358	0.8459700439839999
OG0003604.62	OG0024446.0	OG0007665.0	OG0000032.252	OG0002151.0	OG0005256.10	OG0013957.4	OG0001169.24	OG0000383.2	OG0000001.2899
0.721406615826	nan	2.206334777225	1.948494211602	0.36147388206000003	1.450401652432	0.15705863562	0.579382790766	0.488856505026	1.898764030188
OG0000405.0	OG0043476.0	OG0007565.0	OG0019016.0	OG0007920.14	OG0000125.49	OG0001435.1	OG0008551.0	OG0000007.976	OG0000830.1
1.048113765253	nan	0.747910961107	1.427420544567	0.166390051392	0.489559475907	0.522857723706	2.21513031583	2.16391999388	0.826595460537
OG0014358.0	OG0000886.24	OG0001238.24	OG0000032.252	OG0001242.28	OG0009781.2	OG0003752.2	OG0012427.14	OG0024512.0	OG0000126.1
2.400694794214	1.5418133917539998	0.962508759829	1.948494211602	0.5029424339280001	0.39162434454899997	2.097767200355	nan	0.054494992872	1.290062865584
OG0001228.1	OG0000946.1	OG0000010.475	OG0004958.0	OG0001134.24	OG0020423.0	OG0049025.0	OG0006410.0	OG0027420.0	OG0000092.1
0.647079592868	1.6532891130520002	2.165957901781	1.7451790501	0.39253673878399997	0.373461113605	nan	1.655027943996	0.521075125991	1.446127417143
OG0000764.26	OG0018934.1	OG0007070.2	OG0043565.0	OG0001163.24	OG0009316.2	OG0000044.1	OG0000082.1	OG0001309.24	OG0007809.2
0.340375228447	0.46851849663199996	0.42265458040799997	nan	0.678853830243	0.7431477805069999	1.291015223883	0.908037324611	0.9550395227259999	0.884600840548
OG0000627.52	OG0006805.0	OG0000006.561	OG0000327.1	OG0024566.0	OG0002127.0	OG0020485.0	OG0000175.4	OG0005354.1	OG0001941.0
1.427564950877	1.261793009114	2.3444180522319997	0.078733667491	0.16957295332000002	1.177003429083	nan	0.983275752196	1.371866536307	1.9205030648210002
OG0000054.0	OG0001349.1	OG0000018.1	OG0004412.2	OG0013488.2	OG0001513.24	OG0008965.0	OG0010629.10	OG0000918.1	OG0020760.0
2.115425783436	0.660792757136	1.307397239723	2.5016180002610002	0.20601925745400002	1.19880464138	1.5395062949509999	nan	0.228329377436	0.43796417443400004
OG0000537.8	OG0000006.561	OG0022225.0	OG0047063.0	OG0000263.57	OG0010608.0	OG0018373.0	OG0002062.0	OG0004865.2	OG0002170.0
1.2699438412019999	2.3444180522319997	1.41444488194	nan	0.180801971075	0.50381382187	1.3767953743349999	1.585833486361	0.774935334147	0.647078852842
OG0001203.24	OG0011159.0	OG0015174.0	OG0000209.2	OG0014662.0	OG0047284.0	OG0000062.12	OG0000082.1	OG0000372.92	OG0005659.6
0.45374789999700005	0.321444107421	0.476499286363	1.4239420526859998	0.148825627316	nan	0.3435686411300001	0.908037324611	0.787105116413	0.6477492358
OG0001271.1	OG0000006.561	OG0006436.0	OG0010512.0	OG0000892.1	OG0003382.0	OG0027648.0	OG0000272.36	OG0000524.1	OG0022425.0
0.3587319479300001	2.3444180522319997	0.7939403027420001	0.600023366417	1.914328310465	1.7062387012459999	0.18972635470199997	1.097096962453	1.141951413994	nan
OG0017903.2	OG0000955.28	OG0000198.0	OG0000056.0	OG0001122.1	OG0000463.51	OG0016170.4	OG0056848.0	OG0004168.24	OG0007187.0
0.19085831089400002	0.901059565168	1.7076780326660002	1.7758520409929999	0.43436809275399996	0.46246549136200005	0.218221097674	nan	0.856642586605	1.160612949201
OG0004256.2	OG0000032.252	OG0014484.2	OG0001243.24	OG0010631.0	OG0014841.0	OG0000711.2	OG0002113.0	OG0018086.1	OG0000611.0
2.798529297176	1.948494211602	1.791982407499	0.59968878788	1.078601189569	1.857494495885	1.131178962348	1.088011142954	nan	0.643744302625
OG0005582.1	OG0000010.475	OG0007539.0	OG0001243.24	OG0001365.24	OG0016827.0	OG0000209.146	OG0000154.2	OG0008258.0	OG0046862.0
1.680108686597	2.165957901781	1.6285060853420001	0.59968878788	1.023236772625	0.261929517304	1.4429106963109999	1.4717676744639998	0.8059256636650001	nan
OG0001161.24	OG0012848.0	OG0057290.0	OG0000088.3	OG0008204.0	OG0007348.0	OG0001502.26	OG0001146.1	OG0021271.0	OG0000082.1
0.664928007374	1.5139722897260002	nan	2.2092461222599997	1.310445543767	1.8427550771939998	0.19625325732299997	0.329761951475	0.142399638546	0.908037324611
OG0007549.0	OG0000006.561	OG0043590.0	OG0001813.8	OG0000463.51	OG0000290.0	OG0014542.4	OG0001167.24	OG0006963.0	OG0015978.3
1.318395725521	2.3444180522319997	nan	1.4481274073769999	0.46246549136200005	1.668182264109	0.143661158664	0.42387852616300004	1.386429213779	0.565632949733
OG0001366.26	OG0008225.6	OG0000011.1	OG0009024.0	OG0004459.0	OG0002127.0	OG0000046.1	OG0038832.0	OG0016933.0	OG0001770.0
0.7660857133	0.685525941208	3.6834617129470004	0.464067994647	1.187562385244	1.177003429083	1.65432630098	nan	0.143492026473	1.44555584736
OG0044582.0	OG0000001.1420	OG0000909.26	OG0001075.1	OG0009869.0	OG0000125.49	OG0013292.10	OG0008061.3	OG0005701.4	OG0000771.24
nan	2.400467071927	0.6680063140420001	0.471480772331	0.74978051475	0.489559475907	0.22391515938499998	0.105133415514	0.7125689427680001	0.889148508858
OG0006231.0	OG0001238.24	OG0000359.28	OG0002073.0	OG0013912.6	OG0001275.26	OG0006392.0	OG0010013.0	OG0000082.1	OG0038683.0
0.9410363710140001	0.962508759829	2.2452286155489998	1.500524517402	0.091842623035	0.326650102555	1.3009091062279998	0.252504390562	0.908037324611	nan
OG0001405.24	OG0001592.24	OG0001226.24	OG0003661.0	OG0045818.0	OG0004285.1	OG0025937.0	OG0006579.6	OG0000407.1	OG0000018.289
0.8709374913169999	0.8720070740539999	0.30010362629500004	0.906991292846	nan	1.286902711275	1.038824988707	0.167556189729	1.061904491775	1.690655398915
OG0000054.0	OG0000364.1	OG0000004.778	OG0004609.0	OG0002214.0	OG0008497.0	OG0022289.0	OG0000892.1	OG0011050.0	OG0001048.24
2.115425783436	1.519929498117	0.169125287571	1.147563484627	1.7886790688299998	1.9788443979030002	nan	1.914328310465	1.2878288670440001	0.865461634177
OG0000548.29	OG0000257.0	OG0000012.918	OG0008209.0	OG0001459.24	OG0005027.0	OG0001540.26	OG0020416.0	OG0047180.0	OG0014665.0
0.402937312772	2.7551013922829997	2.4953506102	0.41782933634999997	0.450662536799	0.40727961311300004	0.185082332981	0.286030908892	nan	1.440472871482
OG0005703.0	OG0000935.24	OG0024959.0	OG0000018.1	OG0000010.475	OG0001014.26	OG0002233.0	OG0057561.0	OG0006851.4	OG0011986.10
1.507412464694	0.635750032151	0.326672508355	1.307397239723	2.165957901781	0.39080910129699997	0.6471680670350001	nan	1.2769810348119999	0.127618585551
OG0000223.2	OG0011912.1	OG0000010.475	OG0001014.26	OG0000987.19	OG0003989.2	OG0025683.0	OG0012459.6	OG0002170.0	OG0007451.0
1.3521247143200001	0.142388233997	2.165957901781	0.39080910129699997	2.341374228196	1.247063218948	nan	0.355152811969	0.647078852842	0.782498590299
OG0000026.45	OG0001915.0	OG0002080.0	OG0003171.1	OG0046647.0	OG0014643.4	OG0001157.1	OG0010645.2	OG0024690.0	OG0000204.2
2.320951702511	1.215705232153	0.748572101909	0.668720317323	nan	0.37821026154	0.623785838001	1.225997518214	0.16749060660700002	1.612571582716
OG0009080.2	OG0012496.8	OG0000294.0	OG0001252.1	OG0005850.4	OG0000038.0	OG0001234.24	OG0006984.0	OG0027026.0	OG0001938.0
1.272357530367	0.19211847788199998	1.2517115953470002	0.449888157219	0.21300714744600002	2.473262479912	0.840938065172	0.46305195246299996	nan	0.8619204741419999
OG0002088.0	OG0000359.28	OG0000012.918	OG0007526.0	OG0009201.0	OG0054122.0	OG0000867.24	OG0009881.4	OG0001420.22	OG0003748.49
1.535194765918	2.2452286155489998	2.4953506102	1.222811428665	0.64790696281	nan	1.25347005176	1.699768235886	1.226037532613	0.8112908913410001
OG0000054.0	OG0001379.1	OG0013967.0	OG0005639.0	OG0000261.0	OG0019496.0	OG0043596.0	OG0006669.3	OG0002006.0	OG0001337.24
2.115425783436	0.914609438159	0.793092297771	2.029879296471	1.942633018555	0.0	nan	0.5129467411249999	0.9173851859119999	0.562527065887
OG0028197.0	OG0000026.45	OG0004608.0	OG0002231.0	OG0013580.0	OG0000709.10	OG0020482.0	OG0000584.0	OG0001149.24	OG0006332.2
nan	2.320951702511	1.487821261364	0.49047962430200004	1.180811847594	1.6075617688730002	0.41016516673500003	1.4411776226480002	0.379164356645	1.40793004711
OG0001846.4	OG0002150.0	OG0000038.0	OG0004504.4	OG0014858.0	OG0001328.24	OG0008693.8	OG0000290.0	OG0053996.0	OG0011675.5
1.576386992634	1.007202217421	2.473262479912	0.39859416115099994	2.080690458439	0.584679245733	0.040075610422	1.668182264109	nan	0.12937438765
OG0000944.28	OG0000214.0	OG0046030.0	OG0001216.24	OG0000011.1	OG0005966.0	OG0014011.2	OG0002100.0	OG0024752.0	OG0004347.0
2.712529641973	3.986703004027	nan	0.589757335211	3.6834617129470004	0.92320572985	0.288657139322	0.6726083358220001	0.28711053601799996	1.966220216646
OG0010853.0	OG0004362.4	OG0001330.24	OG0002308.0	OG0000561.24	OG0001426.2	OG0000007.976	OG0000320.0	OG0000004.816	OG0046779.0
0.940980695851	1.494669912104	0.94678771573	2.006804394136	0.7966477154420001	0.788377306769	2.16391999388	1.11019913486	0.849263543177	nan
OG0007008.1	OG0029056.0	OG0026325.0	OG0001936.0	OG0001519.24	OG0000302.34	OG0005696.4	OG0009877.2	OG0000018.289	OG0001491.1
0.42032763840899995	0.008195219773000001	nan	0.63820467331	0.899850135787	0.887657456725	0.752492811022	0.20948401470400002	1.690655398915	0.65253373449
OG0000294.0	OG0000001.2052	OG0020478.0	OG0005617.0	OG0002012.0	OG0002036.0	OG0025893.0	OG0053814.0	OG0000082.1	OG0000911.3
1.2517115953470002	0.9045998381299999	0.248260666764	0.33454856552900003	0.508339467612	1.7813356580720001	1.3921666003889999	nan	0.908037324611	0.91063098519
OG0008569.0	OG0000120.105	OG0012733.0	OG0000011.1	OG0002231.0	OG0008655.4	OG0000727.24	OG0025963.0	OG0021094.0	OG0000724.26
0.604542349536	1.0829977767299999	0.815560380415	3.6834617129470004	0.49047962430200004	0.5980981906539999	0.9027648385100001	0.158541971285	nan	1.162806783835
OG0005703.0	OG0029068.0	OG0009043.0	OG0024380.0	OG0000010.475	OG0000750.0	OG0000962.24	OG0003752.2	OG0000634.26	OG0002141.0
1.507412464694	0.0	1.028102010565	nan	2.165957901781	1.7470267205400003	0.496720820489	2.097767200355	0.795929535683	0.5805239698960001
OG0000977.1	OG0000006.561	OG0000403.25	OG0004872.6	OG0017892.0	OG0016990.1	OG0000732.24	OG0014047.2	OG0005867.0	OG0001586.3
1.498636651349	2.3444180522319997	1.35071157281	0.946697840204	0.49915047616999997	nan	1.633080131803	0.006253468329000001	1.325488288521	1.231238777821
OG0000176.0	OG0045121.0	OG0012457.10	OG0002013.0	OG0000011.1	OG0002214.0	OG0005151.29	OG0007566.10	OG0000524.1	OG0003044.18
2.701846284051	nan	0.050746055061999994	1.797059090948	3.6834617129470004	1.7886790688299998	0.421772840454	0.423712308488	1.141951413994	1.714402025702
OG0001002.25	OG0015108.9	OG0014755.1	OG0005765.0	OG0000056.0	OG0007156.2	OG0001801.0	OG0029044.0	OG0000392.72	OG0000204.2
0.728257789746	nan	0.386188084669	1.170443034234	1.7758520409929999	1.096998716556	0.8537444023199999	0.011578082041	0.641553650155	1.612571582716
OG0000001.1420	OG0000264.1	OG0020971.0	OG0000042.23	OG0010581.0	OG0001091.2	OG0044485.0	OG0001298.24	OG0003561.0	OG0020532.0
2.400467071927	0.659184373158	0.802707910516	0.7945561290559999	1.664222445745	0.270916547238	nan	0.16073157975299998	2.197660160947	0.81588538611
OG0000081.1	OG0044719.0	OG0002106.0	OG0012450.4	OG0017759.2	OG0000482.64	OG0001070.26	OG0000082.1	OG0006099.2	OG0007259.2
0.9553415286939999	nan	0.222441383499	0.22111006195799998	0.6615437135109999	1.231902296378	1.283694274488	0.908037324611	0.9601822867540001	1.654512191457
OG0002001.0	OG0004025.11	OG0026280.0	OG0000667.13	OG0001159.0	OG0000048.122	OG0000012.918	OG0014256.0	OG0013965.2	OG0010620.1
0.9639225832260001	0.847908247523	nan	1.536581544693	1.43720085046	0.914299210599	2.4953506102	0.8648195957700001	0.534034817702	0.317490914169
OG0013932.4	OG0000038.0	OG0000359.28	OG0000066.328	OG0002143.0	OG0018825.5	OG0011984.6	OG0000579.24	OG0005604.1	OG0002141.0
0.17086684350099998	2.473262479912	2.2452286155489998	0.9296060330779999	1.356005535065	nan	0.277081279767	0.824656775733	2.629349627909	0.5805239698960001
OG0000054.0	OG0000294.0	OG0003037.24	OG0010521.4	OG0001332.24	OG0002143.0	OG0028428.0	OG0013045.1	OG0014522.0	OG0002045.0
2.115425783436	1.2517115953470002	2.236556896858	0.0	0.8886706956649999	1.356005535065	nan	0.066052216873	0.623693032872	0.8428318508050001
OG0008603.0	OG0016206.4	OG0002145.0	OG0010055.3	OG0000032.252	OG0018355.2	OG0000820.2	OG0007125.8	OG0000431.12	OG0001819.6
0.439822185109	0.8187927421269999	2.070100855994	0.063765999453	1.948494211602	nan	1.141216800692	0.630608349927	1.8431466290799998	1.236510260161
OG0000012.918	OG0012129.10	OG0000397.30	OG0011210.1	OG0045885.0	OG0001240.26	OG0011270.0	OG0001044.24	OG0000256.24	OG0007809.2
2.4953506102	0.128019396381	0.573130876428	1.107077921571	nan	0.640384964356	1.508964338949	0.47311116351099997	1.64161328091	0.884600840548
OG0001419.3	OG0000006.561	OG0003039.0	OG0020466.0	OG0026982.0	OG0000367.131	OG0005530.6	OG0002007.0	OG0000209.146	OG0000276.72
1.073077186593	2.3444180522319997	0.932912090425	0.233374447729	nan	0.691672036555	2.232019569026	0.892563794262	1.4429106963109999	1.453864721583
OG0018020.2	OG0000026.45	OG0017889.0	OG0000034.305	OG0001217.1	OG0009815.0	OG0041927.0	OG0001562.24	OG0000392.72	OG0006442.2
0.20655368231600002	2.320951702511	1.091619267242	1.891436375406	0.576270433062	2.35825233373	nan	0.6906483341580001	0.641553650155	0.39342858979999995
OG0000006.561	OG0001258.24	OG0001371.24	OG0004823.2	OG0002155.0	OG0007854.4	OG0018363.2	OG0007440.0	OG0024795.0	OG0000206.0
2.3444180522319997	0.22972645039	0.898262824587	1.050674967968	0.396246065223	0.358644955247	0.939875228446	1.163314176521	nan	2.522749018167
OG0002708.0	OG0000944.28	OG0001377.24	OG0000813.1	OG0011587.0	OG0005510.30	OG0028240.0	OG0000018.289	OG0005281.1	OG0000320.0
1.896236684421	2.712529641973	0.783173516566	0.921923571378	0.921841842907	0.234418845266	nan	1.690655398915	0.599092010262	1.11019913486
OG0001215.24	OG0000001.1420	OG0005701.33	OG0053869.0	OG0003989.2	OG0016862.2	OG0000263.57	OG0000280.1	OG0000738.19	OG0001432.24
1.3658816443619999	2.400467071927	0.806479183476	nan	1.247063218948	0.217568491655	0.180801971075	1.379419658849	0.766516573595	0.27821771916099997
OG0029207.0	OG0001154.24	OG0006024.0	OG0000279.0	OG0013309.0	OG0000038.0	OG0002252.0	OG0001437.24	OG0014736.2	OG0000207.240
nan	0.378150126602	1.4023798253650002	1.338706872473	0.860809980891	2.473262479912	1.117918869073	0.578656554551	0.753387501272	1.250068777122
OG0021293.0	OG0005622.0	OG0000188.1	OG0001246.24	OG0011569.1	OG0005957.0	OG0000007.976	OG0001182.24	OG0000930.24	OG0027537.0
nan	0.14987592874000003	2.467359084216	0.800194512148	0.32040515104600004	1.150362112385	2.16391999388	0.5379026765820001	0.681770481716	0.18178645228
OG0014768.4	OG0004348.1	OG0016088.0	OG0003333.28	OG0001778.24	OG0018748.2	OG0001348.24	OG0001100.24	OG0000599.0	OG0000082.1
0.23250434005999998	2.3092524872049998	1.984646671324	1.080243694438	0.987880433689	nan	0.926453193801	0.773926924333	1.7741470571790001	0.908037324611
OG0016702.1	OG0001271.1	OG0018048.1	OG0008525.0	OG0000409.24	OG0008287.4	OG0000441.96	OG0002146.0	OG0005426.10	OG0000002.1788
nan	0.3587319479300001	0.169587547082	1.552431996601	0.9340162949519999	0.172163470551	0.629996928883	0.505883932795	0.8965254222329999	2.333775144494
OG0026570.0	OG0007962.0	OG0000010.475	OG0003761.0	OG0017891.0	OG0000976.24	OG0022358.0	OG0000770.1	OG0000272.36	OG0000739.15
nan	1.101045352539	2.165957901781	0.650299657383	0.216447457403	1.482744624951	0.887139319267	1.530087278985	1.097096962453	1.104417784355
OG0003159.70	OG0001277.24	OG0007202.0	OG0000261.0	OG0000760.1	OG0001160.24	OG0002045.0	OG0006669.3	OG0000002.1788	OG0006733.0
0.095120574033	0.350017512751	1.254010321048	1.942633018555	nan	0.7717804646269999	0.8428318508050001	0.5129467411249999	2.333775144494	2.136467080498
OG0001536.0	OG0005878.30	OG0007639.5	OG0007427.0	OG0002913.0	OG0000409.24	OG0000018.289	OG0001562.24	OG0001412.1	OG0012238.3
2.258384228202	0.220463543495	0.148413875623	0.424383687436	1.021662338961	0.9340162949519999	1.690655398915	0.6906483341580001	0.520903128103	nan
OG0013489.2	OG0007509.2	OG0001447.24	OG0020523.0	OG0015096.6	OG0001351.24	OG0000082.1	OG0000165.49	OG0000256.24	OG0008032.1
0.784838811044	1.118444500728	0.690417406634	0.720312053591	nan	1.25632535143	0.908037324611	0.910180158425	1.64161328091	1.260202161128
OG0000054.0	OG0001280.24	OG0001541.1	OG0057463.0	OG0000230.58	OG0000504.24	OG0013957.4	OG0003512.4	OG0020405.0	OG0005576.4
2.115425783436	0.5154357949530001	0.6318543329649999	nan	1.575186146052	0.679672236612	0.15705863562	0.752679919203	0.157791152436	1.447953271681
OG0007764.1	OG0001179.24	OG0000038.0	OG0001414.24	OG0022270.0	OG0007817.0	OG0000391.20	OG0017195.0	OG0044166.0	OG0002092.0
0.370176374471	0.7355724522579999	2.473262479912	0.914970637484	0.768822431155	0.562714219432	1.7619523860530002	0.933225324985	nan	0.45429413163099996
OG0000833.0	OG0027532.0	OG0002156.0	OG0000038.0	OG0013714.0	OG0013915.4	OG0047067.0	OG0006175.0	OG0000749.2	OG0002038.0
1.704263518845	0.041885660219999996	0.910566149785	2.473262479912	1.9517503400740002	0.117847608641	nan	1.091112544573	1.281508523635	1.146189222427
OG0017903.2	OG0000619.52	OG0000032.252	OG0006020.0	OG0005701.4	OG0025129.0	OG0048119.0	OG0001095.25	OG0000338.41	OG0000876.20
0.19085831089400002	1.010570373916	1.948494211602	1.4396727342309998	0.7125689427680001	1.5905047720010002	nan	1.757847915242	1.424242444303	1.408431785583
OG0001280.24	OG0004256.2	OG0000214.0	OG0000032.252	OG0002159.0	OG0006140.0	OG0023093.0	OG0009214.0	OG0000801.24	OG0060432.0
0.5154357949530001	2.798529297176	3.986703004027	1.948494211602	1.5246684390779999	2.1496901636900003	0.08005192764499999	1.502441279736	0.848888746336	nan
OG0043640.0	OG0001892.0	OG0000056.0	OG0002213.0	OG0000750.0	OG0002069.0	OG0003375.2	OG0011477.0	OG0011401.0	OG0011360.2
nan	1.777840080615	1.7758520409929999	0.924956925405	1.7470267205400003	1.299877168498	1.259972686065	0.839478049391	2.8166286877460003	0.151136766733
OG0001439.24	OG0007183.2	OG0000010.475	OG0000955.1	OG0001454.24	OG0001351.24	OG0013542.6	OG0000599.0	OG0024549.0	OG0007451.0
1.1112836597	1.275547101174	2.165957901781	nan	0.367343107552	1.25632535143	0.333394694173	1.7741470571790001	0.0	0.782498590299
OG0015285.2	OG0005276.0	OG0000088.3	OG0000010.475	OG0000796.20	OG0001963.0	OG0020261.0	OG0006393.0	OG0000323.43	OG0060415.0
0.198505889227	1.130664025688	2.2092461222599997	2.165957901781	0.30626955463399996	1.3857515538960001	0.512030469489	0.8093977850220001	0.532757563553	nan
OG0023168.0	OG0005690.0	OG0000011.1	OG0001406.24	OG0001123.1	OG0001987.0	OG0004207.12	OG0014587.2	OG0000062.12	OG0025953.0
nan	0.918435552062	3.6834617129470004	0.482157946543	0.44845415843599995	1.069114024694	0.779835000509	0.836066428944	0.3435686411300001	0.35766589424
OG0000006.561	OG0002163.0	OG0008977.6	OG0043444.0	OG0008640.19	OG0000272.36	OG0001455.24	OG0005852.2	OG0002002.0	OG0022368.0
2.3444180522319997	0.906916890774	0.6403598052130001	nan	0.0	1.097096962453	0.503520755064	0.17597193831799998	0.619420528958	0.527218741419
OG0041700.0	OG0001367.24	OG0001066.26	OG0000011.1	OG0001458.24	OG0007538.2	OG0004042.0	OG0010168.13	OG0000320.0	OG0011278.4
nan	0.994011507184	0.84231976264	3.6834617129470004	0.829412593197	0.670752145819	1.832566300957	0.0	1.11019913486	0.246293010706
OG0000002.763	OG0001349.1	OG0002165.0	OG0005949.0	OG0008586.0	OG0016244.3	OG0000847.24	OG0007991.1	OG0023215.0	OG0000002.1788
1.3934842271669998	0.660792757136	0.777495189357	0.8133863492919999	0.5266794034619999	0.142592218135	0.7580372202590001	0.7027343600429999	nan	2.333775144494
OG0025203.0	OG0000911.3	OG0000927.0	OG0000032.252	OG0004865.2	OG0005953.0	OG0000154.2	OG0000562.7	OG0020633.0	OG0020425.0
nan	0.91063098519	1.631963337071	1.948494211602	0.774935334147	1.8132248374309998	1.4717676744639998	0.494145960623	0.186726851448	0.9530319528799999
OG0000054.0	OG0007549.0	OG0001371.24	OG0003552.0	OG0000188.1	OG0001267.24	OG0015375.2	OG0002091.0	OG0038616.0	OG0016765.0
2.115425783436	1.318395725521	0.898262824587	1.7513014513679999	2.467359084216	0.8481997387000001	0.464756693089	1.652977819732	nan	0.20380426618500003
OG0012990.0	OG0000006.561	OG0020730.0	OG0001196.1	OG0000048.122	OG0005847.4	OG0000397.30	OG0000854.30	OG0019239.0	OG0018757.3
1.044421616154	2.3444180522319997	1.39478138783	0.622785093202	0.914299210599	0.313823088831	0.573130876428	1.149599629489	0.20245757266699999	nan
OG0001316.24	OG0003037.24	OG0025106.0	OG0007241.18	OG0001540.26	OG0005146.0	OG0000018.289	OG0001233.24	OG0000062.12	OG0010599.12
0.657432532551	2.236556896858	nan	0.078246563378	0.185082332981	1.519977152733	1.690655398915	0.6965468116399999	0.3435686411300001	0.10398818112500001
OG0012337.3	OG0002039.0	OG0000011.1	OG0007180.0	OG0000727.24	OG0000302.34	OG0007167.0	OG0010168.13	OG0010995.2	OG0002090.0
