OG0004710.2	OG0012896.0	OG0001643.24	OG0000471.2	OG0000027.457	OG0001698.26	OG0016785.2	OG0001566.2	OG0012926.0	OG0022825.0
0.2339541474835	1.401534755683	0.192877343808	0.337049587624	0.6412004016185	0.363416734626	0.02701875753	0.7248987999335	1.5978896074000002	nan
OG0001388.12	OG0002087.0	OG0000038.0	OG0004608.0	OG0018427.0	OG0000409.24	OG0056740.0	OG0006987.0	OG0000704.0	OG0004027.1
0.6142974633914999	0.48748225359499997	1.134143995644	0.7928063430300001	0.43215990558399997	0.5902696871249999	nan	0.858422633589	0.39093996117700003	0.2093566871715
OG0000606.2	OG0021117.0	OG0000001.1420	OG0001191.24	OG0013740.8	OG0009949.0	OG0004240.0	OG0000382.41	OG0016027.4	OG0001996.0
0.624064331833	nan	1.280101001299	0.470994793527	0.423244145331	0.699572845558	0.137482607214	0.236862700432	0.5641299212259999	0.592467294471
OG0000006.561	OG0000643.24	OG0012875.0	OG0001086.0	OG0019494.0	OG0000263.57	OG0004807.4	OG0014207.0	OG0047088.0	OG0002138.0
1.331800867994	0.314011898156	0.429611777382	0.60392006544	0.476156582206	0.055399942841	0.864224766462	1.3152094140100001	nan	0.131439650911
OG0001734.7	OG0019182.0	OG0000056.0	OG0003610.0	OG0010606.0	OG0015812.0	OG0053838.0	OG0000044.1	OG0001402.24	OG0000512.25
0.6295318820570001	0.11601001439400001	1.247413416633	0.7829886494715	1.1283757615375	1.883521525959	nan	0.6090310206725	0.25554277480300003	0.522072140432
OG0003604.62	OG0024446.0	OG0007665.0	OG0000032.252	OG0002151.0	OG0005256.10	OG0013957.4	OG0001169.24	OG0000383.2	OG0000001.2899
0.721406615826	nan	1.829929707585	1.53053061817	0.131746556514	0.36180638524400005	0.14022262403	0.297630093902	0.31376411010899996	1.335379063848
OG0000405.0	OG0043476.0	OG0007565.0	OG0019016.0	OG0007920.14	OG0000125.49	OG0001435.1	OG0008551.0	OG0000007.976	OG0000830.1
0.464594696263	nan	0.658354556809	1.427420544567	0.163344509229	0.190224868649	0.296999166255	0.899331491275	1.31363662791	0.166494809908
OG0014358.0	OG0000886.24	OG0001238.24	OG0000032.252	OG0001242.28	OG0009781.2	OG0003752.2	OG0012427.14	OG0024512.0	OG0000126.1
2.357360040646	0.493251274661	0.451108727724	1.53053061817	0.277553481275	0.31110595601999996	1.2862803038555	nan	0.054494992872	0.6963410191089999
OG0001228.1	OG0000946.1	OG0000010.475	OG0004958.0	OG0001134.24	OG0020423.0	OG0049025.0	OG0006410.0	OG0027420.0	OG0000092.1
0.34203789019599995	0.678855975666	1.0563396006855001	0.7735927354075	0.183933491266	0.35911231913	nan	1.336877840352	0.521075125991	0.962372763127
OG0000764.26	OG0018934.1	OG0007070.2	OG0043565.0	OG0001163.24	OG0009316.2	OG0000044.1	OG0000082.1	OG0001309.24	OG0007809.2
0.1492537075805	0.46851849663199996	0.209286205097	nan	0.285319257682	0.7264811662039999	0.6090310206725	0.273780212428	0.666321541351	0.14897274398
OG0000627.52	OG0006805.0	OG0000006.561	OG0000327.1	OG0024566.0	OG0002127.0	OG0020485.0	OG0000175.4	OG0005354.1	OG0001941.0
0.8052934823350001	1.039006271513	1.331800867994	0.06800516255	0.16957295332000002	0.7549874454109999	nan	0.449750080449	0.43262980314149996	0.823914910563
OG0000054.0	OG0001349.1	OG0000018.1	OG0004412.2	OG0013488.2	OG0001513.24	OG0008965.0	OG0010629.10	OG0000918.1	OG0020760.0
1.240856633142	0.415846951417	1.0107335534	1.243772756222	0.161966245778	0.667055505149	0.645261806291	nan	0.09859703554400001	0.43796417443400004
OG0000537.8	OG0000006.561	OG0022225.0	OG0047063.0	OG0000263.57	OG0010608.0	OG0018373.0	OG0002062.0	OG0004865.2	OG0002170.0
0.7003918438285001	1.331800867994	1.41444488194	nan	0.055399942841	0.443618020897	1.351416142363	0.740699262384	0.5205805098595	0.41736904735200003
OG0001203.24	OG0011159.0	OG0015174.0	OG0000209.2	OG0014662.0	OG0047284.0	OG0000062.12	OG0000082.1	OG0000372.92	OG0005659.6
0.27634648001400003	0.299523141429	0.476499286363	0.930125499069	0.116509467876	nan	0.230312998413	0.273780212428	0.319078755349	0.43782707131000004
OG0001271.1	OG0000006.561	OG0006436.0	OG0010512.0	OG0000892.1	OG0003382.0	OG0027648.0	OG0000272.36	OG0000524.1	OG0022425.0
0.21316793186000002	1.331800867994	0.615625068233	0.590465256505	0.8992317746240001	1.180652156782	0.18972635470199997	0.644126357076	0.724147879034	nan
OG0017903.2	OG0000955.28	OG0000198.0	OG0000056.0	OG0001122.1	OG0000463.51	OG0016170.4	OG0056848.0	OG0004168.24	OG0007187.0
0.154767257662	0.355430931563	1.212387171574	1.247413416633	0.24976088624099999	0.221513691516	0.218221097674	nan	0.282250984324	0.30214427916
OG0004256.2	OG0000032.252	OG0014484.2	OG0001243.24	OG0010631.0	OG0014841.0	OG0000711.2	OG0002113.0	OG0018086.1	OG0000611.0
2.228903793034	1.53053061817	1.791982407499	0.321296183483	0.968628186071	1.819991576942	0.495641684794	0.7031437515279999	nan	0.287945409321
OG0005582.1	OG0000010.475	OG0007539.0	OG0001243.24	OG0001365.24	OG0016827.0	OG0000209.146	OG0000154.2	OG0008258.0	OG0046862.0
