OG0001698.26	OG0012926.0	OG0000027.457	OG0001566.2	OG0001643.24
nan	2.973177	nan	nan	1.0225899999999999
OG0021387.0	OG0001139.24	OG0019386.0	OG0026570.0	OG0000681.0
1.626974	nan	1.9248040000000002	2.357452	269.9007
OG0010012.0	OG0002309.26	OG0000298.0	OG0012865.13	OG0002438.24
3.3956480000000004	1.256302	nan	259.939	0.771622
OG0025841.0	OG0013493.0	OG0005870.0	OG0027623.0	OG0012781.0
1.863566	4.521525	0.2431884	1.8576529999999998	0.9982694
OG0037720.0	OG0002414.18	OG0014874.2	OG0015286.0	OG0029053.0
3.06298	256.3387	257.2987	2.125729	2.636057
OG0000974.123	OG0013565.5	OG0014021.0	OG0044562.0	OG0015488.1
1.1554719999999998	8.092713	0.9690439000000001	1.462789	3.3701239999999997
OG0027685.0	OG0056666.0	OG0029101.0	OG0007439.0	OG0011147.18
1.412474	2.5129509999999997	2.636996	2.266565	2.196142
OG0009965.0	OG0038798.0	OG0025072.0	OG0019528.0	OG0044257.0
3.29313	3.4722489999999997	1.290775	1.48936	2.828996
OG0021358.0	OG0048152.0	OG0035822.0	OG0016666.3	OG0007959.6
1.668675	3.7747	1.3047	1.4620540000000002	3.26284
OG0053946.0	OG0048140.0	OG0027589.0	OG0008559.4	OG0007389.1
2.573773	3.76065	2.735338	165.6651	2.229932
OG0056788.0	OG0056650.0	OG0057281.0	OG0022287.0	OG0044932.0
2.450526	2.685291	1.50099	1.2412290000000001	1.858069
OG0003958.0	OG0004892.3	OG0026496.0	OG0047246.0	OG0045830.0
1.523541	186.9923	1.522697	3.329325	256.1068
OG0000419.1	OG0037938.0	OG0007984.6	OG0014529.2	OG0021181.0
7.999905	3.058237	4.614916	1.409083	3.075576
OG0045543.0	OG0010017.0	OG0016246.7	OG0057118.0	OG0014804.6
264.9377	5.282062000000001	3.2602330000000004	1.492016	7.906075
OG0044126.0	OG0047612.0	OG0011528.12	OG0001032.24	OG0000246.0
2.782759	3.360489	3.264782	nan	1.499462
OG0000895.1	OG0011911.0	OG0044129.0	OG0015612.4	OG0013109.0
nan	2.2931939999999997	2.741756	3.292979	4.57629
OG0001520.24	OG0000835.7	OG0016985.0	OG0044638.0	OG0006291.0
1.316139	1.015206	1.4753100000000001	1.878511	26.582240000000002
OG0029189.0	OG0029582.0	OG0025891.0	OG0008444.0	OG0021304.0
2.5739810000000003	1.4422059999999999	3.8192459999999997	1.886782	1.9106459999999998
OG0000258.1	OG0048180.0	OG0012864.8	OG0049158.0	OG0019411.0
10.73348	3.7511910000000004	257.9568	2.34928	2.655373
OG0044483.0	OG0018155.0	OG0018016.0	OG0007327.2	OG0046721.0
1.435438	2.19121	7.9515139999999995	4.578478	259.5653
OG0005696.4	OG0057320.0	OG0053977.0	OG0003006.0	OG0001368.24
2.825598	1.508958	2.648552	2.188475	nan
OG0060552.0	OG0045679.0	OG0011755.11	OG0011634.6	OG0003899.0
1.515509	256.0637	3.733203	3.764257	0.7724026999999999
OG0004642.1	OG0007511.2	OG0007317.4	OG0006017.0	OG0001896.13
3.4355849999999997	5.281214	4.599464	28.385759999999998	3.4660260000000003
OG0002777.4	OG0009204.7	OG0043666.0	OG0005160.1	OG0004478.4
14.17534	2.621146	1.485622	1.467542	5.447186
OG0046288.0	OG0003089.5	OG0048004.0	OG0000660.14	OG0019305.0
262.9389	2.893345	3.725145	2.484384	1.47891
OG0046914.0	OG0047996.0	OG0009287.0	OG0000863.32	OG0056905.0
261.0737	3.76326	4.610067	nan	2.689818
OG0024668.0	OG0034754.0	OG0006522.0	OG0016430.8	OG0048795.0
1.439229	2.217425	222.4026	3.051344	2.354741
OG0017941.0	OG0041680.0	OG0009103.4	OG0005700.0	OG0060423.0
1.6231010000000001	3.292898	1.458453	1.248842	1.5368680000000001
