OG0012926.0	OG0001643.24	OG0001566.2	OG0001698.26	OG0000027.457
1.1797254540653153	3.2101128903137615	6.524116308090783	3.76834630985074	7.0328924937553605
OG0000011.1	OG0001960.2	OG0001348.24	OG0014643.4	OG0002120.0
8.483344082882272	0.6000430441920954	1.8786388126330993	1.9510417377569662	0.40996177692896807
OG0000007.976	OG0001962.0	OG0000908.24	OG0018072.2	OG0000911.3
8.004067552222748	3.4126291897638485	1.4216214718777325	1.4002693512055777	0.9916100624974709
OG0000026.45	OG0000473.17	OG0000724.26	OG0001324.24	OG0014172.0
8.263328397694044	3.2374742581051907	4.2129602951747716	1.246967648025318	0.9309289317945402
OG0000010.475	OG0003341.0	OG0001723.0	OG0001450.26	OG0001766.6
8.430574733391317	4.341822499818654	-0.18068647668409818	-0.4976052303475886	1.36452503602462
OG0015186.2	OG0001488.22	OG0001567.1	OG0000853.1	OG0000056.0
0.9297930368090134	0.8907848736041994	3.356837488145097	4.022751762714401	7.995597575183827
OG0008707.0	OG0000698.19	OG0000931.1	OG0001286.24	OG0000038.0
0.454429721199492	0.32683165084995136	0.6785335281936906	-0.8072189090189401	8.28439494743276
OG0001315.24	OG0001292.1	OG0018076.2	OG0000459.0	OG0000056.0
-0.5149257177180807	-0.2875627108466774	2.5478028631466905	7.75603829462114	7.995597575183827
OG0000886.24	OG0000001.1420	OG0000042.23	OG0017858.0	OG0002007.0
1.995053304341048	8.01975167213718	3.851945514660969	3.07629831649958	1.258321066913593
OG0000010.475	OG0002252.0	OG0001032.24	OG0001573.24	OG0021460.0
8.430574733391317	0.6421388859096409	0.9415207151399653	1.7708458740691395	2.772948020146594
OG0001226.24	OG0000678.1	OG0002123.0	OG0000082.1	OG0014722.4
-1.2157084710262818	1.146907804421329	1.1577604006397995	6.56106806188553	3.0010872002639783
OG0002077.0	OG0007293.0	OG0000032.252	OG0000854.30	OG0000677.1
1.702040099154126	1.2203139278439317	8.227053962054658	4.202722883702561	0.33434370116043793
OG0002079.0	OG0006927.0	OG0000780.24	OG0000001.1420	OG0001958.0
0.5389850422975813	1.6282754292943087	4.34532529874459	8.01975167213718	1.9072623686847052
OG0001061.24	OG0001157.1	OG0000018.289	OG0015279.0	OG0002094.0
-0.764225608226506	0.021832366531489417	7.430654892372739	1.7723461838557062	1.4956327170222217
OG0001819.6	OG0000026.45	OG0001942.0	OG0001361.1	OG0010880.0
1.4300630701388675	8.263328397694044	2.8967043761347497	1.286826829434269	1.1095729155248957
OG0014816.4	OG0001870.2	OG0000038.0	OG0002145.0	OG0001355.24
2.4114388382562786	1.3400317677007865	8.28439494743276	1.6617184736738637	1.4453013178650063
OG0000010.475	OG0000396.79	OG0001093.24	OG0001993.0	OG0006773.2
8.430574733391317	-0.7945155777700551	0.7450126261979109	0.6334605152078709	-0.6966893546618095
OG0000010.475	OG0000501.29	OG0013950.6	OG0001886.0	OG0001172.24
8.430574733391317	0.5818071909862358	3.6144332773788412	2.3545843500606147	0.5135370537310331
OG0000054.0	OG0008252.2	OG0000441.96	OG0001351.24	OG0001912.0
7.924143254740502	1.6734251488361087	3.880915015811211	1.5452110740996665	0.7237965354085432
OG0001228.1	OG0001150.24	OG0018392.0	OG0000892.1	OG0000082.1
0.5736978804428707	0.1855199032210111	3.903511891264212	4.585361152278773	6.56106806188553
OG0002066.0	OG0011886.0	OG0001162.22	OG0000082.1	OG0001102.24
0.6919663410615399	2.2012815504117245	1.795340686950396	6.56106806188553	0.11018053325543774
OG0002186.0	OG0001090.26	OG0008230.0	OG0000082.1	OG0001073.24
1.2150596002857248	1.3427234797060883	1.6664901760608368	6.56106806188553	3.590574780991346
OG0000620.56	OG0001546.1	OG0001519.24	OG0012705.8	OG0000012.918
1.0524360000395023	0.18429145394859922	0.9493392912080714	1.6190885150001453	8.03646171547422
OG0000010.475	OG0001023.7	OG0014661.1	OG0001236.24	OG0001156.1
8.430574733391317	2.432453932861018	2.183598576667295	0.31608040735275433	1.100401890865536
OG0001299.24	OG0000002.1788	OG0000704.0	OG0017978.2	OG0001959.2
-0.3115578381212743	8.30265560711077	0.7579577298431905	0.18287636265626553	0.8144599988636445
OG0013202.0	OG0000011.1	OG0001303.26	OG0001408.24	OG0001434.24
2.371225032940649	8.483344082882272	1.811579777408133	-0.36181223932085305	-0.32363923257596094
OG0000479.1	OG0000038.0	OG0000728.24	OG0001235.24	OG0014687.1
1.2914264141206067	8.28439494743276	4.658735022687043	0.7322528611245507	1.2543748398529697
OG0001061.24	OG0014593.0	OG0002128.0	OG0000964.2	OG0000006.561
-0.764225608226506	0.602248552555009	0.5660724676640452	1.5995642106785473	8.067772562533877
OG0000797.20	OG0000038.0	OG0000954.24	OG0013173.1	OG0002153.0
3.501174233882027	8.28439494743276	3.9389058644385018	1.5982688515860393	0.2633842122551717
OG0000007.976	OG0000830.1	OG0015387.0	OG0002087.0	OG0001123.1
8.004067552222748	0.4729903020932754	3.3037031379831356	0.8410351257378602	-0.5845044250906337
OG0001408.24	OG0021967.0	OG0000038.0	OG0001737.0	OG0001180.24
-0.36181223932085305	2.407327770254453	8.28439494743276	1.0839018281491994	0.2003854303629485
OG0001334.24	OG0001935.0	OG0000038.0	OG0001866.0	OG0007320.10
0.3989144627487983	0.7044751370919373	8.28439494743276	1.6767929321361308	0.9972269331426273
OG0000372.92	OG0001937.2	OG0000026.45	OG0010528.1	OG0001335.24
1.5550437064660374	0.8260093003163055	8.263328397694044	2.934004695500627	-0.6645908456833206
OG0002211.0	OG0002048.0	OG0001593.20	OG0010676.1	OG0000006.561
1.5203437670744055	1.5746851321585915	0.25253291706819986	-0.08395311196702485	8.067772562533877
OG0000007.976	OG0001921.0	OG0000149.1	OG0001423.30	OG0002023.0
8.004067552222748	1.2730811674763638	1.6146207173427138	1.1894017607534726	1.7782006944947084
OG0009269.4	OG0001256.24	OG0000082.1	OG0002082.0	OG0001849.0
0.7450239128958369	-0.36578799595652994	6.56106806188553	1.3438957553340138	4.935824350139475
OG0001363.24	OG0008282.0	OG0000428.54	OG0000038.0	OG0002243.0
5.029327379018552	1.69991094412633	3.127224605929602	8.28439494743276	0.32503522400475243
OG0000011.1	OG0001216.24	OG0001221.1	OG0021380.0	OG0001878.2
8.483344082882272	-0.2104867349318555	0.47710732518074794	2.6004386254450704	0.14990074985508467
OG0000007.976	OG0001214.2	OG0002054.0	OG0002039.0	OG0015982.2
8.004067552222748	4.303914054519838	1.081852980403187	1.1751007951891626	2.804011886840699
OG0000007.976	OG0013470.1	OG0001238.24	OG0001062.24	OG0001849.0
8.004067552222748	-0.1818629308769427	1.1591476180968392	-1.4492725833937583	4.935824350139475
OG0022253.0	OG0000002.1788	OG0001078.24	OG0001832.1	OG0001428.1
3.31926964052134	8.30265560711077	-0.8159121764863589	4.137689923492899	0.14745546380612165
OG0007301.2	OG0001870.2	OG0001082.24	OG0000617.25	OG0000018.289
1.1702767267778438	1.3400317677007865	1.9877087049724051	8.270783264920066	7.430654892372739
OG0001345.24	OG0014592.0	OG0000886.24	OG0002158.0	OG0000026.45
0.4418000085809996	2.3927620743263813	1.995053304341048	1.1168765023410976	8.263328397694044
OG0000704.0	OG0001166.24	OG0008079.18	OG0001450.26	OG0000056.0
0.7579577298431905	0.512115400051062	0.5278938055261382	-0.4976052303475886	7.995597575183827
OG0000713.24	OG0000522.0	OG0000018.289	OG0002321.0	OG0019431.0
1.5871245331396853	4.438118697917621	7.430654892372739	0.8534349059972103	3.0144709269143126
OG0002121.0	OG0001330.24	OG0000615.1	OG0000006.561	OG0014747.1
0.9055519578364387	0.7630632970290714	6.840274032027058	8.067772562533877	2.2438430110729946
OG0000847.24	OG0001382.24	OG0000010.475	OG0016099.0	OG0001290.24
3.4410469526051632	-0.16896945317856685	8.430574733391317	0.25457174217701484	0.17690107041640962
OG0002146.0	OG0008756.0	OG0001080.1	OG0001880.0	OG0000032.252
-0.3466640827850249	1.764608028790205	1.9208044070471044	1.4121877970319048	8.227053962054658
OG0000007.976	OG0007857.4	OG0002129.0	OG0001182.24	OG0002218.0
8.004067552222748	2.89932030176951	1.8872703768823997	-0.40095931202821133	1.223889667620285
OG0000165.172	OG0014175.6	OG0001298.24	OG0000018.289	OG0001253.24
0.5737264372834475	1.9137270887169897	-2.158296788460671	7.430654892372739	-1.0947546793205831
OG0002035.0	OG0011970.0	OG0000834.30	OG0000082.1	OG0000925.1
1.2341233237142442	1.5555144102170528	5.715460755168607	6.56106806188553	0.6214870328172648
OG0001079.1	OG0020461.0	OG0002243.0	OG0000082.1	OG0001304.24
0.8511195177896547	2.593151126379728	0.32503522400475243	6.56106806188553	1.259554854663604
OG0002150.0	OG0001403.24	OG0000846.25	OG0009043.0	OG0000032.252
1.0327187534754585	0.736052773835896	1.0560805363484647	1.3793501681617846	8.227053962054658
OG0002045.0	OG0005270.34	OG0000848.32	OG0000026.45	OG0001629.5
0.26949009244094735	-0.16870521668058994	-0.18838309336711428	8.263328397694044	7.2335169545619245
OG0001413.1	OG0000010.475	OG0001403.24	OG0001492.24	OG0008059.4
0.34793028211131993	8.430574733391317	0.736052773835896	2.4145476443352623	1.3035106793113997
OG0001386.24	OG0000038.0	OG0002116.0	OG0016764.0	OG0000661.3
1.2760643211252727	8.28439494743276	1.3367802926137906	2.7017843795653196	7.396926333158043
OG0000007.976	OG0001176.24	OG0000236.122	OG0012651.6	OG0001180.24
8.004067552222748	0.5690805119794409	4.786184983578821	0.21391558615534895	0.2003854303629485
OG0007769.0	OG0001059.24	OG0000977.1	OG0000032.252	OG0001164.24
2.1414059215281247	-0.09211582826585353	3.245504256772326	8.227053962054658	1.7630787032230713
OG0001278.2	OG0000011.1	OG0000863.32	OG0002037.0	OG0012194.0
-3.3249421331279683	8.483344082882272	0.8465326543960525	1.0729061949485945	1.597963243337
OG0001546.1	OG0001495.2	OG0000026.45	OG0002013.0	OG0018965.0
0.18429145394859922	1.4198281125816599	8.263328397694044	1.377172912670612	0.6199985244825257
OG0000732.24	OG0000983.28	OG0013872.4	OG0001271.1	OG0000018.289
5.928427341937775	0.3503332324090388	-1.0990892616699433	-0.6844770226199851	7.430654892372739
OG0001292.1	OG0000002.1788	OG0001853.0	OG0001132.24	OG0013603.0
-0.2875627108466774	8.30265560711077	2.840459939996628	0.9645672222702034	-0.29839989279374096
OG0000292.93	OG0006965.6	OG0000975.0	OG0000675.1	OG0000012.918
3.002052543972762	0.7537416524835798	4.094651563164086	6.763571668822987	8.03646171547422
OG0001921.0	OG0000011.1	OG0001303.26	OG0002176.0	OG0019378.0
1.2730811674763638	8.483344082882272	1.811579777408133	1.890104924811993	3.215071460494129
OG0000983.28	OG0001241.24	OG0000936.24	OG0000006.561	OG0014742.1
0.3503332324090388	1.1640586952805152	1.3401177724942366	8.067772562533877	1.4966158687991644
OG0001246.24	OG0020706.0	OG0000559.30	OG0000056.0	OG0000801.24
0.994076185788098	2.062574450050891	2.986173047431402	7.995597575183827	2.5430718553247136
OG0009046.12	OG0001357.24	OG0001328.24	OG0000006.561	OG0000901.0
-0.18817558349571054	2.410037658910966	0.9832491695086113	8.067772562533877	1.18407600948349
OG0000615.1	OG0001000.24	OG0001593.20	OG0014780.4	OG0000056.0
6.840274032027058	2.0790793254020783	0.25253291706819986	1.3409285317209871	7.995597575183827
OG0000002.1788	OG0001432.24	OG0001536.0	OG0002000.0	OG0016933.0
8.30265560711077	1.4499565389022404	5.153078616450306	1.2337869036896318	1.5510147333952062
OG0000054.0	OG0000026.628	OG0000019.257	OG0001861.0	OG0016560.2
7.924143254740502	1.5199686081817325	4.846145263580903	4.588031830650845	1.917543216282884
OG0001486.1	OG0000010.475	OG0007934.0	OG0001830.6	OG0000925.1
-0.08605799983591729	8.430574733391317	2.3363857527608403	2.3805054888464667	0.6214870328172648
OG0001051.24	OG0000636.1	OG0000932.26	OG0000032.252	OG0007851.2
1.0690935293559398	3.181531861724752	1.5452045634031835	8.227053962054658	-13.287712379549449
OG0001307.24	OG0013103.0	OG0000001.1420	OG0001245.24	OG0001346.24
1.8462934654877585	0.3887551945510854	8.01975167213718	-0.11296051651202024	-0.06758175053878245
OG0000425.53	OG0014713.1	OG0000735.1	OG0001379.1	OG0000056.0
0.38911251371224803	1.802416608352686	5.532691478526141	1.5159048617878803	7.995597575183827
OG0022029.0	OG0001815.3	OG0000018.289	OG0001111.22	OG0001883.0
3.4508443928941124	0.007518091526332195	7.430654892372739	2.039711275138195	3.0728415290566318
OG0000011.1	OG0007922.2	OG0000664.3	OG0001472.0	OG0000543.45
8.483344082882272	1.6904921717372479	4.1900189921484206	0.669002446268675	1.9764118377869009
OG0012745.4	OG0001212.24	OG0002043.0	OG0001040.1	OG0000032.252
2.30577256967085	1.9279567043477868	2.2902689329749606	4.160265700134734	8.227053962054658
OG0001550.0	OG0007311.2	OG0001038.1	OG0002028.0	OG0000006.561
5.632921718472829	2.2607141015074093	1.806189493585359	2.0386327947691556	8.067772562533877
OG0014592.0	OG0001082.24	OG0000242.29	OG0000018.289	OG0001425.1
2.3927620743263813	1.9877087049724051	2.9986422650411417	7.430654892372739	0.7051921078273473
OG0001366.26	OG0001418.30	OG0002053.0	OG0012936.4	OG0000082.1
1.5632439956914106	1.5623277120589252	1.8097525737436693	4.296871453187856	6.56106806188553
OG0001357.24	OG0001238.24	OG0000056.0	OG0001861.0	OG0020746.0
2.410037658910966	1.1591476180968392	7.995597575183827	4.588031830650845	-0.10406792343253982
OG0000479.1	OG0000809.2	OG0000018.289	OG0016128.4	OG0000850.12
1.2914264141206067	-0.2174121406415842	7.430654892372739	1.356943985273633	3.787038185600381
OG0001218.24	OG0000367.3	OG0000038.0	OG0000577.45	OG0002168.0
3.8067791841226604	-0.6420422602354257	8.28439494743276	0.3748068397131624	1.924840840516772
OG0000097.1	OG0008265.0	OG0000026.45	OG0002032.0	OG0001205.24
1.076713024605304	0.5606137802589256	8.263328397694044	1.3458420126054451	0.20710945320837776
OG0001315.24	OG0001169.24	OG0002126.0	OG0006968.0	OG0000001.1420
-0.5149257177180807	0.3922564164739426	0.8205359712898652	1.3684024515911362	8.01975167213718
OG0000002.1788	OG0002109.0	OG0016681.4	OG0001267.24	OG0001180.24
8.30265560711077	0.48659084538225067	0.38794803576195397	1.5154670167386892	0.2003854303629485
OG0007066.10	OG0001390.24	OG0002319.0	OG0000032.252	OG0001180.24
0.3464221973191849	-0.12600809495170126	2.774807041534235	8.227053962054658	0.2003854303629485
OG0014506.6	OG0001146.1	OG0001461.24	OG0000278.126	OG0000012.918
0.7313884790942269	-1.122855349166258	2.216493583124373	0.4073575420341252	8.03646171547422
OG0000010.475	OG0000561.24	OG0000770.1	OG0001297.24	OG0015404.4
8.430574733391317	3.2557999900374393	4.7604834202666195	0.22485695432789404	-0.9214869851400231
OG0000010.475	OG0020896.0	OG0000627.52	OG0001416.0	OG0001289.1
8.430574733391317	-13.287712379549449	1.2548217156929695	4.636380606819096	-1.927219715437512
OG0000953.26	OG0001165.26	OG0001288.1	OG0009046.12	OG0000026.45
-0.530840805716027	0.4547399276603643	0.18565382447984752	-0.18817558349571054	8.263328397694044
OG0000007.976	OG0001778.24	OG0002036.0	OG0002233.0	OG0007270.0
8.004067552222748	5.349550131414722	2.201597420566777	0.386553714544764	1.9066305352065434
OG0022253.0	OG0002035.0	OG0001488.22	OG0002085.0	OG0000018.289
3.31926964052134	1.2341233237142442	0.8907848736041994	1.5069453341625996	7.430654892372739
OG0000011.1	OG0011328.4	OG0000941.24	OG0001456.24	OG0000737.40
8.483344082882272	0.4494710507198725	2.5152576045512802	1.4781457942926806	0.045641569706978705
OG0007588.4	OG0001331.24	OG0001236.24	OG0000082.1	OG0001934.0
2.3178451232496515	1.33187734584338	0.31608040735275433	6.56106806188553	1.4316180517339756
OG0000007.976	OG0011584.2	OG0001090.26	OG0002334.0	OG0000901.0
8.004067552222748	0.005549128794737842	1.3427234797060883	1.1088188070545666	1.18407600948349
OG0006878.0	OG0001933.0	OG0000685.33	OG0000082.1	OG0001050.0
3.9820917184428355	0.01882757677651612	0.834876003649757	6.56106806188553	3.188364064864232
OG0001330.24	OG0010953.4	OG0001947.0	OG0002090.0	OG0000006.561
0.7630632970290714	1.0486887893837786	1.8525678301500175	3.0046619808940913	8.067772562533877
OG0001360.24	OG0000011.1	OG0007933.0	OG0001277.24	OG0000369.1
-0.0695710179363871	8.483344082882272	2.1619693898808334	-0.9361867173127265	1.6903747205589095
OG0000010.475	OG0017987.0	OG0000902.24	OG0001260.24	OG0001849.0
8.430574733391317	3.049760047514411	0.12409398426946937	-0.495999893672581	4.935824350139475
OG0000002.1788	OG0020494.0	OG0002123.0	OG0002019.0	OG0000896.1
8.30265560711077	2.851447194538273	1.1577604006397995	0.09171036237456058	0.7980543082505407
OG0001810.0	OG0000987.19	OG0001512.12	OG0000012.918	OG0010979.0
2.1448256289657897	2.4631938645884364	1.6779267042007413	8.03646171547422	3.581212548863279
