OG0012926.0	OG0001643.24	OG0001566.2	OG0001698.26	OG0000027.457
1.168953390888837	-1.1462318953681279	0.5979055890573353	-0.48242311792037795	0.7772595702079395
OG0000011.1	OG0001960.2	OG0001348.24	OG0014643.4	OG0002120.0
2.0510426948705494	-0.06905124513207744	0.246729423795643	1.7880498222721455	-0.15672722816574855
OG0000007.976	OG0001962.0	OG0000908.24	OG0018072.2	OG0000911.3
1.1320623810661192	0.32904090619299736	0.5793317909842975	1.1810004567354249	0.1713303668911763
OG0000026.45	OG0000473.17	OG0000724.26	OG0001324.24	OG0014172.0
1.504736314660573	-0.29582546557019246	-0.7741641362654292	0.49377819378233795	0.025267493493850858
OG0000010.475	OG0003341.0	OG0001723.0	OG0001450.26	OG0001766.6
1.4405435137249594	2.4410891109254793	-1.0060332061052872	-1.3265911707125053	0.5333193508137088
OG0015186.2	OG0001488.22	OG0001567.1	OG0000853.1	OG0000056.0
0.8551736594935451	-0.09146139526022205	-0.8618163367911472	0.34103807551013154	1.4780772145231542
OG0008707.0	OG0000698.19	OG0000931.1	OG0001286.24	OG0000038.0
0.37734138125333955	-0.714282402270904	-0.0699075061109925	-1.6407746467295568	1.194228300642796
OG0001315.24	OG0001292.1	OG0018076.2	OG0000459.0	OG0000056.0
-1.3448148462715572	-0.7718788889554031	2.5292249893794008	0.5083831565304997	1.4780772145231542
OG0000886.24	OG0000001.1420	OG0000042.23	OG0017858.0	OG0002007.0
0.6611774114998965	1.5827312540510659	-0.5045080699318825	1.6822446997654341	-0.03483515762688795
OG0000010.475	OG0002252.0	OG0001032.24	OG0001573.24	OG0021460.0
1.4405435137249594	-0.006720336416998766	-0.32684440003466975	0.10731852293785009	1.881043545550709
OG0001226.24	OG0000678.1	OG0002123.0	OG0000082.1	OG0014722.4
-1.7499056623227647	-0.38435167270639126	-0.328297544376391	-0.9020258325209504	2.907085216112915
OG0002077.0	OG0007293.0	OG0000032.252	OG0000854.30	OG0000677.1
1.101124197534451	1.2074947364740696	1.467053296073294	-0.3671432417610044	-0.32506476923952754
OG0002079.0	OG0006927.0	OG0000780.24	OG0000001.1420	OG0001958.0
-0.009888577314255386	1.5835969327770516	0.15038513508626938	1.5827312540510659	1.081976504540095
OG0001061.24	OG0001157.1	OG0000018.289	OG0015279.0	OG0002094.0
-1.4042935026717356	-0.7074773290976908	0.9574845896976967	1.4023133995337076	0.43658915260567455
OG0001819.6	OG0000026.45	OG0001942.0	OG0001361.1	OG0010880.0
0.35299434422365894	1.504736314660573	0.7611175734154494	-0.07758987915546303	0.6929900695235427
OG0014816.4	OG0001870.2	OG0000038.0	OG0002145.0	OG0001355.24
0.21340089960936154	0.6090595419826921	1.194228300642796	0.23462188835419825	0.0013638265879030546
OG0000010.475	OG0000396.79	OG0001093.24	OG0001993.0	OG0006773.2
1.4405435137249594	-1.1471173742872904	-0.23512159141890193	0.164477459511357	-0.6972347154126943
OG0000010.475	OG0000501.29	OG0013950.6	OG0001886.0	OG0001172.24
1.4405435137249594	-0.1571250871027652	3.282776313553831	0.3654882205748832	-0.30804338680614723
OG0000054.0	OG0008252.2	OG0000441.96	OG0001351.24	OG0001912.0
1.6080288498221549	0.7990087708574061	-0.5727254127502814	0.22725815710999397	0.181908827154855
OG0001228.1	OG0001150.24	OG0018392.0	OG0000892.1	OG0000082.1
-0.42904120221350267	-0.9568100529400029	3.3095310046976345	0.9105470569113113	-0.9020258325209504
OG0002066.0	OG0011886.0	OG0001162.22	OG0000082.1	OG0001102.24
0.33026976371274863	1.510791933327003	-0.03945915944421847	-0.9020258325209504	-0.7706344384099018
OG0002186.0	OG0001090.26	OG0008230.0	OG0000082.1	OG0001073.24
0.7745001594688585	0.5279419527803271	1.1852135854980124	-0.9020258325209504	-0.43909568056152115
OG0000620.56	OG0001546.1	OG0001519.24	OG0012705.8	OG0000012.918
0.25983917299069226	-0.36213526362009923	0.0714504127287138	0.820747333436376	1.368747872415985
OG0000010.475	OG0001023.7	OG0014661.1	OG0001236.24	OG0001156.1
1.4405435137249594	-0.03883346073148525	1.513302591705462	-1.3501164893726014	0.3042500625835593
OG0001299.24	OG0000002.1788	OG0000704.0	OG0017978.2	OG0001959.2
-1.0193573449662414	1.746650791048037	-0.013280003143531394	0.10149705103605512	0.08525674669063386
OG0013202.0	OG0000011.1	OG0001303.26	OG0001408.24	OG0001434.24
1.5842307265446824	2.0510426948705494	0.2602694722574072	-0.7755586143877305	-1.3407618336730422
OG0000479.1	OG0000038.0	OG0000728.24	OG0001235.24	OG0014687.1
0.11216838106122422	1.194228300642796	0.5085817378574989	-0.007923935436447097	1.0796083536356
OG0001061.24	OG0014593.0	OG0002128.0	OG0000964.2	OG0000006.561
-1.4042935026717356	0.1668331197104742	0.3070710540339263	-0.34048175420152044	1.2639616754823781
OG0000797.20	OG0000038.0	OG0000954.24	OG0013173.1	OG0002153.0
-0.32431443842307495	1.194228300642796	0.2800380741307488	1.1156027095009142	-0.4064215078683299
OG0000007.976	OG0000830.1	OG0015387.0	OG0002087.0	OG0001123.1
1.1320623810661192	-0.8805870164939731	1.1687033700762735	-0.11311773471205322	-0.9438304051378357
OG0001408.24	OG0021967.0	OG0000038.0	OG0001737.0	OG0001180.24
-0.7755586143877305	2.3786877351110483	1.194228300642796	-1.582902021756325	-0.8673795185821486
OG0001334.24	OG0001935.0	OG0000038.0	OG0001866.0	OG0007320.10
-0.8281905518082956	0.33075417647973887	1.194228300642796	1.3806773274770616	-0.08749426164037866
OG0000372.92	OG0001937.2	OG0000026.45	OG0010528.1	OG0001335.24
-0.3633098914085541	-1.0869725014726679	1.504736314660573	2.2867105259347387	-1.4494861027414327
