OG0012926.0	OG0001643.24	OG0001566.2	OG0001698.26	OG0000027.457
1.5978896074000002	0.192877343808	0.7248987999335	0.363416734626	0.6412004016185
OG0000011.1	OG0001960.2	OG0001348.24	OG0014643.4	OG0002120.0
1.80099202418	0.469620135625	0.578089674815	0.3610826570699999	0.36094108403999997
OG0000007.976	OG0001962.0	OG0000908.24	OG0018072.2	OG0000911.3
1.31363662791	0.614682914711	0.474688577068	0.23706092938499998	0.613023164768
OG0000026.45	OG0000473.17	OG0000724.26	OG0001324.24	OG0014172.0
1.598958773878	0.485083599036	0.33510922971	0.6175317077260001	0.6849796597679999
OG0000010.475	OG0003341.0	OG0001723.0	OG0001450.26	OG0001766.6
1.0563396006855001	1.04606042515	0.21482277229200003	0.188055776242	0.9626013032619999
OG0015186.2	OG0001488.22	OG0001567.1	OG0000853.1	OG0000056.0
0.591518525656	0.275763341609	0.1616891407855	0.714749506629	1.247413416633
OG0008707.0	OG0000698.19	OG0000931.1	OG0001286.24	OG0000038.0
0.291563458953	0.203715704669	0.396681856454	0.17356029783399998	1.134143995644
OG0001315.24	OG0001292.1	OG0018076.2	OG0000459.0	OG0000056.0
0.18820053405	0.330222250567	0.5719790366899999	0.796660641365	1.247413416633
OG0000886.24	OG0000001.1420	OG0000042.23	OG0017858.0	OG0002007.0
0.493251274661	1.280101001299	0.335971528587	0.7991790409980001	0.329345324935
OG0000010.475	OG0002252.0	OG0001032.24	OG0001573.24	OG0021460.0
1.0563396006855001	0.412150910449	0.326703663868	0.533526138258	1.800931171231
OG0001226.24	OG0000678.1	OG0002123.0	OG0000082.1	OG0014722.4
0.14330937104900002	0.317928910127	0.323522754474	0.273780212428	0.783130785116
OG0002077.0	OG0007293.0	OG0000032.252	OG0000854.30	OG0000677.1
1.117149630953	0.444833057405	1.53053061817	0.356059136346	0.346651672755
OG0002079.0	OG0006927.0	OG0000780.24	OG0000001.1420	OG0001958.0
0.454925805736	0.595483074277	0.542917159011	1.280101001299	0.871875114113
OG0001061.24	OG0001157.1	OG0000018.289	OG0015279.0	OG0002094.0
0.18297277240899998	0.28073568356899997	0.8848256416485	0.112685145579	0.537645535759
OG0001819.6	OG0000026.45	OG0001942.0	OG0001361.1	OG0010880.0
0.390171510669	1.598958773878	0.8320302367219999	0.504524017014	1.001626437996
OG0014816.4	OG0001870.2	OG0000038.0	OG0002145.0	OG0001355.24
0.537138071307	0.7341858290889999	1.134143995644	0.653565441213	0.483649105806
OG0000010.475	OG0000396.79	OG0001093.24	OG0001993.0	OG0006773.2
1.0563396006855001	0.20107606809599998	0.382857346993	0.513507169564	0.439164727175
OG0000010.475	OG0000501.29	OG0013950.6	OG0001886.0	OG0001172.24
1.0563396006855001	0.499776409904	1.842376505066	0.362328732662	0.35589518119999997
OG0000054.0	OG0008252.2	OG0000441.96	OG0001351.24	OG0001912.0
1.240856633142	0.31840382277699997	0.30835831298	0.472847961328	0.47061679877400003
OG0001228.1	OG0001150.24	OG0018392.0	OG0000892.1	OG0000082.1
0.34203789019599995	0.194025410407	0.571198894994	0.8992317746240001	0.273780212428
OG0002066.0	OG0011886.0	OG0001162.22	OG0000082.1	OG0001102.24
0.632503390338	2.0257998964610002	0.39390195979450005	0.273780212428	0.23763994710900002
OG0002186.0	OG0001090.26	OG0008230.0	OG0000082.1	OG0001073.24
0.736761551909	0.622920767842	0.43801548731600004	0.273780212428	0.3376249483325
OG0000620.56	OG0001546.1	OG0001519.24	OG0012705.8	OG0000012.918
0.5657302868399999	0.27772438661	0.428826359063	1.244895107726	1.5251989629865
OG0000010.475	OG0001023.7	OG0014661.1	OG0001236.24	OG0001156.1
1.0563396006855001	0.38112816487850004	0.279226551636	0.11555002229599999	0.5206555832299999
OG0001299.24	OG0000002.1788	OG0000704.0	OG0017978.2	OG0001959.2
0.300567048288	1.509660930637	0.39093996117700003	0.10149128874600001	0.450699284111
OG0013202.0	OG0000011.1	OG0001303.26	OG0001408.24	OG0001434.24
2.124768650426	1.80099202418	0.471796301672	0.309003184511	0.25378155902
OG0000479.1	OG0000038.0	OG0000728.24	OG0001235.24	OG0014687.1
0.37546443111999994	1.134143995644	0.804706613654	0.46463321696800003	0.206726619491
OG0001061.24	OG0014593.0	OG0002128.0	OG0000964.2	OG0000006.561
0.18297277240899998	0.7486124322759999	0.634188956433	0.37422041405900003	1.331800867994
OG0000797.20	OG0000038.0	OG0000954.24	OG0013173.1	OG0002153.0
0.315289940498	1.134143995644	0.5481847027960001	0.130726817412	0.362090953058
OG0000007.976	OG0000830.1	OG0015387.0	OG0002087.0	OG0001123.1
1.31363662791	0.166494809908	0.668968702799	0.48748225359499997	0.252791608569
OG0001408.24	OG0021967.0	OG0000038.0	OG0001737.0	OG0001180.24
0.309003184511	0.9929162197779999	1.134143995644	0.164808204966	0.24732823820900002
OG0001334.24	OG0001935.0	OG0000038.0	OG0001866.0	OG0007320.10
0.263304278403	0.676962264309	1.134143995644	1.3342426205220002	0.156733875617
OG0000372.92	OG0001937.2	OG0000026.45	OG0010528.1	OG0001335.24
0.319078755349	0.21117670843199998	1.598958773878	1.500230067494	0.175578000388
OG0002211.0	OG0002048.0	OG0001593.20	OG0010676.1	OG0000006.561
0.485937128147	1.027244570468	0.326588815822	0.644460805723	1.331800867994
OG0000007.976	OG0001921.0	OG0000149.1	OG0001423.30	OG0002023.0
1.31363662791	0.876181474585	1.551083867669	0.245440991774	0.72903056263
OG0009269.4	OG0001256.24	OG0000082.1	OG0002082.0	OG0001849.0
0.9596637549089999	0.279329347597	0.273780212428	0.6425211170180001	0.5723174229119999
OG0001363.24	OG0008282.0	OG0000428.54	OG0000038.0	OG0002243.0
0.8167579735330001	0.594819111132	0.327245416882	1.134143995644	0.28134548922499997
OG0000011.1	OG0001216.24	OG0001221.1	OG0021380.0	OG0001878.2
