	1021	3841	CCGE532	CCGM7	CCNWGS0123	CFN42	CIAT899	HAMBI540	IE4803	IRBG74	LMTR13	MAFF303099	Mim1	N161	N561	NGR234	NXC24	ORS2060	ORS285	ORS571	R602	USDA110	USDA6	WSM1325	WSM2073	WSM2304	WSM419
1021	1.0	0.2	0.2	0.4	0.2	0.4	0.2	0.4	0.4	0.2	0.4	0.4	0.4	0.2	0.2	0.2	0.4	0.2	0.2	0.2	0.4	0.2	0.4	0.6	0.4	0.4	0.8
3841	0.2	1.0	1.0	0.5	1.0	0.5	1.0	0.5	0.5	1.0	0.5	0.5	0.5	1.0	1.0	1.0	0.5	1.0	1.0	1.0	0.5	1.0	0.5	0.3333333333333333	0.5	0.5	0.25
CCGE532	0.2	1.0	1.0	0.5	1.0	0.5	1.0	0.5	0.5	1.0	0.5	0.5	0.5	1.0	1.0	1.0	0.5	1.0	1.0	1.0	0.5	1.0	0.5	0.3333333333333333	0.5	0.5	0.25
CCGM7	0.4	0.5	0.5	1.0	0.5	1.0	0.5	1.0	1.0	0.5	0.3333333333333333	1.0	1.0	0.5	0.5	0.5	1.0	0.5	0.5	0.5	1.0	0.5	0.3333333333333333	0.6666666666666666	1.0	1.0	0.5
CCNWGS0123	0.2	1.0	1.0	0.5	1.0	0.5	1.0	0.5	0.5	1.0	0.5	0.5	0.5	1.0	1.0	1.0	0.5	1.0	1.0	1.0	0.5	1.0	0.5	0.3333333333333333	0.5	0.5	0.25
CFN42	0.4	0.5	0.5	1.0	0.5	1.0	0.5	1.0	1.0	0.5	0.3333333333333333	1.0	1.0	0.5	0.5	0.5	1.0	0.5	0.5	0.5	1.0	0.5	0.3333333333333333	0.6666666666666666	1.0	1.0	0.5
CIAT899	0.2	1.0	1.0	0.5	1.0	0.5	1.0	0.5	0.5	1.0	0.5	0.5	0.5	1.0	1.0	1.0	0.5	1.0	1.0	1.0	0.5	1.0	0.5	0.3333333333333333	0.5	0.5	0.25
HAMBI540	0.4	0.5	0.5	1.0	0.5	1.0	0.5	1.0	1.0	0.5	0.3333333333333333	1.0	1.0	0.5	0.5	0.5	1.0	0.5	0.5	0.5	1.0	0.5	0.3333333333333333	0.6666666666666666	1.0	1.0	0.5
IE4803	0.4	0.5	0.5	1.0	0.5	1.0	0.5	1.0	1.0	0.5	0.3333333333333333	1.0	1.0	0.5	0.5	0.5	1.0	0.5	0.5	0.5	1.0	0.5	0.3333333333333333	0.6666666666666666	1.0	1.0	0.5
IRBG74	0.2	1.0	1.0	0.5	1.0	0.5	1.0	0.5	0.5	1.0	0.5	0.5	0.5	1.0	1.0	1.0	0.5	1.0	1.0	1.0	0.5	1.0	0.5	0.3333333333333333	0.5	0.5	0.25
LMTR13	0.4	0.5	0.5	0.3333333333333333	0.5	0.3333333333333333	0.5	0.3333333333333333	0.3333333333333333	0.5	1.0	0.3333333333333333	0.3333333333333333	0.5	0.5	0.5	0.3333333333333333	0.5	0.5	0.5	0.3333333333333333	0.5	1.0	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.5
MAFF303099	0.4	0.5	0.5	1.0	0.5	1.0	0.5	1.0	1.0	0.5	0.3333333333333333	1.0	1.0	0.5	0.5	0.5	1.0	0.5	0.5	0.5	1.0	0.5	0.3333333333333333	0.6666666666666666	1.0	1.0	0.5
Mim1	0.4	0.5	0.5	1.0	0.5	1.0	0.5	1.0	1.0	0.5	0.3333333333333333	1.0	1.0	0.5	0.5	0.5	1.0	0.5	0.5	0.5	1.0	0.5	0.3333333333333333	0.6666666666666666	1.0	1.0	0.5
N161	0.2	1.0	1.0	0.5	1.0	0.5	1.0	0.5	0.5	1.0	0.5	0.5	0.5	1.0	1.0	1.0	0.5	1.0	1.0	1.0	0.5	1.0	0.5	0.3333333333333333	0.5	0.5	0.25
N561	0.2	1.0	1.0	0.5	1.0	0.5	1.0	0.5	0.5	1.0	0.5	0.5	0.5	1.0	1.0	1.0	0.5	1.0	1.0	1.0	0.5	1.0	0.5	0.3333333333333333	0.5	0.5	0.25
NGR234	0.2	1.0	1.0	0.5	1.0	0.5	1.0	0.5	0.5	1.0	0.5	0.5	0.5	1.0	1.0	1.0	0.5	1.0	1.0	1.0	0.5	1.0	0.5	0.3333333333333333	0.5	0.5	0.25
NXC24	0.4	0.5	0.5	1.0	0.5	1.0	0.5	1.0	1.0	0.5	0.3333333333333333	1.0	1.0	0.5	0.5	0.5	1.0	0.5	0.5	0.5	1.0	0.5	0.3333333333333333	0.6666666666666666	1.0	1.0	0.5
ORS2060	0.2	1.0	1.0	0.5	1.0	0.5	1.0	0.5	0.5	1.0	0.5	0.5	0.5	1.0	1.0	1.0	0.5	1.0	1.0	1.0	0.5	1.0	0.5	0.3333333333333333	0.5	0.5	0.25
ORS285	0.2	1.0	1.0	0.5	1.0	0.5	1.0	0.5	0.5	1.0	0.5	0.5	0.5	1.0	1.0	1.0	0.5	1.0	1.0	1.0	0.5	1.0	0.5	0.3333333333333333	0.5	0.5	0.25
ORS571	0.2	1.0	1.0	0.5	1.0	0.5	1.0	0.5	0.5	1.0	0.5	0.5	0.5	1.0	1.0	1.0	0.5	1.0	1.0	1.0	0.5	1.0	0.5	0.3333333333333333	0.5	0.5	0.25
R602	0.4	0.5	0.5	1.0	0.5	1.0	0.5	1.0	1.0	0.5	0.3333333333333333	1.0	1.0	0.5	0.5	0.5	1.0	0.5	0.5	0.5	1.0	0.5	0.3333333333333333	0.6666666666666666	1.0	1.0	0.5
USDA110	0.2	1.0	1.0	0.5	1.0	0.5	1.0	0.5	0.5	1.0	0.5	0.5	0.5	1.0	1.0	1.0	0.5	1.0	1.0	1.0	0.5	1.0	0.5	0.3333333333333333	0.5	0.5	0.25
USDA6	0.4	0.5	0.5	0.3333333333333333	0.5	0.3333333333333333	0.5	0.3333333333333333	0.3333333333333333	0.5	1.0	0.3333333333333333	0.3333333333333333	0.5	0.5	0.5	0.3333333333333333	0.5	0.5	0.5	0.3333333333333333	0.5	1.0	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.5
WSM1325	0.6	0.3333333333333333	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.6666666666666666	0.6666666666666666	0.3333333333333333	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.6666666666666666	1.0	0.6666666666666666	0.6666666666666666	0.75
WSM2073	0.4	0.5	0.5	1.0	0.5	1.0	0.5	1.0	1.0	0.5	0.3333333333333333	1.0	1.0	0.5	0.5	0.5	1.0	0.5	0.5	0.5	1.0	0.5	0.3333333333333333	0.6666666666666666	1.0	1.0	0.5
WSM2304	0.4	0.5	0.5	1.0	0.5	1.0	0.5	1.0	1.0	0.5	0.3333333333333333	1.0	1.0	0.5	0.5	0.5	1.0	0.5	0.5	0.5	1.0	0.5	0.3333333333333333	0.6666666666666666	1.0	1.0	0.5
WSM419	0.8	0.25	0.25	0.5	0.25	0.5	0.25	0.5	0.5	0.25	0.5	0.5	0.5	0.25	0.25	0.25	0.5	0.25	0.25	0.25	0.5	0.25	0.5	0.75	0.5	0.5	1.0
