OG0012896.0	OG0000471.2	OG0004710.2
1.1306889999999998	nan	0.15399549999999998
OG0011344.2	OG0004022.8	OG0000002.763
2.2503490000000004	0.8695676	nan
OG0011881.8	OG0000022.878	OG0000206.0
1.024325	0.6955906999999999	nan
OG0004622.6	OG0000186.266	OG0000046.1
0.9983021000000001	3.280649	nan
OG0003118.5	OG0000359.28	OG0012157.2
0.215508	nan	1.106414
OG0004406.0	OG0000276.72	OG0004620.0
2.502159	nan	nan
OG0000420.0	OG0006009.0	OG0006412.3
nan	183.6998	1.238142
OG0007458.0	OG0009251.1	OG0000225.48
2.34553	1.1226639999999999	nan
OG0006175.0	OG0003258.3	OG0000125.49
6.499892	1.8895950000000001	nan
OG0000018.1	OG0004738.6	OG0000042.185
nan	5.562985	3.754576
OG0000062.12	OG0005477.0	OG0008453.0
nan	3.4073559999999996	3.1735830000000003
OG0005759.6	OG0000263.57	OG0006086.0
27.37267	nan	1.9902990000000003
OG0006471.8	OG0007818.0	OG0000364.1
1.131486	5.2483900000000006	nan
OG0005855.0	OG0000048.122	OG0004208.2
1.0554059999999998	nan	2.564811
OG0007486.2	OG0000160.4	OG0013035.0
3.813998	nan	2.225043
OG0012996.0	OG0000279.0	OG0007538.2
2.971646	nan	3.7936360000000002
OG0000188.1	OG0004386.2	OG0004854.4
nan	26.25378	1.4815120000000002
OG0000044.1	OG0003102.40	OG0006349.2
nan	168.0016	4.5670980000000005
OG0005696.4	OG0000014.1	OG0006725.0
2.84135	nan	3.793627
OG0005845.2	OG0006425.0	OG0000336.0
4.22853	1.131925	nan
OG0008528.0	OG0007191.0	OG0000014.1
0.5339144	3.362117	nan
OG0005846.2	OG0012177.2	OG0000088.3
4.199369	1.349524	nan
OG0000180.0	OG0007348.0	OG0007163.2
nan	3.60848	5.209328
OG0000180.0	OG0003511.4	OG0005146.0
nan	4.102072	1.1254790000000001
OG0005717.2	OG0000785.2	OG0003390.22
13.888710000000001	nan	1.137365
OG0003559.24	OG0000276.72	OG0005701.4
26.114720000000002	nan	2.665883
OG0000256.24	OG0008453.0	OG0005285.0
nan	3.1735830000000003	3.349043
OG0000092.1	OG0004280.1	OG0005285.0
nan	26.946040000000004	3.349043
OG0005845.2	OG0013058.0	OG0000204.2
4.22853	2.725829	nan
OG0004204.4	OG0000225.48	OG0004274.22
0.2828716	nan	13.862960000000001
OG0000018.1	OG0000066.1	OG0010700.2
nan	12.73732	2.1667799999999997
OG0004631.4	OG0011476.0	OG0000034.305
0.6247626000000001	1.212248	nan
OG0000018.1	OG0009267.0	OG0003729.6
nan	3.558292	0.2153482
OG0000403.25	OG0010524.6	OG0004622.6
nan	1.8827180000000001	0.9983021000000001
OG0000180.0	OG0005758.2	OG0003375.2
nan	13.975629999999999	4.098201
OG0004387.2	OG0000012.581	OG0000188.1
26.608659999999997	1.938866	nan
OG0002959.32	OG0000059.133	OG0010621.0
1.261211	nan	2.565455
OG0004290.0	OG0000088.3	OG0012098.2
1.621918	nan	1.094371
OG0006017.0	OG0000088.3	OG0004090.26
28.026159999999997	nan	4.207705000000001
OG0000261.0	OG0005248.24	OG0006392.0
nan	3.0101009999999997	2.337082
OG0000188.1	OG0011968.0	OG0003040.0
nan	nan	4.024359
OG0003726.42	OG0000000.2172	OG0000272.36
5.330048000000001	0.7573183000000001	nan
OG0000183.0	OG0005854.2	OG0000323.172
nan	4.137123	182.5085
OG0008698.0	OG0000018.1	OG0004503.8
0.9052872999999999	nan	0.9926476999999999
OG0004949.2	OG0000223.2	OG0012201.0
1.100107	nan	4.749785
OG0007196.4	OG0007072.0	OG0000256.24
nan	4.049892	nan
OG0000257.0	OG0007803.0	OG0013502.0
nan	3.824325	1.661914
OG0000869.2	OG0004207.12	OG0012157.2
nan	3.5743669999999996	1.106414
OG0000869.2	OG0010617.4	OG0003358.3
nan	1.612417	0.11851410000000001
OG0000042.314	OG0009842.2	OG0005619.0
nan	4.397002	12.3733
OG0004347.0	OG0005949.0	OG0000223.2
nan	nan	nan
OG0000584.0	OG0004124.0	OG0009005.0
nan	2.066031	1.694834
OG0000302.34	OG0005384.1	OG0003543.0
nan	14.066770000000002	0.5148419
OG0005824.0	OG0000110.3	OG0012227.0
12.31912	nan	1.555233
OG0005248.24	OG0006393.0	OG0000147.0
3.0101009999999997	2.3376770000000002	nan
OG0007411.0	OG0007822.0	OG0000147.0
1.5231139999999999	10.91375	nan
OG0000014.1	OG0010773.2	OG0003661.0
nan	2.023469	95.4282
OG0004758.4	OG0000092.1	OG0009267.0
2.832169	nan	3.558292
OG0000204.2	OG0005854.2	OG0011459.1
nan	4.137123	2.266366
OG0003189.0	OG0000584.0	OG0007146.0
26.703290000000003	nan	2.417595
OG0007539.0	OG0005384.1	OG0000001.2899
2.57999	14.066770000000002	nan
OG0000302.34	OG0004989.0	OG0003838.7
nan	45.42072	0.9804388
OG0000750.0	OG0008528.0	OG0007191.0
nan	0.5339144	3.362117
OG0005696.4	OG0000272.36	OG0006650.0
2.84135	nan	186.7855
OG0005977.0	OG0000160.4	OG0005851.2
14.017710000000001	nan	4.245092
OG0006014.0	OG0005428.4	OG0000147.0
26.418590000000002	1.05593	nan
OG0000403.25	OG0010622.0	OG0004951.0
nan	2.995344	2.860731
OG0000364.1	OG0006964.0	OG0005491.2
nan	25.687910000000002	3.158199
OG0005687.4	OG0013513.2	OG0000256.24
3.8372919999999997	2.073022	nan
OG0005501.1	OG0000120.105	OG0005570.0
1.9751	nan	26.08632
OG0000257.0	OG0006000.0	OG0005285.0
nan	13.892479999999999	3.349043
OG0000290.0	OG0004362.4	OG0006290.0
nan	0.8052608	26.385440000000003
OG0000207.240	OG0000599.0	OG0005548.4
1.617584	nan	14.05685
OG0000180.0	OG0004207.12	OG0009011.0
nan	3.5743669999999996	2.57058
OG0000034.305	OG0014589.0	OG0006388.0
nan	2.05119	0.9466941999999999
OG0000869.2	OG0005869.0	OG0010636.0
nan	2.125954	2.867265
OG0007539.0	OG0004910.0	OG0000198.0
2.57999	184.1852	nan
OG0006190.0	OG0007473.0	OG0000175.4
186.7666	nan	nan
OG0000207.240	OG0000431.12	OG0005926.0
1.617584	nan	1.073356
OG0005687.4	OG0000228.35	OG0000302.34
