OG0012896.0	OG0000471.2	OG0022825.0	OG0004710.2	OG0016785.2
2.9455225643395324	4.959066512187899	nan	4.392777449539969	-1.1496317731419636
OG0011486.5	OG0011344.2	OG0004022.8	OG0010170.14	OG0000002.763
-0.19501191500023962	1.0393605430519892	5.5234506083054224	nan	7.319969122859825
OG0011881.8	OG0000022.878	OG0019271.0	OG0057202.0	OG0000206.0
0.8545396529206946	3.37405371232114	2.680714371136899	nan	7.477226549593553
OG0004622.6	OG0000186.266	OG0047073.0	OG0022618.0	OG0000046.1
3.8773677492624716	0.14229144808687902	nan	-13.287712379549449	5.870703535981893
OG0003118.5	OG0045196.0	OG0014346.0	OG0000359.28	OG0012157.2
5.28041718931687	nan	1.109851597692853	7.74452267107974	0.8890395648652512
OG0004406.0	OG0018950.4	OG0000276.72	OG0014983.3	OG0004620.0
1.8963970855705325	1.8492006862747672	4.246636946294859	nan	6.601641379271008
OG0008056.1	OG0047437.0	OG0000420.0	OG0006009.0	OG0006412.3
1.2264916662300491	nan	7.583796104199324	0.30082941450719813	1.5284331260829924
OG0017958.3	OG0007458.0	OG0009251.1	OG0000225.48	OG0043623.0
0.39283663245628136	2.6531070109900052	1.3272995879699574	7.056858061644441	nan
OG0006175.0	OG0005346.24	OG0003258.3	OG0000125.49	OG0019480.0
1.8844535547446202	-0.049816521987779507	1.0187424938982592	5.070829990218343	nan
OG0000018.1	OG0004738.6	OG0000042.185	OG0015333.0	OG0037725.0
5.3560966614625976	4.216028560716704	4.607742228385906	0.13647185512402943	nan
OG0000062.12	OG0028345.0	OG0005477.0	OG0008453.0	OG0010499.16
5.874710367217308	nan	2.8187595551494975	2.2952064125078904	1.3274951188144852
OG0005759.6	OG0000263.57	OG0041783.0	OG0015187.4	OG0006086.0
3.294198136852721	0.46721315263799074	nan	-2.240399055911864	5.765983460971429
OG0041772.0	OG0020944.0	OG0006471.8	OG0007818.0	OG0000364.1
nan	0.8452817243756403	-0.7679333344665025	0.8018321434889519	7.786821281785832
OG0020543.0	OG0005855.0	OG0000048.122	OG0028873.0	OG0004208.2
1.9716808744018512	1.108270845735929	7.057372382780267	nan	2.853698434435601
OG0044717.0	OG0015711.2	OG0007486.2	OG0000160.4	OG0013035.0
nan	2.2944822597766668	2.1268359635271636	7.561091394683692	3.3091416300510135
OG0012996.0	OG0000279.0	OG0007538.2	OG0024478.0	OG0056933.0
2.574710354495945	5.061278176866655	2.556514167703466	0.46117968304378365	nan
OG0000104.79	OG0000188.1	OG0004386.2	OG0006936.0	OG0004854.4
nan	7.652604043299282	4.244399007394065	0.3453647571343193	4.427498098094748
OG0000044.1	OG0027100.0	OG0003102.40	OG0015254.6	OG0006349.2
6.606838137470721	nan	1.7809521686393983	1.9882189276058926	4.0899276436236605
OG0005696.4	OG0018632.3	OG0000014.1	OG0006725.0	OG0024663.0
2.535939708016824	1.29000247343993	4.6892493121695615	0.45497870508052807	nan
OG0005845.2	OG0006425.0	OG0057335.0	OG0000336.0	OG0027523.0
1.4144416551683738	3.2331685929450367	nan	7.210301562029272	1.4193998320414543
OG0008528.0	OG0024783.0	OG0007191.0	OG0000014.1	OG0043509.0
3.656561895376621	2.206420945659416	2.238986354676548	4.6892493121695615	nan
OG0005846.2	OG0012177.2	OG0017997.4	OG0041546.0	OG0000088.3
1.8739084637848054	1.0380622153865702	1.4272987297169928	nan	8.15448337531843
OG0000180.0	OG0027819.0	OG0007348.0	OG0007163.2	OG0014417.1
6.151833733811486	nan	2.343419286853157	0.6868392491298859	1.5362106018438746
OG0000180.0	OG0003511.4	OG0005146.0	OG0004972.1	OG0027595.0
6.151833733811486	3.7139995356169324	1.0906837686422683	nan	-0.5757865808319257
OG0005717.2	OG0000785.2	OG0014018.2	OG0045623.0	OG0003390.22
1.5841181816926613	7.277426743372151	2.004722215849724	nan	2.9677249356108732
OG0003559.24	OG0027666.0	OG0000276.72	OG0019704.0	OG0005701.4
4.308166568031964	3.4655589291124502	4.246636946294859	nan	4.1554319343063915
OG0047536.0	OG0000256.24	OG0024538.0	OG0008453.0	OG0005285.0
nan	7.923545600875363	-13.287712379549449	2.2952064125078904	0.74996283172364
OG0017825.2	OG0000092.1	OG0004280.1	OG0044577.0	OG0005285.0
2.023605278294129	7.35739525784662	0.46370780020009467	nan	0.74996283172364
OG0005845.2	OG0013058.0	OG0000204.2	OG0013440.5	OG0012991.1
