OG0012896.0	OG0000471.2	OG0022825.0	OG0004710.2	OG0016785.2
1.057877257780895	-0.4219138979696112	nan	0.9502230325553657	-1.1496317731419636
OG0011486.5	OG0011344.2	OG0004022.8	OG0010170.14	OG0000002.763
-0.19501191500023962	0.9660119063350485	1.683933971494993	nan	1.0483412503915566
OG0011881.8	OG0000022.878	OG0019271.0	OG0057202.0	OG0000206.0
0.569690363654585	1.120845425519538	2.680714371136899	nan	0.9779949259616734
OG0004622.6	OG0000186.266	OG0047073.0	OG0022618.0	OG0000046.1
-0.8463681932752819	-0.6433369426341856	nan	-13.287712379549449	0.6995852988118124
OG0003118.5	OG0045196.0	OG0014346.0	OG0000359.28	OG0012157.2
0.8872069203580911	nan	1.109851597692853	1.1005795226002013	0.7807561733092003
OG0004406.0	OG0018950.4	OG0000276.72	OG0014983.3	OG0004620.0
0.9467729041455477	1.8492006862747672	0.20658904468242925	nan	1.880732586270918
OG0008056.1	OG0047437.0	OG0000420.0	OG0006009.0	OG0006412.3
1.2264916662300491	nan	0.9342960975731764	0.09382103968435061	-0.5153169099901841
OG0017958.3	OG0007458.0	OG0009251.1	OG0000225.48	OG0043623.0
0.39283663245628136	2.1258157699483853	0.6624993319722728	0.6293536164857614	nan
OG0006175.0	OG0005346.24	OG0003258.3	OG0000125.49	OG0019480.0
0.513831552974428	-0.049816521987779507	-0.5569967024471298	-0.6991636498543893	nan
OG0000018.1	OG0004738.6	OG0000042.185	OG0015333.0	OG0037725.0
0.6985172017973016	0.8469456493135765	0.1276904832015706	0.13647185512402943	nan
OG0000062.12	OG0028345.0	OG0005477.0	OG0008453.0	OG0010499.16
-1.5511254181862375	nan	0.8976254848526382	0.9136862923818803	1.3274951188144852
OG0005759.6	OG0000263.57	OG0041783.0	OG0015187.4	OG0006086.0
1.5233943117641937	-2.402739322484371	nan	-2.240399055911864	1.8096726668812928
OG0041772.0	OG0020944.0	OG0006471.8	OG0007818.0	OG0000364.1
nan	0.8452817243756403	-1.3013205842216595	-0.5810784413851342	1.6170964088847648
OG0020543.0	OG0005855.0	OG0000048.122	OG0028873.0	OG0004208.2
1.9716808744018512	0.4664415356136513	-0.09661537444470816	nan	0.6455695155902664
OG0044717.0	OG0015711.2	OG0007486.2	OG0000160.4	OG0013035.0
nan	2.2944822597766668	0.6937447576065998	1.1286760610613544	2.625827579851719
OG0012996.0	OG0000279.0	OG0007538.2	OG0024478.0	OG0056933.0
2.2113061862211767	0.5294015602184245	1.6970660763483307	0.46117968304378365	nan
OG0000104.79	OG0000188.1	OG0004386.2	OG0006936.0	OG0004854.4
nan	1.4042568241362623	1.7553788618934247	0.3453647571343193	1.0987765532412173
OG0000044.1	OG0027100.0	OG0003102.40	OG0015254.6	OG0006349.2
0.4457415121066777	nan	-0.2502555172443695	1.9882189276058926	0.9277460250398529
OG0005696.4	OG0018632.3	OG0000014.1	OG0006725.0	OG0024663.0
1.3678543824753253	1.29000247343993	0.02735979221697928	-0.08471554587934535	nan
OG0005845.2	OG0006425.0	OG0057335.0	OG0000336.0	OG0027523.0
-0.8894722642437524	1.4295751695471097	nan	0.513388932651857	1.4193998320414543
OG0008528.0	OG0024783.0	OG0007191.0	OG0000014.1	OG0043509.0
1.4253083180319321	2.206420945659416	1.0890247750805935	0.02735979221697928	nan
OG0005846.2	OG0012177.2	OG0017997.4	OG0041546.0	OG0000088.3
0.3685276157661109	0.42659476884947406	1.4272987297169928	nan	1.2156770263296994
OG0000180.0	OG0027819.0	OG0007348.0	OG0007163.2	OG0014417.1
1.3621512852440558	nan	1.1863099370846322	0.222740986208706	1.5362106018438746
OG0000180.0	OG0003511.4	OG0005146.0	OG0004972.1	OG0027595.0
1.3621512852440558	0.18196723411533106	0.4059912068777199	nan	-0.5757865808319257
OG0005717.2	OG0000785.2	OG0014018.2	OG0045623.0	OG0003390.22
1.2430727495385259	1.3446554894409675	2.004722215849724	nan	0.7805148370550823
OG0003559.24	OG0027666.0	OG0000276.72	OG0019704.0	OG0005701.4
0.5293132548627346	3.4655589291124502	0.20658904468242925	nan	0.39331999511792265
OG0047536.0	OG0000256.24	OG0024538.0	OG0008453.0	OG0005285.0
nan	1.408744706767424	-13.287712379549449	0.9136862923818803	-0.38679427451306736
OG0017825.2	OG0000092.1	OG0004280.1	OG0044577.0	OG0005285.0
2.023605278294129	1.3056856842431328	-0.07212243379885484	nan	-0.38679427451306736
OG0005845.2	OG0013058.0	OG0000204.2	OG0013440.5	OG0012991.1
-0.8894722642437524	-1.6474829886850189	0.15919489252289842	1.923392628078077	nan
OG0004204.4	OG0000225.48	OG0004274.22	OG0027486.0	OG0025104.0
1.7005011613159178	0.6293536164857614	-0.07343715434489848	0.3941866937824821	nan
OG0000018.1	OG0046984.0	OG0000066.1	OG0010700.2	OG0012008.6
0.6985172017973016	nan	-0.31871776222021175	0.05046859023013817	0.3867225649941764
OG0004631.4	OG0011476.0	OG0000034.305	OG0034678.0	OG0011669.2
0.3239600375427093	0.5283212960366839	1.232136924922413	nan	1.2304232589639672
OG0048146.0	OG0000018.1	OG0025975.0	OG0009267.0	OG0003729.6
nan	0.6985172017973016	4.103177526059811	0.35120626636189406	1.028839369706319
OG0027108.0	OG0000403.25	OG0010524.6	OG0004622.6	OG0000371.137
nan	0.5362233855087336	1.0897593785949617	-0.8463681932752819	0.15256104407475873
OG0000180.0	OG0001597.32	OG0005758.2	OG0018359.4	OG0003375.2
1.3621512852440558	nan	0.8950329007408786	0.13469768213540834	0.4991234219051445
OG0007763.20	OG0004387.2	OG0000012.581	OG0000188.1	OG0015952.0
nan	1.2391589827223453	1.8113451039986888	1.4042568241362623	0.45320651947005264
OG0029003.0	OG0002959.32	OG0000059.133	OG0010621.0	OG0025954.0
-2.857099850259679	0.3179829840973029	1.0702504855069959	1.4344610738400743	nan
OG0004290.0	OG0028171.0	OG0024621.0	OG0000088.3	OG0012098.2
1.0498701349560404	nan	1.3454224238297892	1.2156770263296994	0.3410066274035165
OG0006017.0	OG0021464.0	OG0035578.0	OG0000088.3	OG0004090.26
0.8241237886539818	1.3043903525741838	nan	1.2156770263296994	-0.07758675327807327
OG0000261.0	OG0005248.24	OG0008376.3	OG0006392.0	OG0000175.187
0.7236934159911699	0.5040806707182797	nan	1.3372242263359393	0.39809542837016815
OG0000188.1	OG0008726.2	OG0011968.0	OG0003040.0	OG0027803.0
1.4042568241362623	0.07677782584837557	1.5126360863903194	-0.7077906163617149	nan
OG0003726.42	OG0027611.0	OG0000000.2172	OG0000272.36	OG0021228.0
0.6148091606531798	1.1145059867174876	-0.7131295855009672	0.013368042964791547	nan
OG0024575.0	OG0000183.0	OG0016708.7	OG0005854.2	OG0000323.172
2.426440357024143	0.9210535027066309	nan	-0.47738663708125695	-0.1491947304571349
OG0008698.0	OG0000018.1	OG0045700.0	OG0004503.8	OG0015773.2
0.6031127465598465	0.6985172017973016	nan	0.1348285679705548	1.8974414834481301
OG0004949.2	OG0008317.0	OG0048119.0	OG0000223.2	OG0012201.0
-0.7302818645719886	-0.03367145633403246	nan	0.8588592305144973	0.08189104218403138
OG0007196.4	OG0014134.1	OG0011989.1	OG0007072.0	OG0000256.24
1.0723971999167308	nan	-1.5760678883153076	0.6065682976471682	1.408744706767424
OG0000257.0	OG0019159.1	OG0007803.0	OG0020728.0	OG0013502.0
1.2083230786982155	nan	0.6999317975627152	0.8879293055983328	1.3196051118880043
OG0000869.2	OG0004207.12	OG0011897.10	OG0012157.2	OG0045697.0
-0.5600460737743269	1.6518184838487942	-0.6573687958961765	0.7807561733092003	nan
OG0000869.2	OG0010617.4	OG0035615.0	OG0003358.3	OG0013315.4
-0.5600460737743269	0.8212124986276859	nan	0.6142802939172921	0.20403233928768064
OG0000042.314	OG0002382.8	OG0009842.2	OG0005619.0	OG0024623.0
1.365775345578985	nan	0.906251414089254	-1.1683866901586635	2.758696639983027
OG0004347.0	OG0003743.1	OG0043435.0	OG0005949.0	OG0000223.2
0.10038767725510782	-0.2983104048227566	nan	0.793500681269548	0.8588592305144973
OG0026929.0	OG0000584.0	OG0004124.0	OG0009005.0	OG0057408.0
0.30154568007044036	-0.3097443973458422	1.1083844388735493	-1.1321380162089991	nan
OG0047396.0	OG0000302.34	OG0005384.1	OG0003543.0	OG0016008.4
nan	-0.013756112132353272	-1.3016790339403954	1.0183760251169987	-0.5332280554562518
OG0005824.0	OG0057576.0	OG0000110.3	OG0012227.0	OG0027566.0
-0.7495117994589828	nan	0.9316873825057359	1.346576255696812	3.954037375014184
OG0047592.0	OG0005248.24	OG0006393.0	OG0010139.0	OG0000147.0
nan	0.5040806707182797	0.8610897349357133	2.0407501175050813	-1.3435845591874631
OG0044197.0	OG0024570.0	OG0007411.0	OG0007822.0	OG0000147.0
nan	3.1806387546716968	1.3349196325176722	1.265746297160299	-1.3435845591874631
OG0037838.0	OG0000014.1	OG0010773.2	OG0003661.0	OG0011718.13
nan	0.02735979221697928	1.3271147824781309	0.23595873744897497	0.7001142554274316
OG0004758.4	OG0000092.1	OG0017484.2	OG0044086.0	OG0009267.0
-0.9129519914616506	1.3056856842431328	2.459381701022021	nan	0.35120626636189406
OG0045023.0	OG0000204.2	OG0005854.2	OG0017964.4	OG0011459.1
nan	0.15919489252289842	-0.47738663708125695	0.8639535729004768	2.4710779614941
OG0003189.0	OG0018431.0	OG0043618.0	OG0000584.0	OG0007146.0
0.5257818975920752	-0.6037098358336374	nan	-0.3097443973458422	1.894484046390943
OG0007539.0	OG0005384.1	OG0016889.0	OG0000001.2899	OG0007096.15
1.7226527857630956	-1.3016790339403954	2.041825250162092	1.1156125677639233	nan
OG0000302.34	OG0019368.0	OG0043997.0	OG0004989.0	OG0003838.7
-0.013756112132353272	-0.5968734417312522	nan	1.3128249454430814	-0.4485623450296829
OG0000750.0	OG0008528.0	OG0007191.0	OG0018953.5	OG0015753.2
0.6612062542641206	1.4253083180319321	1.0890247750805935	nan	2.0561449569636836
OG0005696.4	OG0008225.6	OG0005823.9	OG0000272.36	OG0006650.0
1.3678543824753253	3.702936777167067	nan	0.013368042964791547	0.5679348857521364
OG0019951.0	OG0005977.0	OG0000160.4	OG0018117.2	OG0005851.2
nan	1.0793736704511563	1.1286760610613544	-0.09413312719296349	-1.003606063151016
OG0006014.0	OG0017540.5	OG0005428.4	OG0014051.0	OG0000147.0
0.1483150236387347	nan	-0.4507092160420042	-1.600005314878451	-1.3435845591874631
OG0012104.6	OG0000403.25	OG0010622.0	OG0004951.0	OG0045894.0
-0.20063579577878882	0.5362233855087336	1.9905942235310414	0.2069326793918502	nan
OG0000364.1	OG0006964.0	OG0014303.3	OG0005491.2	OG0045238.0
1.6170964088847648	0.9812058761765535	0.4067915097896973	1.782896743206607	nan
OG0005687.4	OG0027784.0	OG0024529.0	OG0013513.2	OG0000256.24
0.6388512942467307	nan	-3.752329941358764	0.6151858975644808	1.408744706767424
OG0005501.1	OG0057041.0	OG0000120.105	OG0005570.0	OG0020766.0
0.9111280237036959	nan	0.36155935095495906	0.8255900816350663	3.387482672869104
OG0046203.0	OG0000257.0	OG0010828.0	OG0006000.0	OG0005285.0
nan	1.2083230786982155	1.5330587889762597	1.229496701238491	-0.38679427451306736
OG0000290.0	OG0004362.4	OG0006290.0	OG0029018.0	OG0056920.0
1.3161034795736934	1.0698810950552209	0.08038827570654737	-2.875893438894193	nan
OG0000207.240	OG0000599.0	OG0005548.4	OG0047075.0	OG0024755.0
1.2252089530418973	0.7549707079436464	0.06670113444000986	nan	1.5560942661489752
OG0000180.0	OG0004207.12	OG0009011.0	OG0043749.0	OG0016823.0
1.3621512852440558	1.6518184838487942	2.151296502904231	nan	1.2967525082856848
OG0000034.305	OG0014589.0	OG0006388.0	OG0016594.0	OG0045524.0
