OG0012896.0	OG0000471.2	OG0022825.0	OG0004710.2	OG0016785.2
1.679417176972	2.077047154	nan	2.082919660454	0.02701875753
OG0011486.5	OG0011344.2	OG0004022.8	OG0010170.14	OG0000002.763
0.262067422083	0.591804622299	2.6919625380650003	nan	1.3934842271669998
OG0011881.8	OG0000022.878	OG0019271.0	OG0057202.0	OG0000206.0
0.460496785919	1.131261897351	1.728409074299	nan	2.522749018167
OG0004622.6	OG0000186.266	OG0047073.0	OG0022618.0	OG0000046.1
0.3293579307	0.337119204819	nan	0.0	1.65432630098
OG0003118.5	OG0045196.0	OG0014346.0	OG0000359.28	OG0012157.2
2.02232706689	nan	1.534507536512	2.2452286155489998	0.5244977643990001
OG0004406.0	OG0018950.4	OG0000276.72	OG0014983.3	OG0004620.0
1.4723664977700002	0.224878233354	1.453864721583	nan	2.655173737425
OG0008056.1	OG0047437.0	OG0000420.0	OG0006009.0	OG0006412.3
1.1503734446660001	nan	1.5431179497440002	0.887780739081	1.166166542115
OG0017958.3	OG0007458.0	OG0009251.1	OG0000225.48	OG0043623.0
0.382009074339	1.338809214655	0.7492195736339999	1.979395562228	nan
OG0006175.0	OG0005346.24	OG0003258.3	OG0000125.49	OG0019480.0
1.091112544573	0.557610909591	0.48430063706500004	0.489559475907	nan
OG0000018.1	OG0004738.6	OG0000042.185	OG0015333.0	OG0037725.0
1.307397239723	1.180507962556	1.452232086733	0.7750057697	nan
OG0000062.12	OG0028345.0	OG0005477.0	OG0008453.0	OG0010499.16
0.3435686411300001	nan	1.521822403401	1.6241981275769999	0.156636562874
OG0005759.6	OG0000263.57	OG0041783.0	OG0015187.4	OG0006086.0
1.8608053577680002	0.180801971075	nan	0.012682439548	1.5375445516569999
OG0041772.0	OG0020944.0	OG0006471.8	OG0007818.0	OG0000364.1
nan	1.287329891934	0.33465011133	0.243022144045	1.519929498117
OG0020543.0	OG0005855.0	OG0000048.122	OG0028873.0	OG0004208.2
0.235172223875	1.114849996346	0.914299210599	nan	2.120076142936
OG0044717.0	OG0015711.2	OG0007486.2	OG0000160.4	OG0013035.0
nan	0.258244641386	0.30771388353100004	1.526178456965	0.43988217720600004
OG0012996.0	OG0000279.0	OG0007538.2	OG0024478.0	OG0056933.0
0.29833390148899996	1.338706872473	0.670752145819	0.075009180026	nan
OG0000104.79	OG0000188.1	OG0004386.2	OG0006936.0	OG0004854.4
nan	2.467359084216	1.050859816789	0.28796510891399996	1.6808924188049998
OG0000044.1	OG0027100.0	OG0003102.40	OG0015254.6	OG0006349.2
1.291015223883	nan	0.656102939172	0.216182052837	2.027646397453
OG0005696.4	OG0018632.3	OG0000014.1	OG0006725.0	OG0024663.0
0.752492811022	1.530891662254	1.480162437391	0.628016293745	nan
OG0005845.2	OG0006425.0	OG0057335.0	OG0000336.0	OG0027523.0
0.172466577951	2.9317139370370002	nan	2.106869555944	1.302925076138
OG0008528.0	OG0024783.0	OG0007191.0	OG0000014.1	OG0043509.0
1.126535761103	0.451452364491	1.3554950278920002	1.480162437391	nan
OG0005846.2	OG0012177.2	OG0017997.4	OG0041546.0	OG0000088.3
0.437987089696	0.39933059744599997	0.281194069514	nan	2.2092461222599997
OG0000180.0	OG0027819.0	OG0007348.0	OG0007163.2	OG0014417.1
2.905481183204	nan	1.8427550771939998	0.404334261276	2.048645181083
OG0000180.0	OG0003511.4	OG0005146.0	OG0004972.1	OG0027595.0
