OG0012896.0	OG0000471.2	OG0022825.0	OG0004710.2	OG0016785.2
1.401534755683	0.337049587624	nan	0.2339541474835	0.02701875753
OG0011486.5	OG0011344.2	OG0004022.8	OG0010170.14	OG0000002.763
0.262067422083	0.5641333686434999	1.058173340867	nan	1.0616501738269999
OG0011881.8	OG0000022.878	OG0019271.0	OG0057202.0	OG0000206.0
0.1674599938485	0.72358389267	1.728409074299	nan	1.0126616633310002
OG0004622.6	OG0000186.266	OG0047073.0	OG0022618.0	OG0000046.1
0.142887250431	0.11227338573750001	nan	0.0	0.917672926738
OG0003118.5	OG0045196.0	OG0014346.0	OG0000359.28	OG0012157.2
1.2859087059315	nan	1.534507536512	1.12420636449	0.258628362735
OG0004406.0	OG0018950.4	OG0000276.72	OG0014983.3	OG0004620.0
1.3526704011039998	0.224878233354	0.5069796927645001	nan	1.654842148897
OG0008056.1	OG0047437.0	OG0000420.0	OG0006009.0	OG0006412.3
1.1503734446660001	nan	1.0660693946285	0.2140565820205	0.084758225556
OG0017958.3	OG0007458.0	OG0009251.1	OG0000225.48	OG0043623.0
0.382009074339	0.735677877235	0.7191116003955	0.7370654082095001	nan
OG0006175.0	OG0005346.24	OG0003258.3	OG0000125.49	OG0019480.0
0.22059008007800002	0.557610909591	0.447011497008	0.190224868649	nan
OG0000018.1	OG0004738.6	OG0000042.185	OG0015333.0	OG0037725.0
1.0107335534	0.978319948628	0.41171358483900006	0.7750057697	nan
OG0000062.12	OG0028345.0	OG0005477.0	OG0008453.0	OG0010499.16
0.230312998413	nan	0.548866791795	1.269651895511	0.156636562874
OG0005759.6	OG0000263.57	OG0041783.0	OG0015187.4	OG0006086.0
1.64007909361	0.055399942841	nan	0.012682439548	1.014250787525
OG0041772.0	OG0020944.0	OG0006471.8	OG0007818.0	OG0000364.1
nan	1.287329891934	0.27662141323	0.075336708249	0.9834078345819999
OG0020543.0	OG0005855.0	OG0000048.122	OG0028873.0	OG0004208.2
0.235172223875	0.819319696082	0.553511689415	nan	0.999259234984
OG0044717.0	OG0015711.2	OG0007486.2	OG0000160.4	OG0013035.0
nan	0.258244641386	0.140634679337	0.986073449189	0.27883521805
OG0012996.0	OG0000279.0	OG0007538.2	OG0024478.0	OG0056933.0
0.230223372683	0.7694273495720001	0.497495910935	0.075009180026	nan
OG0000104.79	OG0000188.1	OG0004386.2	OG0006936.0	OG0004854.4
nan	1.094976340545	0.805999454038	0.28796510891399996	0.454108923768
OG0000044.1	OG0027100.0	OG0003102.40	OG0015254.6	OG0006349.2
0.6090310206725	nan	0.463475436444	0.216182052837	0.858111536945
OG0005696.4	OG0018632.3	OG0000014.1	OG0006725.0	OG0024663.0
0.519492537778	1.530891662254	0.6573441439185	0.33881594898199996	nan
OG0005845.2	OG0006425.0	OG0057335.0	OG0000336.0	OG0027523.0
0.12269620933499999	1.628144756938	nan	0.846586985935	1.302925076138
