	1021	3841	CCGE532	CCGM7	CCNWGS0123	CFN42	CIAT899	HAMBI540	IE4803	IRBG74	LMTR13	MAFF303099	Mim1	N161	N561	NGR234	NXC24	ORS2060	ORS285	ORS571	R602	USDA110	USDA6	WSM1325	WSM2073	WSM2304	WSM419
1021	1.0	0.8857142857142857	0.7073170731707317	0.7804878048780488	0.7560975609756098	0.6976744186046512	0.7073170731707317	0.8333333333333334	0.6136363636363636	0.725	0.6444444444444445	0.7560975609756098	0.7317073170731707	0.6818181818181818	0.6590909090909091	0.7560975609756098	0.7073170731707317	0.6744186046511628	0.6444444444444445	0.6222222222222222	0.7857142857142857	0.6590909090909091	0.6444444444444445	0.8	0.7560975609756098	0.75	0.9428571428571428
3841	0.8857142857142857	1.0	0.6923076923076923	0.6829268292682927	0.7	0.6829268292682927	0.6923076923076923	0.7714285714285715	0.6341463414634146	0.6666666666666666	0.5909090909090909	0.7	0.717948717948718	0.6666666666666666	0.6829268292682927	0.7435897435897436	0.6923076923076923	0.6190476190476191	0.5909090909090909	0.5681818181818182	0.7317073170731707	0.6046511627906976	0.5909090909090909	0.84375	0.7	0.7878787878787878	0.8823529411764706
CCGE532	0.7073170731707317	0.6923076923076923	1.0	0.8717948717948718	0.8947368421052632	0.8717948717948718	1.0	0.8333333333333334	0.8205128205128205	0.9166666666666666	0.7619047619047619	0.8947368421052632	0.918918918918919	0.85	0.825	0.8461538461538461	1.0	0.8	0.7619047619047619	0.7804878048780488	0.8292682926829268	0.7804878048780488	0.7619047619047619	0.75	0.8947368421052632	0.75	0.7435897435897436
CCGM7	0.7804878048780488	0.6829268292682927	0.8717948717948718	1.0	0.9736842105263158	0.8536585365853658	0.8717948717948718	0.8157894736842105	0.7619047619047619	0.8947368421052632	0.7906976744186046	0.9230769230769231	0.8974358974358975	0.8333333333333334	0.8095238095238095	0.8292682926829268	0.8717948717948718	0.8292682926829268	0.7906976744186046	0.8095238095238095	0.9024390243902439	0.7674418604651163	0.75	0.7368421052631579	0.9736842105263158	0.6923076923076923	0.775
CCNWGS0123	0.7560975609756098	0.7	0.8947368421052632	0.9736842105263158	1.0	0.875	0.8947368421052632	0.7894736842105263	0.7804878048780488	0.918918918918919	0.8095238095238095	0.9473684210526315	0.9210526315789473	0.8536585365853658	0.8292682926829268	0.85	0.8947368421052632	0.85	0.8095238095238095	0.8292682926829268	0.925	0.7857142857142857	0.7674418604651163	0.7567567567567568	1.0	0.7105263157894737	0.75
CFN42	0.6976744186046512	0.6829268292682927	0.8717948717948718	0.8536585365853658	0.875	1.0	0.8717948717948718	0.7692307692307693	0.8974358974358975	0.8461538461538461	0.7111111111111111	0.875	0.8974358974358975	0.9743589743589743	0.9487179487179487	0.8292682926829268	0.8717948717948718	0.7441860465116279	0.7111111111111111	0.7272727272727273	0.813953488372093	0.7272727272727273	0.7111111111111111	0.7368421052631579	0.875	0.6923076923076923	0.7317073170731707
CIAT899	0.7073170731707317	0.6923076923076923	1.0	0.8717948717948718	0.8947368421052632	0.8717948717948718	1.0	0.8333333333333334	0.8205128205128205	0.9166666666666666	0.7619047619047619	0.8947368421052632	0.918918918918919	0.85	0.825	0.8461538461538461	1.0	0.8	0.7619047619047619	0.7804878048780488	0.8292682926829268	0.7804878048780488	0.7619047619047619	0.75	0.8947368421052632	0.75	0.7435897435897436
HAMBI540	0.8333333333333334	0.7714285714285715	0.8333333333333334	0.8157894736842105	0.7894736842105263	0.7692307692307693	0.8333333333333334	1.0	0.717948717948718	0.8055555555555556	0.6666666666666666	0.7894736842105263	0.8108108108108109	0.75	0.725	0.7435897435897436	0.8333333333333334	0.7	0.6666666666666666	0.6829268292682927	0.7317073170731707	0.6829268292682927	0.6666666666666666	0.84375	0.7894736842105263	0.84375	0.8823529411764706
IE4803	0.6136363636363636	0.6341463414634146	0.8205128205128205	0.7619047619047619	0.7804878048780488	0.8974358974358975	0.8205128205128205	0.717948717948718	1.0	0.8421052631578947	0.6666666666666666	0.7804878048780488	0.8	0.9230769230769231	0.9473684210526315	0.7380952380952381	0.8205128205128205	0.6976744186046512	0.6666666666666666	0.6818181818181818	0.7272727272727273	0.6818181818181818	0.6666666666666666	0.6842105263157895	0.7804878048780488	0.6842105263157895	0.6428571428571429
IRBG74	0.725	0.6666666666666666	0.9166666666666666	0.8947368421052632	0.918918918918919	0.8461538461538461	0.9166666666666666	0.8055555555555556	0.8421052631578947	1.0	0.7804878048780488	0.918918918918919	0.8918918918918919	0.825	0.8	0.8205128205128205	0.9166666666666666	0.8205128205128205	0.7804878048780488	0.8	0.85	0.8	0.7804878048780488	0.7714285714285715	0.918918918918919	0.7714285714285715	0.717948717948718
