OG0005575.28	OG0000750.0	OG0001016.1	OG0013106.2	OG0011318.4	OG0000065.1	OG0000740.26	OG0015416.2	OG0000869.2	OG0000310.18	OG0001823.24	OG0002101.0	OG0005567.0	OG0001843.5	OG0000749.2	OG0001824.24	OG0001842.34	OG0008015.25	OG0000065.40	OG0002012.0	OG0001741.1	OG0002348.56	OG0003001.0	OG0000646.28	OG0011319.4	OG0000606.2	OG0000471.2	OG0001567.1	OG0014063.4	OG0001643.24	OG0020502.0	OG0002651.6	OG0006297.0	OG0001579.36	OG0013273.0	OG0003151.14	OG0001964.1	OG0001309.24	OG0000711.2	OG0002178.2	OG0001778.24	OG0008099.0	OG0028281.0	OG0001566.2	OG0001699.1	OG0000038.0	OG0001602.32	OG0002787.0	OG0001907.32	OG0014068.0	OG0000441.96	OG0015415.0	OG0001711.10	OG0001698.26	OG0000441.1
-1.9595984847157935	-0.6604064990346017	-2.1831136259850807	nan	-3.316168825598677	-1.9148473194368616	-1.300448367476911	-3.261188937029684	-0.6755349936684583	-0.14082554413356455	-0.5437195184892749	-1.0664273617389761	-0.860137631984359	-0.7432308572386588	-0.3830777578812987	-0.801128720482181	-1.0335695326937018	nan	0.06087747289933463	-1.349970759472354	-1.8262329322632935	-0.952042892603345	-1.233108061588777	-0.21943792382894028	-1.7612131404128835	-0.6443071024337754	-1.3375210295767486	-1.190009416024795	0.7875160481350303	-1.1587514286937521	-0.9023892033735776	-0.5794906495110967	-1.5116906642966368	-1.3349711323629614	-2.5700359564830535	-0.42526873733715537	-0.13907691900077995	-1.0619024389259069	-0.05304461335688118	-0.5900931804707359	0.4137023887821764	-0.37763184758309515	nan	-1.0540927027897475	-1.9083340124781873	-0.5428785420499038	-1.1661788622094176	0.17772648293206822	-0.3415371388258907	0.8238308662002686	-1.2440015162022935	nan	-0.7492809165994454	-1.2039006722965686	-2.9170249727422317
OG0003355.0	OG0000599.0	OG0001608.24	OG0014012.2	OG0005751.0	OG0000002.1788	OG0000724.26	OG0001557.1	OG0000739.15	OG0007009.0	OG0000601.52	OG0000893.3	OG0038127.0	OG0000285.1	OG0000483.0	OG0004651.18	OG0001028.24	OG0000006.1	OG0000959.34	OG0000735.1	OG0000975.0	OG0009799.6	OG0006012.0	OG0000002.1147	OG0003700.0	OG0006112.0	OG0001550.0	OG0003255.3	OG0003364.8	OG0001723.0	OG0002099.0	OG0002033.0	OG0015311.0	OG0001293.1	OG0001311.5	OG0009909.0	OG0000927.0	OG0002335.4	OG0008437.3	OG0020638.0	OG0001354.22	OG0000607.0	OG0000147.0	OG0002545.0	OG0000180.0	OG0002593.5	OG0009277.0	OG0041582.0	OG0011414.0	OG0003435.0	OG0054091.0	OG0002206.0	OG0016024.0	OG0007192.0	OG0002027.0
-0.505533185718241	-0.9312604093276949	-0.3122226226036953	-1.7587699644845547	-1.2229696147991935	0.2893623404769398	-0.320846479161911	-0.8517817278458553	-0.807679564965501	-1.4763376860395077	-1.3313362222997793	-0.4779442508390358	nan	-1.0528949484321255	-0.9683225035492398	-1.4375255419036752	-0.9235777245413976	-0.6531281860557505	-1.3298848187157055	-1.0436459153546316	-0.42876006879851164	-2.437525541903675	-2.096653165017793	-0.38627977181994066	-0.46036967531533357	-2.0576919438438153	-1.0794780212096609	-1.385337265063424	-0.9126729482025246	-1.396688189399952	-0.8160371651574051	-0.7437139294149082	-1.238204128494354	-1.2799842649171953	-1.2202780187929276	-1.5311560570253626	-0.7242777438392516	-1.0368218438261088	-1.3695945285176767	nan	-0.5627722610870904	-0.2688167584278	-1.5803532474685666	-0.2090611862241806	-0.15826835651750287	-0.9686048037244657	-2.0475173255695247	nan	-1.2880646430210785	-0.1831136259850804	nan	-1.0276749584428484	-2.595968860378175	-0.7345631039509016	-1.0969617298870882
OG0001047.26	OG0002923.29	OG0002142.4	OG0004869.12	OG0001840.4	OG0001295.24	OG0002549.36	OG0001821.4	OG0011738.0	OG0000290.0	OG0001383.24	OG0008113.0	OG0002174.0	OG0000177.8	OG0000364.1	OG0000219.0	OG0003491.0	OG0001477.0	OG0046214.0	OG0010669.7	OG0002418.9	OG0006372.2	OG0045184.0	OG0024523.0	OG0001166.24	OG0001932.0	OG0001550.0	OG0001256.24	OG0001307.24	OG0010750.6	OG0000001.1420	OG0002151.0	OG0000276.72	OG0007033.0	OG0002222.0	OG0000864.26	OG0006643.0	OG0010497.2	OG0022262.0	OG0014526.2	OG0000180.0	OG0001590.32	OG0005337.4	OG0006665.0	OG0000862.34	OG0002658.16	OG0001830.6	OG0002446.4	OG0006562.0	OG0000459.0	OG0044831.0	OG0000047.282	OG0000110.3	OG0000583.0	OG0006068.0
-1.3419027946486286	-0.7100475277846036	-0.6654317243338672	-1.5619201080552925	-0.3107903116983698	-1.0703604742791153	-1.7065117976244923	-0.8970060066766743	-2.346664773208869	-0.5907448533151622	-0.815529263359908	-0.9714308478032291	-0.9776676999019436	0.40064722052282803	-0.7065117976244923	0.4762261325462324	0.18408982705612603	-0.7117005053426693	nan	-1.7441971633972821	-0.46315134957916976	-1.104387155024838	nan	nan	-0.7276184219069535	-0.5515218785885228	-1.0794780212096609	-1.7631706645136003	-0.8344417455388263	-2.852042118612899	-0.01727103870140411	-0.22145497419719512	-0.8999642788381562	-1.3168874781868323	-1.1561769108731044	-0.8836352433082154	-1.5972778231543954	-0.6709338255493094	-2.849960307225847	-2.3349711323629614	-0.15826835651750287	-1.4920785350426717	-0.873820051176807	-1.731685386824772	-1.3136563569238193	-0.845287186217842	-1.4363537305159362	-0.5038956202292679	-2.024443179176788	-0.8614476248473515	nan	-0.4221724087637519	-0.4639470997597903	-0.17397021350026112	-0.7105196138624053
OG0002373.38	OG0005286.0	OG0000510.30	OG0000755.4	OG0013738.0	OG0001326.24	OG0000680.1	OG0002727.0	OG0000279.0	OG0007653.0	OG0016289.0	OG0003127.0	OG0008347.0	OG0000728.24	OG0021392.0	OG0005989.0	OG0002103.0	OG0000014.1	OG0000525.2	OG0000198.0	OG0001820.0	OG0002989.1	OG0000603.1	OG0000536.32	OG0027769.0	OG0003036.0	OG0000013.2	OG0003540.0	OG0001563.24	OG0000209.2	OG0010648.5	OG0012773.4	OG0012250.0	OG0001191.24	OG0013313.2	OG0001573.24	OG0000876.20	OG0007332.0	OG0001604.92	OG0000000.3436	OG0001338.24	OG0002412.0	OG0015185.2	OG0000139.0	OG0001897.2	OG0000403.25	OG0002740.0	OG0010735.2	OG0001437.24	OG0027441.0	OG0002340.0	OG0000423.2	OG0000000.405	OG0002214.0	OG0000718.0
-1.1325779246916947	-1.3158096335039826	-0.5994620704162712	-0.7848805754827048	0.2005043534465213	-1.0371178723571337	-0.9498117766885221	-0.54877569787331	-0.7006381023484414	-1.9356689537540164	-1.693387775624602	-1.0534937013109786	-0.9331874901000985	-0.2368434162587132	nan	-1.9759640645444907	-0.9728459484962734	-0.4737308279347723	-0.814513995871922	-0.3989691306511904	-0.3980183001673634	-1.039784866105864	-1.0294408032665983	-0.41522987144272494	-2.6610907271910786	-0.2072279224818811	0.07464243793449277	-0.5280322123384842	-1.1081142486996134	-0.3081085554749895	-2.29689930039584	-1.37632039170599	-2.758281825403299	-1.2042330522176077	-0.9948156241402767	-1.099432627585306	-0.718331420027155	-1.7302486779516255	-0.8502203694240974	nan	-1.396688189399952	-1.0764324320674414	-1.4540316308947074	-0.6077925010310296	-0.38439537364073467	-0.4597742994044606	-0.5760454059851032	-2.2276920250415966	-1.2536012334528568	nan	-0.9694520358370333	-0.11185099598415361	-1.22431729826094	-0.5193212612452015	-0.3940316411585416
OG0001308.24	OG0002640.0	OG0007128.8	OG0023045.0	OG0000561.24	OG0012421.0	OG0000279.0	OG0000081.1	OG0005503.0	OG0001696.0	OG0056847.0	OG0000183.0	OG0001441.1	OG0003496.0	OG0007114.6	OG0000572.0	OG0002116.0	OG0002219.0	OG0007329.0	OG0002087.0	OG0002153.0	OG0002665.8	OG0000219.0	OG0010680.0	OG0002002.0	OG0016763.0	OG0000837.0	OG0006773.2	OG0000702.24	OG0001135.4	OG0000665.0	OG0004053.58	OG0003255.3	OG0000558.24	OG0006240.0	OG0001331.24	OG0000793.0	OG0011152.0	OG0000001.1420	OG0000564.24	OG0001999.0	OG0002731.0	OG0001798.0	OG0000004.33	OG0000403.25	OG0004874.0	OG0005745.0	OG0001593.20	OG0010954.0	OG0000088.3	OG0003523.15	OG0047490.0	OG0001604.2	OG0002432.1	OG0047070.0
-0.7372060633793455	-0.8804446153047175	-1.7543826472436155	-0.48418664263802236	-1.2429767534925404	-2.5319902259071676	-0.7006381023484414	-0.890037746601182	-1.0688464694797741	-0.7018109298586781	nan	-0.002310160687201116	-0.7700429914156375	-1.679919737630239	-1.946193556304206	-1.8008773579863993	-0.43693951723612684	-0.5401487492943315	-2.5178745359200096	-1.1854085623368023	-1.383077757881299	-1.0852824135340968	0.4762261325462324	-1.2009126939259964	-1.3496030533302108	-1.6157291074575852	0.21921499579542392	-3.289121949804121	-1.9674759343078005	-0.5784131268372943	-0.8071745964476088	nan	-1.385337265063424	-0.803896602285193	-1.2820878303555712	-0.23463499245019467	-0.330247532744238	-1.5332423842738285	-0.01727103870140411	-0.7597467384154951	-0.5139550074096504	-0.8831029817117376	-0.7846320277965205	-1.5265767297208033	-0.4597742994044606	-0.4322598698054027	-1.5303223701828106	-1.2567004721117434	-1.945082080871042	-0.11434754870041268	-0.5100460986686944	nan	-0.46494240510515766	-0.640029111663249	nan
OG0001284.24	OG0002063.0	OG0003150.32	OG0007367.12	OG0000062.197	OG0001151.26	OG0007848.2	OG0006405.0	OG0000230.58	OG0001774.6	OG0002594.0	OG0000920.27	OG0002173.26	OG0000204.2	OG0001362.22	OG0018715.1	OG0006204.0	OG0001137.24	OG0007574.0	OG0000321.2	OG0002087.0	OG0003700.0	OG0001522.0	OG0000812.32	OG0006316.0	OG0021953.0	OG0010531.2	OG0012706.4	OG0000995.5	OG0014534.2	OG0000996.1	OG0003300.0	OG0000001.1420	OG0003299.0	OG0000246.0	OG0002319.0	OG0002910.0	OG0019256.0	OG0005522.8	OG0000999.14	OG0006740.4	OG0001261.1	OG0000391.20	OG0024031.0	OG0000681.0	OG0006043.0	OG0001570.1	OG0000266.0	OG0000272.36	OG0000751.0	OG0006595.0	OG0009907.6	OG0009083.9	OG0000264.1	OG0000777.0
