OG0005575.28	OG0000750.0	OG0001016.1	OG0013106.2	OG0011318.4	OG0000065.1	OG0000740.26	OG0015416.2	OG0000869.2	OG0000310.18	OG0001823.24	OG0002101.0	OG0005567.0	OG0001843.5	OG0000749.2	OG0001824.24	OG0001842.34	OG0008015.25	OG0000065.40	OG0002012.0	OG0001741.1	OG0002348.56	OG0003001.0	OG0000646.28	OG0011319.4	OG0000606.2	OG0000471.2	OG0001567.1	OG0014063.4	OG0001643.24	OG0020502.0	OG0002651.6	OG0006297.0	OG0001579.36	OG0013273.0	OG0003151.14	OG0001964.1	OG0001309.24	OG0000711.2	OG0002178.2	OG0001778.24	OG0008099.0	OG0028281.0	OG0001566.2	OG0001699.1	OG0000038.0	OG0001602.32	OG0002787.0	OG0001907.32	OG0014068.0	OG0000441.96	OG0015415.0	OG0001711.10	OG0001698.26	OG0000441.1
0.4662688241784086	5.29951426134823	3.747776637495327	nan	1.1396614238054927	nan	0.5732508868879453	-1.558650266329535	3.700510734503725	5.521260749079113	4.249390717438137	2.5508252004725858	1.5791337058197286	7.397343880921011	5.2285619572734765	3.770679823954512	5.079294039474334	nan	6.251074076649885	0.0747948769887755	3.8517109410655888	1.9655354618241838	2.3315741799228893	1.919017548184029	1.8697340329898202	5.666171523074633	4.959066512187899	3.356837488145097	0.6104295172831056	3.2101128903137615	2.0656960305292356	3.8840996729189494	1.6144356397594812	4.4105716742090815	3.0523898604119752	5.633741776396054	4.919822104221287	1.2884378831439265	4.331837342718466	3.3728897288458564	5.349550131414722	3.272885388862685	nan	6.524116308090783	3.7523703714243846	8.28439494743276	4.714144465679471	5.245417447596345	4.608496418591426	1.2105338620753263	3.880915015811211	-13.287712379549449	6.673293958680064	3.76834630985074	0.24202770751783143
OG0003355.0	OG0000599.0	OG0001608.24	OG0014012.2	OG0005751.0	OG0000002.1788	OG0000724.26	OG0001557.1	OG0000739.15	OG0007009.0	OG0000601.52	OG0000893.3	OG0038127.0	OG0000285.1	OG0000483.0	OG0004651.18	OG0001028.24	OG0000006.1	OG0000959.34	OG0000735.1	OG0000975.0	OG0009799.6	OG0006012.0	OG0000002.1147	OG0003700.0	OG0006112.0	OG0001550.0	OG0003255.3	OG0003364.8	OG0001723.0	OG0002099.0	OG0002033.0	OG0015311.0	OG0001293.1	OG0001311.5	OG0009909.0	OG0000927.0	OG0002335.4	OG0008437.3	OG0020638.0	OG0001354.22	OG0000607.0	OG0000147.0	OG0002545.0	OG0000180.0	OG0002593.5	OG0009277.0	OG0041582.0	OG0011414.0	OG0003435.0	OG0054091.0	OG0002206.0	OG0016024.0	OG0007192.0	OG0002027.0
2.558333414419695	7.462099514615451	5.160046151029784	2.1006120200717007	1.5346091565435516	8.30265560711077	4.2129602951747716	7.700950087629641	1.7608402561703502	0.8874534062781433	-0.27489691031883573	6.875251523686528	nan	3.359773117884623	7.52834953367076	-0.27173476183025685	1.6988971777998176	5.28059216839957	4.365201387290066	5.532691478526141	4.094651563164086	2.3376343152483288	0.3863269260682485	8.251531954213922	4.154903908783203	1.432952576935575	5.632921718472829	3.7160170076194614	1.575397878163492	-0.18068647668409818	1.3774595376717267	1.7573173249304062	3.19942913045326	-0.3425890008536839	0.4525814312465323	1.3035991344408453	4.083069987836739	4.0065975491752885	2.395377457000445	nan	3.862987331884042	8.231774956745646	4.613932578526269	2.1721531629338595	6.151833733811486	4.8070846891207335	0.4777017738644435	nan	2.277649955922301	2.3379292841790154	nan	1.2346355232689363	-0.15921763437045272	5.458979929065603	1.4427901650922554
OG0001047.26	OG0002923.29	OG0002142.4	OG0004869.12	OG0001840.4	OG0001295.24	OG0002549.36	OG0001821.4	OG0011738.0	OG0000290.0	OG0001383.24	OG0008113.0	OG0002174.0	OG0000177.8	OG0000364.1	OG0000219.0	OG0003491.0	OG0001477.0	OG0046214.0	OG0010669.7	OG0002418.9	OG0006372.2	OG0045184.0	OG0024523.0	OG0001166.24	OG0001932.0	OG0001550.0	OG0001256.24	OG0001307.24	OG0010750.6	OG0000001.1420	OG0002151.0	OG0000276.72	OG0007033.0	OG0002222.0	OG0000864.26	OG0006643.0	OG0010497.2	OG0022262.0	OG0014526.2	OG0000180.0	OG0001590.32	OG0005337.4	OG0006665.0	OG0000862.34	OG0002658.16	OG0001830.6	OG0002446.4	OG0006562.0	OG0000459.0	OG0044831.0	OG0000047.282	OG0000110.3	OG0000583.0	OG0006068.0
0.7688602936308429	4.51008079538473	1.5468793460498116	2.0543487797039788	5.134809084645614	0.2817247423338553	0.46549806201751553	0.7761994536562652	1.9862191539793719	8.07330697198598	1.101438779414357	2.955686420579961	-0.18235172869200006	5.955284279267988	7.786821281785832	6.208176618782017	2.445712536752674	5.881608669957062	nan	0.21892307538936973	4.8722994665272665	4.772376652361454	nan	-13.287712379549449	0.512115400051062	4.557311566076585	5.632921718472829	-0.36578799595652994	1.8462934654877585	1.3403178406100524	8.01975167213718	-0.09888543672304297	4.246636946294859	1.3764200701452238	0.18861060479344188	3.2844669780522584	0.7109787771165429	1.669620403461522	nan	2.2901856918741257	6.151833733811486	0.3921133634572943	0.7891635379190106	1.1996558333519576	0.11654770167091166	1.8564393235563832	2.3805054888464667	5.006539439421316	0.4904442351441739	7.75603829462114	nan	8.29346447064538	5.035156523170007	5.111382055716506	1.7461501114238014
OG0002373.38	OG0005286.0	OG0000510.30	OG0000755.4	OG0013738.0	OG0001326.24	OG0000680.1	OG0002727.0	OG0000279.0	OG0007653.0	OG0016289.0	OG0003127.0	OG0008347.0	OG0000728.24	OG0021392.0	OG0005989.0	OG0002103.0	OG0000014.1	OG0000525.2	OG0000198.0	OG0001820.0	OG0002989.1	OG0000603.1	OG0000536.32	OG0027769.0	OG0003036.0	OG0000013.2	OG0003540.0	OG0001563.24	OG0000209.2	OG0010648.5	OG0012773.4	OG0012250.0	OG0001191.24	OG0013313.2	OG0001573.24	OG0000876.20	OG0007332.0	OG0001604.92	OG0000000.3436	OG0001338.24	OG0002412.0	OG0015185.2	OG0000139.0	OG0001897.2	OG0000403.25	OG0002740.0	OG0010735.2	OG0001437.24	OG0027441.0	OG0002340.0	OG0000423.2	OG0000000.405	OG0002214.0	OG0000718.0
0.27169471624711483	3.8354900145863944	5.227993694391793	2.4844675669572966	4.8778251138485835	0.5893161202991476	0.02005604684802536	6.252333375237268	5.061278176866655	2.2529376472138707	3.9943810448769432	2.9665163416363916	1.5406183376332512	4.658735022687043	nan	1.2658672527879922	0.19756406551835812	4.6892493121695615	7.429074197392482	7.802643050025793	3.298121184399243	0.9897897949388462	5.0657311377947	5.854881779889386	nan	3.8432936377929323	8.1570455112967	4.312214149302162	1.2734504616112428	2.0562302405053217	3.783938099540593	3.559977912943512	2.042930185052643	0.42119283114141587	4.085135839210393	1.7708458740691395	4.159939422139798	1.2089232303054682	4.399736895977106	nan	1.0508624713229784	2.9450410510911125	1.9737595179877665	5.138622586619456	5.770258816932987	7.507753212393696	1.733098096944294	0.6777774023172332	0.6559671965816793	nan	1.7327313936112132	7.598746803481488	1.6059409517198853	1.408331580354799	6.176656910880411
OG0001308.24	OG0002640.0	OG0007128.8	OG0023045.0	OG0000561.24	OG0012421.0	OG0000279.0	OG0000081.1	OG0005503.0	OG0001696.0	OG0056847.0	OG0000183.0	OG0001441.1	OG0003496.0	OG0007114.6	OG0000572.0	OG0002116.0	OG0002219.0	OG0007329.0	OG0002087.0	OG0002153.0	OG0002665.8	OG0000219.0	OG0010680.0	OG0002002.0	OG0016763.0	OG0000837.0	OG0006773.2	OG0000702.24	OG0001135.4	OG0000665.0	OG0004053.58	OG0003255.3	OG0000558.24	OG0006240.0	OG0001331.24	OG0000793.0	OG0011152.0	OG0000001.1420	OG0000564.24	OG0001999.0	OG0002731.0	OG0001798.0	OG0000004.33	OG0000403.25	OG0004874.0	OG0005745.0	OG0001593.20	OG0010954.0	OG0000088.3	OG0003523.15	OG0047490.0	OG0001604.2	OG0002432.1	OG0047070.0
2.441119859678639	7.44285820233124	1.4693089443743568	nan	3.2557999900374393	1.3519878561558893	5.061278176866655	3.689943473534111	0.5347505120365785	1.932558518485527	nan	7.344406464305546	1.8729747268388799	0.34190898162070854	1.8098929639107466	3.9303485490884564	1.3367802926137906	5.154980719392038	0.31041312736867294	0.8410351257378602	0.2633842122551717	1.5714989747243133	6.208176618782017	2.8041333322860256	0.39275694046300685	3.2858194582487887	8.005291808250009	-0.6966893546618095	2.8415850979554422	4.814739702352164	1.8565072008307766	0.844263886928423	3.7160170076194614	4.702589485386173	1.2167378788900536	1.33187734584338	6.071753950675629	2.9107008095174325	8.01975167213718	3.9940680475696855	1.787167320287025	0.7680882595946477	0.05040454113351555	1.1468033996721387	7.507753212393696	4.607120743170815	1.1147156371065314	0.25253291706819986	3.392205303090964	8.15448337531843	5.663708045277879	nan	6.068081633378358	1.623696087951056	nan
OG0001284.24	OG0002063.0	OG0003150.32	OG0007367.12	OG0000062.197	OG0001151.26	OG0007848.2	OG0006405.0	OG0000230.58	OG0001774.6	OG0002594.0	OG0000920.27	OG0002173.26	OG0000204.2	OG0001362.22	OG0018715.1	OG0006204.0	OG0001137.24	OG0007574.0	OG0000321.2	OG0002087.0	OG0003700.0	OG0001522.0	OG0000812.32	OG0006316.0	OG0021953.0	OG0010531.2	OG0012706.4	OG0000995.5	OG0014534.2	OG0000996.1	OG0003300.0	OG0000001.1420	OG0003299.0	OG0000246.0	OG0002319.0	OG0002910.0	OG0019256.0	OG0005522.8	OG0000999.14	OG0006740.4	OG0001261.1	OG0000391.20	OG0024031.0	OG0000681.0	OG0006043.0	OG0001570.1	OG0000266.0	OG0000272.36	OG0000751.0	OG0006595.0	OG0009907.6	OG0009083.9	OG0000264.1	OG0000777.0
