OG0005575.28	OG0000750.0	OG0001016.1	OG0013106.2	OG0011318.4	OG0000065.1	OG0000740.26	OG0015416.2	OG0000869.2	OG0000310.18	OG0001823.24	OG0002101.0	OG0005567.0	OG0001843.5	OG0000749.2	OG0001824.24	OG0001842.34	OG0008015.25	OG0000065.40	OG0002012.0	OG0001741.1	OG0002348.56	OG0003001.0	OG0000646.28	OG0011319.4	OG0000606.2	OG0000471.2	OG0001567.1	OG0014063.4	OG0001643.24	OG0020502.0	OG0002651.6	OG0006297.0	OG0001579.36	OG0013273.0	OG0003151.14	OG0001964.1	OG0001309.24	OG0000711.2	OG0002178.2	OG0001778.24	OG0008099.0	OG0028281.0	OG0001566.2	OG0001699.1	OG0000038.0	OG0001602.32	OG0002787.0	OG0001907.32	OG0014068.0	OG0000441.96	OG0015415.0	OG0001711.10	OG0001698.26	OG0000441.1
-2.1992553760632223	-2.3118644115426648	-3.217591435072627	nan	-3.8866195426247803	-1.9148473194368616	-2.416962376203336	-3.5467510991910647	-3.0	-1.6157291074575852	-2.5153978056277966	-2.2460532279122347	-1.6730025354342413	-1.8008773579863993	-2.240588467435424	-2.5691795034802287	-2.0715728231243147	nan	-1.4965494909944312	-2.555120943584441	-2.9400910109813148	-1.9351171484151457	-1.8767311125056534	-4.136949635194031	-2.537005393324501	-2.356236145662658	-2.7553564542606015	-3.364533480055605	0.7875160481350303	-3.330537769639225	-0.9023892033735776	-2.780908941753803	-2.9845024306046746	-2.372579930598799	-2.5700359564830535	-2.276485124126195	-2.240929409193099	-2.074000581443777	-2.2674268787048018	-2.2688167584278	-2.5274082542630674	-1.2253288876731159	nan	-2.0445383960764985	-2.937878288092203	-1.8817731862070524	-2.1597180585730555	-1.742265197871355	-1.9714308478032292	0.8238308662002686	-2.874084450525277	nan	-2.16682653676166	-2.947305888696155	-3.285319266282261
OG0003355.0	OG0000599.0	OG0001608.24	OG0014012.2	OG0005751.0	OG0000002.1788	OG0000724.26	OG0001557.1	OG0000739.15	OG0007009.0	OG0000601.52	OG0000893.3	OG0038127.0	OG0000285.1	OG0000483.0	OG0004651.18	OG0001028.24	OG0000006.1	OG0000959.34	OG0000735.1	OG0000975.0	OG0009799.6	OG0006012.0	OG0000002.1147	OG0003700.0	OG0006112.0	OG0001550.0	OG0003255.3	OG0003364.8	OG0001723.0	OG0002099.0	OG0002033.0	OG0015311.0	OG0001293.1	OG0001311.5	OG0009909.0	OG0000927.0	OG0002335.4	OG0008437.3	OG0020638.0	OG0001354.22	OG0000607.0	OG0000147.0	OG0002545.0	OG0000180.0	OG0002593.5	OG0009277.0	OG0041582.0	OG0011414.0	OG0003435.0	OG0054091.0	OG0002206.0	OG0016024.0	OG0007192.0	OG0002027.0
-2.2674268787048018	-1.7269019108215087	-1.332425734024981	-1.9697345571423308	-1.4707287562940685	-1.3932735249871873	-2.105628450038725	-1.6615470596449509	-1.9759640645444907	-2.0037558918843352	-2.5907448533151625	-1.6295008967976548	nan	-2.0634091701760617	-2.055891200892045	-3.112162828913259	-2.1240627035336246	-1.8084373492992443	-2.7754657367202706	-2.2674268787048018	-2.20157615452214	-2.7749719167459515	-2.413499444718575	-1.432843996289213	-2.617498742810885	-2.1552126499209403	-2.148161027150656	-2.6748438822584086	-1.9890769728152082	-2.3936525332754277	-2.4803574574918454	-1.735763848956453	-1.8426975336810263	-2.5344956303704946	-1.9635318329307085	-1.5311560570253626	-1.9417527831453374	-2.366987359798269	-3.7167182508062204	nan	-2.204233052217608	-1.4281775931667966	-2.9669118306678124	-2.1112275322575584	-1.341171575656346	-1.8318714704230512	-2.1584293626044833	nan	-1.945637711550311	-1.281561651379139	nan	-2.0923401721467108	-2.8609234849538883	-1.5274082542630671	-2.449690321244904
OG0001047.26	OG0002923.29	OG0002142.4	OG0004869.12	OG0001840.4	OG0001295.24	OG0002549.36	OG0001821.4	OG0011738.0	OG0000290.0	OG0001383.24	OG0008113.0	OG0002174.0	OG0000177.8	OG0000364.1	OG0000219.0	OG0003491.0	OG0001477.0	OG0046214.0	OG0010669.7	OG0002418.9	OG0006372.2	OG0045184.0	OG0024523.0	OG0001166.24	OG0001932.0	OG0001550.0	OG0001256.24	OG0001307.24	OG0010750.6	OG0000001.1420	OG0002151.0	OG0000276.72	OG0007033.0	OG0002222.0	OG0000864.26	OG0006643.0	OG0010497.2	OG0022262.0	OG0014526.2	OG0000180.0	OG0001590.32	OG0005337.4	OG0006665.0	OG0000862.34	OG0002658.16	OG0001830.6	OG0002446.4	OG0006562.0	OG0000459.0	OG0044831.0	OG0000047.282	OG0000110.3	OG0000583.0	OG0006068.0
-2.221623189091677	-1.704629612046516	-2.1622989090661346	-2.192974874501356	-1.9367731980030187	-2.368104140946196	-3.532824877385981	-1.7072182507721543	-2.346664773208869	-1.6624601578025762	-1.6764569908501112	-1.8876334769274368	-2.4811627575634883	-2.107803289534515	-1.795358434389579	-1.6903581265778393	-1.9301603749313658	-2.994240730711315	nan	-1.9202976283026219	-1.8267446169790276	-2.300448367476911	nan	nan	-2.244685095954902	-1.643630786283775	-2.148161027150656	-2.407363571393423	-2.1720184273524383	-3.130365444186607	-1.3147325934831586	-2.512925319948276	-2.1584293626044833	-1.8406291533397972	-2.5137490111158916	-2.278583590010193	-1.9612828924271464	-1.6510877590058004	-2.849960307225847	-2.845287186217842	-1.341171575656346	-2.6366606883705206	-2.233786498018345	-2.0226834370912896	-2.289827251720338	-1.6540359696571283	-2.365499661764001	-1.7981152571601426	-2.5946610841524502	-2.072786191607015	nan	-2.4104282460262545	-1.5002178798526882	-1.0437946238061253	-1.0796304695683265
OG0002373.38	OG0005286.0	OG0000510.30	OG0000755.4	OG0013738.0	OG0001326.24	OG0000680.1	OG0002727.0	OG0000279.0	OG0007653.0	OG0016289.0	OG0003127.0	OG0008347.0	OG0000728.24	OG0021392.0	OG0005989.0	OG0002103.0	OG0000014.1	OG0000525.2	OG0000198.0	OG0001820.0	OG0002989.1	OG0000603.1	OG0000536.32	OG0027769.0	OG0003036.0	OG0000013.2	OG0003540.0	OG0001563.24	OG0000209.2	OG0010648.5	OG0012773.4	OG0012250.0	OG0001191.24	OG0013313.2	OG0001573.24	OG0000876.20	OG0007332.0	OG0001604.92	OG0000000.3436	OG0001338.24	OG0002412.0	OG0015185.2	OG0000139.0	OG0001897.2	OG0000403.25	OG0002740.0	OG0010735.2	OG0001437.24	OG0027441.0	OG0002340.0	OG0000423.2	OG0000000.405	OG0002214.0	OG0000718.0
-2.5657587667480635	-2.4579896444633906	-2.1240627035336246	-2.874084450525277	-0.5294891648227245	-2.3029379195026087	-2.7948577593747017	-2.008682243099801	-1.8018830708475446	-2.023856359953367	-2.075824085003446	-1.968040258602455	-1.3188656206531546	-1.4406550334581139	nan	-2.045133690098103	-2.7302486779516255	-1.848660698957719	-1.6780719051126376	-1.386091221203337	-1.7326439882161124	-1.8927138650477777	-2.192974874501356	-1.352731546895617	-2.6610907271910786	-2.355497627581064	-1.2726458463191588	-1.8293057663129169	-2.25635578329374	-1.6237096166629486	-3.4301200938519236	-2.443006615137512	-3.633076351021482	-2.222296244872902	-0.9948156241402767	-1.6716230659673341	-1.5773364083449781	-1.989649811830433	-1.8897704075768111	nan	-2.5203555254237644	-2.1883645691462568	-1.7388904710906985	-1.5587290095614008	-2.134793803412827	-1.707689411795574	-1.7011071189458389	-2.365499661764001	-2.110292841560213	nan	-2.3838305338132693	-1.5990249563269134	-2.3150915174907043	-1.4558113933530294	-1.6833908156721769
OG0001308.24	OG0002640.0	OG0007128.8	OG0023045.0	OG0000561.24	OG0012421.0	OG0000279.0	OG0000081.1	OG0005503.0	OG0001696.0	OG0056847.0	OG0000183.0	OG0001441.1	OG0003496.0	OG0007114.6	OG0000572.0	OG0002116.0	OG0002219.0	OG0007329.0	OG0002087.0	OG0002153.0	OG0002665.8	OG0000219.0	OG0010680.0	OG0002002.0	OG0016763.0	OG0000837.0	OG0006773.2	OG0000702.24	OG0001135.4	OG0000665.0	OG0004053.58	OG0003255.3	OG0000558.24	OG0006240.0	OG0001331.24	OG0000793.0	OG0011152.0	OG0000001.1420	OG0000564.24	OG0001999.0	OG0002731.0	OG0001798.0	OG0000004.33	OG0000403.25	OG0004874.0	OG0005745.0	OG0001593.20	OG0010954.0	OG0000088.3	OG0003523.15	OG0047490.0	OG0001604.2	OG0002432.1	OG0047070.0
-1.9691695698467255	-1.7173822785186517	-2.4297313844218773	-0.48418664263802236	-2.258080051505312	-2.5319902259071676	-1.8018830708475446	-2.2048980418771755	-2.2870081105382027	-2.2209504471625414	nan	-1.753409497094819	-2.1449671027979202	-2.7715199016700827	-2.131313234677865	-2.5700359564830535	-1.6380071140780375	-2.1389180581251153	-2.741782610463982	-2.324816374212189	-2.248793390257147	-2.261188937029684	-1.6903581265778393	-1.966347947510003	-2.5631985264295	-1.810207062179741	-1.6513143306656128	-3.289121949804121	-3.1857367086002184	-1.9156635542766762	-2.077041035763828	nan	-2.6748438822584086	-2.072482753801524	-1.8820390472675834	-2.3057883922321096	-1.5803532474685666	-1.810460055611497	-1.3147325934831586	-1.977951834819827	-2.056491198838264	-2.3838305338132693	-3.387751312965546	-2.7700429914156377	-1.707689411795574	-1.572608370313282	-1.966347947510003	-2.365127976835786	-2.0115879742752116	-1.6936210892890369	-1.5075827599241425	nan	-1.8484009177306033	-2.278583590010193	nan
OG0001284.24	OG0002063.0	OG0003150.32	OG0007367.12	OG0000062.197	OG0001151.26	OG0007848.2	OG0006405.0	OG0000230.58	OG0001774.6	OG0002594.0	OG0000920.27	OG0002173.26	OG0000204.2	OG0001362.22	OG0018715.1	OG0006204.0	OG0001137.24	OG0007574.0	OG0000321.2	OG0002087.0	OG0003700.0	OG0001522.0	OG0000812.32	OG0006316.0	OG0021953.0	OG0010531.2	OG0012706.4	OG0000995.5	OG0014534.2	OG0000996.1	OG0003300.0	OG0000001.1420	OG0003299.0	OG0000246.0	OG0002319.0	OG0002910.0	OG0019256.0	OG0005522.8	OG0000999.14	OG0006740.4	OG0001261.1	OG0000391.20	OG0024031.0	OG0000681.0	OG0006043.0	OG0001570.1	OG0000266.0	OG0000272.36	OG0000751.0	OG0006595.0	OG0009907.6	OG0009083.9	OG0000264.1	OG0000777.0
