OG0005575.28	OG0000750.0	OG0001016.1	OG0013106.2	OG0011318.4	OG0000065.1	OG0000740.26	OG0015416.2	OG0000869.2	OG0000310.18	OG0001823.24	OG0002101.0	OG0005567.0	OG0001843.5	OG0000749.2	OG0001824.24	OG0001842.34	OG0008015.25	OG0000065.40	OG0002012.0	OG0001741.1	OG0002348.56	OG0003001.0	OG0000646.28	OG0011319.4	OG0000606.2	OG0000471.2	OG0001567.1	OG0014063.4	OG0001643.24	OG0020502.0	OG0002651.6	OG0006297.0	OG0001579.36	OG0013273.0	OG0003151.14	OG0001964.1	OG0001309.24	OG0000711.2	OG0002178.2	OG0001778.24	OG0008099.0	OG0028281.0	OG0001566.2	OG0001699.1	OG0000038.0	OG0001602.32	OG0002787.0	OG0001907.32	OG0014068.0	OG0000441.96	OG0015415.0	OG0001711.10	OG0001698.26	OG0000441.1
-0.6431226676320512	0.6612062542641206	-0.7757798480286758	nan	-0.40598301649357743	nan	-0.7346831150482035	-3.275114157080866	-0.5600460737743269	1.1697913907077246	-0.08519813468265601	0.41855354017508173	0.8811363307482183	1.0474810177103138	0.6960006209538083	-0.2962932362793678	0.21941908014489597	nan	1.8188668823091523	-0.6813434948078769	-0.680268944779874	0.9499464532714113	0.22885401610173564	-1.8909081989065304	0.9348322285482507	0.5143631591319802	-0.4219138979696112	-0.8618163367911472	-1.1067903923754705	-1.1462318953681279	2.0479131263403865	0.3106096505403069	0.642176788353265	0.19116511498209737	1.7782750421580191	1.2916562519215704	0.4542770991057501	0.3180555112856485	0.4340571477562879	-0.33168268056816924	0.24112140489684192	2.0776815374034694	nan	0.5979055890573353	-0.7124423598948861	1.194228300642796	0.1888709079569439	1.5035881392871318	0.36047243875961443	-0.39463544457933014	-0.5727254127502814	-13.287712379549449	0.40752705515594106	-0.48242311792037795	-0.5723053512585266
OG0003355.0	OG0000599.0	OG0001608.24	OG0014012.2	OG0005751.0	OG0000002.1788	OG0000724.26	OG0001557.1	OG0000739.15	OG0007009.0	OG0000601.52	OG0000893.3	OG0038127.0	OG0000285.1	OG0000483.0	OG0004651.18	OG0001028.24	OG0000006.1	OG0000959.34	OG0000735.1	OG0000975.0	OG0009799.6	OG0006012.0	OG0000002.1147	OG0003700.0	OG0006112.0	OG0001550.0	OG0003255.3	OG0003364.8	OG0001723.0	OG0002099.0	OG0002033.0	OG0015311.0	OG0001293.1	OG0001311.5	OG0009909.0	OG0000927.0	OG0002335.4	OG0008437.3	OG0020638.0	OG0001354.22	OG0000607.0	OG0000147.0	OG0002545.0	OG0000180.0	OG0002593.5	OG0009277.0	OG0041582.0	OG0011414.0	OG0003435.0	OG0054091.0	OG0002206.0	OG0016024.0	OG0007192.0	OG0002027.0
0.8849496242426849	0.7549707079436464	1.5699370438059561	1.35073942893528	1.333492834900662	1.746650791048037	-0.7741641362654292	2.0315195534882307	0.44411256456868364	0.7499891018178798	-0.8142766205554139	0.9341310169053478	nan	-0.13853284037031957	0.7743046641435996	-0.45768429046497267	0.2779001805408909	0.5640458246836109	0.08753813381789805	0.060258719984357924	-0.32115811185090104	1.1647061959603853	-1.133591686142007	2.1709707682299135	1.2708008733840803	0.9432225065786272	-0.5689381067575634	0.7761473111755681	0.9263243512967563	-1.0060332061052872	-0.24141200193538967	1.0425509853859736	2.195604542282279	-1.0323671073425458	-0.09573192783319326	1.3035991344408453	0.46993405576362135	-0.023441797334028965	1.6404856983818856	nan	0.8685034944388486	1.7814473032868716	-1.3435845591874631	0.8121627186111893	1.3621512852440558	1.3432072790869707	0.4093206016986905	nan	1.668366193940752	1.6006924185105682	nan	0.07430490994277622	-0.8949684271440995	3.134568917855123	0.23464793764074288
OG0001047.26	OG0002923.29	OG0002142.4	OG0004869.12	OG0001840.4	OG0001295.24	OG0002549.36	OG0001821.4	OG0011738.0	OG0000290.0	OG0001383.24	OG0008113.0	OG0002174.0	OG0000177.8	OG0000364.1	OG0000219.0	OG0003491.0	OG0001477.0	OG0046214.0	OG0010669.7	OG0002418.9	OG0006372.2	OG0045184.0	OG0024523.0	OG0001166.24	OG0001932.0	OG0001550.0	OG0001256.24	OG0001307.24	OG0010750.6	OG0000001.1420	OG0002151.0	OG0000276.72	OG0007033.0	OG0002222.0	OG0000864.26	OG0006643.0	OG0010497.2	OG0022262.0	OG0014526.2	OG0000180.0	OG0001590.32	OG0005337.4	OG0006665.0	OG0000862.34	OG0002658.16	OG0001830.6	OG0002446.4	OG0006562.0	OG0000459.0	OG0044831.0	OG0000047.282	OG0000110.3	OG0000583.0	OG0006068.0
-0.21206367666221243	1.1116007000382726	0.746782597153516	0.6281351735472137	1.2528130796757317	-0.7977289875330229	-0.6504103000536892	0.25829682914882707	1.976738594393792	1.3161034795736934	0.09180460608182446	1.025725237387668	-0.8405889149753345	1.5266319293220363	1.6170964088847648	1.573667538865403	1.4549940814338318	1.0840863051008869	nan	0.04357531058366849	0.8070623530495349	1.299843026408658	nan	-13.287712379549449	-0.10777051722370837	1.2367656896681023	-0.5689381067575634	-1.0987158700242585	-0.02741016810296261	-0.8667640234169915	1.5827312540510659	-1.5547891091105914	0.20658904468242925	1.248977879389245	-0.15740493081156118	0.335336554251273	0.5127900332744297	1.2771887518215757	nan	0.5169898602882665	1.3621512852440558	-0.8711047020310533	0.5370171906156368	0.9649451891495577	-0.6029887232166941	0.94852330355173	-0.7145659426680793	1.1092318725043644	0.3409091136506107	0.5083831565304997	nan	1.6703235680223458	0.9316873825057359	1.4863386915829282	0.9141918023089556
OG0002373.38	OG0005286.0	OG0000510.30	OG0000755.4	OG0013738.0	OG0001326.24	OG0000680.1	OG0002727.0	OG0000279.0	OG0007653.0	OG0016289.0	OG0003127.0	OG0008347.0	OG0000728.24	OG0021392.0	OG0005989.0	OG0002103.0	OG0000014.1	OG0000525.2	OG0000198.0	OG0001820.0	OG0002989.1	OG0000603.1	OG0000536.32	OG0027769.0	OG0003036.0	OG0000013.2	OG0003540.0	OG0001563.24	OG0000209.2	OG0010648.5	OG0012773.4	OG0012250.0	OG0001191.24	OG0013313.2	OG0001573.24	OG0000876.20	OG0007332.0	OG0001604.92	OG0000000.3436	OG0001338.24	OG0002412.0	OG0015185.2	OG0000139.0	OG0001897.2	OG0000403.25	OG0002740.0	OG0010735.2	OG0001437.24	OG0027441.0	OG0002340.0	OG0000423.2	OG0000000.405	OG0002214.0	OG0000718.0
-0.11939173500852586	0.41380013109344177	-0.7844606751242924	-0.6537125815054894	3.8010416341211353	0.011146051974020342	-0.6147319989195229	1.2757561239048463	0.5294015602184245	0.9941044565402369	1.6658469992336153	0.7497848373355044	1.4274678556022453	0.5085817378574989	nan	1.0314439749834423	-0.7412387545680215	0.02735979221697928	0.9682630495574485	0.9164666708891078	0.9314301189591587	0.6962783725372423	0.5390040973246024	1.095856446108828	nan	0.9515365844308045	1.69165337647498	1.0728171413849683	0.04038155833654092	0.9687950298576617	1.4548596591151128	0.2677501916849598	-0.11299089231784906	-0.13545766808492468	4.085135839210393	0.10731852293785009	0.763407862319383	1.151879537020063	2.298460458398985	nan	-0.26226492200918894	-0.09459918969850088	1.948247919737506	0.5938118263549013	0.9149975598340945	0.5362233855087336	1.498225412652853	-0.34795391681356586	-0.42450434133512815	nan	-0.22713406905666758	1.0243759888258066	0.016843501675733723	1.0214101532283855	1.1345532781419592
OG0001308.24	OG0002640.0	OG0007128.8	OG0023045.0	OG0000561.24	OG0012421.0	OG0000279.0	OG0000081.1	OG0005503.0	OG0001696.0	OG0056847.0	OG0000183.0	OG0001441.1	OG0003496.0	OG0007114.6	OG0000572.0	OG0002116.0	OG0002219.0	OG0007329.0	OG0002087.0	OG0002153.0	OG0002665.8	OG0000219.0	OG0010680.0	OG0002002.0	OG0016763.0	OG0000837.0	OG0006773.2	OG0000702.24	OG0001135.4	OG0000665.0	OG0004053.58	OG0003255.3	OG0000558.24	OG0006240.0	OG0001331.24	OG0000793.0	OG0011152.0	OG0000001.1420	OG0000564.24	OG0001999.0	OG0002731.0	OG0001798.0	OG0000004.33	OG0000403.25	OG0004874.0	OG0005745.0	OG0001593.20	OG0010954.0	OG0000088.3	OG0003523.15	OG0047490.0	OG0001604.2	OG0002432.1	OG0047070.0
0.4821871810238869	1.0036320900828684	0.7003492798011244	nan	-0.16779187175936608	0.17853744614161365	0.5294015602184245	-0.13447268902398787	-0.024866895037887343	-0.35261478742582325	nan	0.9210535027066309	-0.2027555463407358	-0.16562406021193182	1.6320074546226222	0.5568193731699562	0.8719573692736005	0.8298010426831008	-0.5474170635533508	-0.11311773471205322	-0.4064215078683299	0.01622110736698705	1.573667538865403	0.8747525386191665	-0.6733463203724855	1.9059431210152378	1.6762369174072622	-0.6972347154126943	-1.6196339786507588	1.1021867113115356	0.799443555934214	0.844263886928423	0.7761473111755681	0.14453919483855032	0.6304196661688322	0.23225976048765504	1.561710671702091	1.203689897636138	1.5827312540510659	0.32826455418415373	0.7851690367603781	0.21809314476814812	-1.7582203388220319	-0.9358659258149189	0.5362233855087336	1.5661341864557319	0.87940087296316	-0.2975660887927127	2.3251770214778973	1.2156770263296994	1.385186533818434	nan	0.6417137536476554	0.161471808871621	nan
OG0001284.24	OG0002063.0	OG0003150.32	OG0007367.12	OG0000062.197	OG0001151.26	OG0007848.2	OG0006405.0	OG0000230.58	OG0001774.6	OG0002594.0	OG0000920.27	OG0002173.26	OG0000204.2	OG0001362.22	OG0018715.1	OG0006204.0	OG0001137.24	OG0007574.0	OG0000321.2	OG0002087.0	OG0003700.0	OG0001522.0	OG0000812.32	OG0006316.0	OG0021953.0	OG0010531.2	OG0012706.4	OG0000995.5	OG0014534.2	OG0000996.1	OG0003300.0	OG0000001.1420	OG0003299.0	OG0000246.0	OG0002319.0	OG0002910.0	OG0019256.0	OG0005522.8	OG0000999.14	OG0006740.4	OG0001261.1	OG0000391.20	OG0024031.0	OG0000681.0	OG0006043.0	OG0001570.1	OG0000266.0	OG0000272.36	OG0000751.0	OG0006595.0	OG0009907.6	OG0009083.9	OG0000264.1	OG0000777.0
