OG0005575.28	OG0000750.0	OG0001016.1	OG0013106.2	OG0011318.4	OG0000065.1	OG0000740.26	OG0015416.2	OG0000869.2	OG0000310.18	OG0001823.24	OG0002101.0	OG0005567.0	OG0001843.5	OG0000749.2	OG0001824.24	OG0001842.34	OG0008015.25	OG0000065.40	OG0002012.0	OG0001741.1	OG0002348.56	OG0003001.0	OG0000646.28	OG0011319.4	OG0000606.2	OG0000471.2	OG0001567.1	OG0014063.4	OG0001643.24	OG0020502.0	OG0002651.6	OG0006297.0	OG0001579.36	OG0013273.0	OG0003151.14	OG0001964.1	OG0001309.24	OG0000711.2	OG0002178.2	OG0001778.24	OG0008099.0	OG0028281.0	OG0001566.2	OG0001699.1	OG0000038.0	OG0001602.32	OG0002787.0	OG0001907.32	OG0014068.0	OG0000441.96	OG0015415.0	OG0001711.10	OG0001698.26	OG0000441.1
0.348528646655	0.631250045128	0.288720660563	nan	0.21451563346000002	0.048481179496999996	0.288324657467	0.0047902667355	0.243392971871	1.332109307964	0.43125959949299997	0.650611032635	1.008367418955	0.973361793778	0.717814020096	0.40259730881399997	0.618175537394	nan	2.213630469603	0.309935876002	0.313088200552	0.982317917016	0.735807923143	0.08899192361199999	0.5153775395915	0.624064331833	0.337049587624	0.1616891407855	0.021548511697499998	0.192877343808	0.38092232668000003	0.3800584632215	0.32298959204	0.54520919228	2.3906292280645003	0.9368979012540001	0.5537250862975	0.666321541351	0.495641684794	0.5211773102065	0.47722639120099997	0.635002099653	nan	0.7248987999335	0.302651402911	1.134143995644	0.579345579173	1.0572396993320001	0.42374960881449997	0.0356524927955	0.30835831298	0.0	0.567675930182	0.363416734626	0.225707484043
OG0003355.0	OG0000599.0	OG0001608.24	OG0014012.2	OG0005751.0	OG0000002.1788	OG0000724.26	OG0001557.1	OG0000739.15	OG0007009.0	OG0000601.52	OG0000893.3	OG0038127.0	OG0000285.1	OG0000483.0	OG0004651.18	OG0001028.24	OG0000006.1	OG0000959.34	OG0000735.1	OG0000975.0	OG0009799.6	OG0006012.0	OG0000002.1147	OG0003700.0	OG0006112.0	OG0001550.0	OG0003255.3	OG0003364.8	OG0001723.0	OG0002099.0	OG0002033.0	OG0015311.0	OG0001293.1	OG0001311.5	OG0009909.0	OG0000927.0	OG0002335.4	OG0008437.3	OG0020638.0	OG0001354.22	OG0000607.0	OG0000147.0	OG0002545.0	OG0000180.0	OG0002593.5	OG0009277.0	OG0041582.0	OG0011414.0	OG0003435.0	OG0054091.0	OG0002206.0	OG0016024.0	OG0007192.0	OG0002027.0
0.513419962267	0.992206794676	1.9236305970099998	0.650830362043	0.45911622796449997	1.509660930637	0.33510922971	1.0900770980535	0.573325268768	0.7025373433900001	0.269432977368	0.7318529782455	nan	0.5261772218045	0.9973792164915	0.1404434726565	0.565796568612	0.9808833760600001	0.303840793669	0.493908573631	0.36796819891099997	0.45692773401000003	0.2463924718575	1.526717818894	1.0264423692025	0.49239039394699996	0.44663267617799995	0.8719461191500001	0.6290038500940001	0.21482277229200003	0.49306477164800006	1.013493354724	0.298052432838	0.242920109785	0.539053026161	1.23273496401	0.72485869857	0.4244404078185	1.387575900742	1.103182271106	0.760414638179	1.779287800883	0.114415559309	0.5954372757284999	1.571917082437	0.7998247735699999	0.248672632201	nan	0.6067661618860001	0.9174795022329999	nan	0.6618364188579999	0.133437320094	0.578596389527	0.528719930064
OG0001047.26	OG0002923.29	OG0002142.4	OG0004869.12	OG0001840.4	OG0001295.24	OG0002549.36	OG0001821.4	OG0011738.0	OG0000290.0	OG0001383.24	OG0008113.0	OG0002174.0	OG0000177.8	OG0000364.1	OG0000219.0	OG0003491.0	OG0001477.0	OG0046214.0	OG0010669.7	OG0002418.9	OG0006372.2	OG0045184.0	OG0024523.0	OG0001166.24	OG0001932.0	OG0001550.0	OG0001256.24	OG0001307.24	OG0010750.6	OG0000001.1420	OG0002151.0	OG0000276.72	OG0007033.0	OG0002222.0	OG0000864.26	OG0006643.0	OG0010497.2	OG0022262.0	OG0014526.2	OG0000180.0	OG0001590.32	OG0005337.4	OG0006665.0	OG0000862.34	OG0002658.16	OG0001830.6	OG0002446.4	OG0006562.0	OG0000459.0	OG0044831.0	OG0000047.282	OG0000110.3	OG0000583.0	OG0006068.0
0.46537491930200003	0.90665059933	0.607937370685	1.106734681453	1.1115689160525	0.264197089314	0.14310147422049999	0.5109584670925	0.883531487579	1.242891639474	0.41720397139	1.0957684476285001	0.26602356300200003	0.8890078957549999	0.9834078345819999	1.484668146126	0.899432552979	1.071141876426	nan	0.31038268383900003	0.944128431093	1.640004879622	nan	0.0	0.432101197363	0.8970879736984999	0.44663267617799995	0.279329347597	0.347735554393	0.2227180146765	1.280101001299	0.131746556514	0.5069796927645001	0.534867461066	0.437104990153	0.7239255013135	0.3161558611685	1.6431831945539999	0.023604811842	0.343022610817	1.571917082437	0.232669912451	0.8375308968170001	0.42622929527099995	0.318615507616	1.0053817740225002	0.288486151204	0.9493620519679999	0.26031680409650004	0.796660641365	nan	1.4118911033360002	1.2510378698190001	1.47635555481	1.2195056716045
OG0002373.38	OG0005286.0	OG0000510.30	OG0000755.4	OG0013738.0	OG0001326.24	OG0000680.1	OG0002727.0	OG0000279.0	OG0007653.0	OG0016289.0	OG0003127.0	OG0008347.0	OG0000728.24	OG0021392.0	OG0005989.0	OG0002103.0	OG0000014.1	OG0000525.2	OG0000198.0	OG0001820.0	OG0002989.1	OG0000603.1	OG0000536.32	OG0027769.0	OG0003036.0	OG0000013.2	OG0003540.0	OG0001563.24	OG0000209.2	OG0010648.5	OG0012773.4	OG0012250.0	OG0001191.24	OG0013313.2	OG0001573.24	OG0000876.20	OG0007332.0	OG0001604.92	OG0000000.3436	OG0001338.24	OG0002412.0	OG0015185.2	OG0000139.0	OG0001897.2	OG0000403.25	OG0002740.0	OG0010735.2	OG0001437.24	OG0027441.0	OG0002340.0	OG0000423.2	OG0000000.405	OG0002214.0	OG0000718.0
0.291596397898	0.524561777871	0.3904584717215	0.15799716006	0.900155354467	0.454065669042	0.205416879448	0.836814615869	0.7694273495720001	0.378210953609	0.5721752917785	0.50664434813	1.2520760031495	0.804706613654	nan	0.8963029893134999	0.216267008202	0.6573441439185	0.9332534106625	1.212387171574	0.7700581896690001	0.971924487805	0.5328409348725	1.433967444584	0.010904047933	0.661455545826	1.3584723039875	0.7388650326039999	0.483728788187	0.930125499069	0.847857241372	0.13548571030950002	0.058277879874	0.470994793527	0.893466043962	0.533526138258	0.8398173439084999	0.503662538869	1.302161888175	nan	0.34918231169	0.5950452200105	1.232363898581	0.970760426736	0.891572002376	0.9286519185969999	0.9027009065735	0.354080085615	0.339279495449	nan	0.37199505731	1.021664627016	0.2633144507725	1.038656685975	1.4888666555995
OG0001308.24	OG0002640.0	OG0007128.8	OG0023045.0	OG0000561.24	OG0012421.0	OG0000279.0	OG0000081.1	OG0005503.0	OG0001696.0	OG0056847.0	OG0000183.0	OG0001441.1	OG0003496.0	OG0007114.6	OG0000572.0	OG0002116.0	OG0002219.0	OG0007329.0	OG0002087.0	OG0002153.0	OG0002665.8	OG0000219.0	OG0010680.0	OG0002002.0	OG0016763.0	OG0000837.0	OG0006773.2	OG0000702.24	OG0001135.4	OG0000665.0	OG0004053.58	OG0003255.3	OG0000558.24	OG0006240.0	OG0001331.24	OG0000793.0	OG0011152.0	OG0000001.1420	OG0000564.24	OG0001999.0	OG0002731.0	OG0001798.0	OG0000004.33	OG0000403.25	OG0004874.0	OG0005745.0	OG0001593.20	OG0010954.0	OG0000088.3	OG0003523.15	OG0047490.0	OG0001604.2	OG0002432.1	OG0047070.0
0.626427349617	0.601481860001	0.229159825062	1.3332188662620001	0.468815125451	0.7993560428855	0.7694273495720001	0.39183903564149997	0.531836015636	0.4724618756545	nan	0.933392475662	0.46264808365000004	0.307195301342	0.3935733098275	0.6603809802989999	0.930838432187	0.697466310199	0.143688528944	0.48748225359499997	0.362090953058	0.4678613972125	1.484668146126	1.2869390876135	0.383598203062	0.747800429506	1.3867206106580001	0.439164727175	0.17680186090750002	1.174478382468	0.8147571938889999	1.2736160826379999	0.8719461191500001	0.7667065847910001	0.443854954552	0.40810384500299995	1.5189461235655002	1.0407849771555	1.280101001299	0.6103503964854999	0.615638339574	0.342102703805	0.108117815736	0.20352019522	0.9286519185969999	1.4424956851625002	0.413173869402	0.326588815822	0.8352727641525001	1.4858648251425002	1.5731122734670002	nan	0.6819283712455	0.40729288580750006	nan
OG0001284.24	OG0002063.0	OG0003150.32	OG0007367.12	OG0000062.197	OG0001151.26	OG0007848.2	OG0006405.0	OG0000230.58	OG0001774.6	OG0002594.0	OG0000920.27	OG0002173.26	OG0000204.2	OG0001362.22	OG0018715.1	OG0006204.0	OG0001137.24	OG0007574.0	OG0000321.2	OG0002087.0	OG0003700.0	OG0001522.0	OG0000812.32	OG0006316.0	OG0021953.0	OG0010531.2	OG0012706.4	OG0000995.5	OG0014534.2	OG0000996.1	OG0003300.0	OG0000001.1420	OG0003299.0	OG0000246.0	OG0002319.0	OG0002910.0	OG0019256.0	OG0005522.8	OG0000999.14	OG0006740.4	OG0001261.1	OG0000391.20	OG0024031.0	OG0000681.0	OG0006043.0	OG0001570.1	OG0000266.0	OG0000272.36	OG0000751.0	OG0006595.0	OG0009907.6	OG0009083.9	OG0000264.1	OG0000777.0
