OG0005575.28	OG0000750.0	OG0001016.1	OG0013106.2	OG0011318.4	OG0000065.1	OG0000740.26	OG0015416.2	OG0000869.2	OG0000310.18	OG0001823.24	OG0002101.0	OG0005567.0	OG0001843.5	OG0000749.2	OG0001824.24	OG0001842.34	OG0008015.25	OG0000065.40	OG0002012.0	OG0001741.1	OG0002348.56	OG0003001.0	OG0000646.28	OG0011319.4	OG0000606.2	OG0000471.2	OG0001567.1	OG0014063.4	OG0001643.24	OG0020502.0	OG0002651.6	OG0006297.0	OG0001579.36	OG0013273.0	OG0003151.14	OG0001964.1	OG0001309.24	OG0000711.2	OG0002178.2	OG0001778.24	OG0008099.0	OG0028281.0	OG0001566.2	OG0001699.1	OG0000038.0	OG0001602.32	OG0002787.0	OG0001907.32	OG0014068.0	OG0000441.96	OG0015415.0	OG0001711.10	OG0001698.26	OG0000441.1
nan	0.117201	0.169438	nan	nan	nan	0.049576	nan	0.093279	0.189297	0.192824	0.021855	1e-07	0.1919	0.229985	0.0955671	0.216709	nan	0.35728499999999996	1e-07	0.188777	0.252418	0.00373995	0.14636300000000002	nan	0.13281400000000002	0.108426	0.13663	nan	0.116874	nan	0.102384	nan	0.198114	nan	0.100102	0.14970799999999998	1e-07	0.183809	0.040144	0.196069	0.1	nan	0.234066	0.11396400000000001	0.276817	0.171465	0.16265	0.0705023	nan	0.122217	nan	0.135823	0.168699	nan
OG0003355.0	OG0000599.0	OG0001608.24	OG0014012.2	OG0005751.0	OG0000002.1788	OG0000724.26	OG0001557.1	OG0000739.15	OG0007009.0	OG0000601.52	OG0000893.3	OG0038127.0	OG0000285.1	OG0000483.0	OG0004651.18	OG0001028.24	OG0000006.1	OG0000959.34	OG0000735.1	OG0000975.0	OG0009799.6	OG0006012.0	OG0000002.1147	OG0003700.0	OG0006112.0	OG0001550.0	OG0003255.3	OG0003364.8	OG0001723.0	OG0002099.0	OG0002033.0	OG0015311.0	OG0001293.1	OG0001311.5	OG0009909.0	OG0000927.0	OG0002335.4	OG0008437.3	OG0020638.0	OG0001354.22	OG0000607.0	OG0000147.0	OG0002545.0	OG0000180.0	OG0002593.5	OG0009277.0	OG0041582.0	OG0011414.0	OG0003435.0	OG0054091.0	OG0002206.0	OG0016024.0	OG0007192.0	OG0002027.0
0.0411724	0.0431795	0.30836199999999997	nan	nan	0.25140999999999997	0.046803500000000005	0.0618737	0.032545	nan	1e-07	0.07853689999999999	nan	0.0279459	0.155211	nan	1e-07	0.195436	0.22052399999999997	0.150677	0.06308009999999999	nan	nan	0.211869	0.179482	nan	0.046119	nan	1e-07	0.0676046	1e-07	1e-07	nan	0.039921	1e-07	nan	0.053941499999999996	0.12346099999999999	0.24275700000000003	nan	0.0757443	0.158405	0.04170580000000001	0.035225900000000004	0.20710100000000004	0.10976099999999998	nan	nan	0.026381900000000003	1e-07	nan	0.0170951	nan	0.508971	1e-07
OG0001047.26	OG0002923.29	OG0002142.4	OG0004869.12	OG0001840.4	OG0001295.24	OG0002549.36	OG0001821.4	OG0011738.0	OG0000290.0	OG0001383.24	OG0008113.0	OG0002174.0	OG0000177.8	OG0000364.1	OG0000219.0	OG0003491.0	OG0001477.0	OG0046214.0	OG0010669.7	OG0002418.9	OG0006372.2	OG0045184.0	OG0024523.0	OG0001166.24	OG0001932.0	OG0001550.0	OG0001256.24	OG0001307.24	OG0010750.6	OG0000001.1420	OG0002151.0	OG0000276.72	OG0007033.0	OG0002222.0	OG0000864.26	OG0006643.0	OG0010497.2	OG0022262.0	OG0014526.2	OG0000180.0	OG0001590.32	OG0005337.4	OG0006665.0	OG0000862.34	OG0002658.16	OG0001830.6	OG0002446.4	OG0006562.0	OG0000459.0	OG0044831.0	OG0000047.282	OG0000110.3	OG0000583.0	OG0006068.0
0.0264335	0.053581899999999995	1e-07	0.250173	0.22200999999999999	0.0436227	0.0472448	0.0208898	nan	0.0933375	1e-07	nan	0.0362041	0.182997	0.159121	nan	0.06326369999999999	0.174931	nan	nan	0.09517619999999999	nan	nan	nan	1e-07	0.052991199999999995	0.046119	0.0471271	0.0166027	nan	0.265491	0.0219878	0.115124	nan	1e-07	0.015203999999999999	nan	nan	nan	nan	0.20710100000000004	0.0709639	1e-07	nan	0.0155472	0.0486227	0.204464	0.0557744	nan	0.131226	nan	0.146757	0.151199	0.051138699999999995	nan
OG0002373.38	OG0005286.0	OG0000510.30	OG0000755.4	OG0013738.0	OG0001326.24	OG0000680.1	OG0002727.0	OG0000279.0	OG0007653.0	OG0016289.0	OG0003127.0	OG0008347.0	OG0000728.24	OG0021392.0	OG0005989.0	OG0002103.0	OG0000014.1	OG0000525.2	OG0000198.0	OG0001820.0	OG0002989.1	OG0000603.1	OG0000536.32	OG0027769.0	OG0003036.0	OG0000013.2	OG0003540.0	OG0001563.24	OG0000209.2	OG0010648.5	OG0012773.4	OG0012250.0	OG0001191.24	OG0013313.2	OG0001573.24	OG0000876.20	OG0007332.0	OG0001604.92	OG0000000.3436	OG0001338.24	OG0002412.0	OG0015185.2	OG0000139.0	OG0001897.2	OG0000403.25	OG0002740.0	OG0010735.2	OG0001437.24	OG0027441.0	OG0002340.0	OG0000423.2	OG0000000.405	OG0002214.0	OG0000718.0
1e-07	0.512979	0.0511275	0.0964822	0.1	0.0127809	1e-07	0.113521	0.0561153	nan	nan	1e-07	nan	0.0334073	nan	nan	0.0167584	0.114605	0.0931411	0.0629556	0.03584280000000001	1e-07	0.152282	0.204406	nan	0.17490799999999998	0.148452	0.427281	1e-07	0.0219903	0.519884	nan	1e-07	1e-07	nan	0.0409046	0.0402143	nan	0.1	nan	1e-07	0.287475	nan	0.253116	0.17735399999999998	0.0540424	1e-07	nan	0.032545	nan	0.0155472	0.054062	0.0565854	1e-07	0.302539
OG0001308.24	OG0002640.0	OG0007128.8	OG0023045.0	OG0000561.24	OG0012421.0	OG0000279.0	OG0000081.1	OG0005503.0	OG0001696.0	OG0056847.0	OG0000183.0	OG0001441.1	OG0003496.0	OG0007114.6	OG0000572.0	OG0002116.0	OG0002219.0	OG0007329.0	OG0002087.0	OG0002153.0	OG0002665.8	OG0000219.0	OG0010680.0	OG0002002.0	OG0016763.0	OG0000837.0	OG0006773.2	OG0000702.24	OG0001135.4	OG0000665.0	OG0004053.58	OG0003255.3	OG0000558.24	OG0006240.0	OG0001331.24	OG0000793.0	OG0011152.0	OG0000001.1420	OG0000564.24	OG0001999.0	OG0002731.0	OG0001798.0	OG0000004.33	OG0000403.25	OG0004874.0	OG0005745.0	OG0001593.20	OG0010954.0	OG0000088.3	OG0003523.15	OG0047490.0	OG0001604.2	OG0002432.1	OG0047070.0
0.0408194	0.0482728	0.0691672	nan	0.0169727	nan	0.0561153	0.19278	1e-07	0.054316199999999995	nan	0.129415	1e-07	1e-07	nan	0.511279	1e-07	0.122196	nan	1e-07	0.0155472	0.0341487	nan	nan	1e-07	nan	0.18499000000000002	nan	0.0612966	0.042982599999999996	0.040773800000000006	nan	nan	0.17576	nan	0.058594600000000004	0.251656	nan	0.265491	0.04227	1e-07	1e-07	1e-07	0.0155472	0.0540424	0.05687090000000001	nan	0.0155472	nan	0.06782060000000001	0.218263	nan	0.128546	0.14566500000000002	nan
OG0001284.24	OG0002063.0	OG0003150.32	OG0007367.12	OG0000062.197	OG0001151.26	OG0007848.2	OG0006405.0	OG0000230.58	OG0001774.6	OG0002594.0	OG0000920.27	OG0002173.26	OG0000204.2	OG0001362.22	OG0018715.1	OG0006204.0	OG0001137.24	OG0007574.0	OG0000321.2	OG0002087.0	OG0003700.0	OG0001522.0	OG0000812.32	OG0006316.0	OG0021953.0	OG0010531.2	OG0012706.4	OG0000995.5	OG0014534.2	OG0000996.1	OG0003300.0	OG0000001.1420	OG0003299.0	OG0000246.0	OG0002319.0	OG0002910.0	OG0019256.0	OG0005522.8	OG0000999.14	OG0006740.4	OG0001261.1	OG0000391.20	OG0024031.0	OG0000681.0	OG0006043.0	OG0001570.1	OG0000266.0	OG0000272.36	OG0000751.0	OG0006595.0	OG0009907.6	OG0009083.9	OG0000264.1	OG0000777.0
