	1021	3841	CCGE532	CCGM7	CCNWGS0123	CFN42	CIAT899	HAMBI540	IE4803	IRBG74	LMTR13	MAFF303099	Mim1	N161	N561	NGR234	NXC24	ORS2060	ORS285	ORS571	R602	USDA110	USDA6	WSM1325	WSM2073	WSM2304	WSM419
1021	1.0	0.6129032258064516	0.5483870967741935	0.7	0.5333333333333333	0.5806451612903226	0.5161290322580645	0.5666666666666667	0.6129032258064516	0.5666666666666667	0.5666666666666667	0.6666666666666666	0.5806451612903226	0.5806451612903226	0.5483870967741935	0.5806451612903226	0.5806451612903226	0.4666666666666667	0.4666666666666667	0.4	0.6774193548387096	0.4666666666666667	0.5333333333333333	0.7096774193548387	0.6333333333333333	0.5806451612903226	0.8333333333333334
3841	0.6129032258064516	1.0	0.9	0.782608695652174	0.7142857142857143	0.8571428571428571	0.85	0.7619047619047619	0.8181818181818182	0.7619047619047619	0.7619047619047619	0.8181818181818182	0.8571428571428571	0.8571428571428571	0.7272727272727273	0.7727272727272727	0.8571428571428571	0.5454545454545454	0.7	0.6	0.8260869565217391	0.7	0.7142857142857143	0.8695652173913043	0.625	0.8571428571428571	0.6071428571428571
CCGE532	0.5483870967741935	0.9	1.0	0.6956521739130435	0.7	0.85	0.9444444444444444	0.8421052631578947	0.7272727272727273	0.75	0.6666666666666666	0.8095238095238095	0.85	0.85	0.7142857142857143	0.6818181818181818	0.9473684210526315	0.5238095238095238	0.6842105263157895	0.5789473684210527	0.7391304347826086	0.7777777777777778	0.7	0.782608695652174	0.6086956521739131	0.85	0.5357142857142857
CCGM7	0.7	0.782608695652174	0.6956521739130435	1.0	0.7619047619047619	0.7391304347826086	0.6521739130434783	0.8095238095238095	0.7083333333333334	0.7272727272727273	0.7272727272727273	0.8636363636363636	0.7391304347826086	0.6666666666666666	0.56	0.6666666666666666	0.7391304347826086	0.5217391304347826	0.6666666666666666	0.5714285714285714	0.7916666666666666	0.6666666666666666	0.6818181818181818	0.76	0.7391304347826086	0.7391304347826086	0.7692307692307693
CCNWGS0123	0.5333333333333333	0.7142857142857143	0.7	0.7619047619047619	1.0	0.5909090909090909	0.65	0.7368421052631579	0.6363636363636364	0.7368421052631579	0.65	0.8	0.5909090909090909	0.5909090909090909	0.5454545454545454	0.75	0.6666666666666666	0.5789473684210527	0.7647058823529411	0.6470588235294118	0.5833333333333334	0.6666666666666666	0.6842105263157895	0.625	0.75	0.5909090909090909	0.5769230769230769
CFN42	0.5806451612903226	0.8571428571428571	0.85	0.7391304347826086	0.5909090909090909	1.0	0.8947368421052632	0.8	0.8571428571428571	0.6363636363636364	0.7142857142857143	0.7727272727272727	1.0	0.9	0.7619047619047619	0.6521739130434783	0.9	0.5	0.65	0.55	0.8636363636363636	0.7368421052631579	0.6666666666666666	0.8260869565217391	0.5833333333333334	1.0	0.5714285714285714
CIAT899	0.5161290322580645	0.85	0.9444444444444444	0.6521739130434783	0.65	0.8947368421052632	1.0	0.7894736842105263	0.7619047619047619	0.7	0.7	0.7619047619047619	0.8947368421052632	0.8947368421052632	0.75	0.6363636363636364	0.8947368421052632	0.55	0.7222222222222222	0.6111111111111112	0.7727272727272727	0.8235294117647058	0.7368421052631579	0.7391304347826086	0.5652173913043478	0.8947368421052632	0.5
HAMBI540	0.5666666666666667	0.7619047619047619	0.8421052631578947	0.8095238095238095	0.7368421052631579	0.8	0.7894736842105263	1.0	0.6818181818181818	0.7894736842105263	0.7	0.85	0.8	0.7142857142857143	0.5909090909090909	0.5652173913043478	0.8947368421052632	0.55	0.7222222222222222	0.6111111111111112	0.6956521739130435	0.8235294117647058	0.7368421052631579	0.7391304347826086	0.7142857142857143	0.8	0.6153846153846154
IE4803	0.6129032258064516	0.8181818181818182	0.7272727272727273	0.7083333333333334	0.6363636363636364	0.8571428571428571	0.7619047619047619	0.6818181818181818	1.0	0.6818181818181818	0.6818181818181818	0.7391304347826086	0.8571428571428571	0.7727272727272727	0.7272727272727273	0.6956521739130435	0.7727272727272727	0.5454545454545454	0.7	0.5238095238095238	0.8260869565217391	0.6190476190476191	0.6363636363636364	0.8695652173913043	0.625	0.8571428571428571	0.6071428571428571
IRBG74	0.5666666666666667	0.7619047619047619	0.75	0.7272727272727273	0.7368421052631579	0.6363636363636364	0.7	0.7894736842105263	0.6818181818181818	1.0	0.7	0.7619047619047619	0.6363636363636364	0.6363636363636364	0.6666666666666666	0.5652173913043478	0.7142857142857143	0.7222222222222222	0.7222222222222222	0.7058823529411765	0.625	0.7222222222222222	0.7368421052631579	0.7391304347826086	0.7142857142857143	0.6363636363636364	0.68
