OG0012915.3	OG0006804.0	OG0022826.0	OG0004464.0	OG0000027.457	OG0004617.12	OG0000692.0	OG0000019.257	OG0000177.8	OG0002252.0	OG0006400.2	OG0016785.2	OG0001698.26	OG0009883.5	OG0004338.2	OG0001643.24	OG0004324.0	OG0000606.2	OG0001967.0	OG0000835.7	OG0004710.2	OG0022825.0	OG0002346.16	OG0000038.0	OG0000027.1	OG0004835.2	OG0012926.0	OG0001566.2	OG0000471.2	OG0012896.0	OG0000107.44
-1.852748	0.8530597	4.1072	-0.22264189999999998	nan	-0.7431941999999999	-0.8929728000000001	nan	nan	nan	0.9977196	-1.8704049999999999	nan	0.03300591	-0.3143018	nan	-0.4231768	nan	0.8198931999999999	0.7060531	0.6036406999999999	2.8980900000000003	0.3227857	nan	nan	-0.9852652	-0.5787829000000001	nan	nan	0.5931903000000001	1.267889
OG0003918.5	OG0008192.2	OG0006292.0	OG0000121.128	OG0002778.0	OG0009029.2	OG0000429.0	OG0000123.210	OG0000265.0	OG0000001.1420	OG0001697.2	OG0006983.0	OG0004254.23	OG0000034.305	OG0000318.0	OG0003678.2	OG0005879.0	OG0003974.4	OG0002068.0	OG0005314.0	OG0028979.0	OG0012649.2	OG0012177.2	OG0000180.0	OG0001508.1	OG0001601.50	OG0024645.0	OG0048133.0	OG0001723.0	OG0005902.0	OG0000006.561
-1.037951	-0.8370605	-1.203876	-0.3410663	-1.183295	0.5634286000000001	-1.32069	nan	nan	nan	nan	-0.3417436	-0.09259826	nan	0.05866991	0.24428160000000002	-0.8244159	-1.016208	nan	0.40765999999999997	-1.45279	0.09829558	0.07473823	nan	nan	0.1270726	-1.778968	-0.5772164000000001	nan	-0.7029215999999999	nan
OG0000245.24	OG0007897.3	OG0000878.5	OG0000010.475	OG0002537.22	OG0008545.2	OG0003880.0	OG0020510.0	OG0001238.24	OG0001881.0	OG0000279.0	OG0046223.0	OG0000338.41	OG0006082.0	OG0054009.0	OG0007052.0	OG0006151.2	OG0001586.3	OG0004501.15	OG0001103.24	OG0000011.1	OG0003219.0	OG0000443.1	OG0000486.2	OG0009949.0	OG0000483.0	OG0002514.2	OG0014858.0	OG0000015.773	OG0013973.0	OG0001764.0
-0.2543346	-1.455355	-0.003203033	nan	0.3869015	-0.9781635000000001	0.6524886999999999	1.309352	nan	nan	nan	-5.282001	nan	-0.8069473	3.017162	-1.212418	-0.1829761	nan	0.08933162	nan	nan	-0.9716304	0.9939558000000001	0.47164570000000006	0.04585063	0.3933374	0.43065420000000004	1.11537	nan	-0.6502373	nan
OG0000081.1	OG0012102.0	OG0001820.0	OG0000349.0	OG0006412.3	OG0007545.2	OG0000736.0	OG0005721.0	OG0002442.0	OG0000015.1	OG0001366.26	OG0000159.288	OG0001103.24	OG0000026.45	OG0057088.0	OG0000923.0	OG0004113.4	OG0006119.2	OG0013522.0	OG0008685.1	OG0001095.25	OG0002946.0	OG0004461.4	OG0056982.0	OG0000169.16	OG0000120.105	OG0005623.0	OG0017964.4	OG0001851.13	OG0000045.0	OG0005827.2
nan	-0.4127308	nan	0.5581897	0.3137506	0.9757366	nan	-0.6694185	-0.2968395	nan	nan	1.02661	nan	nan	1.552711	0.6578341999999999	-0.02331771	-0.7278831	-0.04099114	1.020583	nan	-0.8042722	-0.801819	1.438739	0.7571687	nan	0.3850093	-1.893702	-1.214584	nan	-0.3037585
OG0000032.252	OG0002841.0	OG0001932.0	OG0003121.6	OG0004500.5	OG0003400.52	OG0037709.0	OG0004267.6	OG0006855.18	OG0020289.0	OG0006474.4	OG0001853.0	OG0000139.0	OG0000011.1	OG0003925.0	OG0000932.26	OG0000047.282	OG0000075.0	OG0008940.1	OG0002340.0	OG0035551.0	OG0018942.4	OG0001415.1	OG0000088.3	OG0000090.24	OG0008493.6	OG0000230.58	OG0001452.24	OG0004749.2	OG0000066.1	OG0010530.0
nan	-0.448169	-1.0125	-0.0058511119999999995	-0.09486523	0.1442263	1.242266	-0.006237989	0.508141	-1.313903	-0.7093096999999999	nan	-0.1087079	nan	-0.1808958	nan	-0.003608783	nan	0.45874319999999996	nan	4.568402	-2.006742	nan	nan	1.324674	0.5355977	nan	nan	0.0206852	-0.5489885	-0.7802319000000001
OG0007434.0	OG0000014.1	OG0000767.24	OG0003400.52	OG0002778.0	OG0006117.2	OG0000265.0	OG0000336.0	OG0053818.0	OG0029083.0	OG0021274.0	OG0000350.8	OG0000048.325	OG0000026.45	OG0002143.0	OG0003960.4	OG0007180.0	OG0006975.0	OG0000237.1	OG0002012.0	OG0000343.0	OG0003714.0	OG0013943.9	OG0010537.0	OG0002104.0	OG0006887.0	OG0006476.16	OG0005145.0	OG0000007.976	OG0004219.22	OG0000074.152
