OG0012915.3	OG0006804.0	OG0022826.0	OG0004464.0	OG0000027.457	OG0004617.12	OG0000692.0	OG0000019.257	OG0000177.8	OG0002252.0	OG0006400.2	OG0016785.2	OG0001698.26	OG0009883.5	OG0004338.2	OG0001643.24	OG0004324.0	OG0000606.2	OG0001967.0	OG0000835.7	OG0004710.2	OG0022825.0	OG0002346.16	OG0000038.0	OG0000027.1	OG0004835.2	OG0012926.0	OG0001566.2	OG0000471.2	OG0012896.0	OG0000107.44
-0.574025449900363	3.3471865635528135	nan	4.796337093549347	7.0328924937553605	2.5915616660558416	5.3046131075363325	4.846145263580903	5.955284279267988	0.6421388859096409	5.2578598702908	-1.1496317731419636	3.76834630985074	2.57008927430335	3.1718221101701016	3.2101128903137615	4.037556234354109	5.666171523074633	6.72934923610745	3.792281048797407	4.392777449539969	nan	2.7483891364840862	8.28439494743276	7.848726000425037	0.7131066658987535	1.1797254540653153	6.524116308090783	4.959066512187899	2.9455225643395324	7.635567466058466
OG0003918.5	OG0008192.2	OG0006292.0	OG0000121.128	OG0002778.0	OG0009029.2	OG0000429.0	OG0000123.210	OG0000265.0	OG0000001.1420	OG0001697.2	OG0006983.0	OG0004254.23	OG0000034.305	OG0000318.0	OG0003678.2	OG0005879.0	OG0003974.4	OG0002068.0	OG0005314.0	OG0028979.0	OG0012649.2	OG0012177.2	OG0000180.0	OG0001508.1	OG0001601.50	OG0024645.0	OG0048133.0	OG0001723.0	OG0005902.0	OG0000006.561
3.7056161944164616	1.4220948588472753	1.6586091200607065	4.5463182252043115	4.720647495603445	2.109897643895018	7.838397830744361	-0.21930959570946543	5.466958415665114	8.01975167213718	2.9650540441230353	2.0897026887372276	0.5256304734257677	7.872426783780332	6.229054930893693	1.4871121893409827	1.835185898595808	2.8541700258154203	-0.021748966927423855	5.62085010868272	-13.287712379549449	0.4228383112586907	1.0380622153865702	6.151833733811486	1.5580935105232954	4.6711591599668605	nan	nan	-0.18068647668409818	2.148032405175865	8.067772562533877
OG0000245.24	OG0007897.3	OG0000878.5	OG0000010.475	OG0002537.22	OG0008545.2	OG0003880.0	OG0020510.0	OG0001238.24	OG0001881.0	OG0000279.0	OG0046223.0	OG0000338.41	OG0006082.0	OG0054009.0	OG0007052.0	OG0006151.2	OG0001586.3	OG0004501.15	OG0001103.24	OG0000011.1	OG0003219.0	OG0000443.1	OG0000486.2	OG0009949.0	OG0000483.0	OG0002514.2	OG0014858.0	OG0000015.773	OG0013973.0	OG0001764.0
4.8640862793334785	0.8691759520426601	4.633152255595551	8.430574733391317	3.829734427467238	3.7458536456694382	5.0063839022781735	-0.11531050524040529	1.1591476180968392	1.0778159195132526	5.061278176866655	nan	5.5115727712411005	2.991350403821071	nan	0.838832976437824	5.015603641428861	1.9781388933900563	5.767959313346104	0.31712340042571563	8.483344082882272	5.300134216943517	4.446939392568661	5.668710873202429	1.4756367886021653	7.52834953367076	3.9496214686442603	2.2649205053628627	8.790301108590631	2.759888859537467	2.032030862812303
OG0000081.1	OG0012102.0	OG0001820.0	OG0000349.0	OG0006412.3	OG0007545.2	OG0000736.0	OG0005721.0	OG0002442.0	OG0000015.1	OG0001366.26	OG0000159.288	OG0001103.24	OG0000026.45	OG0057088.0	OG0000923.0	OG0004113.4	OG0006119.2	OG0013522.0	OG0008685.1	OG0001095.25	OG0002946.0	OG0004461.4	OG0056982.0	OG0000169.16	OG0000120.105	OG0005623.0	OG0017964.4	OG0001851.13	OG0000045.0	OG0005827.2
3.689943473534111	0.6046835183519657	3.298121184399243	5.9424934351629055	1.5284331260829924	5.832396535282089	4.195774944870402	1.9806694596283259	3.5884973621322795	8.807818666953695	1.5632439956914106	1.6851924659952546	0.31712340042571563	8.263328397694044	nan	5.99960570819971	3.034557005192855	3.1480759415245196	2.8323343862598382	1.0285050311469834	1.7811887890352187	1.0999525563035775	3.642396901997335	nan	7.75188923971042	7.328696688654393	3.4656048118849943	0.8639535729004768	3.356866598488062	8.27352802615075	3.613841962693604
OG0000032.252	OG0002841.0	OG0001932.0	OG0003121.6	OG0004500.5	OG0003400.52	OG0037709.0	OG0004267.6	OG0006855.18	OG0020289.0	OG0006474.4	OG0001853.0	OG0000139.0	OG0000011.1	OG0003925.0	OG0000932.26	OG0000047.282	OG0000075.0	OG0008940.1	OG0002340.0	OG0035551.0	OG0018942.4	OG0001415.1	OG0000088.3	OG0000090.24	OG0008493.6	OG0000230.58	OG0001452.24	OG0004749.2	OG0000066.1	OG0010530.0
8.227053962054658	2.433748330582626	4.557311566076585	3.108478909848109	1.6092761728032878	0.08140820353884745	nan	3.256353680299599	1.1228260366737675	4.118758235608516	2.677857146567482	2.840459939996628	5.138622586619456	8.483344082882272	3.9762230847943383	1.5452045634031835	8.29346447064538	7.047519380973122	1.8979066128978812	1.7327313936112132	nan	2.1837253576153297	4.2658768156744875	8.15448337531843	6.243267698529054	2.184789817203632	5.275097595593402	1.479110089968791	2.7347854723782974	0.6565773848753852	0.5301636808006236
OG0007434.0	OG0000014.1	OG0000767.24	OG0003400.52	OG0002778.0	OG0006117.2	OG0000265.0	OG0000336.0	OG0053818.0	OG0029083.0	OG0021274.0	OG0000350.8	OG0000048.325	OG0000026.45	OG0002143.0	OG0003960.4	OG0007180.0	OG0006975.0	OG0000237.1	OG0002012.0	OG0000343.0	OG0003714.0	OG0013943.9	OG0010537.0	OG0002104.0	OG0006887.0	OG0006476.16	OG0005145.0	OG0000007.976	OG0004219.22	OG0000074.152
