OG0012915.3	OG0006804.0	OG0022826.0	OG0004464.0	OG0000027.457	OG0004617.12	OG0000692.0	OG0000019.257	OG0000177.8	OG0002252.0	OG0006400.2	OG0016785.2	OG0001698.26	OG0009883.5	OG0004338.2	OG0001643.24	OG0004324.0	OG0000606.2	OG0001967.0	OG0000835.7	OG0004710.2	OG0022825.0	OG0002346.16	OG0000038.0	OG0000027.1	OG0004835.2	OG0012926.0	OG0001566.2	OG0000471.2	OG0012896.0	OG0000107.44
0.040269093007999995	0.965188261655	nan	1.2002194147715	0.6412004016185	0.12440077351199999	1.1240107269069999	0.547446686123	0.8890078957549999	0.412150910449	1.305781627764	0.02701875753	0.363416734626	0.3527623619685	0.37508026897200003	0.192877343808	0.427685857602	0.624064331833	1.1891491051360001	0.4161880939625	0.2339541474835	nan	0.996790873167	1.134143995644	1.2506885577384999	0.190239638436	1.5978896074000002	0.7248987999335	0.337049587624	1.401534755683	1.0931602008815
OG0003918.5	OG0008192.2	OG0006292.0	OG0000121.128	OG0002778.0	OG0009029.2	OG0000429.0	OG0000123.210	OG0000265.0	OG0000001.1420	OG0001697.2	OG0006983.0	OG0004254.23	OG0000034.305	OG0000318.0	OG0003678.2	OG0005879.0	OG0003974.4	OG0002068.0	OG0005314.0	OG0028979.0	OG0012649.2	OG0012177.2	OG0000180.0	OG0001508.1	OG0001601.50	OG0024645.0	OG0048133.0	OG0001723.0	OG0005902.0	OG0000006.561
0.345315320585	0.084974929956	0.6036611813325	0.540287126509	0.323783241103	0.38927822093950004	1.1325079894875	0.301121471365	0.232166406134	1.280101001299	0.70555729573	0.687145065481	0.20128348143199998	1.047762632612	0.41174843893299995	0.6871880001430001	0.35773946082900004	0.44639483261249996	0.14547353145300002	2.298065024085	0.0	0.83924236117	0.2555224398715	1.571917082437	0.654757122076	0.7806758717325001	nan	nan	0.21482277229200003	0.635604243413	1.331800867994
OG0000245.24	OG0007897.3	OG0000878.5	OG0000010.475	OG0002537.22	OG0008545.2	OG0003880.0	OG0020510.0	OG0001238.24	OG0001881.0	OG0000279.0	OG0046223.0	OG0000338.41	OG0006082.0	OG0054009.0	OG0007052.0	OG0006151.2	OG0001586.3	OG0004501.15	OG0001103.24	OG0000011.1	OG0003219.0	OG0000443.1	OG0000486.2	OG0009949.0	OG0000483.0	OG0002514.2	OG0014858.0	OG0000015.773	OG0013973.0	OG0001764.0
1.4206282363749998	0.096151584015	0.8902024581999999	1.0563396006855001	0.528275202135	0.29123502334	0.666088475728	0.453625388736	0.451108727724	0.612260074793	0.7694273495720001	nan	0.675012402861	0.467390272747	nan	0.33099733425	0.376526613866	0.42064307307800003	0.285762406386	0.262276809019	1.80099202418	1.4268022127039999	0.854788352019	1.059078243381	0.699572845558	0.9973792164915	0.804474786461	1.4499112954100002	2.424082397781	0.42312080436800004	0.144828121245
OG0000081.1	OG0012102.0	OG0001820.0	OG0000349.0	OG0006412.3	OG0007545.2	OG0000736.0	OG0005721.0	OG0002442.0	OG0000015.1	OG0001366.26	OG0000159.288	OG0001103.24	OG0000026.45	OG0057088.0	OG0000923.0	OG0004113.4	OG0006119.2	OG0013522.0	OG0008685.1	OG0001095.25	OG0002946.0	OG0004461.4	OG0056982.0	OG0000169.16	OG0000120.105	OG0005623.0	OG0017964.4	OG0001851.13	OG0000045.0	OG0005827.2
0.39183903564149997	0.17475273783300002	0.7700581896690001	0.520113101544	0.084758225556	0.456321411868	0.5406096666835001	1.3443791040564999	0.7101064512445	2.8088119130540004	0.534449837729	2.2537504718020003	0.262276809019	1.598958773878	nan	1.3868920597255001	0.4073240511895	0.125600097548	1.1894836287250001	0.9912875649089999	0.781653727527	0.9004799649959999	0.450995908907	nan	1.183364074429	0.797705303883	0.650868074037	0.10912244575999999	0.36025553719000003	1.085958198378	0.709405381469
OG0000032.252	OG0002841.0	OG0001932.0	OG0003121.6	OG0004500.5	OG0003400.52	OG0037709.0	OG0004267.6	OG0006855.18	OG0020289.0	OG0006474.4	OG0001853.0	OG0000139.0	OG0000011.1	OG0003925.0	OG0000932.26	OG0000047.282	OG0000075.0	OG0008940.1	OG0002340.0	OG0035551.0	OG0018942.4	OG0001415.1	OG0000088.3	OG0000090.24	OG0008493.6	OG0000230.58	OG0001452.24	OG0004749.2	OG0000066.1	OG0010530.0
1.53053061817	1.0591350165445	0.8970879736984999	1.344756621381	0.150959639716	0.42229591698299995	nan	1.285892507884	0.261990603525	0.914533167356	1.1026993730425	0.6044457040775	0.970760426736	1.80099202418	0.9897631574250001	0.533834734982	1.4118911033360002	0.8493104800994999	0.470210205423	0.37199505731	nan	0.283564510479	0.7509232959550001	1.4858648251425002	1.6853942997929998	0.7655513936220001	0.8544954108759999	0.7606200959020001	0.582255595191	0.4847937130899999	0.17671594413
OG0007434.0	OG0000014.1	OG0000767.24	OG0003400.52	OG0002778.0	OG0006117.2	OG0000265.0	OG0000336.0	OG0053818.0	OG0029083.0	OG0021274.0	OG0000350.8	OG0000048.325	OG0000026.45	OG0002143.0	OG0003960.4	OG0007180.0	OG0006975.0	OG0000237.1	OG0002012.0	OG0000343.0	OG0003714.0	OG0013943.9	OG0010537.0	OG0002104.0	OG0006887.0	OG0006476.16	OG0005145.0	OG0000007.976	OG0004219.22	OG0000074.152
0.659150246892	0.6573441439185	0.376004000321	0.42229591698299995	0.323783241103	0.8482897787455	0.232166406134	0.846586985935	nan	0.0	0.846948546334	1.589898277199	0.189978794313	1.598958773878	0.6122068499719999	1.1017022391975	0.570975606541	0.7388577803740001	0.532522238471	0.309935876002	1.032998526599	0.600835471811	nan	1.1481747245825	0.276513237746	0.451983781791	0.2274203498975	0.065331994457	1.31363662791	0.18596131822200002	1.024192568303
OG0001701.8	OG0004304.0	OG0000100.1	OG0017771.0	OG0000349.0	OG0001823.24	OG0000018.289	OG0001829.22	OG0000183.0	OG0001296.24	OG0000539.1	OG0000350.8	OG0004239.0	OG0045636.0	OG0001996.0	OG0007785.0	OG0013573.4	OG0005097.2	OG0044033.0	OG0000923.0	OG0000409.24	OG0000048.122	OG0002971.0	OG0006546.0	OG0009077.4	OG0005808.1	OG0020398.0	OG0006799.0	OG0000006.561	OG0003169.0	OG0005034.12
0.575665047429	0.5129593413855	1.7415690518009999	0.723305372635	0.520113101544	0.43125959949299997	0.8848256416485	0.5134826720610001	0.933392475662	0.250339921345	0.43355509575900003	1.589898277199	0.20162895243700002	nan	0.592467294471	0.801891325014	0.123730331308	0.676016517326	nan	1.3868920597255001	0.5902696871249999	0.553511689415	0.9665993373620001	1.1668259864419999	0.113525706711	1.784095050514	0.184605173185	0.5881802936955	1.331800867994	0.378458267824	0.631340995058
OG0002761.0	OG0014849.0	OG0000109.0	OG0004961.2	OG0027675.0	OG0000279.0	OG0000265.0	OG0010125.0	OG0008128.0	OG0001550.0	OG0010995.2	OG0017155.5	OG0000318.0	OG0000011.1	OG0003329.0	OG0035637.0	OG0002946.0	OG0001347.26	OG0001667.0	OG0000702.24	OG0000884.25	OG0005222.2	OG0000671.12	OG0000431.12	OG0004964.6	OG0002185.6	OG0005687.4	OG0000006.561	OG0000112.0	OG0006611.0	OG0004968.14
1.3199055976629999	0.12150190056299999	1.187021494123	0.198037015452	1.487237262428	0.7694273495720001	0.232166406134	0.433404933977	1.141583736073	0.44663267617799995	0.5205366441570001	nan	0.41174843893299995	1.80099202418	1.424057839192	nan	0.9004799649959999	0.994450723942	0.618010113503	0.17680186090750002	0.26495122893	0.17863537597399998	0.9036471422825	1.028272893642	0.46339049960699996	0.8796905890350001	0.2096576884235	1.331800867994	1.779803871825	1.035240876795	1.2591335006025
OG0000245.24	OG0013512.2	OG0000738.19	OG0001000.24	OG0003012.0	OG0000320.0	OG0015290.0	OG0005465.0	OG0003944.0	OG0000411.0	OG0002222.0	OG0007722.2	OG0003326.0	OG0019023.0	OG0004806.29	OG0007822.0	OG0000060.0	OG0000026.45	OG0005817.0	OG0000905.14	OG0045490.0	OG0034790.0	OG0000483.0	OG0000435.0	OG0002298.4	OG0003890.6	OG0000204.2	OG0002822.4	OG0000779.1	OG0002938.0	OG0000012.918
1.4206282363749998	0.228657571939	0.475972521646	0.7401557126360001	1.186583867404	0.5666704008905	0.5401838478509999	0.47312052260849996	1.046426639433	0.3678591452865	0.437104990153	1.216568586733	1.5697199511895001	1.7286171142609998	0.816979846857	0.545654548488	1.5710007539989999	1.598958773878	1.282994110378	0.208553317513	nan	nan	0.9973792164915	0.853339550836	1.344089885864	1.207637313071	0.5947279418429999	0.7519304572905	0.648096266045	0.9383124399005001	1.5251989629865
OG0002761.0	OG0004979.3	OG0002080.0	OG0000339.0	OG0002909.2	OG0012357.7	OG0005073.0	OG0000302.34	OG0004396.0	OG0020879.0	OG0000007.585	OG0000009.921	OG0000198.0	OG0004784.0	OG0000187.1	OG0002157.0	OG0001669.0	OG0006103.0	OG0013937.0	OG0005081.18	OG0000467.0	OG0003171.1	OG0000011.1	OG0000923.0	OG0013611.2	OG0048084.0	OG0000310.18	OG0006414.0	OG0035636.0	OG0004470.0	OG0005703.0
