	1021	3841	CCGE532	CCGM7	CCNWGS0123	CFN42	CIAT899	HAMBI540	IE4803	IRBG74	LMTR13	MAFF303099	Mim1	N161	N561	NGR234	NXC24	ORS2060	ORS285	ORS571	R602	USDA110	USDA6	WSM1325	WSM2073	WSM2304	WSM419
1021	1.0	0.6666666666666666	0.5714285714285714	0.75	0.55	0.5714285714285714	0.5238095238095238	0.55	0.6190476190476191	0.6	0.55	0.7	0.5714285714285714	0.6190476190476191	0.5714285714285714	0.6190476190476191	0.5714285714285714	0.4	0.45	0.35	0.7142857142857143	0.45	0.5	0.7142857142857143	0.65	0.5714285714285714	0.8
3841	0.6666666666666666	1.0	0.8666666666666667	0.7647058823529411	0.625	0.8666666666666667	0.8	0.7333333333333333	0.8125	0.6875	0.7333333333333333	0.8125	0.8666666666666667	0.8125	0.6470588235294118	0.7058823529411765	0.8666666666666667	0.4375	0.6	0.4666666666666667	0.8235294117647058	0.6	0.6666666666666666	0.9375	0.5555555555555556	0.8666666666666667	0.631578947368421
CCGE532	0.5714285714285714	0.8666666666666667	1.0	0.6470588235294118	0.6	0.8571428571428571	0.9230769230769231	0.8461538461538461	0.6875	0.6666666666666666	0.6	0.8	0.8571428571428571	0.8	0.625	0.5882352941176471	1.0	0.4	0.5714285714285714	0.42857142857142855	0.7058823529411765	0.6923076923076923	0.6428571428571429	0.8125	0.5294117647058824	0.8571428571428571	0.5263157894736842
CCGM7	0.75	0.7647058823529411	0.6470588235294118	1.0	0.7333333333333333	0.6470588235294118	0.5882352941176471	0.7333333333333333	0.6111111111111112	0.6875	0.7333333333333333	0.8125	0.6470588235294118	0.6111111111111112	0.47368421052631576	0.6111111111111112	0.6470588235294118	0.4375	0.6	0.4666666666666667	0.7222222222222222	0.6	0.6666666666666666	0.7222222222222222	0.6470588235294118	0.6470588235294118	0.8235294117647058
CCNWGS0123	0.55	0.625	0.6	0.7333333333333333	1.0	0.5	0.5333333333333333	0.6923076923076923	0.5625	0.6428571428571429	0.5714285714285714	0.7857142857142857	0.5	0.47058823529411764	0.4117647058823529	0.6666666666666666	0.6	0.46153846153846156	0.6666666666666666	0.5	0.5	0.5384615384615384	0.6153846153846154	0.5882352941176471	0.7142857142857143	0.5	0.5882352941176471
CFN42	0.5714285714285714	0.8666666666666667	0.8571428571428571	0.6470588235294118	0.5	1.0	0.9230769230769231	0.7142857142857143	0.8	0.5625	0.7142857142857143	0.6875	1.0	0.9285714285714286	0.7333333333333333	0.5882352941176471	0.8571428571428571	0.4	0.5714285714285714	0.42857142857142855	0.8125	0.6923076923076923	0.6428571428571429	0.8125	0.4444444444444444	1.0	0.5263157894736842
CIAT899	0.5238095238095238	0.8	0.9230769230769231	0.5882352941176471	0.5333333333333333	0.9230769230769231	1.0	0.7692307692307693	0.7333333333333333	0.6	0.6428571428571429	0.7333333333333333	0.9230769230769231	0.8571428571428571	0.6666666666666666	0.5294117647058824	0.9230769230769231	0.42857142857142855	0.6153846153846154	0.46153846153846156	0.75	0.75	0.6923076923076923	0.75	0.47058823529411764	0.9230769230769231	0.47368421052631576
HAMBI540	0.55	0.7333333333333333	0.8461538461538461	0.7333333333333333	0.6923076923076923	0.7142857142857143	0.7692307692307693	1.0	0.5625	0.7692307692307693	0.6923076923076923	0.7857142857142857	0.7142857142857143	0.6666666666666666	0.5	0.47058823529411764	0.8461538461538461	0.46153846153846156	0.6666666666666666	0.5	0.5882352941176471	0.8181818181818182	0.75	0.6875	0.6	0.7142857142857143	0.5882352941176471
IE4803	0.6190476190476191	0.8125	0.6875	0.6111111111111112	0.5625	0.8	0.7333333333333333	0.5625	1.0	0.625	0.6666666666666666	0.6470588235294118	0.8	0.75	0.6875	0.6470588235294118	0.6875	0.4666666666666667	0.6428571428571429	0.4	0.7647058823529411	0.5333333333333333	0.6	0.875	0.5	0.8	0.5789473684210527
IRBG74	0.6	0.6875	0.6666666666666666	0.6875	0.6428571428571429	0.5625	0.6	0.7692307692307693	0.625	1.0	0.6428571428571429	0.7333333333333333	0.5625	0.5294117647058824	0.5625	0.4444444444444444	0.6666666666666666	0.6666666666666666	0.6153846153846154	0.5833333333333334	0.5555555555555556	0.6153846153846154	0.6923076923076923	0.75	0.6666666666666666	0.5625	0.75
LMTR13	0.55	0.7333333333333333	0.6	0.7333333333333333	0.5714285714285714	0.7142857142857143	0.6428571428571429	0.6923076923076923	0.6666666666666666	0.6428571428571429	1.0	0.6666666666666666	0.7142857142857143	0.6666666666666666	0.5	0.47058823529411764	0.6	0.5833333333333334	0.8181818181818182	0.6363636363636364	0.6875	0.8181818181818182	0.9090909090909091	0.6875	0.6	0.7142857142857143	0.5882352941176471
MAFF303099	0.7	0.8125	0.8	0.8125	0.7857142857142857	0.6875	0.7333333333333333	0.7857142857142857	0.6470588235294118	0.7333333333333333	0.6666666666666666	1.0	0.6875	0.6470588235294118	0.5	0.6470588235294118	0.8	0.4666666666666667	0.6428571428571429	0.5	0.6666666666666666	0.6428571428571429	0.7142857142857143	0.7647058823529411	0.6875	0.6875	0.6666666666666666
Mim1	0.5714285714285714	0.8666666666666667	0.8571428571428571	0.6470588235294118	0.5	1.0	0.9230769230769231	0.7142857142857143	0.8	0.5625	0.7142857142857143	0.6875	1.0	0.9285714285714286	0.7333333333333333	0.5882352941176471	0.8571428571428571	0.4	0.5714285714285714	0.42857142857142855	0.8125	0.6923076923076923	0.6428571428571429	0.8125	0.4444444444444444	1.0	0.5263157894736842
N161	0.6190476190476191	0.8125	0.8	0.6111111111111112	0.47058823529411764	0.9285714285714286	0.8571428571428571	0.6666666666666666	0.75	0.5294117647058824	0.6666666666666666	0.6470588235294118	0.9285714285714286	1.0	0.8	0.6470588235294118	0.8	0.375	0.5333333333333333	0.4	0.875	0.6428571428571429	0.6	0.7647058823529411	0.5	0.9285714285714286	0.5
N561	0.5714285714285714	0.6470588235294118	0.625	0.47368421052631576	0.4117647058823529	0.7333333333333333	0.6666666666666666	0.5	0.6875	0.5625	0.5	0.5	0.7333333333333333	0.8	1.0	0.5882352941176471	0.625	0.5	0.375	0.42857142857142855	0.7058823529411765	0.4666666666666667	0.4375	0.7058823529411765	0.5294117647058824	0.7333333333333333	0.5263157894736842
NGR234	0.6190476190476191	0.7058823529411765	0.5882352941176471	0.6111111111111112	0.6666666666666666	0.5882352941176471	0.5294117647058824	0.47058823529411764	0.6470588235294118	0.4444444444444444	0.47058823529411764	0.6470588235294118	0.5882352941176471	0.6470588235294118	0.5882352941176471	1.0	0.5882352941176471	0.375	0.4375	0.4	0.6666666666666666	0.35294117647058826	0.4117647058823529	0.6666666666666666	0.5882352941176471	0.5882352941176471	0.5
NXC24	0.5714285714285714	0.8666666666666667	1.0	0.6470588235294118	0.6	0.8571428571428571	0.9230769230769231	0.8461538461538461	0.6875	0.6666666666666666	0.6	0.8	0.8571428571428571	0.8	0.625	0.5882352941176471	1.0	0.4	0.5714285714285714	0.42857142857142855	0.7058823529411765	0.6923076923076923	0.6428571428571429	0.8125	0.5294117647058824	0.8571428571428571	0.5263157894736842
ORS2060	0.4	0.4375	0.4	0.4375	0.46153846153846156	0.4	0.42857142857142855	0.46153846153846156	0.4666666666666667	0.6666666666666666	0.5833333333333334	0.4666666666666667	0.4	0.375	0.5	0.375	0.4	1.0	0.5454545454545454	0.875	0.4117647058823529	0.5454545454545454	0.6363636363636364	0.5	0.6153846153846154	0.4	0.5
ORS285	0.45	0.6	0.5714285714285714	0.6	0.6666666666666666	0.5714285714285714	0.6153846153846154	0.6666666666666666	0.6428571428571429	0.6153846153846154	0.8181818181818182	0.6428571428571429	0.5714285714285714	0.5333333333333333	0.375	0.4375	0.5714285714285714	0.5454545454545454	1.0	0.6	0.5625	0.8	0.9	0.5625	0.5714285714285714	0.5714285714285714	0.47058823529411764
ORS571	0.35	0.4666666666666667	0.42857142857142855	0.4666666666666667	0.5	0.42857142857142855	0.46153846153846156	0.5	0.4	0.5833333333333334	0.6363636363636364	0.5	0.42857142857142855	0.4	0.42857142857142855	0.4	0.42857142857142855	0.875	0.6	1.0	0.4375	0.6	0.7	0.4375	0.5384615384615384	0.42857142857142855	0.4375
R602	0.7142857142857143	0.8235294117647058	0.7058823529411765	0.7222222222222222	0.5	0.8125	0.75	0.5882352941176471	0.7647058823529411	0.5555555555555556	0.6875	0.6666666666666666	0.8125	0.875	0.7058823529411765	0.6666666666666666	0.7058823529411765	0.4117647058823529	0.5625	0.4375	1.0	0.5625	0.625	0.7777777777777778	0.5263157894736842	0.8125	0.6
USDA110	0.45	0.6	0.6923076923076923	0.6	0.5384615384615384	0.6923076923076923	0.75	0.8181818181818182	0.5333333333333333	0.6153846153846154	0.8181818181818182	0.6428571428571429	0.6923076923076923	0.6428571428571429	0.4666666666666667	0.35294117647058826	0.6923076923076923	0.5454545454545454	0.8	0.6	0.5625	1.0	0.9	0.5625	0.5714285714285714	0.6923076923076923	0.47058823529411764
USDA6	0.5	0.6666666666666666	0.6428571428571429	0.6666666666666666	0.6153846153846154	0.6428571428571429	0.6923076923076923	0.75	0.6	0.6923076923076923	0.9090909090909091	0.7142857142857143	0.6428571428571429	0.6	0.4375	0.4117647058823529	0.6428571428571429	0.6363636363636364	0.9	0.7	0.625	0.9	1.0	0.625	0.6428571428571429	0.6428571428571429	0.5294117647058824
WSM1325	0.7142857142857143	0.9375	0.8125	0.7222222222222222	0.5882352941176471	0.8125	0.75	0.6875	0.875	0.75	0.6875	0.7647058823529411	0.8125	0.7647058823529411	0.7058823529411765	0.6666666666666666	0.8125	0.5	0.5625	0.4375	0.7777777777777778	0.5625	0.625	1.0	0.6111111111111112	0.8125	0.6842105263157895
