OG0006400.2	OG0000177.8	OG0006804.0	OG0004338.2	OG0022826.0	OG0004324.0	OG0002346.16	OG0002252.0	OG0004835.2	OG0004464.0	OG0000038.0	OG0004617.12	OG0001967.0	OG0000107.44	OG0000692.0	OG0000835.7	OG0000019.257	OG0000606.2	OG0012915.3	OG0009883.5	OG0000027.1
1.8916717209779998	2.415033133129	1.9929775891639998	0.776368442629	nan	1.016012969499	2.474016298145	1.117918869073	0.272360049985	1.746234520076	2.473262479912	0.42131760094899995	2.281237135478	1.834181565819	1.6473984951440002	2.534411768333	1.5356150354440001	1.4076544377140001	0.040269093007999995	0.389288255639	1.872776103784
OG0046571.0	OG0016839.3	OG0043434.0	OG0016469.2	OG0007133.1	OG0006596.0	OG0037987.0	OG0034863.0	OG0009070.4	OG0044964.0	OG0014998.8	OG0019849.0	OG0001180.24	OG0000053.0	OG0008622.0	OG0008262.0	OG0005954.22	OG0007492.4	OG0000693.9	OG0027676.0	OG0046749.0
nan	0.084637565164	nan	1.453251797483	1.9356405960820002	0.159597029261	nan	nan	0.5062509387080001	nan	nan	nan	0.415839251778	3.469201939094	1.14210156569	0.7743210274519999	0.585134521382	0.775667606955	0.872374277583	0.0	nan
OG0030002.0	OG0018776.5	OG0015093.9	OG0045091.0	OG0043348.0	OG0014860.1	OG0020682.0	OG0012331.2	OG0003677.0	OG0009154.6	OG0007752.0	OG0002782.0	OG0038032.0	OG0010777.2	OG0060417.0	OG0016896.2	OG0006313.0	OG0003380.16	OG0006574.0	OG0014601.0	OG0011268.5
nan	nan	nan	nan	nan	0.249989953908	nan	nan	0.8919917030140001	0.0	1.337259329592	1.4589054327570001	nan	nan	nan	0.49698898825599996	0.699470724057	1.175316651588	0.435589676392	1.112043530501	nan
OG0003468.0	OG0053772.0	OG0029000.0	OG0044810.0	OG0008260.19	OG0016323.2	OG0007110.16	OG0013858.3	OG0020433.0	OG0011587.0	OG0048148.0	OG0023240.0	OG0018120.3	OG0035597.0	OG0049142.0	OG0041832.0	OG0014014.2	OG0010597.0	OG0014625.0	OG0016980.0	OG0014647.1
1.545697171338	nan	nan	nan	nan	1.572845405996	nan	0.681664787438	0.236750963385	0.921841842907	nan	nan	0.009168001493	nan	nan	nan	0.490320272421	1.994630014869	0.054005819856000004	2.013282619316	0.369007240119
OG0041934.0	OG0001696.0	OG0045622.0	OG0027680.0	OG0001145.3	OG0008253.2	OG0019818.0	OG0007559.0	OG0046290.0	OG0003145.0	OG0005245.10	OG0002552.0	OG0006868.4	OG0004604.6	OG0034287.0	OG0027757.0	OG0043359.0	OG0003770.8	OG0001075.1	OG0006342.12	OG0014619.0
nan	0.743090052627	nan	nan	0.9551185566249999	0.141225316546	0.095316026995	0.901743439673	nan	1.6111737754820001	0.9739102082879999	1.393017650337	0.664549771153	0.754118459147	nan	nan	nan	0.400718161699	0.471480772331	0.381807683957	0.339000655211
OG0015257.5	OG0008537.0	OG0028991.0	OG0046669.0	OG0001979.1	OG0024790.0	OG0011010.4	OG0041838.0	OG0024962.0	OG0048033.0	OG0016410.2	OG0060486.0	OG0035782.0	OG0057382.0	OG0006474.4	OG0024466.0	OG0013856.2	OG0007323.1	OG0044779.0	OG0005930.6	OG0016301.7
