OG0000038.0	OG0004617.12	OG0000019.257	OG0009883.5	OG0004464.0	OG0000606.2	OG0000027.1	OG0002252.0	OG0001967.0	OG0000107.44	OG0000177.8	OG0000692.0	OG0004835.2	OG0000835.7	OG0006400.2	OG0004338.2	OG0004324.0	OG0002346.16	OG0006804.0
nan	100.1257	nan	2.195914	nan	nan	nan	nan	1.0890799999999998	0.8220155	5.586796	21.4313	9.605725	0.9340764000000001	0.6155170999999999	nan	3.186394	1.538705	0.4374031
OG0000045.0	OG0001525.51	OG0000575.28	OG0009906.2	OG0000539.1	OG0003169.0	OG0001291.1	OG0001619.0	OG0004705.0	OG0000318.0	OG0005643.0	OG0007985.0	OG0010734.0	OG0000442.2	OG0000035.64	OG0002675.22	OG0006461.4	OG0008110.0	OG0000420.0
nan	13.81281	218.6506	nan	nan	0.43743540000000003	nan	2.739417	9.742803	nan	3.7910559999999998	215.9133	2.450324	4.111063	nan	1.336981	5.0453589999999995	2.572517	nan
OG0004319.0	OG0000009.1514	OG0000011.866	OG0003828.1	OG0000575.28	OG0005898.4	OG0004814.0	OG0000923.0	OG0000343.0	OG0000451.0	OG0005090.0	OG0000081.1	OG0000727.24	OG0002486.16	OG0005244.10	OG0006215.0	OG0005088.0	OG0001046.24	OG0000127.0
2.74741	1.882125	nan	1.670078	218.6506	213.9841	10.32145	1.8671220000000002	4.3776980000000005	1.734186	1.2160540000000002	nan	nan	28.460390000000004	nan	190.1936	0.7238014	nan	nan
OG0001730.2	OG0005755.0	OG0000020.431	OG0009936.4	OG0000132.40	OG0004461.4	OG0003514.0	OG0000837.0	OG0000169.16	OG0001324.24	OG0006250.0	OG0000014.1	OG0003724.26	OG0002939.24	OG0003523.15	OG0001707.6	OG0000012.918	OG0000435.0	OG0003463.6
1.562578	25.83509	nan	4.571983	nan	9.483362	4.385952	3.360896	1.320063	nan	212.8008	nan	5.51966	10.26835	0.0422838	2.245829	nan	1.409416	7.624378
OG0005097.2	OG0008076.2	OG0007440.0	OG0006833.2	OG0009936.4	OG0003012.0	OG0001626.24	OG0010032.4	OG0000349.0	OG0000214.0	OG0000350.8	OG0000805.29	OG0001720.16	OG0000228.54	OG0000522.0	OG0001242.28	OG0000060.0	OG0003167.0	OG0000011.1
1.9418389999999999	3.4186	3.169996	5.550587	4.571983	145.5985	3.683762	21.49987	2.254695	nan	1.404703	5.034165	0.8490231	0.515786	nan	nan	nan	0.5911562	nan
OG0007550.0	OG0005169.0	OG0000013.2	OG0001923.1	OG0010605.0	OG0000192.0	OG0000923.0	OG0000749.2	OG0000269.0	OG0001220.24	OG0000350.8	OG0004737.6	OG0002279.0	OG0004569.0	OG0002612.0	OG0011471.4	OG0002841.0	OG0001649.0	OG0010741.0
2.5120669999999996	0.8048218	nan	nan	1.115318	3.8632519999999997	1.8671220000000002	nan	nan	nan	1.404703	7.181531	4.490557	0.8936914	11.67566	1.7655669999999999	6.199598	nan	4.57052
OG0002682.12	OG0004833.1	OG0000310.18	OG0003051.0	OG0017851.0	OG0000001.425	OG0001851.13	OG0000109.0	OG0005485.2	OG0000090.24	OG0003818.6	OG0000246.0	OG0000455.62	OG0002577.26	OG0009937.0	OG0005115.3	OG0000012.918	OG0000927.0	OG0004974.0
2.171065	6.6779839999999995	nan	2.876574	3.1982	nan	14.18325	nan	4.620405	1.567615	0.5238347	nan	nan	2.024321	nan	1.565688	nan	nan	1.246214
OG0001753.20	OG0004473.2	OG0002419.38	OG0001972.1	OG0001921.0	OG0000074.152	OG0000169.16	OG0000246.0	OG0004453.2	OG0001776.0	OG0000780.24	OG0000054.0	OG0013059.0	OG0010749.0	OG0005466.0	OG0000060.0	OG0007990.1	OG0001731.4	OG0000239.0
2.584855	5.219119999999999	nan	2.459449	nan	1.598608	1.320063	nan	19.607770000000002	nan	nan	nan	1.9250180000000001	1.703868	0.4264567	nan	2.845036	1.646309	nan
OG0000015.1	OG0005693.0	OG0007186.0	OG0000000.305	OG0001319.1	OG0000323.43	OG0001619.0	OG0000007.976	OG0000318.0	OG0000746.0	OG0005282.0	OG0000350.8	OG0000121.128	OG0002940.48	OG0014044.0	OG0004511.10	OG0000391.20	OG0008180.1	OG0003696.0
nan	2.85122	nan	nan	nan	nan	2.739417	nan	nan	54.536	8.416848	1.404703	3.155518	26.37758	2.206301	nan	nan	4.600959	0.5513148
OG0001150.24	OG0013523.0	OG0004749.2	OG0007208.0	OG0010591.0	OG0002487.0	OG0002614.0	OG0002519.0	OG0000486.2	OG0000000.3460	OG0003922.0	OG0000749.2	OG0008106.2	OG0000196.0	OG0003156.4	OG0002181.0	OG0000039.0	OG0000239.0	OG0001538.6
nan	0.8425226	1.099265	5.843355	3.234845	189.4823	3.299635	1.0312700000000001	2.731414	nan	3.262137	nan	2.041018	0.8986194	0.116828	0.9267799000000001	nan	nan	nan
OG0000838.0	OG0004239.0	OG0002777.4	OG0001089.2	OG0008596.4	OG0001829.22	OG0000364.1	OG0000009.921	OG0006877.0	OG0001064.24	OG0000442.2	OG0000196.0	OG0003956.4	OG0000473.1	OG0003735.2	OG0000112.0	OG0000102.0	OG0005885.2
3.3543730000000003	2.022675	13.95474	nan	2.476644	nan	nan	nan	nan	nan	4.111063	0.8986194	nan	1.691784	0.1228549	0.9729732	nan	115.0821
