OG0000038.0	OG0004617.12	OG0000019.257	OG0012915.3	OG0009883.5	OG0004464.0	OG0000606.2	OG0000027.1	OG0002252.0	OG0001967.0	OG0000107.44	OG0022826.0	OG0000177.8	OG0000692.0	OG0004835.2	OG0000835.7	OG0006400.2	OG0004338.2	OG0004324.0	OG0002346.16	OG0006804.0
8.28439494743276	2.5915616660558416	4.846145263580903	-0.574025449900363	2.57008927430335	4.796337093549347	5.666171523074633	7.848726000425037	0.6421388859096409	6.72934923610745	7.635567466058466	nan	5.955284279267988	5.3046131075363325	0.7131066658987535	3.792281048797407	5.2578598702908	3.1718221101701016	4.037556234354109	2.7483891364840862	3.3471865635528135
OG0000045.0	OG0015234.2	OG0001525.51	OG0000575.28	OG0009906.2	OG0000539.1	OG0046632.0	OG0003169.0	OG0001291.1	OG0001619.0	OG0004705.0	OG0000318.0	OG0005643.0	OG0007985.0	OG0010734.0	OG0000442.2	OG0000035.64	OG0002675.22	OG0006461.4	OG0008110.0	OG0000420.0
8.27352802615075	1.3841391953115592	3.3811698864737902	7.651671259815025	4.8395515206955	3.3849490884058686	nan	1.4547796692522155	-0.4982510738702649	4.405335335796698	1.1905017164755312	6.229054930893693	2.3946755023936954	2.4415948918059227	2.5398066569865314	8.436557772494048	7.999568499934008	7.505820864946596	2.378834792237001	1.8191066638583002	7.583796104199324
OG0004319.0	OG0000009.1514	OG0000011.866	OG0003828.1	OG0000575.28	OG0005898.4	OG0004814.0	OG0000923.0	OG0000343.0	OG0000451.0	OG0005090.0	OG0000081.1	OG0000727.24	OG0002486.16	OG0005244.10	OG0027728.0	OG0006215.0	OG0005088.0	OG0001046.24	OG0000127.0	OG0024596.0
3.020638143496772	4.359336790483977	8.379899695700772	4.01730342991799	7.651671259815025	0.7766913423618745	2.2176421975817777	5.99960570819971	5.769056814853258	5.058788663458043	3.1097570728060204	3.689943473534111	3.8120275773155274	5.606923942579098	0.9234274189259846	nan	1.277015208009124	1.1909776384525317	1.4109473169951914	8.203055795177706	1.3809649682888985
OG0001730.2	OG0005755.0	OG0000020.431	OG0009936.4	OG0000132.40	OG0004461.4	OG0003514.0	OG0000837.0	OG0000169.16	OG0001324.24	OG0006250.0	OG0046916.0	OG0000014.1	OG0003724.26	OG0002939.24	OG0003523.15	OG0024498.0	OG0001707.6	OG0000012.918	OG0000435.0	OG0003463.6
4.499589919407843	2.200603807493396	4.47055606538078	1.4923574242434359	7.752396580203677	3.642396901997335	1.9062520336632054	8.005291808250009	7.75188923971042	1.246967648025318	1.233796951337578	nan	4.6892493121695615	1.0032104039300815	1.9373159841643095	5.663708045277879	2.0868020535598393	2.5531108204667277	8.03646171547422	8.002306683719008	4.116078109646416
OG0005097.2	OG0008076.2	OG0007440.0	OG0006833.2	OG0009936.4	OG0003012.0	OG0001626.24	OG0010032.4	OG0000349.0	OG0000214.0	OG0021966.0	OG0000350.8	OG0000805.29	OG0001720.16	OG0045390.0	OG0000228.54	OG0000522.0	OG0001242.28	OG0000060.0	OG0003167.0	OG0000011.1
3.4742955303628493	1.1663848349715542	4.278191189493529	2.558843341311435	1.4923574242434359	1.6755013987219742	8.020407773845372	1.294860638784635	5.9424934351629055	7.805841431593453	2.9578006212222387	5.379636474459374	4.673481973323421	6.1899657861139525	nan	5.718778890322427	4.438118697917621	0.05463120819440418	6.076864304110854	1.05932439457481	8.483344082882272
OG0007550.0	OG0005169.0	OG0000013.2	OG0001923.1	OG0044687.0	OG0010605.0	OG0000192.0	OG0000923.0	OG0027629.0	OG0000749.2	OG0000269.0	OG0001220.24	OG0000350.8	OG0004737.6	OG0002279.0	OG0004569.0	OG0002612.0	OG0011471.4	OG0002841.0	OG0001649.0	OG0010741.0
3.2685599191992596	3.0113957508680933	8.1570455112967	6.3504587935854	nan	2.3840279540976512	7.670988632542079	5.99960570819971	-13.287712379549449	5.2285619572734765	7.202471726203116	2.0938144620768986	5.379636474459374	1.302612481887338	1.4226270442161693	3.9576098465953287	4.781604827704892	1.588623692104072	2.433748330582626	2.9859847561085497	2.2437614009156976
OG0002682.12	OG0004833.1	OG0000310.18	OG0003051.0	OG0017851.0	OG0000001.425	OG0013029.10	OG0001851.13	OG0000109.0	OG0005485.2	OG0000090.24	OG0003818.6	OG0000246.0	OG0000455.62	OG0002577.26	OG0009937.0	OG0018631.3	OG0005115.3	OG0000012.918	OG0000927.0	OG0004974.0
5.638563381146586	1.3029173040268305	5.521260749079113	4.545774079952885	2.5743371586108674	7.94021729400331	-1.4192801080436364	3.356866598488062	5.641881173560253	2.5752514614496826	6.243267698529054	3.7582005919849246	5.033241909050571	2.4146656320867033	3.3185396432110594	3.8965256857637165	nan	5.479275642546262	8.03646171547422	4.083069987836739	2.8691716570949652
OG0001753.20	OG0004473.2	OG0002419.38	OG0001972.1	OG0001921.0	OG0000074.152	OG0041803.0	OG0000169.16	OG0000246.0	OG0018627.0	OG0004453.2	OG0001776.0	OG0000780.24	OG0000054.0	OG0013059.0	OG0010749.0	OG0005466.0	OG0000060.0	OG0007990.1	OG0001731.4	OG0000239.0
4.394037201549717	2.1229208641767707	2.1658197087650537	3.748462971141632	1.2730811674763638	7.845915216730726	nan	7.75188923971042	5.033241909050571	2.1055303307598305	1.6376407666659778	4.874772304225587	4.34532529874459	7.924143254740502	0.7824563806404274	0.6098487068567384	2.9614692075407034	6.076864304110854	0.35656978939268835	4.7919149856112835	7.714315561947743
OG0000015.1	OG0005693.0	OG0007186.0	OG0000000.305	OG0001319.1	OG0000323.43	OG0001619.0	OG0000007.976	OG0000318.0	OG0000746.0	OG0005282.0	OG0000350.8	OG0000121.128	OG0027642.0	OG0002940.48	OG0014044.0	OG0004511.10	OG0043935.0	OG0000391.20	OG0008180.1	OG0003696.0
8.807818666953695	2.29287719450585	2.393101154425868	0.34200806819758267	1.7729686269491574	3.8455376366890883	4.405335335796698	8.004067552222748	6.229054930893693	4.748838098792528	1.8420137351633368	5.379636474459374	4.5463182252043115	1.3492081329923764	2.287845917021035	-13.287712379549449	5.032318824097317	nan	7.705235649196371	2.7125262645030217	3.1037496698043925
OG0001150.24	OG0013523.0	OG0004749.2	OG0007208.0	OG0010591.0	OG0002487.0	OG0002614.0	OG0002519.0	OG0000486.2	OG0000000.3460	OG0003922.0	OG0000749.2	OG0008106.2	OG0020922.0	OG0000196.0	OG0003156.4	OG0002181.0	OG0057236.0	OG0000039.0	OG0000239.0	OG0001538.6
0.1855199032210111	3.3235640701889513	2.7347854723782974	1.1172279436182446	0.6595326864181552	4.571163288989597	4.332131277955505	5.554309649420452	5.668710873202429	6.743408220513358	1.636930167381895	5.2285619572734765	0.6030571667600356	0.22441174596493263	6.343889577825015	3.104022471894924	5.082733138702395	nan	8.398778004084955	7.714315561947743	6.894136859067286
OG0000838.0	OG0004239.0	OG0002777.4	OG0001089.2	OG0008596.4	OG0041847.0	OG0001829.22	OG0000364.1	OG0009147.1	OG0000009.921	OG0006877.0	OG0001064.24	OG0000442.2	OG0000196.0	OG0003956.4	OG0000473.1	OG0003735.2	OG0000112.0	OG0010906.0	OG0000102.0	OG0005885.2
4.149936217233732	1.8456137109677115	4.66102211804875	3.487422926663283	2.9883694479017815	nan	2.9950314030837824	7.786821281785832	0.13417198843570058	8.04994317321887	0.8332850586499692	-0.09666929855466945	8.436557772494048	6.343889577825015	3.031579809569874	2.2003747962658555	4.359368881928343	8.235758803334988	3.4243321777866704	7.869657240625032	3.655960463940903
OG0000011.866	OG0005416.0	OG0045182.0	OG0012224.0	OG0000575.28	OG0007208.0	OG0003494.6	OG0002860.1	OG0004971.4	OG0000598.0	OG0000411.0	OG0000081.1	OG0001806.0	OG0000007.585	OG0000047.282	OG0008435.15	OG0014066.4	OG0002138.0	OG0008127.0	OG0004292.0	OG0000239.0
8.379899695700772	2.3174573256133106	nan	2.917776155431803	7.651671259815025	1.1172279436182446	4.7986005379243135	0.5090911245308845	2.8354243485301667	6.0716655494966645	2.8704451897567718	3.689943473534111	4.225902972351621	7.698342762758861	8.29346447064538	0.9283468866703584	-0.6361019151571397	-1.858139818315519	1.5744481513702278	0.9465422599738547	7.714315561947743
OG0000044.1	OG0001753.20	OG0000018.842	OG0013963.0	OG0006286.4	OG0044536.0	OG0005137.0	OG0020719.0	OG0001528.16	OG0003304.0	OG0003514.0	OG0005265.10	OG0000169.16	OG0004933.6	OG0001168.24	OG0004467.6	OG0000519.26	OG0000047.282	OG0000060.0	OG0000002.1788	OG0005517.0
6.606838137470721	4.394037201549717	7.907827066436474	2.4194356378307273	0.7238912313689241	nan	2.5404506565254743	1.7732055918727385	5.266978412930877	3.9124127769016743	1.9062520336632054	0.8336404715866416	7.75188923971042	0.9951339241731102	0.15105810462519456	2.8007713985775866	4.223845880980955	8.29346447064538	6.076864304110854	8.30265560711077	1.5420721588659332
OG0000011.866	OG0002682.12	OG0015299.0	OG0000663.26	OG0000074.152	OG0011454.0	OG0003630.6	OG0000318.0	OG0002211.0	OG0006328.0	OG0006859.2	OG0000350.8	OG0007546.0	OG0002486.16	OG0006802.11	OG0000584.0	OG0018186.0	OG0041603.0	OG0000127.0	OG0004437.0	OG0003155.34
8.379899695700772	5.638563381146586	2.754448405402964	1.7413068988615592	7.845915216730726	2.0508269127931156	2.6725682456621582	6.229054930893693	1.5203437670744055	1.369255438604538	3.263267964762762	5.379636474459374	3.39179802648072	5.606923942579098	1.7388639089699307	7.3775374308335575	0.7350331567279016	nan	8.203055795177706	1.0364447517843918	2.9543525332513476
OG0002954.0	OG0000310.18	OG0001557.1	OG0004226.0	OG0006642.0	OG0000010.64	OG0004989.0	OG0011211.0	OG0005109.6	OG0002009.0	OG0000349.0	OG0002448.22	OG0003197.4	OG0004238.6	OG0005057.0	OG0000027.457	OG0002768.0	OG0000302.34	OG0000753.0	OG0046003.0	OG0001851.2
4.389891384279578	5.521260749079113	7.700950087629641	2.706220409918841	0.7299508298569989	8.340891106898738	1.4787846764191659	3.134276314115382	3.129922912786064	0.6239064930532454	5.9424934351629055	3.979837247650046	2.6915417958348433	1.650268692884036	2.3076063851703603	7.0328924937553605	5.163797190318463	6.700306630115481	3.983524713471365	nan	1.9841687625719235
OG0048136.0	OG0004326.0	OG0000700.36	OG0029221.0	OG0003073.0	OG0000100.1	OG0001301.24	OG0004113.4	OG0007309.0	OG0000169.16	OG0000338.41	OG0002449.21	OG0012206.0	OG0000121.128	OG0000857.0	OG0009061.6	OG0007555.0	OG0005939.0	OG0006414.0	OG0000002.1788	OG0000239.0
nan	3.0998412343471227	2.5144627249041425	1.69583356290137	3.7452882498640823	8.14818925314384	1.0283509171843825	3.034557005192855	2.190248705275466	7.75188923971042	5.5115727712411005	3.468870896051371	1.9001615600381392	4.5463182252043115	5.526818838949068	1.4511448199499346	4.217149903787867	3.5403605743932487	2.6119393610399997	8.30265560711077	7.714315561947743
OG0009779.2	OG0006236.0	OG0007778.4	OG0005266.0	OG0004694.0	OG0000616.40	OG0004460.9	OG0002185.6	OG0014516.2	OG0000318.0	OG0028566.0	OG0001155.24	OG0004737.6	OG0005099.0	OG0000121.128	OG0000035.64	OG0004569.0	OG0000142.14	OG0003459.2	OG0000039.0	OG0000431.12
2.660478572040091	1.2036795023555074	3.134383509796653	2.4051629028587582	1.9979177206199297	7.507108543615876	2.6138761448572754	4.186182599807935	-0.45398955628497134	6.229054930893693	nan	1.7611001159708541	1.302612481887338	1.5765944406550285	4.5463182252043115	7.999568499934008	3.9576098465953287	7.615279872283502	6.038253290328572	8.398778004084955	5.129817500709197
OG0034744.0	OG0003521.2	OG0000231.0	OG0009811.0	OG0019288.0	OG0000100.1	OG0000090.24	OG0000187.1	OG0003630.6	OG0000009.921	OG0006577.0	OG0011881.8	OG0005229.4	OG0004960.0	OG0000121.128	OG0001030.26	OG0000857.0	OG0000658.0	OG0002939.24	OG0003505.8	OG0007494.0
nan	4.829929153393496	4.91489495750678	0.3424633809668937	-0.06857206217177948	8.14818925314384	6.243267698529054	7.495937788508136	2.6725682456621582	8.04994317321887	1.2064036219881016	0.8545396529206946	1.000822007801249	2.4031648338050173	4.5463182252043115	1.1824285995082477	5.526818838949068	8.395060215532954	1.9373159841643095	1.1559750542221718	6.0429674463510485
