OG0000038.0	OG0004617.12	OG0000019.257	OG0012915.3	OG0009883.5	OG0004464.0	OG0000606.2	OG0000027.1	OG0002252.0	OG0001967.0	OG0000107.44	OG0022826.0	OG0000177.8	OG0000692.0	OG0004835.2	OG0000835.7	OG0006400.2	OG0004338.2	OG0004324.0	OG0002346.16	OG0006804.0
1.194228300642796	0.018014285351798488	0.050528128990071	-0.574025449900363	0.9182746070140498	1.6419135182040943	0.5143631591319802	1.2484510086466838	-0.006720336416998766	1.5882904172534085	1.877187566661312	nan	1.5266319293220363	1.8169971813906374	-0.8351836389871339	0.05665574585056997	1.446923653234134	1.164972429545315	0.9956940807452876	0.7892010360271158	1.4202738952916638
OG0000045.0	OG0015234.2	OG0001525.51	OG0000575.28	OG0009906.2	OG0000539.1	OG0046632.0	OG0003169.0	OG0001291.1	OG0001619.0	OG0004705.0	OG0000318.0	OG0005643.0	OG0007985.0	OG0010734.0	OG0000442.2	OG0000035.64	OG0002675.22	OG0006461.4	OG0008110.0	OG0000420.0
1.0917068867086681	1.3841391953115592	0.34834099089389703	0.7036318657782659	2.2607806902914964	-0.2480237152417398	nan	0.7177462612611851	-1.334921501616643	1.0740712306383033	0.017809451871841367	-0.16099870804441482	0.7385892120255106	1.7520151245844302	1.3088090817559592	2.5571756040571847	1.3403360059740228	0.4766639829444203	1.6836919097259009	0.3869795727306356	0.9342960975731764
OG0004319.0	OG0000009.1514	OG0000011.866	OG0003828.1	OG0000575.28	OG0005898.4	OG0004814.0	OG0000923.0	OG0000343.0	OG0000451.0	OG0005090.0	OG0000081.1	OG0000727.24	OG0002486.16	OG0005244.10	OG0027728.0	OG0006215.0	OG0005088.0	OG0001046.24	OG0000127.0	OG0024596.0
0.6501621183576074	-0.7158691177072414	1.892675424017318	0.3800087387544692	0.7036318657782659	0.7220349610223757	2.0187801981097877	1.5892895650517653	0.9196358829439206	0.7826306385444155	1.5321817372992605	-0.13447268902398787	-0.022937692461799167	0.7560766373466468	0.6621563163150515	nan	1.0347869452548848	0.26953645087736	0.6615811494654091	1.118531141855312	1.3809649682888985
OG0001730.2	OG0005755.0	OG0000020.431	OG0009936.4	OG0000132.40	OG0004461.4	OG0003514.0	OG0000837.0	OG0000169.16	OG0001324.24	OG0006250.0	OG0046916.0	OG0000014.1	OG0003724.26	OG0002939.24	OG0003523.15	OG0024498.0	OG0001707.6	OG0000012.918	OG0000435.0	OG0003463.6
0.2836177074064675	1.7308428282414063	0.5887656006890484	1.1582259089277476	1.6006477362280964	1.070901214560109	0.9554025431235577	1.6762369174072622	1.2830466447400166	0.49377819378233795	1.0611019981043666	nan	0.02735979221697928	0.5675410620424834	-0.01797818367196981	1.385186533818434	2.0868020535598393	0.803053902557049	1.368747872415985	1.4282583062446856	0.8603839761226698
OG0005097.2	OG0008076.2	OG0007440.0	OG0006833.2	OG0009936.4	OG0003012.0	OG0001626.24	OG0010032.4	OG0000349.0	OG0000214.0	OG0021966.0	OG0000350.8	OG0000805.29	OG0001720.16	OG0045390.0	OG0000228.54	OG0000522.0	OG0001242.28	OG0000060.0	OG0003167.0	OG0000011.1
1.4483051098062467	0.6084278307030062	0.9643947845824233	1.4699791780442975	1.1582259089277476	0.989392355702388	1.1627120133778766	-0.26990629276912015	0.7419929106634897	1.6529089590662098	2.9578006212222387	1.605308722421307	0.5578781493469849	-0.08725650741959927	nan	1.123745528160366	0.5442902745130277	-0.7847254275029486	1.468594828831307	-0.6992576413727603	2.0510426948705494
OG0007550.0	OG0005169.0	OG0000013.2	OG0001923.1	OG0044687.0	OG0010605.0	OG0000192.0	OG0000923.0	OG0027629.0	OG0000749.2	OG0000269.0	OG0001220.24	OG0000350.8	OG0004737.6	OG0002279.0	OG0004569.0	OG0002612.0	OG0011471.4	OG0002841.0	OG0001649.0	OG0010741.0
