OG0000038.0	OG0004617.12	OG0000019.257	OG0012915.3	OG0009883.5	OG0004464.0	OG0000606.2	OG0000027.1	OG0002252.0	OG0001967.0	OG0000107.44	OG0022826.0	OG0000177.8	OG0000692.0	OG0004835.2	OG0000835.7	OG0006400.2	OG0004338.2	OG0004324.0	OG0002346.16	OG0006804.0
2.473262479912	0.42131760094899995	1.5356150354440001	0.040269093007999995	0.389288255639	1.746234520076	1.4076544377140001	1.872776103784	1.117918869073	2.281237135478	1.834181565819	nan	2.415033133129	1.6473984951440002	0.272360049985	2.534411768333	1.8916717209779998	0.776368442629	1.016012969499	2.474016298145	1.9929775891639998
OG0000045.0	OG0015234.2	OG0001525.51	OG0000575.28	OG0009906.2	OG0000539.1	OG0046632.0	OG0003169.0	OG0001291.1	OG0001619.0	OG0004705.0	OG0000318.0	OG0005643.0	OG0007985.0	OG0010734.0	OG0000442.2	OG0000035.64	OG0002675.22	OG0006461.4	OG0008110.0	OG0000420.0
1.9444874344190002	0.7066595015539999	1.00675228364	1.7824630045339998	1.7570841196709999	0.827383012269	nan	1.710640609388	0.44318281587999997	1.791373442892	0.331214834408	1.383725896207	1.114668074832	1.037169895434	0.879533193519	2.7830322418290003	1.928379765924	1.068713105904	1.484642222623	0.9664606954	1.5431179497440002
OG0004319.0	OG0000009.1514	OG0000011.866	OG0003828.1	OG0000575.28	OG0005898.4	OG0004814.0	OG0000923.0	OG0000343.0	OG0000451.0	OG0005090.0	OG0000081.1	OG0000727.24	OG0002486.16	OG0005244.10	OG0027728.0	OG0006215.0	OG0005088.0	OG0001046.24	OG0000127.0	OG0024596.0
1.329814164358	1.309179314371	2.474501733118	0.885922418064	1.7824630045339998	0.382886290641	1.341507615584	1.850262568938	1.5119690467809999	1.973421892859	1.294336824473	0.9553415286939999	0.9027648385100001	1.461152330429	0.565846169089	nan	1.5996891860799998	0.769813442173	1.402644540604	2.433086151795	0.141909755156
OG0001730.2	OG0005755.0	OG0000020.431	OG0009936.4	OG0000132.40	OG0004461.4	OG0003514.0	OG0000837.0	OG0000169.16	OG0001324.24	OG0006250.0	OG0046916.0	OG0000014.1	OG0003724.26	OG0002939.24	OG0003523.15	OG0024498.0	OG0001707.6	OG0000012.918	OG0000435.0	OG0003463.6
1.831108497667	1.6584545283930001	2.575071360631	0.18270715648	1.534617499917	0.921949154216	1.830132803114	2.644367527542	2.755524214033	1.347641280496	0.527918497816	nan	1.480162437391	1.205984852456	0.807424659164	2.133686172268	0.23147113305999997	1.914937877371	2.4953506102	2.624995612949	1.116686375338
OG0005097.2	OG0008076.2	OG0007440.0	OG0006833.2	OG0009936.4	OG0003012.0	OG0001626.24	OG0010032.4	OG0000349.0	OG0000214.0	OG0021966.0	OG0000350.8	OG0000805.29	OG0001720.16	OG0045390.0	OG0000228.54	OG0000522.0	OG0001242.28	OG0000060.0	OG0003167.0	OG0000011.1
1.502982790705	0.113160003509	1.163314176521	1.226459064337	0.18270715648	1.516799279964	2.070427185244	0.587949633415	1.403260125015	3.986703004027	1.483357103798	2.182534005176	1.3528332282989999	1.7976503055050002	nan	1.7827745950459999	1.45648005008	0.5029424339280001	2.1868875487799997	0.499005954282	3.6834617129470004
OG0007550.0	OG0005169.0	OG0000013.2	OG0001923.1	OG0044687.0	OG0010605.0	OG0000192.0	OG0000923.0	OG0027629.0	OG0000749.2	OG0000269.0	OG0001220.24	OG0000350.8	OG0004737.6	OG0002279.0	OG0004569.0	OG0002612.0	OG0011471.4	OG0002841.0	OG0001649.0	OG0010741.0
1.508918471859	0.589362893313	1.916299342898	2.226838950691	nan	1.065265296481	1.8007747104840002	1.850262568938	0.0	1.281508523635	1.358292229743	1.4579680988710002	2.182534005176	0.481769859054	1.6856061581819999	1.602621530921	1.9622087543200002	0.246416525878	1.485118076743	0.397222659078	0.243651145467
OG0002682.12	OG0004833.1	OG0000310.18	OG0003051.0	OG0017851.0	OG0000001.425	OG0013029.10	OG0001851.13	OG0000109.0	OG0005485.2	OG0000090.24	OG0003818.6	OG0000246.0	OG0000455.62	OG0002577.26	OG0009937.0	OG0018631.3	OG0005115.3	OG0000012.918	OG0000927.0	OG0004974.0
1.26287170717	1.7502787774180002	2.2305287432589997	1.515320393463	0.6969008778970001	1.9419007885350001	0.025098854	0.66509112692	2.362715202036	1.734770863286	3.215048393315	3.9521784487519995	2.057935302318	0.483472695475	0.9482608596850001	0.8245262361519999	nan	1.3542408800249999	2.4953506102	1.631963337071	1.257267537048
OG0001753.20	OG0004473.2	OG0002419.38	OG0001972.1	OG0001921.0	OG0000074.152	OG0041803.0	OG0000169.16	OG0000246.0	OG0018627.0	OG0004453.2	OG0001776.0	OG0000780.24	OG0000054.0	OG0013059.0	OG0010749.0	OG0005466.0	OG0000060.0	OG0007990.1	OG0001731.4	OG0000239.0
1.749395399398	0.59798002336	1.122667026114	1.4544487256869998	1.2205760035089999	1.423513004181	nan	2.755524214033	2.057935302318	1.303706732299	0.985625640948	1.5281103090560002	1.4562427178510002	2.115425783436	1.222744413327	0.307369970596	1.348156721736	2.1868875487799997	0.9055793930239999	1.647903662598	2.605977852872
OG0000015.1	OG0005693.0	OG0007186.0	OG0000000.305	OG0001319.1	OG0000323.43	OG0001619.0	OG0000007.976	OG0000318.0	OG0000746.0	OG0005282.0	OG0000350.8	OG0000121.128	OG0027642.0	OG0002940.48	OG0014044.0	OG0004511.10	OG0043935.0	OG0000391.20	OG0008180.1	OG0003696.0
5.247589854796	1.404555684341	1.464660311036	0.36589119011999993	1.737197182748	0.532757563553	1.791373442892	2.16391999388	1.383725896207	1.487372879337	0.492717197442	2.182534005176	0.9632207970119999	0.169442756646	1.1047439230679998	0.0	0.20898905829999997	nan	1.7619523860530002	0.192485203619	1.8189192590869998
OG0001150.24	OG0013523.0	OG0004749.2	OG0007208.0	OG0010591.0	OG0002487.0	OG0002614.0	OG0002519.0	OG0000486.2	OG0000000.3460	OG0003922.0	OG0000749.2	OG0008106.2	OG0020922.0	OG0000196.0	OG0003156.4	OG0002181.0	OG0057236.0	OG0000039.0	OG0000239.0	OG0001538.6
0.425811451021	0.451246740607	1.177856355031	0.5891845464509999	0.906341733822	1.498181662426	2.640053990555	1.6928937188820001	1.485882069705	0.712399937348	1.804621189429	1.281508523635	0.501092805493	0.235754638812	3.067100635625	1.7157995877849999	2.338229201287	nan	2.509757058631	2.605977852872	1.684309644486
OG0000838.0	OG0004239.0	OG0002777.4	OG0001089.2	OG0008596.4	OG0041847.0	OG0001829.22	OG0000364.1	OG0009147.1	OG0000009.921	OG0006877.0	OG0001064.24	OG0000442.2	OG0000196.0	OG0003956.4	OG0000473.1	OG0003735.2	OG0000112.0	OG0010906.0	OG0000102.0	OG0005885.2
1.420595956369	0.6961359287819999	1.6270486439010001	1.4324009663150001	0.525021391254	nan	1.442611150483	1.519929498117	0.630631409015	2.228189860774	0.19072675638	0.679170487564	2.7830322418290003	3.067100635625	1.279924174684	1.220586433239	1.406366552478	3.077811112708	2.5763972412959997	1.593515605349	2.584567149848
OG0000011.866	OG0005416.0	OG0045182.0	OG0012224.0	OG0000575.28	OG0007208.0	OG0003494.6	OG0002860.1	OG0004971.4	OG0000598.0	OG0000411.0	OG0000081.1	OG0001806.0	OG0000007.585	OG0000047.282	OG0008435.15	OG0014066.4	OG0002138.0	OG0008127.0	OG0004292.0	OG0000239.0
2.474501733118	0.65154220166	nan	1.125988759126	1.7824630045339998	0.5891845464509999	1.55424973555	0.532562849257	0.7556107429919999	1.9285008520159999	0.8289798224230001	0.9553415286939999	1.328968533044	1.586928019729	1.9450800665130001	0.18614865067699998	0.019823411811	0.191710482776	0.493884075893	1.084873080414	2.605977852872
OG0000044.1	OG0001753.20	OG0000018.842	OG0013963.0	OG0006286.4	OG0044536.0	OG0005137.0	OG0020719.0	OG0001528.16	OG0003304.0	OG0003514.0	OG0005265.10	OG0000169.16	OG0004933.6	OG0001168.24	OG0004467.6	OG0000519.26	OG0000047.282	OG0000060.0	OG0000002.1788	OG0005517.0
1.291015223883	1.749395399398	1.540751524415	1.01655458559	0.370733758159	nan	1.640783174725	0.334347299754	2.962252643137	2.1643314368990003	1.830132803114	0.429094669404	2.755524214033	0.975291012686	0.679918546071	0.42583845310999996	1.092222059742	1.9450800665130001	2.1868875487799997	2.333775144494	0.8094214445029999
OG0000011.866	OG0002682.12	OG0015299.0	OG0000663.26	OG0000074.152	OG0011454.0	OG0003630.6	OG0000318.0	OG0002211.0	OG0006328.0	OG0006859.2	OG0000350.8	OG0007546.0	OG0002486.16	OG0006802.11	OG0000584.0	OG0018186.0	OG0041603.0	OG0000127.0	OG0004437.0	OG0003155.34
2.474501733118	1.26287170717	0.912179348492	0.586030929068	1.423513004181	0.253981588789	1.921849130831	1.383725896207	1.032591396529	1.051993811475	0.561993706833	2.182534005176	1.036534390216	1.461152330429	0.5050974882029999	1.4411776226480002	0.464077898305	nan	2.433086151795	0.463923890254	1.6131651351510001
OG0002954.0	OG0000310.18	OG0001557.1	OG0004226.0	OG0006642.0	OG0000010.64	OG0004989.0	OG0011211.0	OG0005109.6	OG0002009.0	OG0000349.0	OG0002448.22	OG0003197.4	OG0004238.6	OG0005057.0	OG0000027.457	OG0002768.0	OG0000302.34	OG0000753.0	OG0046003.0	OG0001851.2
1.184669924862	2.2305287432589997	1.398978485665	0.9345747640880001	0.370679599842	2.375759856251	1.744673985514	2.075590493349	0.651743678106	1.049983669441	1.403260125015	1.7004591095860002	0.982109027799	1.35564615273	1.017102043155	0.90064301314	2.8073315774769996	0.887657456725	0.504143996181	nan	1.161084472394
OG0048136.0	OG0004326.0	OG0000700.36	OG0029221.0	OG0003073.0	OG0000100.1	OG0001301.24	OG0004113.4	OG0007309.0	OG0000169.16	OG0000338.41	OG0002449.21	OG0012206.0	OG0000121.128	OG0000857.0	OG0009061.6	OG0007555.0	OG0005939.0	OG0006414.0	OG0000002.1788	OG0000239.0
nan	0.97295719595	0.781035522564	0.981398924598	0.869939022387	2.642156991527	0.785390870882	1.8154666869369998	0.8591671123450001	2.755524214033	1.424242444303	2.1139507538449998	0.513894725405	0.9632207970119999	2.578601317608	1.363776455753	1.220941425298	1.649899265298	1.348344000113	2.333775144494	2.605977852872
OG0009779.2	OG0006236.0	OG0007778.4	OG0005266.0	OG0004694.0	OG0000616.40	OG0004460.9	OG0002185.6	OG0014516.2	OG0000318.0	OG0028566.0	OG0001155.24	OG0004737.6	OG0005099.0	OG0000121.128	OG0000035.64	OG0004569.0	OG0000142.14	OG0003459.2	OG0000039.0	OG0000431.12
1.303455763855	1.434468271126	1.966390540293	2.125862773797	1.259964781625	1.4534816144479998	0.67737053507	1.204677992578	0.140604673435	1.383725896207	nan	0.756672954907	0.481769859054	2.002972831597	0.9632207970119999	1.928379765924	1.602621530921	2.560478113133	1.782301210498	2.509757058631	1.8431466290799998
OG0034744.0	OG0003521.2	OG0000231.0	OG0009811.0	OG0019288.0	OG0000100.1	OG0000090.24	OG0000187.1	OG0003630.6	OG0000009.921	OG0006577.0	OG0011881.8	OG0005229.4	OG0004960.0	OG0000121.128	OG0001030.26	OG0000857.0	OG0000658.0	OG0002939.24	OG0003505.8	OG0007494.0
nan	0.810183715664	1.9696601464019998	0.615232750867	0.051955227927999996	2.642156991527	3.215048393315	2.7137142473659996	1.921849130831	2.228189860774	0.51574215723	0.460496785919	0.44209618119599997	1.096355624236	0.9632207970119999	1.1695185019299998	2.578601317608	2.1628327347589997	0.807424659164	0.390233836706	1.830886064592
OG0005479.0	OG0001409.1	OG0002260.4	OG0028958.0	OG0004183.0	OG0004580.6	OG0000343.0	OG0000451.0	OG0000200.0	OG0000246.0	OG0000349.0	OG0001785.1	OG0021227.0	OG0005438.0	OG0005184.0	OG0000699.1	OG0007825.2	OG0006513.0	OG0006820.0	OG0000102.0	OG0000039.0
1.079729847214	0.36842385350400003	1.164994279574	nan	1.6603280593090002	0.696558775847	1.5119690467809999	1.973421892859	1.735888421776	2.057935302318	1.403260125015	1.4812551877700002	1.1904051127	0.472128112991	1.867354952152	0.867283828143	0.36948837628	0.155260859342	1.680346388283	1.593515605349	2.509757058631
OG0012767.2	OG0000483.0	OG0000480.64	OG0004326.0	OG0007208.0	OG0000007.3	OG0005315.0	OG0001656.2	OG0005640.2	OG0000032.252	OG0000349.0	OG0000411.0	OG0000779.1	OG0022190.0	OG0000442.2	OG0000042.314	OG0045552.0	OG0004560.0	OG0017937.0	OG0005856.2	OG0010757.0
1.1124351639830001	1.399476356236	0.648829535986	0.97295719595	0.5891845464509999	1.587877769159	0.47518624769199996	1.5101272045899998	0.8659826556579999	1.948494211602	1.403260125015	0.8289798224230001	2.108657819502	0.257795224652	2.7830322418290003	2.476573318562	nan	0.7971055324609999	0.248407247441	0.530457275679	0.459626985452
OG0001610.50	OG0000575.28	OG0005222.2	OG0001656.2	OG0004565.2	OG0012686.0	OG0000616.40	OG0000486.2	OG0001701.8	OG0004469.6	OG0041632.0	OG0010723.0	OG0000269.0	OG0005892.2	OG0000350.8	OG0000088.3	OG0005184.0	OG0000027.457	OG0016571.1	OG0006625.0	OG0002132.0
2.1155208233400002	1.7824630045339998	0.530606531731	1.5101272045899998	0.798933043221	1.7110341085	1.4534816144479998	1.485882069705	1.01640515889	1.752718148311	nan	0.131009050683	1.358292229743	1.863846332182	2.182534005176	2.2092461222599997	1.867354952152	0.90064301314	1.616391040352	0.540036823284	0.637930827689
OG0000015.1	OG0003686.4	OG0007429.0	OG0011774.16	OG0001575.2	OG0000421.80	OG0012106.0	OG0003731.0	OG0000486.2	OG0007145.0	OG0000537.8	OG0004744.2	OG0000350.8	OG0000779.1	OG0000145.16	OG0003327.0	OG0021336.0	OG0001608.24	OG0000391.20	OG0000002.1788	OG0000239.0
