OG0000038.0	OG0004617.12	OG0000019.257	OG0012915.3	OG0009883.5	OG0004464.0	OG0000606.2	OG0000027.1	OG0002252.0	OG0001967.0	OG0000107.44	OG0022826.0	OG0000177.8	OG0000692.0	OG0004835.2	OG0000835.7	OG0006400.2	OG0004338.2	OG0004324.0	OG0002346.16	OG0006804.0
1.1212888064525	nan	1.3614643777325002	nan	nan	nan	0.231548124713	1.2433998924879999	nan	1.2381755159085	1.083809594677	nan	0.6218149268550001	1.168674852579	nan	0.45644348587800004	0.21015173934700002	nan	nan	0.24107051035500002	0.0
OG0000045.0	OG0015234.2	OG0001525.51	OG0000575.28	OG0009906.2	OG0000539.1	OG0046632.0	OG0003169.0	OG0001291.1	OG0001619.0	OG0004705.0	OG0000318.0	OG0005643.0	OG0007985.0	OG0010734.0	OG0000442.2	OG0000035.64	OG0002675.22	OG0006461.4	OG0008110.0	OG0000420.0
1.057294669737	nan	0.536229347853	1.1098661803679999	1.666166443983	0.6446241994045	nan	nan	nan	1.256791903298	nan	0.270593866686	nan	nan	nan	1.9236689460215	1.138969274528	0.6729525142545	nan	nan	1.08290867172
OG0004319.0	OG0000009.1514	OG0000011.866	OG0003828.1	OG0000575.28	OG0005898.4	OG0004814.0	OG0000923.0	OG0000343.0	OG0000451.0	OG0005090.0	OG0000081.1	OG0000727.24	OG0002486.16	OG0005244.10	OG0027728.0	OG0006215.0	OG0005088.0	OG0001046.24	OG0000127.0	OG0024596.0
0.13637096519300002	1.270708441105	1.695134266218	0.835983438131	1.1098661803679999	nan	nan	1.5026468707460001	1.078720623239	1.4727506415740002	nan	0.315568430598	0.734985918599	1.246233058155	nan	nan	nan	nan	nan	1.5054159373859999	nan
OG0001730.2	OG0005755.0	OG0000020.431	OG0009936.4	OG0000132.40	OG0004461.4	OG0003514.0	OG0000837.0	OG0000169.16	OG0001324.24	OG0006250.0	OG0046916.0	OG0000014.1	OG0003724.26	OG0002939.24	OG0003523.15	OG0024498.0	OG0001707.6	OG0000012.918	OG0000435.0	OG0003463.6
1.0886565925360001	nan	1.1101224420465	nan	1.1010447823010001	0.320180318357	0.017529191194	1.45456283692	1.0299079521015	nan	nan	nan	1.2154896616745	nan	0.22567824445300003	1.5111411628145	nan	1.653670551641	1.6045351200170002	0.6071218988765	1.098922320669
OG0005097.2	OG0008076.2	OG0007440.0	OG0006833.2	OG0009936.4	OG0003012.0	OG0001626.24	OG0010032.4	OG0000349.0	OG0000214.0	OG0021966.0	OG0000350.8	OG0000805.29	OG0001720.16	OG0045390.0	OG0000228.54	OG0000522.0	OG0001242.28	OG0000060.0	OG0003167.0	OG0000011.1
nan	nan	1.1102960959119998	nan	nan	nan	1.451117926952	nan	0.650094380765	1.9815703069650001	nan	1.579949677197	1.1674544922799999	0.623787928874	nan	1.3788981457205	1.0318632547285	nan	1.6226972642950002	nan	1.841854322214
OG0007550.0	OG0005169.0	OG0000013.2	OG0001923.1	OG0044687.0	OG0010605.0	OG0000192.0	OG0000923.0	OG0027629.0	OG0000749.2	OG0000269.0	OG0001220.24	OG0000350.8	OG0004737.6	OG0002279.0	OG0004569.0	OG0002612.0	OG0011471.4	OG0002841.0	OG0001649.0	OG0010741.0
nan	nan	1.37149982285	1.9753489894599998	nan	nan	1.122150054636	1.5026468707460001	nan	0.24919973366099998	0.7633616130149999	nan	1.579949677197	nan	1.526083867701	0.426113097786	1.504965950246	nan	nan	0.371937060978	nan
OG0002682.12	OG0004833.1	OG0000310.18	OG0003051.0	OG0017851.0	OG0000001.425	OG0013029.10	OG0001851.13	OG0000109.0	OG0005485.2	OG0000090.24	OG0003818.6	OG0000246.0	OG0000455.62	OG0002577.26	OG0009937.0	OG0018631.3	OG0005115.3	OG0000012.918	OG0000927.0	OG0004974.0
0.273214396541	nan	0.690817528156	1.1186308473989999	nan	1.343019322161	nan	0.610651744217	1.203513299378	nan	1.6670249833450002	nan	1.5380713924465002	0.289292785154	0.3497548865	0.8245262361519999	nan	1.1547451282549999	1.6045351200170002	0.634985253816	nan
