OG0000038.0	OG0004617.12	OG0000019.257	OG0012915.3	OG0009883.5	OG0004464.0	OG0000606.2	OG0000027.1	OG0002252.0	OG0001967.0	OG0000107.44	OG0022826.0	OG0000177.8	OG0000692.0	OG0004835.2	OG0000835.7	OG0006400.2	OG0004338.2	OG0004324.0	OG0002346.16	OG0006804.0
1.134143995644	0.12440077351199999	0.547446686123	0.040269093007999995	0.3527623619685	1.2002194147715	0.624064331833	1.2506885577384999	0.412150910449	1.1891491051360001	1.0931602008815	nan	0.8890078957549999	1.1240107269069999	0.190239638436	0.4161880939625	1.305781627764	0.37508026897200003	0.427685857602	0.996790873167	0.965188261655
OG0000045.0	OG0015234.2	OG0001525.51	OG0000575.28	OG0009906.2	OG0000539.1	OG0046632.0	OG0003169.0	OG0001291.1	OG0001619.0	OG0004705.0	OG0000318.0	OG0005643.0	OG0007985.0	OG0010734.0	OG0000442.2	OG0000035.64	OG0002675.22	OG0006461.4	OG0008110.0	OG0000420.0
1.085958198378	0.7066595015539999	0.5526278059040001	0.7571713468919999	1.3516980226789999	0.43355509575900003	nan	0.378458267824	0.180526638708	1.276290851048	0.2346913867255	0.41174843893299995	0.4027444549205	0.7597190389374999	0.159382188683	1.8201270399990002	1.117221371388	0.6873523272555	0.483080978568	0.826524710059	1.0660693946285
OG0004319.0	OG0000009.1514	OG0000011.866	OG0003828.1	OG0000575.28	OG0005898.4	OG0004814.0	OG0000923.0	OG0000343.0	OG0000451.0	OG0005090.0	OG0000081.1	OG0000727.24	OG0002486.16	OG0005244.10	OG0027728.0	OG0006215.0	OG0005088.0	OG0001046.24	OG0000127.0	OG0024596.0
0.48143279545	0.11996787187100001	1.653518713779	0.7034409398424999	0.7571713468919999	0.3265205509705	1.14508142324	1.3868920597255001	1.032998526599	0.9116030173705	0.8731790362890001	0.39183903564149997	0.495741413239	1.1791084409980002	0.4927912237585	nan	0.46280085703100005	0.354978462907	0.7093195911869999	1.3960744143450001	0.141909755156
OG0001730.2	OG0005755.0	OG0000020.431	OG0009936.4	OG0000132.40	OG0004461.4	OG0003514.0	OG0000837.0	OG0000169.16	OG0001324.24	OG0006250.0	OG0046916.0	OG0000014.1	OG0003724.26	OG0002939.24	OG0003523.15	OG0024498.0	OG0001707.6	OG0000012.918	OG0000435.0	OG0003463.6
0.430531151558	0.8820981998784999	0.9449838562549999	0.137825579471	1.023797927792	0.450995908907	1.357043957037	1.3867206106580001	1.183364074429	0.6175317077260001	0.4379544723295	nan	0.6573441439185	0.992210845281	0.34157857589	1.5731122734670002	0.23147113305999997	1.100277403207	1.5251989629865	0.853339550836	0.887541276259
OG0005097.2	OG0008076.2	OG0007440.0	OG0006833.2	OG0009936.4	OG0003012.0	OG0001626.24	OG0010032.4	OG0000349.0	OG0000214.0	OG0021966.0	OG0000350.8	OG0000805.29	OG0001720.16	OG0045390.0	OG0000228.54	OG0000522.0	OG0001242.28	OG0000060.0	OG0003167.0	OG0000011.1
0.676016517326	0.090796014913	0.306968654989	0.538144114339	0.137825579471	1.186583867404	1.405956858532	0.4981840447015	0.520113101544	1.802126813589	1.483357103798	1.589898277199	1.0157177569165001	0.5150551835195	nan	1.424830302998	0.7959360403575	0.277553481275	1.5710007539989999	0.160330468223	1.80099202418
OG0007550.0	OG0005169.0	OG0000013.2	OG0001923.1	OG0044687.0	OG0010605.0	OG0000192.0	OG0000923.0	OG0027629.0	OG0000749.2	OG0000269.0	OG0001220.24	OG0000350.8	OG0004737.6	OG0002279.0	OG0004569.0	OG0002612.0	OG0011471.4	OG0002841.0	OG0001649.0	OG0010741.0
0.243905623362	0.311140934488	1.3584723039875	1.351383947543	nan	0.7105894950630001	1.122150054636	1.3868920597255001	0.0	0.717814020096	0.751524937789	0.7897061806	1.589898277199	0.274255225241	0.5245017626575	0.57296619768	1.4550089443645	0.17896529063000002	1.0591350165445	0.2491873246655	0.1559757627715
OG0002682.12	OG0004833.1	OG0000310.18	OG0003051.0	OG0017851.0	OG0000001.425	OG0013029.10	OG0001851.13	OG0000109.0	OG0005485.2	OG0000090.24	OG0003818.6	OG0000246.0	OG0000455.62	OG0002577.26	OG0009937.0	OG0018631.3	OG0005115.3	OG0000012.918	OG0000927.0	OG0004974.0
0.472609416733	0.1903230593755	1.332109307964	1.123859637055	0.4784603111005	1.3331729693015	0.025098854	0.36025553719000003	1.187021494123	0.20256627168699998	1.6853942997929998	0.8388279066105001	0.722165316107	0.301958881881	0.6399700599015	0.5246170834185	nan	0.993607524043	1.5251989629865	0.72485869857	0.0872931825835
OG0001753.20	OG0004473.2	OG0002419.38	OG0001972.1	OG0001921.0	OG0000074.152	OG0041803.0	OG0000169.16	OG0000246.0	OG0018627.0	OG0004453.2	OG0001776.0	OG0000780.24	OG0000054.0	OG0013059.0	OG0010749.0	OG0005466.0	OG0000060.0	OG0007990.1	OG0001731.4	OG0000239.0
0.9457517372355001	0.47191560265550003	0.7529408246979999	0.8806372136849999	0.876181474585	1.024192568303	nan	1.183364074429	0.722165316107	1.303706732299	0.7228521206020001	0.825662169235	0.542917159011	1.240856633142	0.0	0.201582303797	0.316717932462	1.5710007539989999	0.521695627619	1.137648763892	1.2063940273765001
OG0000015.1	OG0005693.0	OG0007186.0	OG0000000.305	OG0001319.1	OG0000323.43	OG0001619.0	OG0000007.976	OG0000318.0	OG0000746.0	OG0005282.0	OG0000350.8	OG0000121.128	OG0027642.0	OG0002940.48	OG0014044.0	OG0004511.10	OG0043935.0	OG0000391.20	OG0008180.1	OG0003696.0
2.8088119130540004	0.479179997206	0.5008007031315	0.263277778852	0.938677999638	0.265422785864	1.276290851048	1.31363662791	0.41174843893299995	1.1467093510600002	0.230503683813	1.589898277199	0.540287126509	0.169442756646	0.773233007129	0.0	0.128137935947	nan	1.145705257334	0.0656306395845	1.116514146083
OG0001150.24	OG0013523.0	OG0004749.2	OG0007208.0	OG0010591.0	OG0002487.0	OG0002614.0	OG0002519.0	OG0000486.2	OG0000000.3460	OG0003922.0	OG0000749.2	OG0008106.2	OG0020922.0	OG0000196.0	OG0003156.4	OG0002181.0	OG0057236.0	OG0000039.0	OG0000239.0	OG0001538.6
0.194025410407	0.3278431145715	0.582255595191	0.07119650156150001	0.108710215652	0.262434020202	0.950214373077	1.0771346647745	1.059078243381	0.507784018349	0.9419098450905	0.717814020096	0.188833414421	0.235754638812	1.8925962458599999	1.0054772391825	1.859898581516	nan	1.7235352923179998	1.2063940273765001	0.6795381226170001
OG0000838.0	OG0004239.0	OG0002777.4	OG0001089.2	OG0008596.4	OG0041847.0	OG0001829.22	OG0000364.1	OG0009147.1	OG0000009.921	OG0006877.0	OG0001064.24	OG0000442.2	OG0000196.0	OG0003956.4	OG0000473.1	OG0003735.2	OG0000112.0	OG0010906.0	OG0000102.0	OG0005885.2
0.66505804688	0.20162895243700002	0.400829512003	0.7471822830654999	0.339177133284	nan	0.5134826720610001	0.9834078345819999	0.630631409015	1.2427179253579999	0.103714368815	0.37814712949199997	1.8201270399990002	1.8925962458599999	0.8035159331845	1.0277410766885	1.1922652345935	1.779803871825	2.1183535104605	0.8773606628799999	1.810869092568
OG0000011.866	OG0005416.0	OG0045182.0	OG0012224.0	OG0000575.28	OG0007208.0	OG0003494.6	OG0002860.1	OG0004971.4	OG0000598.0	OG0000411.0	OG0000081.1	OG0001806.0	OG0000007.585	OG0000047.282	OG0008435.15	OG0014066.4	OG0002138.0	OG0008127.0	OG0004292.0	OG0000239.0
1.653518713779	0.449576517	nan	1.0779117716845	0.7571713468919999	0.07119650156150001	0.7862868400599999	0.38305867518	0.6051567928365	0.790714572785	0.3678591452865	0.39183903564149997	0.45753484924599996	1.146866341749	1.4118911033360002	0.18614865067699998	0.0099117059055	0.131439650911	0.38989985672899996	0.947717576223	1.2063940273765001
OG0000044.1	OG0001753.20	OG0000018.842	OG0013963.0	OG0006286.4	OG0044536.0	OG0005137.0	OG0020719.0	OG0001528.16	OG0003304.0	OG0003514.0	OG0005265.10	OG0000169.16	OG0004933.6	OG0001168.24	OG0004467.6	OG0000519.26	OG0000047.282	OG0000060.0	OG0000002.1788	OG0005517.0
0.6090310206725	0.9457517372355001	1.1738574011910001	0.216967479267	0.2413707042315	nan	0.6204902558500001	0.334347299754	1.6930864837535	1.5471045281850002	1.357043957037	0.258890467197	1.183364074429	0.4447694311465	0.43893690443000005	0.2115355651235	0.21969954291299998	1.4118911033360002	1.5710007539989999	1.509660930637	0.7028797818870001
OG0000011.866	OG0002682.12	OG0015299.0	OG0000663.26	OG0000074.152	OG0011454.0	OG0003630.6	OG0000318.0	OG0002211.0	OG0006328.0	OG0006859.2	OG0000350.8	OG0007546.0	OG0002486.16	OG0006802.11	OG0000584.0	OG0018186.0	OG0041603.0	OG0000127.0	OG0004437.0	OG0003155.34
1.653518713779	0.472609416733	0.893820913218	0.372063267671	1.024192568303	0.134005798776	0.6961939299500001	0.41174843893299995	0.485937128147	0.489294361685	0.212365048556	1.589898277199	0.686781267007	1.1791084409980002	0.28009890210099997	0.5570619861789999	0.464077898305	nan	1.3960744143450001	0.293368795795	0.311825066255
OG0002954.0	OG0000310.18	OG0001557.1	OG0004226.0	OG0006642.0	OG0000010.64	OG0004989.0	OG0011211.0	OG0005109.6	OG0002009.0	OG0000349.0	OG0002448.22	OG0003197.4	OG0004238.6	OG0005057.0	OG0000027.457	OG0002768.0	OG0000302.34	OG0000753.0	OG0046003.0	OG0001851.2
0.2622581726035	1.332109307964	1.0900770980535	0.454195010179	0.21815048965199998	1.540427170621	1.4040880854589999	1.6928360530039999	0.325099343815	0.52778732579	0.520113101544	0.707458801734	0.830771174268	0.253533447634	0.6326211149025	0.6412004016185	1.557767362818	0.545221679221	0.384896256244	nan	1.161084472394
OG0048136.0	OG0004326.0	OG0000700.36	OG0029221.0	OG0003073.0	OG0000100.1	OG0001301.24	OG0004113.4	OG0007309.0	OG0000169.16	OG0000338.41	OG0002449.21	OG0012206.0	OG0000121.128	OG0000857.0	OG0009061.6	OG0007555.0	OG0005939.0	OG0006414.0	OG0000002.1788	OG0000239.0
nan	0.5733272787899999	0.527303607938	0.981398924598	0.46208908770900003	1.7415690518009999	0.334970874564	0.4073240511895	0.6359917330715	1.183364074429	0.675012402861	1.0639207017025	0.2185170087595	0.540287126509	1.775996629809	0.10343555793600001	0.572066810699	0.9495021994320001	0.574259830174	1.509660930637	1.2063940273765001
OG0009779.2	OG0006236.0	OG0007778.4	OG0005266.0	OG0004694.0	OG0000616.40	OG0004460.9	OG0002185.6	OG0014516.2	OG0000318.0	OG0028566.0	OG0001155.24	OG0004737.6	OG0005099.0	OG0000121.128	OG0000035.64	OG0004569.0	OG0000142.14	OG0003459.2	OG0000039.0	OG0000431.12
0.8689508958644999	0.2795415516275	1.261047994451	1.4196458025510001	0.7887689093085	0.8963659079459999	0.564537571014	0.8796905890350001	0.140604673435	0.41174843893299995	nan	0.500824356733	0.274255225241	0.40918548451849995	0.540287126509	1.117221371388	0.57296619768	1.201716669291	0.662524833543	1.7235352923179998	1.028272893642
OG0034744.0	OG0003521.2	OG0000231.0	OG0009811.0	OG0019288.0	OG0000100.1	OG0000090.24	OG0000187.1	OG0003630.6	OG0000009.921	OG0006577.0	OG0011881.8	OG0005229.4	OG0004960.0	OG0000121.128	OG0001030.26	OG0000857.0	OG0000658.0	OG0002939.24	OG0003505.8	OG0007494.0
nan	0.242385406688	0.41067796154799996	0.24834896054800001	0.051955227927999996	1.7415690518009999	1.6853942997929998	1.082048787287	0.6961939299500001	1.2427179253579999	0.44221031267800004	0.1674599938485	0.362639245281	0.3982397490065	0.540287126509	0.559129302979	1.775996629809	0.639381112479	0.34157857589	0.30379216875	1.233236714526
OG0005479.0	OG0001409.1	OG0002260.4	OG0028958.0	OG0004183.0	OG0004580.6	OG0000343.0	OG0000451.0	OG0000200.0	OG0000246.0	OG0000349.0	OG0001785.1	OG0021227.0	OG0005438.0	OG0005184.0	OG0000699.1	OG0007825.2	OG0006513.0	OG0006820.0	OG0000102.0	OG0000039.0
0.160943382922	0.19957968686299998	0.7044405004600001	nan	1.3973153984105	0.5317085770910001	1.032998526599	0.9116030173705	1.2745239973690001	0.722165316107	0.520113101544	1.055176369697	1.1904051127	0.351978609892	1.6605607486365	0.4258450461505	0.226022435829	0.126702867624	0.9994285352240001	0.8773606628799999	1.7235352923179998
OG0012767.2	OG0000483.0	OG0000480.64	OG0004326.0	OG0007208.0	OG0000007.3	OG0005315.0	OG0001656.2	OG0005640.2	OG0000032.252	OG0000349.0	OG0000411.0	OG0000779.1	OG0022190.0	OG0000442.2	OG0000042.314	OG0045552.0	OG0004560.0	OG0017937.0	OG0005856.2	OG0010757.0
0.718005802724	0.9973792164915	0.39027147282700003	0.5733272787899999	0.07119650156150001	1.2295018333525	0.22744133333250002	0.679606586411	0.15282737839299998	1.53053061817	0.520113101544	0.3678591452865	0.648096266045	0.257795224652	1.8201270399990002	1.547224962459	nan	0.6695224273404999	0.2362556219035	0.148157394513	0.42745837706249995
OG0001610.50	OG0000575.28	OG0005222.2	OG0001656.2	OG0004565.2	OG0012686.0	OG0000616.40	OG0000486.2	OG0001701.8	OG0004469.6	OG0041632.0	OG0010723.0	OG0000269.0	OG0005892.2	OG0000350.8	OG0000088.3	OG0005184.0	OG0000027.457	OG0016571.1	OG0006625.0	OG0002132.0
1.069081388573	0.7571713468919999	0.17863537597399998	0.679606586411	0.5564366858275	1.250119135352	0.8963659079459999	1.059078243381	0.575665047429	0.385651124581	nan	0.079228524306	0.751524937789	0.815859515961	1.589898277199	1.4858648251425002	1.6605607486365	0.6412004016185	1.616391040352	0.5018782864835	0.365995708674
OG0000015.1	OG0003686.4	OG0007429.0	OG0011774.16	OG0001575.2	OG0000421.80	OG0012106.0	OG0003731.0	OG0000486.2	OG0007145.0	OG0000537.8	OG0004744.2	OG0000350.8	OG0000779.1	OG0000145.16	OG0003327.0	OG0021336.0	OG0001608.24	OG0000391.20	OG0000002.1788	OG0000239.0
2.8088119130540004	0.2599184455245	0.707988393006	nan	0.7202710000749999	0.083387050948	0.5469867850175	0.9062258097570001	1.059078243381	0.8712974167209999	0.7003918438285001	0.729584412036	1.589898277199	0.648096266045	0.9745499949299998	1.1653541966279999	0.416565131242	1.9236305970099998	1.145705257334	1.509660930637	1.2063940273765001
OG0000011.866	OG0000119.0	OG0000976.24	OG0022594.0	OG0003745.1	OG0005239.0	OG0000638.38	OG0000109.0	OG0004975.0	OG0010686.0	OG0007401.0	OG0003826.6	OG0000343.0	OG0000746.0	OG0002791.5	OG0000350.8	OG0000805.29	OG0011155.4	OG0000302.34	OG0006461.4	OG0018187.0
1.653518713779	0.497975484525	0.758949629663	nan	0.55077923031	0.20067847874400002	0.16000959959799999	1.187021494123	0.242498803342	0.245218062139	0.664369796482	1.4616925479435	1.032998526599	1.1467093510600002	0.231714299922	1.589898277199	1.0157177569165001	0.7460841364735	0.545221679221	0.483080978568	0.510404721105
OG0018068.3	OG0000139.0	OG0003494.6	OG0000748.0	OG0000559.30	OG0000923.0	OG0005685.0	OG0003623.8	OG0003535.14	OG0012533.6	OG0000749.2	OG0002791.5	OG0007835.4	OG0006082.0	OG0000265.0	OG0009123.2	OG0004046.0	OG0000012.918	OG0001435.1	OG0057499.0	OG0000239.0
0.09012254353900001	0.970760426736	0.7862868400599999	1.0707663631	0.459773808407	1.3868920597255001	1.1774529625255001	0.822612342906	0.6719123998630001	0.4015980787035	0.717814020096	0.231714299922	0.306620798272	0.467390272747	0.232166406134	0.409560121746	1.600465821563	1.5251989629865	0.296999166255	nan	1.2063940273765001
OG0002008.0	OG0002511.6	OG0008932.0	OG0000815.24	OG0000018.289	OG0004473.2	OG0004611.1	OG0004836.2	OG0000923.0	OG0002882.0	OG0000105.0	OG0007777.2	OG0006547.0	OG0000160.4	OG0060400.0	OG0002869.0	OG0000196.0	OG0001776.0	OG0000589.0	OG0022191.0	OG0000239.0
0.24220146323800001	1.135847412274	0.602743354	0.356961299806	0.8848256416485	0.47191560265550003	0.38346697150700004	0.365703665826	1.3868920597255001	1.1074620498799999	1.091986095622	1.262338643613	0.1994077737625	0.986073449189	nan	0.48354054908699995	1.8925962458599999	0.825662169235	1.018030245226	0.166292761612	1.2063940273765001
OG0005940.0	OG0005135.4	OG0005468.0	OG0008895.6	OG0001626.24	OG0000043.242	OG0000829.5	OG0000350.8	OG0003197.4	OG0048012.0	OG0010957.13	OG0000245.24	OG0000228.54	OG0007725.0	OG0004379.8	OG0015311.0	OG0005827.2	OG0001892.0	OG0000147.0	OG0000002.1788	OG0002922.0
0.836559736148	0.460912142762	0.35792142008199995	1.161829279074	1.405956858532	1.6966617720500001	0.676375514956	1.589898277199	0.830771174268	nan	0.171810450366	1.4206282363749998	1.424830302998	0.17524195595849998	0.132172777967	0.298052432838	0.709405381469	1.0934656437899999	0.114415559309	1.509660930637	1.8587231253265
OG0000018.842	OG0034538.0	OG0000575.28	OG0002399.4	OG0001557.1	OG0003012.0	OG0020930.0	OG0004460.9	OG0000230.58	OG0002778.0	OG0003329.0	OG0003695.0	OG0001951.0	OG0000007.585	OG0005210.0	OG0001415.1	OG0002752.1	OG0005990.0	OG0000054.0	OG0003068.0	OG0012143.2
1.1738574011910001	nan	0.7571713468919999	1.157716387759	1.0900770980535	1.186583867404	0.588852058355	0.564537571014	0.8544954108759999	0.323783241103	1.424057839192	0.321039856756	1.0861620810205002	1.146866341749	0.3594044843205	0.7509232959550001	0.40274972850550006	0.1663869962025	1.240856633142	1.835988525553	0.415226380435
OG0005137.0	OG0000139.0	OG0007208.0	OG0001557.1	OG0005640.2	OG0001998.0	OG0001620.0	OG0007101.0	OG0013617.6	OG0000009.921	OG0003251.1	OG0000121.14	OG0004100.0	OG0002752.1	OG0001553.14	OG0000060.0	OG0007127.0	OG0027528.0	OG0000256.24	OG0005524.6	OG0000245.24
0.6204902558500001	0.970760426736	0.07119650156150001	1.0900770980535	0.15282737839299998	0.535265874398	1.301434786768	1.5082993414730002	nan	1.2427179253579999	1.0856697511705	0.326738934653	0.567935454206	0.40274972850550006	0.27010272763099996	1.5710007539989999	0.5323554360365	0.12061301795399999	1.2737895856875	0.7202256955015001	1.4206282363749998
OG0015172.2	OG0000045.0	OG0005530.6	OG0003098.12	OG0000139.0	OG0004369.0	OG0006855.18	OG0019487.0	OG0000751.0	OG0001283.1	OG0000336.0	OG0004571.0	OG0005663.12	OG0004737.6	OG0002286.10	OG0004141.18	OG0000075.0	OG0002863.0	OG0000710.0	OG0011292.4	OG0000239.0
0.484665204106	1.085958198378	1.4826500044659998	0.26152710973	0.970760426736	0.197464792171	0.261990603525	nan	0.474069926778	0.105247372801	0.846586985935	1.1708025122905	0.43601822958400005	0.274255225241	1.136441565614	0.47302670289399995	0.8493104800994999	1.354844805408	0.9539274311910001	0.2128230645825	1.2063940273765001
OG0000015.773	OG0005141.0	OG0018796.6	OG0003338.0	OG0005077.4	OG0000878.5	OG0016256.4	OG0000074.152	OG0001567.1	OG0000187.1	OG0000343.0	OG0000175.4	OG0000841.0	OG0009977.0	OG0007351.6	OG0000078.263	OG0013635.2	OG0005939.0	OG0004693.0	OG0005822.2	OG0000039.0
2.424082397781	0.407459105049	nan	0.9143580865600001	0.997920754499	0.8902024581999999	0.16240649557700002	1.024192568303	0.1616891407855	1.082048787287	1.032998526599	0.449750080449	1.049366233411	0.0975499548065	0.37742648663199996	0.194165662616	1.3389540978455	0.9495021994320001	0.7476388557629999	0.8842309060575	1.7235352923179998
OG0003987.6	OG0004376.0	OG0003977.1	OG0000646.28	OG0000006.561	OG0000310.18	OG0006047.8	OG0010675.4	OG0056623.0	OG0000132.40	OG0004244.2	OG0000746.0	OG0002060.0	OG0000480.25	OG0000112.0	OG0000047.282	OG0002863.0	OG0015707.6	OG0001892.0	OG0002444.1	OG0004054.20
0.6240300666749999	0.29126603745949997	0.223596840312	0.08899192361199999	1.331800867994	1.332109307964	0.7524969669470001	0.342431070763	nan	1.023797927792	0.407131347725	1.1467093510600002	0.327761711788	0.632109595657	1.779803871825	1.4118911033360002	1.354844805408	0.12882609371	1.0934656437899999	0.724140327219	0.2094420973875
OG0000018.842	OG0003521.2	OG0038626.0	OG0005093.2	OG0029008.0	OG0002485.15	OG0003983.0	OG0006309.0	OG0001165.26	OG0005445.3	OG0000242.29	OG0014619.0	OG0000486.2	OG0001701.8	OG0000169.16	OG0002752.1	OG0005652.0	OG0000035.64	OG0000027.457	OG0006866.0	OG0000290.0
1.1738574011910001	0.242385406688	nan	1.0041668365799998	0.0	0.8239770744395	0.36301098023050005	0.2981037722555	0.453357495123	0.466928855719	0.441475173429	0.307187181263	1.059078243381	0.575665047429	1.183364074429	0.40274972850550006	0.49800952679099997	1.117221371388	0.6412004016185	0.6382277118755	1.242891639474
OG0006023.0	OG0000007.3	OG0000583.0	OG0004183.0	OG0000272.36	OG0003829.0	OG0003514.0	OG0000349.0	OG0008682.0	OG0001806.0	OG0006395.0	OG0010692.0	OG0004819.4	OG0004678.12	OG0001659.0	OG0001540.26	OG0000710.0	OG0006737.2	OG0045591.0	OG0000026.45	OG0000245.24
0.7457686755755	1.2295018333525	1.47635555481	1.3973153984105	0.644126357076	0.749029606824	1.357043957037	0.520113101544	0.133925761489	0.45753484924599996	0.5548542079515	0.116397919812	0.823753431739	0.725185477511	1.166922207506	0.12219494602299999	0.9539274311910001	0.20932223367400002	nan	1.598958773878	1.4206282363749998
OG0007832.0	OG0000294.0	OG0000139.0	OG0001575.2	OG0008449.4	OG0018453.0	OG0000109.0	OG0003866.0	OG0009980.2	OG0000242.29	OG0000746.0	OG0000026.45	OG0004744.2	OG0000007.585	OG0019460.0	OG0012663.4	OG0000112.0	OG0002971.0	OG0002044.0	OG0006135.0	OG0004054.20
0.5813125762075	0.809458568716	0.970760426736	0.7202710000749999	0.0915392882895	0.652354661955	1.187021494123	0.221006063649	0.164570155819	0.441475173429	1.1467093510600002	1.598958773878	0.729584412036	1.146866341749	nan	0.5466674598485	1.779803871825	0.9665993373620001	0.26595978405000004	0.545362269716	0.2094420973875
OG0000011.866	OG0000307.20	OG0000048.382	OG0006055.0	OG0001778.24	OG0000187.1	OG0000343.0	OG0004935.0	OG0000746.0	OG0006117.2	OG0000269.0	OG0001415.1	OG0045076.0	OG0004494.1	OG0002572.0	OG0000042.314	OG0003735.2	OG0008125.0	OG0018521.0	OG0014842.0	OG0010621.0
1.653518713779	1.753896727868	0.8219857972505	0.7155557369259999	0.47722639120099997	1.082048787287	1.032998526599	0.9458947464219999	1.1467093510600002	0.8482897787455	0.751524937789	0.7509232959550001	nan	0.297776628832	1.171451846501	1.547224962459	1.1922652345935	0.489806340003	2.016662104734	1.7558069790725	0.335219956807
OG0003714.0	OG0000664.3	OG0006833.2	OG0006123.2	OG0000056.0	OG0006009.0	OG0000187.1	OG0000318.0	OG0001609.10	OG0013832.0	OG0024771.0	OG0002102.0	OG0000176.0	OG0004819.4	OG0005921.2	OG0003161.14	OG0024061.0	OG0000710.0	OG0000225.48	OG0004292.0	OG0008912.1
0.600835471811	0.5492773644219999	0.538144114339	0.4621801609795	1.247413416633	0.2140565820205	1.082048787287	0.41174843893299995	0.795015181573	0.46612227886999996	0.108715333858	0.125594275315	1.040668034982	0.823753431739	0.577620241497	0.5405192841835	nan	0.9539274311910001	0.7370654082095001	0.947717576223	0.28216708887249997
OG0000015.1	OG0005394.0	OG0002260.4	OG0005222.2	OG0004814.0	OG0000257.0	OG0002729.16	OG0004461.4	OG0005090.0	OG0027560.0	OG0000349.0	OG0000350.8	OG0005133.0	OG0008971.2	OG0004771.0	OG0008245.0	OG0000634.26	OG0015191.7	OG0000435.0	OG0000011.1	OG0002166.0
2.8088119130540004	0.4881587349905	0.7044405004600001	0.17863537597399998	1.14508142324	1.5927503563385002	0.197259876877	0.450995908907	0.8731790362890001	0.204336051746	0.520113101544	1.589898277199	1.025005027294	0.40863983529200004	1.43792269868	0.4987926762545	0.4327570500375	nan	0.853339550836	1.80099202418	1.053680810494
OG0004452.2	OG0000575.28	OG0000429.0	OG0002751.22	OG0003331.17	OG0020567.0	OG0002471.0	OG0000132.40	OG0046173.0	OG0003866.0	OG0001322.24	OG0008611.0	OG0000916.24	OG0009839.2	OG0005124.4	OG0006010.2	OG0000121.128	OG0005681.2	OG0000120.105	OG0003068.0	OG0000010.475
0.656549088528	0.7571713468919999	1.1325079894875	0.5347452265129999	0.32764585475200003	0.49087900295599995	0.708053896154	1.023797927792	nan	0.221006063649	0.881704627016	0.5658434603225	0.491910853142	0.8141828967739999	0.19989289236	0.6359922060345	0.540287126509	1.093316536411	0.797705303883	1.835988525553	1.0563396006855001
OG0000483.0	OG0004435.0	OG0004142.0	OG0000119.0	OG0000853.1	OG0002777.4	OG0003925.0	OG0004243.8	OG0000409.24	OG0005666.2	OG0002231.0	OG0005385.1	OG0000121.128	OG0028461.0	OG0006082.0	OG0000027.457	OG0006184.0	OG0011295.0	OG0000142.14	OG0011419.0	OG0004054.20
0.9973792164915	0.35971594001699997	1.7203319214955	0.497975484525	0.714749506629	0.400829512003	0.9897631574250001	0.451890736684	0.5902696871249999	0.853746127926	0.23048358807799998	0.111716656619	0.540287126509	nan	0.467390272747	0.6412004016185	0.35238558464450004	0.4826485537035	1.201716669291	0.406112417231	0.2094420973875
OG0002765.0	OG0000015.773	OG0000480.64	OG0019019.0	OG0009906.2	OG0000334.9	OG0000006.561	OG0006833.2	OG0000323.43	OG0002825.0	OG0046657.0	OG0002848.0	OG0000350.8	OG0003625.28	OG0005303.2	OG0000047.282	OG0004647.0	OG0009100.2	OG0004304.0	OG0000599.0	OG0005444.0
1.4412874764849999	2.424082397781	0.39027147282700003	0.511433810628	1.3516980226789999	1.139417109171	1.331800867994	0.538144114339	0.265422785864	1.461501813818	nan	0.2891809138755	1.589898277199	0.303359087702	0.8593373109319999	1.4118911033360002	1.3551638892725	2.0503740052555	0.5129593413855	0.992206794676	1.0408341160899999
OG0004837.2	OG0000013.2	OG0003229.0	OG0000071.0	OG0000310.18	OG0000736.0	OG0000538.0	OG0028303.0	OG0000187.1	OG0003818.6	OG0000175.4	OG0000966.4	OG0001806.0	OG0003568.0	OG0011803.0	OG0006589.0	OG0014550.3	OG0005886.2	OG0000435.0	OG0007404.0	OG0006490.14
