	1021	3841	CCGE532	CCGM7	CCNWGS0123	CFN42	CIAT899	HAMBI540	IE4803	IRBG74	LMTR13	MAFF303099	Mim1	N161	N561	NGR234	NXC24	ORS2060	ORS285	ORS571	R602	USDA110	USDA6	WSM1325	WSM2073	WSM2304	WSM419
1021	1.0	0.6	0.6	0.7777777777777778	0.5555555555555556	0.5	0.5	0.5555555555555556	0.4	0.5555555555555556	0.3333333333333333	0.7777777777777778	0.5	0.5	0.5	0.6	0.6	0.3333333333333333	0.2222222222222222	0.3333333333333333	0.6	0.3333333333333333	0.3333333333333333	0.6	0.5555555555555556	0.5	0.8888888888888888
3841	0.6	1.0	1.0	0.5555555555555556	0.5	0.8571428571428571	0.8571428571428571	0.7142857142857143	0.7142857142857143	0.7142857142857143	0.42857142857142855	0.75	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.75	1.0	0.42857142857142855	0.2857142857142857	0.42857142857142855	0.75	0.42857142857142855	0.42857142857142855	1.0	0.5	0.8571428571428571	0.5
CCGE532	0.6	1.0	1.0	0.5555555555555556	0.5	0.8571428571428571	0.8571428571428571	0.7142857142857143	0.7142857142857143	0.7142857142857143	0.42857142857142855	0.75	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.75	1.0	0.42857142857142855	0.2857142857142857	0.42857142857142855	0.75	0.42857142857142855	0.42857142857142855	1.0	0.5	0.8571428571428571	0.5
CCGM7	0.7777777777777778	0.5555555555555556	0.5555555555555556	1.0	0.7142857142857143	0.4444444444444444	0.4444444444444444	0.7142857142857143	0.3333333333333333	0.7142857142857143	0.42857142857142855	0.75	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.5555555555555556	0.5555555555555556	0.42857142857142855	0.2857142857142857	0.42857142857142855	0.5555555555555556	0.42857142857142855	0.42857142857142855	0.5555555555555556	0.7142857142857143	0.4444444444444444	0.875
CCNWGS0123	0.5555555555555556	0.5	0.5	0.7142857142857143	1.0	0.375	0.375	0.6666666666666666	0.42857142857142855	0.6666666666666666	0.3333333333333333	0.7142857142857143	0.375	0.375	0.375	0.7142857142857143	0.5	0.3333333333333333	0.4	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.5	0.6666666666666666	0.375	0.625
CFN42	0.5	0.8571428571428571	0.8571428571428571	0.4444444444444444	0.375	1.0	1.0	0.5714285714285714	0.8333333333333334	0.5714285714285714	0.5	0.625	1.0	1.0	1.0	0.625	0.8571428571428571	0.5	0.3333333333333333	0.5	0.8571428571428571	0.5	0.5	0.8571428571428571	0.375	1.0	0.4
CIAT899	0.5	0.8571428571428571	0.8571428571428571	0.4444444444444444	0.375	1.0	1.0	0.5714285714285714	0.8333333333333334	0.5714285714285714	0.5	0.625	1.0	1.0	1.0	0.625	0.8571428571428571	0.5	0.3333333333333333	0.5	0.8571428571428571	0.5	0.5	0.8571428571428571	0.375	1.0	0.4
HAMBI540	0.5555555555555556	0.7142857142857143	0.7142857142857143	0.7142857142857143	0.6666666666666666	0.5714285714285714	0.5714285714285714	1.0	0.42857142857142855	1.0	0.6	0.7142857142857143	0.5714285714285714	0.5714285714285714	0.5714285714285714	0.5	0.7142857142857143	0.6	0.4	0.6	0.5	0.6	0.6	0.7142857142857143	0.6666666666666666	0.5714285714285714	0.625
IE4803	0.4	0.7142857142857143	0.7142857142857143	0.3333333333333333	0.42857142857142855	0.8333333333333334	0.8333333333333334	0.42857142857142855	1.0	0.42857142857142855	0.3333333333333333	0.5	0.8333333333333334	0.8333333333333334	0.8333333333333334	0.7142857142857143	0.7142857142857143	0.3333333333333333	0.4	0.3333333333333333	0.7142857142857143	0.3333333333333333	0.3333333333333333	0.7142857142857143	0.25	0.8333333333333334	0.3
IRBG74	0.5555555555555556	0.7142857142857143	0.7142857142857143	0.7142857142857143	0.6666666666666666	0.5714285714285714	0.5714285714285714	1.0	0.42857142857142855	1.0	0.6	0.7142857142857143	0.5714285714285714	0.5714285714285714	0.5714285714285714	0.5	0.7142857142857143	0.6	0.4	0.6	0.5	0.6	0.6	0.7142857142857143	0.6666666666666666	0.5714285714285714	0.625
LMTR13	0.3333333333333333	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.3333333333333333	0.5	0.5	0.6	0.3333333333333333	0.6	1.0	0.42857142857142855	0.5	0.5	0.5	0.25	0.42857142857142855	1.0	0.6666666666666666	1.0	0.42857142857142855	1.0	1.0	0.42857142857142855	0.6	0.5	0.375
