OG0009883.5	OG0000692.0	OG0012915.3	OG0004617.12	OG0004835.2	OG0004464.0	OG0004338.2	OG0000107.44	OG0000038.0	OG0000027.1
0.3527623619685	1.1240107269069999	0.040269093007999995	0.12440077351199999	0.190239638436	1.2002194147715	0.37508026897200003	1.0931602008815	1.134143995644	1.2506885577384999
OG0008656.1	OG0010913.0	OG0043411.0	OG0008443.1	OG0010756.0	OG0004568.1	OG0005507.10	OG0014125.1	OG0015179.2	OG0003049.0
nan	2.004773264528	nan	1.0127381044755	0.4766914752775	0.26105538735100003	0.5064432629115	nan	0.225309254565	0.730152962076
OG0014810.0	OG0006647.0	OG0047150.0	OG0015093.3	OG0014620.0	OG0013321.0	OG0047353.0	OG0015979.6	OG0053810.0	OG0024522.0
0.547047315683	0.5518736914605	nan	nan	1.0615363603024999	0.243725326928	nan	0.125465743705	nan	0.003136032845
OG0038154.0	OG0011720.2	OG0001184.24	OG0014502.4	OG0016791.0	OG0017901.0	OG0005646.0	OG0047603.0	OG0016776.5	OG0035803.0
nan	0.447326200985	0.311675334977	0.328790101052	1.5707117735679998	0.4144617257655	0.355557868191	nan	nan	nan
OG0002993.1	OG0006460.2	OG0004302.0	OG0010095.2	OG0018256.2	OG0019234.0	OG0016149.0	OG0023958.0	OG0035604.0	OG0008532.6
0.608607521633	0.669515365602	0.9058204287989999	0.484797594811	2.2340678955090003	0.202903162507	0.20465806823600002	nan	nan	1.178466917163
OG0047378.0	OG0021370.0	OG0005619.0	OG0044416.0	OG0009877.2	OG0001321.26	OG0007340.4	OG0003483.0	OG0005694.0	OG0007523.4
nan	nan	0.131931402293	nan	0.115282706408	0.7803929018970001	0.383739804354	0.6647806830365	0.5463233542245	0.142814483878
OG0005991.0	OG0027772.0	OG0047976.0	OG0004954.6	OG0044358.0	OG0007191.0	OG0013191.3	OG0004616.0	OG0004779.4	OG0047138.0
0.638547112725	nan	nan	1.3508270020109998	nan	0.42890952598399995	nan	0.7003294517374999	nan	nan
OG0002837.4	OG0028115.0	OG0049164.0	OG0056784.0	OG0022867.0	OG0013146.12	OG0004192.0	OG0002822.4	OG0013064.11	OG0056535.0
1.035355708265	nan	nan	nan	nan	nan	0.8408153521549999	0.7519304572905	nan	nan
OG0043411.0	OG0002275.1	OG0041811.0	OG0014872.6	OG0045830.0	OG0009903.19	OG0009192.20	OG0016201.4	OG0021215.0	OG0008668.22
nan	0.4971750668215	nan	1.0689148355679998	nan	nan	nan	0.296160732573	nan	nan
OG0007261.0	OG0018086.1	OG0012755.0	OG0003092.12	OG0003847.24	OG0012434.10	OG0011210.1	OG0017886.0	OG0012262.2	OG0009136.10
1.520434263656	nan	0.47157604143	0.357304655888	1.029785216515	nan	1.087268093665	0.26960447143599997	0.355160388067	0.265728877721
OG0046313.0	OG0012742.0	OG0008267.1	OG0026998.0	OG0045270.0	OG0002791.5	OG0007491.0	OG0045908.0	OG0002575.0	OG0045159.0
nan	2.7150805793985	nan	1.261318125484	nan	0.231714299922	0.41231625238849995	nan	1.0153922635185	nan
OG0013242.12	OG0038112.0	OG0018377.6	OG0028092.0	OG0048119.0	OG0010010.11	OG0005530.6	OG0044896.0	OG0057497.0	OG0016432.2
nan	nan	nan	nan	nan	0.339351054384	1.4826500044659998	nan	nan	1.2522530418070001
OG0011372.0	OG0017939.0	OG0045882.0	OG0026962.0	OG0004064.0	OG0002054.0	OG0018828.3	OG0006467.8	OG0044960.0	OG0054085.0
0.36646477698749996	1.171799657717	nan	nan	0.3510953927	0.795290193033	nan	0.3316922914075	nan	nan
OG0002961.20	OG0044238.0	OG0008946.0	OG0009783.0	OG0003897.10	OG0007724.0	OG0017321.1	OG0004085.0	OG0047042.0	OG0004026.1
0.88745340695	nan	0.8033087298280001	0.454931554215	1.05712384066	0.35302045766850004	nan	0.213436638228	nan	0.8818016329780001
OG0024274.0	OG0048902.0	OG0035581.0	OG0000703.24	OG0012660.2	OG0017049.5	OG0009750.1	OG0060435.0	OG0017066.3	OG0034772.0
nan	nan	nan	0.625950392852	0.41087052085500003	nan	nan	nan	nan	nan
OG0022172.0	OG0003204.0	OG0034958.0	OG0056852.0	OG0046916.0	OG0017354.4	OG0010785.14	OG0009290.0	OG0017216.1	OG0045026.0
0.036466195964000005	0.44221738061399996	nan	nan	nan	nan	0.26779873455200004	1.0509863034090001	nan	nan
OG0044490.0	OG0045763.0	OG0003747.6	OG0005161.27	OG0001777.24	OG0046286.0	OG0008183.0	OG0002044.0	OG0020541.0	OG0014706.0
nan	nan	1.2672257880695	nan	0.446468415616	nan	0.099276844318	0.26595978405000004	0.43213752331999994	0.373376160314
OG0008196.2	OG0012921.6	OG0014072.3	OG0002687.0	OG0011976.0	OG0028444.0	OG0000623.24	OG0028514.0	OG0034422.0	OG0012112.2
0.210638036193	0.14880877457299999	nan	0.665307586877	0.543559074135	nan	1.577106224446	nan	nan	0.1357838401645
OG0015949.0	OG0060481.0	OG0053945.0	OG0020530.0	OG0012750.0	OG0013006.4	OG0016930.2	OG0000367.174	OG0038909.0	OG0005105.0
1.3469346370429998	nan	nan	0.430229266166	1.2139056830500001	0.36828755023950005	0.08347102706899999	0.47129587728699995	nan	0.6854834457565001
OG0056969.0	OG0016892.2	OG0001135.4	OG0034410.0	OG0017504.5	OG0019581.0	OG0018140.2	OG0016977.2	OG0038023.0	OG0013017.9
nan	0.48694293779200004	1.174478382468	nan	nan	nan	0.036477715713	nan	nan	0.062123238648
OG0011618.6	OG0007726.2	OG0020337.0	OG0002136.0	OG0007475.6	OG0003096.0	OG0046805.0	OG0008585.0	OG0014610.2	OG0003450.0
nan	1.455217079096	nan	0.415984257469	0.41776017133000004	1.371318034623	nan	0.078779518529	0.316708731584	0.860576557492
OG0005934.2	OG0005767.0	OG0005188.2	OG0016805.0	OG0043920.0	OG0027649.0	OG0046890.0	OG0014824.7	OG0024660.0	OG0004589.2
0.528162762774	0.326508178376	1.4163321985285	0.15946207282299998	nan	1.613302319145	nan	nan	0.035969752381	0.4409913001095
OG0015548.8	OG0003152.0	OG0035013.0	OG0008348.0	OG0041815.0	OG0046084.0	OG0003962.6	OG0038890.0	OG0017896.0	OG0045065.0
nan	1.133446407448	nan	1.171335314088	nan	nan	0.412523496039	nan	0.1379975595455	nan
OG0047422.0	OG0018502.6	OG0003632.26	OG0005342.24	OG0002583.0	OG0044620.0	OG0044243.0	OG0007715.0	OG0005306.0	OG0002945.0
nan	nan	0.251303491992	1.0590799619040001	0.48034347613000006	nan	nan	0.197125493689	0.83890928455	0.8408270730509999
OG0016870.0	OG0019949.0	OG0017194.0	OG0027436.0	OG0011392.0	OG0046937.0	OG0004987.21	OG0004699.1	OG0017010.0	OG0017270.5
3.0840587536650004	1.093780919218	1.04147940738	0.634753671679	1.714846421917	nan	nan	0.504739450656	0.642198174041	nan
OG0016661.3	OG0017316.1	OG0019236.0	OG0015788.1	OG0027478.0	OG0018173.0	OG0046109.0	OG0011338.3	OG0053983.0	OG0008632.0
0.10455330407600001	nan	nan	nan	nan	1.567178938191	nan	0.494998592818	nan	0.1998783062785
OG0026979.0	OG0008212.0	OG0011412.1	OG0011697.4	OG0046084.0	OG0057424.0	OG0007108.26	OG0022011.0	OG0020456.0	OG0056533.0
nan	0.43683678124799996	0.570790176475	0.034188062437	nan	nan	nan	nan	1.03810003582	nan
OG0025682.0	OG0027456.0	OG0004455.4	OG0056786.0	OG0041751.0	OG0010807.2	OG0006055.0	OG0000247.29	OG0015228.4	OG0028054.0
nan	nan	0.1236639325955	nan	nan	nan	0.7155557369259999	0.267893026775	0.44269689001999996	nan
OG0056808.0	OG0000292.60	OG0034273.0	OG0057185.0	OG0044546.0	OG0005990.0	OG0017316.1	OG0019742.0	OG0005651.0	OG0005346.24
nan	nan	nan	nan	nan	0.1663869962025	nan	nan	1.0669330492365	0.557610909591
OG0013882.4	OG0012811.9	OG0009042.2	OG0011578.3	OG0010720.2	OG0009782.21	OG0023453.0	OG0027202.0	OG0005199.18	OG0047140.0
0.205823352186	nan	0.2818109376905	nan	0.22492795982500002	nan	nan	nan	0.0402869619055	nan
OG0016409.0	OG0046290.0	OG0023207.0	OG0020847.0	OG0004695.0	OG0009993.0	OG0006491.0	OG0004451.2	OG0005534.0	OG0018503.5
1.9096498510799997	nan	nan	0.0	0.835946394572	0.20152424548599998	0.21522911693500002	0.3974934435485	1.2280166513	nan
OG0014254.6	OG0045419.0	OG0002882.0	OG0002755.0	OG0005501.1	OG0002248.0	OG0012094.2	OG0011338.3	OG0017899.1	OG0022092.0
nan	nan	1.1074620498799999	0.8025126187545	0.5689171047905001	0.940936415874	0.2331942733175	0.494998592818	0.401366968917	nan
OG0010658.0	OG0015709.7	OG0001839.6	OG0046906.0	OG0020243.0	OG0000872.42	OG0053904.0	OG0015454.1	OG0007983.8	OG0045565.0
0.277202571899	nan	0.515119906765	nan	nan	1.2113638728335	nan	nan	0.111997682438	nan
OG0001235.24	OG0045951.0	OG0012699.1	OG0010086.5	OG0012122.1	OG0020267.0	OG0056980.0	OG0005304.0	OG0014785.2	OG0035560.0
0.46463321696800003	nan	0.657120661121	nan	0.4759747872685	0.372442415666	nan	0.164987086241	0.628185906212	nan
OG0006785.2	OG0060358.0	OG0038680.0	OG0004690.6	OG0012651.6	OG0030135.0	OG0037740.0	OG0045301.0	OG0005535.2	OG0017257.0
0.926560728952	nan	nan	0.6175541179695	0.103211457155	nan	nan	nan	0.856446346057	1.405483262297
OG0000019.2	OG0012655.0	OG0014669.4	OG0034791.0	OG0048157.0	OG0034608.0	OG0018373.0	OG0005788.6	OG0046652.0	OG0016929.0
0.9918958112299999	1.8734076092265002	0.22913308208799998	nan	nan	nan	1.351416142363	1.8262020128510001	nan	0.6694983198619999
