OG0004835.2	OG0000692.0	OG0004617.12	OG0004338.2	OG0000027.1	OG0004464.0	OG0000107.44	OG0000038.0	OG0012915.3	OG0009883.5
0.7131066658987535	5.3046131075363325	2.5915616660558416	3.1718221101701016	7.848726000425037	4.796337093549347	7.635567466058466	8.28439494743276	-0.574025449900363	2.57008927430335
OG0009117.4	OG0003625.28	OG0000177.8	OG0000056.0	OG0000307.20	OG0009163.11	OG0003732.8	OG0011678.0	OG0000102.0	OG0003818.6
3.3218884705381635	3.229180024450132	5.955284279267988	7.995597575183827	6.316923966012966	-0.37870523728575833	2.0822601835012464	2.650841543105998	7.869657240625032	3.7582005919849246
OG0024475.0	OG0000054.0	OG0001610.50	OG0000132.40	OG0005176.0	OG0006956.0	OG0000139.0	OG0000074.152	OG0007485.0	OG0003588.2
3.248178389113374	7.924143254740502	4.4714664439670875	7.752396580203677	1.779086471945418	0.8825403701590021	5.138622586619456	7.845915216730726	1.8217387937399303	2.702229200125893
OG0000575.28	OG0007394.2	OG0000010.64	OG0009025.0	OG0024568.0	OG0000056.0	OG0005315.0	OG0000074.152	OG0005465.0	OG0004964.6
7.651671259815025	1.4291361526995199	8.340891106898738	1.4568576983675061	2.5917510672072344	7.995597575183827	2.8911527760762987	7.845915216730726	2.3171341886606283	8.36512351693494
OG0000310.18	OG0005660.0	OG0006672.0	OG0000000.3460	OG0003155.34	OG0012223.0	OG0016625.0	OG0006117.2	OG0000010.475	OG0000435.0
5.521260749079113	1.9284052012214106	1.322207260964062	6.743408220513358	2.9543525332513476	0.27268478221967235	1.0259719208095788	3.119967498940821	8.430574733391317	8.002306683719008
OG0002590.0	OG0000269.0	OG0003564.0	OG0018616.0	OG0000349.0	OG0003338.0	OG0000200.0	OG0007468.0	OG0000006.561	OG0005399.4
4.570057236979119	7.202471726203116	0.8707624284064923	1.8144232848633253	5.9424934351629055	4.319908352676843	5.471757988380096	2.6775371800145544	8.067772562533877	0.5332832589936305
OG0006294.10	OG0016661.3	OG0000099.0	OG0004249.0	OG0000228.54	OG0000139.0	OG0000011.1	OG0002448.22	OG0008106.2	OG0003593.0
0.41381484057904994	0.7443413965438037	8.471865625960678	2.33414621158829	5.718778890322427	5.138622586619456	8.483344082882272	3.979837247650046	0.6030571667600356	2.8537626411155554
OG0000112.0	OG0009215.1	OG0004961.2	OG0000056.0	OG0000710.0	OG0003695.0	OG0004473.2	OG0008975.0	OG0005495.0	OG0000007.3
8.235758803334988	2.8046246237627344	5.997010492049436	7.995597575183827	7.530124946527219	2.1546693833319814	2.1229208641767707	2.501933724778551	2.014263933914489	7.8327884278102
