OG0004835.2	OG0000692.0	OG0004617.12	OG0004338.2	OG0000027.1	OG0004464.0	OG0000107.44	OG0000038.0	OG0012915.3	OG0009883.5
0.272360049985	1.6473984951440002	0.42131760094899995	0.776368442629	1.872776103784	1.746234520076	1.834181565819	2.473262479912	0.040269093007999995	0.389288255639
OG0009117.4	OG0003625.28	OG0000177.8	OG0000056.0	OG0000307.20	OG0009163.11	OG0003732.8	OG0011678.0	OG0000102.0	OG0003818.6
0.5808452080950001	0.7102592881119999	2.415033133129	1.7758520409929999	2.389743056438	0.040483129825	0.951725881507	1.964749568601	1.593515605349	3.9521784487519995
OG0024475.0	OG0000054.0	OG0001610.50	OG0000132.40	OG0005176.0	OG0006956.0	OG0000139.0	OG0000074.152	OG0007485.0	OG0003588.2
0.8753025773720001	2.115425783436	2.1155208233400002	1.534617499917	0.6051930178399999	0.27544053396400003	1.9670599704629999	1.423513004181	0.7072510212309999	1.7619955079190002
OG0000575.28	OG0007394.2	OG0000010.64	OG0009025.0	OG0024568.0	OG0000056.0	OG0005315.0	OG0000074.152	OG0005465.0	OG0004964.6
1.7824630045339998	0.729048041446	2.375759856251	1.924277543631	1.809293092061	1.7758520409929999	0.47518624769199996	1.423513004181	1.463644984684	2.110012835765
OG0000310.18	OG0005660.0	OG0006672.0	OG0000000.3460	OG0003155.34	OG0012223.0	OG0016625.0	OG0006117.2	OG0000010.475	OG0000435.0
2.2305287432589997	1.5517571868220001	0.460869870683	0.712399937348	1.6131651351510001	0.068602669125	1.274852014771	1.2876943596500001	2.165957901781	2.624995612949
OG0002590.0	OG0000269.0	OG0003564.0	OG0018616.0	OG0000349.0	OG0003338.0	OG0000200.0	OG0007468.0	OG0000006.561	OG0005399.4
1.9900418320939999	1.358292229743	1.311706634411	1.686737191728	1.403260125015	1.342826889092	1.735888421776	1.487564636462	2.3444180522319997	0.171748472759
OG0006294.10	OG0016661.3	OG0000099.0	OG0004249.0	OG0000228.54	OG0000139.0	OG0000011.1	OG0002448.22	OG0008106.2	OG0003593.0
0.255578321244	0.10455330407600001	2.611854062041	1.134752568267	1.7827745950459999	1.9670599704629999	3.6834617129470004	1.7004591095860002	0.501092805493	1.1743102591249999
OG0000112.0	OG0009215.1	OG0004961.2	OG0000056.0	OG0000710.0	OG0003695.0	OG0004473.2	OG0008975.0	OG0005495.0	OG0000007.3
3.077811112708	0.36779185649499996	1.6786536202990001	1.7758520409929999	1.540980745598	0.480511280985	0.59798002336	0.759968510134	1.517115921915	1.587877769159
OG0000027.457	OG0000923.0	OG0004469.6	OG0007098.2	OG0022067.0	OG0005153.1	OG0004970.0	OG0000139.0	OG0007761.3	OG0000127.0
0.90064301314	1.850262568938	1.752718148311	0.692731613549	1.754484563585	0.718340427584	0.419244369208	1.9670599704629999	0.531369859278	2.433086151795
OG0000112.0	OG0004494.1	OG0003424.0	OG0006712.0	OG0000039.0	OG0013911.3	OG0000710.0	OG0000060.0	OG0003386.20	OG0004128.4
3.077811112708	0.776691279629	1.591464379512	0.558675742234	2.509757058631	0.513597463495	1.540980745598	2.1868875487799997	1.668909463472	1.3763903208919999
OG0000132.40	OG0000228.54	OG0005105.0	OG0011433.8	OG0011552.0	OG0000349.0	OG0000011.1	OG0004757.2	OG0003993.4	OG0003370.4
1.534617499917	1.7827745950459999	0.937362048748	0.22354605326299998	0.324608274238	1.403260125015	3.6834617129470004	1.316297837297	1.865226409342	2.4745862586
OG0016132.6	OG0002604.2	OG0016143.0	OG0002709.2	OG0005870.0	OG0000074.152	OG0000090.24	OG0000001.1420	OG0010671.0	OG0000075.0
0.186402217108	2.311849107718	1.91784199065	0.552280324212	0.813969934017	1.423513004181	3.215048393315	2.400467071927	0.423518738816	1.198904738926
OG0000012.918	OG0013503.4	OG0016077.0	OG0000196.0	OG0005672.0	OG0005315.0	OG0004376.0	OG0000307.20	OG0006135.0	OG0000007.585
2.4953506102	0.09336722039300001	2.000071164322	3.067100635625	2.567131913525	0.47518624769199996	0.357239212569	2.389743056438	1.128302717769	1.586928019729
OG0000112.0	OG0006978.0	OG0016135.0	OG0000047.282	OG0011224.0	OG0000011.866	OG0005764.0	OG0005145.0	OG0005107.4	OG0000015.1
3.077811112708	0.45360586413500004	0.839047619888	1.9450800665130001	0.8715981365090001	2.474501733118	1.466985217775	1.460974441949	1.256265048942	5.247589854796
OG0009776.8	OG0004678.12	OG0000923.0	OG0000009.921	OG0000334.9	OG0005940.0	OG0012769.0	OG0013541.2	OG0005299.0	OG0000071.0
0.23881851836800003	1.658839582763	1.850262568938	2.228189860774	1.607236743478	1.8366972703389999	1.4944435006369998	1.543114519415	1.452678521497	2.339793589391
OG0011605.0	OG0000045.0	OG0000228.54	OG0000196.0	OG0006118.4	OG0003695.0	OG0002447.0	OG0020648.0	OG0005495.0	OG0000007.3
1.22696900184	1.9444874344190002	1.7827745950459999	3.067100635625	1.0354814447329999	0.480511280985	0.971977269771	1.268996471053	1.517115921915	1.587877769159
OG0004942.0	OG0000112.0	OG0005939.0	OG0028991.0	OG0000002.1788	OG0005115.3	OG0000435.0	OG0005088.0	OG0000007.3	OG0009074.8
0.395757612288	3.077811112708	1.649899265298	0.014707037753000002	2.333775144494	1.3542408800249999	2.624995612949	0.769813442173	1.587877769159	1.295662650444
OG0004971.4	OG0000009.921	OG0011499.1	OG0010013.0	OG0000239.0	OG0000060.0	OG0003505.8	OG0005870.0	OG0000435.0	OG0012210.0
0.7556107429919999	2.228189860774	0.059849600434	0.252504390562	2.605977852872	2.1868875487799997	0.390233836706	0.813969934017	2.624995612949	0.18780049815000002
