OG0004324.0	OG0000177.8	OG0002346.16	OG0022826.0	OG0002252.0	OG0001967.0	OG0000835.7	OG0000606.2	OG0006400.2	OG0000019.257	OG0006804.0
4.037556234354109	5.955284279267988	2.7483891364840862	nan	0.6421388859096409	6.72934923610745	3.792281048797407	5.666171523074633	5.2578598702908	4.846145263580903	3.3471865635528135
OG0004461.4	OG0000187.1	OG0000032.86	OG0046717.0	OG0002778.0	OG0002971.0	OG0002682.12	OG0000471.2	OG0010587.0	OG0000846.25	OG0006802.11
3.642396901997335	7.495937788508136	4.169361753519162	nan	4.720647495603445	3.4151345111515248	5.638563381146586	4.959066512187899	2.5036738646485017	1.0560805363484647	1.7388639089699307
OG0000112.0	OG0001300.1	OG0001528.16	OG0005118.8	OG0001701.8	OG0045960.0	OG0000559.30	OG0012123.0	OG0000042.314	OG0003360.2	OG0003978.4
8.235758803334988	0.37711931758018896	5.266978412930877	2.8261990065435687	3.9793680567501655	nan	2.986173047431402	3.5124371245034887	5.884601013464694	0.8233806777216328	1.2091221857817196
OG0001018.1	OG0024351.0	OG0000090.24	OG0003241.1	OG0000749.2	OG0000604.1	OG0005077.4	OG0007724.0	OG0000497.40	OG0002862.0	OG0000848.32
7.204384239372921	nan	6.243267698529054	2.3522575920192694	5.2285619572734765	1.827503824841708	2.231601366081775	0.555369000013188	3.8136275596081344	2.7444035195744454	-0.18838309336711428
OG0000392.72	OG0004437.0	OG0046798.0	OG0001829.22	OG0004817.2	OG0000596.47	OG0002777.4	OG0000196.0	OG0006315.0	OG0004142.0	OG0000223.2
3.6580111610590245	1.0364447517843918	nan	2.9950314030837824	3.808193155544806	4.104802851789595	4.66102211804875	6.343889577825015	0.9369925616114193	3.2355606255557405	7.752326758869543
OG0005040.3	OG0047409.0	OG0002822.4	OG0000090.24	OG0000420.0	OG0002906.4	OG0000789.1	OG0000236.122	OG0005693.0	OG0000874.1	OG0010757.0
1.3113237910323048	nan	4.957308272133446	6.243267698529054	7.583796104199324	4.1109229311893545	0.27615116309281157	4.786184983578821	2.29287719450585	2.7303324558028486	3.380837432815149
OG0002621.3	OG0056696.0	OG0002078.0	OG0008599.0	OG0000779.1	OG0007385.6	OG0000276.72	OG0003360.2	OG0000107.44	OG0000294.0	OG0005458.0
3.002976038382831	nan	-0.12948963518532383	5.409812167492912	4.286492376858685	3.6487456138098473	4.246636946294859	0.8233806777216328	7.635567466058466	7.434745920300532	3.691164624932716
OG0003620.0	OG0002676.20	OG0001174.24	OG0000658.0	OG0003373.0	OG0001620.0	OG0000239.0	OG0000589.0	OG0000371.2	OG0041510.0	OG0016053.0
1.2755208380688186	8.408081219277486	1.7485335585871529	8.395060215532954	2.1627370746155568	3.9895327631628335	7.714315561947743	5.452964192475941	3.985884268539648	nan	1.0761825067744248
OG0007198.0	OG0000090.24	OG0000671.12	OG0000002.585	OG0002778.0	OG0005485.2	OG0041521.0	OG0003028.0	OG0000391.20	OG0001996.0	OG0012227.0
3.9963787348136166	6.243267698529054	4.010649364051571	5.155597207920848	4.720647495603445	2.5752514614496826	nan	2.115978845915493	7.705235649196371	1.35657757737802	1.6269022416809646
OG0003988.1	OG0003197.4	OG0000062.12	OG0002777.4	OG0011409.0	OG0005890.2	OG0000169.16	OG0006715.0	OG0024831.0	OG0001058.26	OG0000771.24
5.0805348901208855	2.6915417958348433	5.874710367217308	4.66102211804875	2.58595580764608	1.4984259447670434	7.75188923971042	3.41629196697985	nan	0.3257814677729549	4.0417027911685945
OG0005466.0	OG0000078.207	OG0000261.0	OG0000598.0	OG0002041.0	OG0002882.0	OG0013275.0	OG0000018.842	OG0045374.0	OG0005912.2	OG0000771.24
2.9614692075407034	5.444702131231491	5.682342037612831	6.0716655494966645	1.8169312140855027	5.343617267668418	1.3322922003037472	7.907827066436474	nan	3.6108648081746524	4.0417027911685945
OG0001696.0	OG0005756.2	OG0046909.0	OG0003698.0	OG0007743.0	OG0003273.0	OG0000350.8	OG0000874.1	OG0002918.1	OG0000320.0	OG0001381.24
1.932558518485527	0.8504416632053778	nan	2.6170680087565694	0.3743603791307119	4.9841688293556965	5.379636474459374	2.7303324558028486	2.904188401941349	6.886812060071616	1.577510373846505
OG0002077.0	OG0007886.0	OG0001489.4	OG0006139.0	OG0000169.16	OG0003875.2	OG0044496.0	OG0012732.0	OG0000634.26	OG0000966.4	OG0000226.4
1.702040099154126	1.1741653295422472	5.168073939954606	2.514250237788487	7.75188923971042	2.6231917422044657	nan	1.4387275875743804	3.388370496381964	5.322444770106801	5.180457275357326
OG0001668.0	OG0035835.0	OG0001245.24	OG0003825.26	OG0003837.0	OG0004683.0	OG0002940.48	OG0002209.38	OG0000700.36	OG0000018.842	OG0000226.4
3.15803625738559	nan	-0.11296051651202024	4.754393413901623	0.19928649834019088	2.215585894186698	2.287845917021035	2.632769843617663	2.5144627249041425	7.907827066436474	5.180457275357326
OG0001770.0	OG0006270.12	OG0002536.0	OG0004837.2	OG0048079.0	OG0001829.22	OG0000748.0	OG0000188.1	OG0010703.0	OG0001401.24	OG0000310.18
1.3152244431005164	1.2676061899637805	5.471220276102013	1.374537467061526	nan	2.9950314030837824	5.603776352311249	7.652604043299282	3.427948026775187	0.7928159076645883	5.521260749079113
OG0000599.0	OG0045783.0	OG0000504.24	OG0004935.0	OG0009848.0	OG0006434.0	OG0003028.0	OG0000018.842	OG0000814.1	OG0000966.4	OG0004320.3
7.462099514615451	nan	3.043636791558816	4.347420564411994	2.179138246626466	4.141243247618034	2.115978845915493	7.907827066436474	0.9348031432106697	5.322444770106801	2.789373491171433
OG0003698.0	OG0000584.0	OG0005693.0	OG0045507.0	OG0002857.4	OG0000001.2052	OG0001443.24	OG0003634.44	OG0002487.0	OG0000343.0	OG0000876.20
2.6170680087565694	7.3775374308335575	2.29287719450585	nan	2.3190223090314697	0.8868414036090708	1.8258052129553008	2.2486189991682046	4.571163288989597	5.769056814853258	4.159939422139798
OG0013433.5	OG0000092.1	OG0000318.0	OG0001551.34	OG0003714.0	OG0002213.0	OG0000059.59	OG0005019.0	OG0001832.1	OG0006023.0	OG0002487.0
nan	7.35739525784662	6.229054930893693	2.9134892491627826	1.559373369532953	1.2174553657063392	3.9381343711478993	1.9670899354023195	4.137689923492899	1.8563988371151234	4.571163288989597
OG0010762.2	OG0002449.21	OG0005448.0	OG0000892.1	OG0005886.2	OG0017345.1	OG0002718.4	OG0000561.24	OG0000107.44	OG0000294.0	OG0000966.4
0.9057585384294288	3.468870896051371	3.5993785283083692	4.585361152278773	1.5534942628340571	nan	5.187610900765317	3.2557999900374393	7.635567466058466	7.434745920300532	5.322444770106801
OG0000014.1	OG0000090.24	OG0001815.3	OG0008507.1	OG0000724.26	OG0003714.0	OG0000589.0	OG0007230.0	OG0056807.0	OG0003181.15	OG0004557.0
4.6892493121695615	6.243267698529054	0.007518091526332195	3.6498717127957954	4.2129602951747716	1.559373369532953	5.452964192475941	0.3112682728653033	nan	2.2410683290683804	2.738416807320284
OG0000822.0	OG0000187.1	OG0000044.1	OG0000558.24	OG0001609.10	OG0005133.0	OG0003343.2	OG0013961.0	OG0008491.2	OG0008692.19	OG0002885.12
3.3587313456940513	7.495937788508136	6.606838137470721	4.702589485386173	4.692769302841305	2.401862497272457	5.875990922004249	2.300653525045323	1.8619015798701735	nan	2.737517912629431
OG0002260.4	OG0006459.10	OG0007743.0	OG0000160.4	OG0011533.13	OG0000349.0	OG0004215.0	OG0002514.2	OG0000878.5	OG0001207.24	OG0000124.174
4.161372372514537	1.4621140389854534	0.3743603791307119	7.561091394683692	nan	5.9424934351629055	3.9887494177576035	3.9496214686442603	4.633152255595551	0.0692205305585004	2.3786870943111036
OG0007699.0	OG0002700.0	OG0001604.2	OG0000888.24	OG0001802.47	OG0000350.8	OG0014165.3	OG0003343.2	OG0005276.0	OG0000579.24	OG0000046.1
3.2381544017087065	4.947086256562326	6.068081633378358	4.031032389527473	4.056054472112158	5.379636474459374	nan	5.875990922004249	1.6150319212270388	3.1761155734606725	5.870703535981893
OG0001416.0	OG0002674.20	OG0000139.0	OG0005040.3	OG0001091.2	OG0046049.0	OG0000214.0	OG0001730.2	OG0002471.0	OG0005162.0	OG0005908.0
4.636380606819096	8.376067209178984	5.138622586619456	1.3113237910323048	-1.1374527231377116	nan	7.805841431593453	4.499589919407843	4.087934912932414	3.048865396847568	1.4514451590126969
OG0002674.20	OG0000090.24	OG0001471.24	OG0000524.1	OG0003607.0	OG0027548.0	OG0002626.26	OG0010587.0	OG0005086.0	OG0002487.0	OG0000046.1
8.376067209178984	6.243267698529054	1.7658655152925986	3.7037424275291393	4.1339139489855805	nan	0.9060967132006293	2.5036738646485017	0.38266133512583506	4.571163288989597	5.870703535981893
OG0003960.4	OG0000990.0	OG0002821.0	OG0004169.4	OG0005653.0	OG0044930.0	OG0002862.0	OG0000407.1	OG0000973.2	OG0000310.18	OG0008579.6
4.968316237079377	5.216977114194466	3.743567493541051	3.622280938880646	1.2236225358119257	nan	2.7444035195744454	7.293414089489028	1.4622540172632708	5.521260749079113	2.696935649058278
OG0000139.0	OG0002353.2	OG0006146.0	OG0024735.0	OG0006346.0	OG0000894.25	OG0009977.0	OG0003689.1	OG0002209.38	OG0000861.24	OG0000198.0
5.138622586619456	5.668964551707982	2.084886301620583	nan	1.393512911285813	-0.24901647126686308	2.0538115469794103	1.5118070959677157	2.632769843617663	4.368622522650779	7.802643050025793
OG0017198.1	OG0000081.1	OG0003540.0	OG0003823.8	OG0002248.0	OG0015302.0	OG0003714.0	OG0001659.0	OG0000581.0	OG0007702.0	OG0000343.0
nan	3.689943473534111	4.312214149302162	1.990946584594268	1.5820790571746703	5.847245809587407	1.559373369532953	7.705294328592482	4.529381014068919	0.9954355532045185	5.769056814853258
OG0000112.0	OG0000539.1	OG0003167.0	OG0001351.24	OG0000420.0	OG0002676.20	OG0045854.0	OG0000268.1	OG0006386.0	OG0009815.0	OG0001664.2
8.235758803334988	3.3849490884058686	1.05932439457481	1.5452110740996665	7.583796104199324	8.408081219277486	nan	3.0266560851510302	2.35342864997022	4.205155753713967	4.894482864197167
OG0000677.1	OG0026990.0	OG0000192.0	OG0001849.0	OG0000779.1	OG0010712.0	OG0000188.1	OG0002841.0	OG0002974.24	OG0012675.2	OG0003343.2
0.33434370116043793	nan	7.670988632542079	4.935824350139475	4.286492376858685	2.318491019568919	7.652604043299282	2.433748330582626	2.212822780411657	1.984000852079262	5.875990922004249
OG0003925.0	OG0001415.1	OG0026279.0	OG0003825.26	OG0001701.8	OG0007260.0	OG0000196.0	OG0000276.72	OG0002572.0	OG0004024.2	OG0000579.24
3.9762230847943383	4.2658768156744875	nan	4.754393413901623	3.9793680567501655	1.3001725679393163	6.343889577825015	4.246636946294859	4.5315625236551105	3.8951911122198792	3.1761155734606725
