OG0004324.0	OG0000177.8	OG0002346.16	OG0022826.0	OG0002252.0	OG0001967.0	OG0000835.7	OG0000606.2	OG0006400.2	OG0000019.257	OG0006804.0
1.016012969499	2.415033133129	2.474016298145	nan	1.117918869073	2.281237135478	2.534411768333	1.4076544377140001	1.8916717209779998	1.5356150354440001	1.9929775891639998
OG0004461.4	OG0000187.1	OG0000032.86	OG0046717.0	OG0002778.0	OG0002971.0	OG0002682.12	OG0000471.2	OG0010587.0	OG0000846.25	OG0006802.11
0.921949154216	2.7137142473659996	0.808159689138	nan	1.611832033005	1.190583381529	1.26287170717	2.077047154	1.811100011778	0.8699384164830001	0.5050974882029999
OG0000112.0	OG0001300.1	OG0001528.16	OG0005118.8	OG0001701.8	OG0045960.0	OG0000559.30	OG0012123.0	OG0000042.314	OG0003360.2	OG0003978.4
3.077811112708	0.7538237174619999	2.962252643137	2.112595649648	1.01640515889	nan	0.772792238307	1.421078901622	2.476573318562	0.631792156008	0.803581125055
OG0001018.1	OG0024351.0	OG0000090.24	OG0003241.1	OG0000749.2	OG0000604.1	OG0005077.4	OG0007724.0	OG0000497.40	OG0002862.0	OG0000848.32
1.488194396562	nan	3.215048393315	0.785719733214	1.281508523635	1.195974946844	1.400407672586	0.8711981392839999	1.058426158132	0.5951765707419999	0.418990378285
OG0000392.72	OG0004437.0	OG0046798.0	OG0001829.22	OG0004817.2	OG0000596.47	OG0002777.4	OG0000196.0	OG0006315.0	OG0004142.0	OG0000223.2
0.641553650155	0.463923890254	nan	1.442611150483	1.0548822284469999	0.686631047309	1.6270486439010001	3.067100635625	1.146058461448	2.1408314435449998	1.3521247143200001
OG0005040.3	OG0047409.0	OG0002822.4	OG0000090.24	OG0000420.0	OG0002906.4	OG0000789.1	OG0000236.122	OG0005693.0	OG0000874.1	OG0010757.0
0.627455543375	nan	1.947251025059	3.215048393315	1.5431179497440002	1.8254224054409998	0.41265149157	1.654318226193	1.404555684341	2.111518735928	0.459626985452
OG0002621.3	OG0056696.0	OG0002078.0	OG0008599.0	OG0000779.1	OG0007385.6	OG0000276.72	OG0003360.2	OG0000107.44	OG0000294.0	OG0005458.0
2.291919377212	nan	0.395858438748	1.854252361943	2.108657819502	1.651581070333	1.453864721583	0.631792156008	1.834181565819	1.2517115953470002	1.280521399257
OG0003620.0	OG0002676.20	OG0001174.24	OG0000658.0	OG0003373.0	OG0001620.0	OG0000239.0	OG0000589.0	OG0000371.2	OG0041510.0	OG0016053.0
1.4063143611000002	1.967180219612	1.263018737253	2.1628327347589997	2.113968376503	1.9147397495379999	2.605977852872	2.305881486473	1.4421122611550001	nan	0.42120854664000007
OG0007198.0	OG0000090.24	OG0000671.12	OG0000002.585	OG0002778.0	OG0005485.2	OG0041521.0	OG0003028.0	OG0000391.20	OG0001996.0	OG0012227.0
1.692033379133	3.215048393315	1.10085114445	1.38927471532	1.611832033005	1.734770863286	nan	0.469832725977	1.7619523860530002	0.982163978675	0.5007351468110001
OG0003988.1	OG0003197.4	OG0000062.12	OG0002777.4	OG0011409.0	OG0005890.2	OG0000169.16	OG0006715.0	OG0024831.0	OG0001058.26	OG0000771.24
1.202662676801	0.982109027799	0.3435686411300001	1.6270486439010001	0.692921753654	0.318761423732	2.755524214033	2.574175751491	nan	0.66232356403	0.889148508858
OG0005466.0	OG0000078.207	OG0000261.0	OG0000598.0	OG0002041.0	OG0002882.0	OG0013275.0	OG0000018.842	OG0045374.0	OG0005912.2	OG0000771.24
1.348156721736	0.600664184815	1.942633018555	1.9285008520159999	1.156239703875	1.946339751096	1.446998383937	1.540751524415	nan	1.236430432528	0.889148508858
OG0001696.0	OG0005756.2	OG0046909.0	OG0003698.0	OG0007743.0	OG0003273.0	OG0000350.8	OG0000874.1	OG0002918.1	OG0000320.0	OG0001381.24
0.743090052627	1.036119247528	nan	0.40393930358900004	0.7648931266410001	1.123333061079	2.182534005176	2.111518735928	1.676197800036	1.11019913486	0.91168144486
OG0002077.0	OG0007886.0	OG0001489.4	OG0006139.0	OG0000169.16	OG0003875.2	OG0044496.0	OG0012732.0	OG0000634.26	OG0000966.4	OG0000226.4
2.132608196479	0.688564498693	2.7098941602649997	1.158060197894	2.755524214033	0.568112671049	nan	0.8421260569600001	0.795929535683	2.769483357594	2.467250572548
OG0001668.0	OG0035835.0	OG0001245.24	OG0003825.26	OG0003837.0	OG0004683.0	OG0002940.48	OG0002209.38	OG0000700.36	OG0000018.842	OG0000226.4
1.995016772572	nan	0.59398918271	0.7507291163140001	0.78209239478	1.2630132299099999	1.1047439230679998	0.884828871243	0.781035522564	1.540751524415	2.467250572548
OG0001770.0	OG0006270.12	OG0002536.0	OG0004837.2	OG0048079.0	OG0001829.22	OG0000748.0	OG0000188.1	OG0010703.0	OG0001401.24	OG0000310.18
1.44555584736	1.131975468243	3.034428372454	0.753146699295	nan	1.442611150483	1.4153625166519999	2.467359084216	0.543375939815	1.00401779707	2.2305287432589997
