OG0004324.0	OG0000177.8	OG0002346.16	OG0022826.0	OG0002252.0	OG0001967.0	OG0000835.7	OG0000606.2	OG0006400.2	OG0000019.257	OG0006804.0
nan	0.6218149268550001	0.24107051035500002	nan	nan	1.2381755159085	0.45644348587800004	0.231548124713	0.21015173934700002	1.3614643777325002	0.0
OG0004461.4	OG0000187.1	OG0000032.86	OG0046717.0	OG0002778.0	OG0002971.0	OG0002682.12	OG0000471.2	OG0010587.0	OG0000846.25	OG0006802.11
0.320180318357	1.104774356892	0.507712529819	nan	1.4678493939755	nan	0.273214396541	0.153356509654	nan	nan	nan
OG0000112.0	OG0001300.1	OG0001528.16	OG0005118.8	OG0001701.8	OG0045960.0	OG0000559.30	OG0012123.0	OG0000042.314	OG0003360.2	OG0003978.4
1.832745952843	nan	1.717546208529	nan	0.7930616904019999	nan	0.498590388164	nan	1.671154793522	nan	nan
OG0001018.1	OG0024351.0	OG0000090.24	OG0003241.1	OG0000749.2	OG0000604.1	OG0005077.4	OG0007724.0	OG0000497.40	OG0002862.0	OG0000848.32
0.848517488813	nan	1.6670249833450002	0.6930596110259999	0.24919973366099998	0.6798166353515	nan	nan	0.8775350053565	0.336749741961	0.055334159519
OG0000392.72	OG0004437.0	OG0046798.0	OG0001829.22	OG0004817.2	OG0000596.47	OG0002777.4	OG0000196.0	OG0006315.0	OG0004142.0	OG0000223.2
0.6160254268159999	nan	nan	1.281550585175	nan	0.43152605786799997	1.5983606283610001	1.930172420653	nan	2.0515388101089997	1.221084816408
OG0005040.3	OG0047409.0	OG0002822.4	OG0000090.24	OG0000420.0	OG0002906.4	OG0000789.1	OG0000236.122	OG0005693.0	OG0000874.1	OG0010757.0
nan	nan	1.657222748436	1.6670249833450002	1.08290867172	1.0614664975130002	0.272524245423	0.8332701389309999	nan	1.048219471754	nan
OG0002621.3	OG0056696.0	OG0002078.0	OG0008599.0	OG0000779.1	OG0007385.6	OG0000276.72	OG0003360.2	OG0000107.44	OG0000294.0	OG0005458.0
1.4897893288150001	nan	nan	nan	1.0171358428515	1.576800189619	0.48693089294749997	nan	1.083809594677	0.957262250102	nan
OG0003620.0	OG0002676.20	OG0001174.24	OG0000658.0	OG0003373.0	OG0001620.0	OG0000239.0	OG0000589.0	OG0000371.2	OG0041510.0	OG0016053.0
0.36746151243	1.5391377886109998	nan	1.340499557147	0.7121134528265	1.0672363200395	1.231182437013	1.353246297841	0.8519622301540001	nan	nan
OG0007198.0	OG0000090.24	OG0000671.12	OG0000002.585	OG0002778.0	OG0005485.2	OG0041521.0	OG0003028.0	OG0000391.20	OG0001996.0	OG0012227.0
1.692033379133	1.6670249833450002	0.37834452756	0.948562115986	1.4678493939755	nan	nan	0.028349700606999997	1.190790708704	nan	nan
OG0003988.1	OG0003197.4	OG0000062.12	OG0002777.4	OG0011409.0	OG0005890.2	OG0000169.16	OG0006715.0	OG0024831.0	OG0001058.26	OG0000771.24
0.8628859944399999	0.857005471005	0.26361676509799997	1.5983606283610001	nan	nan	1.0299079521015	nan	nan	nan	0.8494465925915
OG0005466.0	OG0000078.207	OG0000261.0	OG0000598.0	OG0002041.0	OG0002882.0	OG0013275.0	OG0000018.842	OG0045374.0	OG0005912.2	OG0000771.24
nan	nan	1.0940292662200002	1.701419366207	nan	1.048823833452	nan	1.19526409042	nan	nan	0.8494465925915
OG0001696.0	OG0005756.2	OG0046909.0	OG0003698.0	OG0007743.0	OG0003273.0	OG0000350.8	OG0000874.1	OG0002918.1	OG0000320.0	OG0001381.24
0.2459229432395	nan	nan	0.076900413516	nan	0.883191434325	1.579949677197	1.048219471754	nan	0.5838054943	nan
OG0002077.0	OG0007886.0	OG0001489.4	OG0006139.0	OG0000169.16	OG0003875.2	OG0044496.0	OG0012732.0	OG0000634.26	OG0000966.4	OG0000226.4
nan	nan	1.651073137636	nan	1.0299079521015	0.322822039065	nan	nan	0.39245985985250004	1.8030368908245	1.625886511137
OG0001668.0	OG0035835.0	OG0001245.24	OG0003825.26	OG0003837.0	OG0004683.0	OG0002940.48	OG0002209.38	OG0000700.36	OG0000018.842	OG0000226.4
1.3679946987990002	nan	nan	0.688578062995	nan	nan	0.9704855408670001	0.675360600917	0.348389573269	1.19526409042	1.625886511137
OG0001770.0	OG0006270.12	OG0002536.0	OG0004837.2	OG0048079.0	OG0001829.22	OG0000748.0	OG0000188.1	OG0010703.0	OG0001401.24	OG0000310.18
1.1123916654655	nan	2.4419181742495	nan	nan	1.281550585175	1.206909759956	1.137251759946	nan	nan	0.690817528156
OG0000599.0	OG0045783.0	OG0000504.24	OG0004935.0	OG0009848.0	OG0006434.0	OG0003028.0	OG0000018.842	OG0000814.1	OG0000966.4	OG0004320.3
1.0034533434635	nan	0.43275525592950004	0.48447999150550003	nan	0.9169744389845	0.028349700606999997	1.19526409042	nan	1.8030368908245	nan
OG0003698.0	OG0000584.0	OG0005693.0	OG0045507.0	OG0002857.4	OG0000001.2052	OG0001443.24	OG0003634.44	OG0002487.0	OG0000343.0	OG0000876.20
0.076900413516	0.1189867029015	nan	nan	1.471463490844	nan	nan	nan	1.3163189752600002	1.078720623239	1.074703371988
OG0013433.5	OG0000092.1	OG0000318.0	OG0001551.34	OG0003714.0	OG0002213.0	OG0000059.59	OG0005019.0	OG0001832.1	OG0006023.0	OG0002487.0
nan	1.0738679283565	0.270593866686	0.462845870623	1.6920006640290002	nan	nan	nan	0.9488724467755	nan	1.3163189752600002
