OG0004324.0	OG0000177.8	OG0002346.16	OG0022826.0	OG0002252.0	OG0001967.0	OG0000835.7	OG0000606.2	OG0006400.2	OG0000019.257	OG0006804.0
0.244758	0.182997	0.05548480000000001	nan	1e-07	0.157173	0.48324399999999995	0.13281400000000002	0.487759	0.115184	nan
OG0004461.4	OG0000187.1	OG0000032.86	OG0046717.0	OG0002778.0	OG0002971.0	OG0002682.12	OG0000471.2	OG0010587.0	OG0000846.25	OG0006802.11
0.0481673	0.219096	0.0749163	nan	0.110149	0.10723599999999998	0.170577	0.108426	nan	1e-07	0.21732100000000001
OG0000112.0	OG0001300.1	OG0001528.16	OG0005118.8	OG0001701.8	OG0045960.0	OG0000559.30	OG0012123.0	OG0000042.314	OG0003360.2	OG0003978.4
0.21182600000000001	1e-07	0.0834623	0.0704159	0.116378	nan	0.20962600000000003	nan	0.21858200000000003	1e-07	0.132171
OG0001018.1	OG0024351.0	OG0000090.24	OG0003241.1	OG0000749.2	OG0000604.1	OG0005077.4	OG0007724.0	OG0000497.40	OG0002862.0	OG0000848.32
0.17260599999999998	nan	0.24714699999999998	0.06347919999999999	0.229985	nan	1e-07	0.0589895	0.06203909999999999	0.0970487	0.0385149
OG0000392.72	OG0004437.0	OG0046798.0	OG0001829.22	OG0004817.2	OG0000596.47	OG0002777.4	OG0000196.0	OG0006315.0	OG0004142.0	OG0000223.2
0.0996019	0.030224599999999997	nan	0.195467	0.20174	0.061522400000000005	0.0501549	0.46099799999999996	nan	0.05927819999999999	0.094307
OG0005040.3	OG0047409.0	OG0002822.4	OG0000090.24	OG0000420.0	OG0002906.4	OG0000789.1	OG0000236.122	OG0005693.0	OG0000874.1	OG0010757.0
nan	nan	0.0805674	0.24714699999999998	0.046928199999999996	0.05766659999999999	0.0637602	0.0737418	1e-07	0.0579196	0.10899
OG0002621.3	OG0056696.0	OG0002078.0	OG0008599.0	OG0000779.1	OG0007385.6	OG0000276.72	OG0003360.2	OG0000107.44	OG0000294.0	OG0005458.0
0.151202	nan	0.0402897	nan	0.12328399999999999	nan	0.115124	1e-07	0.18768800000000002	0.0241349	0.171713
OG0003620.0	OG0002676.20	OG0001174.24	OG0000658.0	OG0003373.0	OG0001620.0	OG0000239.0	OG0000589.0	OG0000371.2	OG0041510.0	OG0016053.0
1e-07	0.24402	1e-07	0.151254	1e-07	0.218548	0.130117	0.0365279	0.06307549999999999	nan	nan
OG0007198.0	OG0000090.24	OG0000671.12	OG0000002.585	OG0002778.0	OG0005485.2	OG0041521.0	OG0003028.0	OG0000391.20	OG0001996.0	OG0012227.0
0.08767919999999998	0.24714699999999998	0.27177399999999996	0.144433	0.110149	0.0171103	nan	1e-07	0.0263306	0.0155472	nan
OG0003988.1	OG0003197.4	OG0000062.12	OG0002777.4	OG0011409.0	OG0005890.2	OG0000169.16	OG0006715.0	OG0024831.0	OG0001058.26	OG0000771.24
0.176794	0.124098	0.175744	0.0501549	0.17677	0.15980899999999998	0.265319	nan	nan	1e-07	0.0373871
OG0005466.0	OG0000078.207	OG0000261.0	OG0000598.0	OG0002041.0	OG0002882.0	OG0013275.0	OG0000018.842	OG0045374.0	OG0005912.2	OG0000771.24
0.48721400000000004	0.204759	0.13006099999999998	0.183307	0.0166027	0.101099	nan	0.242787	nan	0.0408881	0.0373871
OG0001696.0	OG0005756.2	OG0046909.0	OG0003698.0	OG0007743.0	OG0003273.0	OG0000350.8	OG0000874.1	OG0002918.1	OG0000320.0	OG0001381.24
0.054316199999999995	nan	nan	0.467253	0.0566043	0.0556855	0.26817199999999997	0.0579196	0.0567369	0.136905	0.07011419999999999
OG0002077.0	OG0007886.0	OG0001489.4	OG0006139.0	OG0000169.16	OG0003875.2	OG0044496.0	OG0012732.0	OG0000634.26	OG0000966.4	OG0000226.4
1e-07	0.117524	0.240952	1e-07	0.265319	0.0611612	nan	nan	0.019382	0.15118299999999998	0.124769
OG0001668.0	OG0035835.0	OG0001245.24	OG0003825.26	OG0003837.0	OG0004683.0	OG0002940.48	OG0002209.38	OG0000700.36	OG0000018.842	OG0000226.4
