	1021	3841	CCGE532	CCGM7	CCNWGS0123	CFN42	CIAT899	HAMBI540	IE4803	IRBG74	LMTR13	MAFF303099	Mim1	N161	N561	NGR234	NXC24	ORS2060	ORS285	ORS571	R602	USDA110	USDA6	WSM1325	WSM2073	WSM2304	WSM419
1021	1.0	0.5517241379310345	0.53125	0.6333333333333333	0.425	0.4166666666666667	0.5161290322580645	0.5161290322580645	0.4166666666666667	0.45714285714285713	0.4222222222222222	0.46153846153846156	0.4358974358974359	0.42857142857142855	0.42857142857142855	0.3333333333333333	0.6129032258064516	0.6206896551724138	0.325	0.36363636363636365	0.53125	0.29411764705882354	0.29411764705882354	0.5483870967741935	0.5806451612903226	0.5862068965517241	0.9615384615384616
3841	0.5517241379310345	1.0	0.6923076923076923	0.6296296296296297	0.5294117647058824	0.5333333333333333	0.75	0.8260869565217391	0.5333333333333333	0.6428571428571429	0.475	0.4857142857142857	0.59375	0.5517241379310345	0.5517241379310345	0.37209302325581395	0.7307692307692307	0.6153846153846154	0.5	0.6	0.6296296296296297	0.35555555555555557	0.32608695652173914	0.7916666666666666	0.6296296296296297	0.8636363636363636	0.5333333333333333
CCGE532	0.53125	0.6923076923076923	1.0	0.6551724137931034	0.6	0.6129032258064516	0.9166666666666666	0.7692307692307693	0.6129032258064516	0.7857142857142857	0.5	0.5555555555555556	0.6666666666666666	0.5806451612903226	0.5806451612903226	0.4318181818181818	0.8148148148148148	0.6428571428571429	0.5757575757575758	0.6296296296296297	0.7142857142857143	0.41304347826086957	0.3829787234042553	0.6785714285714286	0.7777777777777778	0.7307692307692307	0.5625
CCGM7	0.6333333333333333	0.6296296296296297	0.6551724137931034	1.0	0.6	0.5625	0.7037037037037037	0.6428571428571429	0.5625	0.5625	0.5	0.5135135135135135	0.6666666666666666	0.53125	0.53125	0.46511627906976744	0.75	0.5333333333333333	0.4857142857142857	0.5172413793103449	0.8461538461538461	0.41304347826086957	0.3829787234042553	0.5161290322580645	0.6551724137931034	0.6071428571428571	0.6129032258064516
CCNWGS0123	0.425	0.5294117647058824	0.6	0.6	1.0	0.5263157894736842	0.6363636363636364	0.5428571428571428	0.5675675675675675	0.5675675675675675	0.6136363636363636	0.6842105263157895	0.8529411764705882	0.5405405405405406	0.5405405405405406	0.6904761904761905	0.5833333333333334	0.5	0.5384615384615384	0.5294117647058824	0.6	0.4897959183673469	0.4897959183673469	0.5277777777777778	0.5555555555555556	0.5588235294117647	0.4146341463414634
CFN42	0.4166666666666667	0.5333333333333333	0.6129032258064516	0.5625	0.5263157894736842	1.0	0.6551724137931034	0.6	0.9259259259259259	0.6774193548387096	0.5476190476190477	0.6111111111111112	0.5833333333333334	0.8888888888888888	0.8888888888888888	0.625	0.59375	0.6551724137931034	0.6363636363636364	0.7037037037037037	0.5625	0.4888888888888889	0.4888888888888889	0.5806451612903226	0.6129032258064516	0.6206896551724138	0.4444444444444444
CIAT899	0.5161290322580645	0.75	0.9166666666666666	0.7037037037037037	0.6363636363636364	0.6551724137931034	1.0	0.8333333333333334	0.6551724137931034	0.7777777777777778	0.4878048780487805	0.5428571428571428	0.7096774193548387	0.6206896551724138	0.6206896551724138	0.4523809523809524	0.8076923076923077	0.6296296296296297	0.5625	0.68	0.7692307692307693	0.4	0.3695652173913043	0.7307692307692307	0.7692307692307693	0.7916666666666666	0.5483870967741935
HAMBI540	0.5161290322580645	0.8260869565217391	0.7692307692307693	0.6428571428571429	0.5428571428571428	0.6	0.8333333333333334	1.0	0.6	0.7142857142857143	0.4523809523809524	0.5	0.65625	0.5666666666666667	0.5666666666666667	0.4186046511627907	0.7407407407407407	0.5714285714285714	0.5151515151515151	0.6153846153846154	0.7037037037037037	0.3695652173913043	0.3404255319148936	0.7307692307692307	0.7037037037037037	0.7916666666666666	0.5483870967741935
IE4803	0.4166666666666667	0.5333333333333333	0.6129032258064516	0.5625	0.5675675675675675	0.9259259259259259	0.6551724137931034	0.6	1.0	0.6774193548387096	0.5476190476190477	0.6111111111111112	0.6285714285714286	0.9615384615384616	0.9615384615384616	0.625	0.59375	0.6551724137931034	0.5882352941176471	0.7037037037037037	0.5625	0.4888888888888889	0.4888888888888889	0.5806451612903226	0.6129032258064516	0.6206896551724138	0.4444444444444444
IRBG74	0.45714285714285713	0.6428571428571429	0.7857142857142857	0.5625	0.5675675675675675	0.6774193548387096	0.7777777777777778	0.7142857142857143	0.6774193548387096	1.0	0.5116279069767442	0.6111111111111112	0.6285714285714286	0.6451612903225806	0.6451612903225806	0.4772727272727273	0.7	0.6	0.5428571428571428	0.7692307692307693	0.6129032258064516	0.3958333333333333	0.3958333333333333	0.75	0.7241379310344828	0.6785714285714286	0.4857142857142857
LMTR13	0.4222222222222222	0.475	0.5	0.5	0.6136363636363636	0.5476190476190477	0.4878048780487805	0.4523809523809524	0.5476190476190477	0.5116279069767442	1.0	0.5434782608695652	0.5909090909090909	0.5238095238095238	0.5238095238095238	0.6595744680851063	0.4883720930232558	0.4523809523809524	0.675	0.475	0.5	0.7021276595744681	0.7391304347826086	0.5121951219512195	0.46511627906976744	0.5	0.41304347826086957
MAFF303099	0.46153846153846156	0.4857142857142857	0.5555555555555556	0.5135135135135135	0.6842105263157895	0.6111111111111112	0.5428571428571428	0.5	0.6111111111111112	0.6111111111111112	0.5434782608695652	1.0	0.7027027027027027	0.6285714285714286	0.6285714285714286	0.6511627906976745	0.5405405405405406	0.5882352941176471	0.5384615384615384	0.4857142857142857	0.5135135135135135	0.43137254901960786	0.43137254901960786	0.5277777777777778	0.6	0.5588235294117647	0.48717948717948717
Mim1	0.4358974358974359	0.59375	0.6666666666666666	0.6666666666666666	0.8529411764705882	0.5833333333333334	0.7096774193548387	0.65625	0.6285714285714286	0.6285714285714286	0.5909090909090909	0.7027027027027027	1.0	0.6	0.6	0.627906976744186	0.696969696969697	0.5588235294117647	0.5526315789473685	0.5454545454545454	0.71875	0.46938775510204084	0.46938775510204084	0.5882352941176471	0.6176470588235294	0.625	0.46153846153846156
N161	0.42857142857142855	0.5517241379310345	0.5806451612903226	0.53125	0.5405405405405406	0.8888888888888888	0.6206896551724138	0.5666666666666667	0.9615384615384616	0.6451612903225806	0.5238095238095238	0.6285714285714286	0.6	1.0	1.0	0.6	0.5625	0.6785714285714286	0.5588235294117647	0.6666666666666666	0.53125	0.4666666666666667	0.4666666666666667	0.6	0.5806451612903226	0.6428571428571429	0.45714285714285713
N561	0.42857142857142855	0.5517241379310345	0.5806451612903226	0.53125	0.5405405405405406	0.8888888888888888	0.6206896551724138	0.5666666666666667	0.9615384615384616	0.6451612903225806	0.5238095238095238	0.6285714285714286	0.6	1.0	1.0	0.6	0.5625	0.6785714285714286	0.5588235294117647	0.6666666666666666	0.53125	0.4666666666666667	0.4666666666666667	0.6	0.5806451612903226	0.6428571428571429	0.45714285714285713
NGR234	0.3333333333333333	0.37209302325581395	0.4318181818181818	0.46511627906976744	0.6904761904761905	0.625	0.4523809523809524	0.4186046511627907	0.625	0.4772727272727273	0.6595744680851063	0.6511627906976745	0.627906976744186	0.6	0.6	1.0	0.4222222222222222	0.4523809523809524	0.5952380952380952	0.475	0.46511627906976744	0.6	0.6	0.4090909090909091	0.4318181818181818	0.42857142857142855	0.3541666666666667
NXC24	0.6129032258064516	0.7307692307692307	0.8148148148148148	0.75	0.5833333333333334	0.59375	0.8076923076923077	0.7407407407407407	0.59375	0.7	0.4883720930232558	0.5405405405405406	0.696969696969697	0.5625	0.5625	0.4222222222222222	1.0	0.6785714285714286	0.4722222222222222	0.5517241379310345	0.8148148148148148	0.375	0.3469387755102041	0.6551724137931034	0.75	0.7692307692307693	0.6451612903225806
ORS2060	0.6206896551724138	0.6153846153846154	0.6428571428571429	0.5333333333333333	0.5	0.6551724137931034	0.6296296296296297	0.5714285714285714	0.6551724137931034	0.6	0.4523809523809524	0.5882352941176471	0.5588235294117647	0.6785714285714286	0.6785714285714286	0.4523809523809524	0.6785714285714286	1.0	0.42857142857142855	0.5555555555555556	0.5333333333333333	0.3695652173913043	0.3695652173913043	0.6666666666666666	0.7037037037037037	0.72	0.6551724137931034
ORS285	0.325	0.5	0.5757575757575758	0.4857142857142857	0.5384615384615384	0.6363636363636364	0.5625	0.5151515151515151	0.5882352941176471	0.5428571428571428	0.675	0.5384615384615384	0.5526315789473685	0.5588235294117647	0.5588235294117647	0.5952380952380952	0.4722222222222222	0.42857142857142855	1.0	0.6	0.5294117647058824	0.6428571428571429	0.6046511627906976	0.45714285714285713	0.4444444444444444	0.48484848484848486	0.3170731707317073
ORS571	0.36363636363636365	0.6	0.6296296296296297	0.5172413793103449	0.5294117647058824	0.7037037037037037	0.68	0.6153846153846154	0.7037037037037037	0.7692307692307693	0.475	0.4857142857142857	0.5454545454545454	0.6666666666666666	0.6666666666666666	0.475	0.5517241379310345	0.5555555555555556	0.6	1.0	0.5172413793103449	0.4186046511627907	0.4186046511627907	0.5925925925925926	0.5714285714285714	0.5769230769230769	0.35294117647058826
R602	0.53125	0.6296296296296297	0.7142857142857143	0.8461538461538461	0.6	0.5625	0.7692307692307693	0.7037037037037037	0.5625	0.6129032258064516	0.5	0.5135135135135135	0.71875	0.53125	0.53125	0.46511627906976744	0.8148148148148148	0.5333333333333333	0.5294117647058824	0.5172413793103449	1.0	0.41304347826086957	0.3829787234042553	0.5666666666666667	0.6551724137931034	0.6666666666666666	0.5625
USDA110	0.29411764705882354	0.35555555555555557	0.41304347826086957	0.41304347826086957	0.4897959183673469	0.4888888888888889	0.4	0.3695652173913043	0.4888888888888889	0.3958333333333333	0.7021276595744681	0.43137254901960786	0.46938775510204084	0.4666666666666667	0.4666666666666667	0.6	0.375	0.3695652173913043	0.6428571428571429	0.4186046511627907	0.41304347826086957	1.0	0.9069767441860465	0.3333333333333333	0.3541666666666667	0.37777777777777777	0.28846153846153844
USDA6	0.29411764705882354	0.32608695652173914	0.3829787234042553	0.3829787234042553	0.4897959183673469	0.4888888888888889	0.3695652173913043	0.3404255319148936	0.4888888888888889	0.3958333333333333	0.7391304347826086	0.43137254901960786	0.46938775510204084	0.4666666666666667	0.4666666666666667	0.6	0.3469387755102041	0.3695652173913043	0.6046511627906976	0.4186046511627907	0.3829787234042553	0.9069767441860465	1.0	0.3617021276595745	0.3541666666666667	0.34782608695652173	0.28846153846153844
WSM1325	0.5483870967741935	0.7916666666666666	0.6785714285714286	0.5161290322580645	0.5277777777777778	0.5806451612903226	0.7307692307692307	0.7307692307692307	0.5806451612903226	0.75	0.5121951219512195	0.5277777777777778	0.5882352941176471	0.6	0.6	0.4090909090909091	0.6551724137931034	0.6666666666666666	0.45714285714285713	0.5925925925925926	0.5666666666666667	0.3333333333333333	0.3617021276595745	1.0	0.6785714285714286	0.8333333333333334	0.5806451612903226
WSM2073	0.5806451612903226	0.6296296296296297	0.7777777777777778	0.6551724137931034	0.5555555555555556	0.6129032258064516	0.7692307692307693	0.7037037037037037	0.6129032258064516	0.7241379310344828	0.46511627906976744	0.6	0.6176470588235294	0.5806451612903226	0.5806451612903226	0.4318181818181818	0.75	0.7037037037037037	0.4444444444444444	0.5714285714285714	0.6551724137931034	0.3541666666666667	0.3541666666666667	0.6785714285714286	1.0	0.6666666666666666	0.6129032258064516
WSM2304	0.5862068965517241	0.8636363636363636	0.7307692307692307	0.6071428571428571	0.5588235294117647	0.6206896551724138	0.7916666666666666	0.7916666666666666	0.6206896551724138	0.6785714285714286	0.5	0.5588235294117647	0.625	0.6428571428571429	0.6428571428571429	0.42857142857142855	0.7692307692307693	0.72	0.48484848484848486	0.5769230769230769	0.6666666666666666	0.37777777777777777	0.34782608695652173	0.8333333333333334	0.6666666666666666	1.0	0.6206896551724138
WSM419	0.9615384615384616	0.5333333333333333	0.5625	0.6129032258064516	0.4146341463414634	0.4444444444444444	0.5483870967741935	0.5483870967741935	0.4444444444444444	0.4857142857142857	0.41304347826086957	0.48717948717948717	0.46153846153846156	0.45714285714285713	0.45714285714285713	0.3541666666666667	0.6451612903225806	0.6551724137931034	0.3170731707317073	0.35294117647058826	0.5625	0.28846153846153844	0.28846153846153844	0.5806451612903226	0.6129032258064516	0.6206896551724138	1.0
