OG0000119.0	OG0005996.10	OG0005056.1	OG0000236.1	OG0003860.1	OG0000206.0	OG0020019.0	OG0006158.4	OG0012897.4	OG0006752.0	OG0007639.25	OG0000213.256	OG0000098.0	OG0011985.2	OG0001607.2	OG0008342.0	OG0000751.0	OG0044466.0	OG0003342.16	OG0000551.2	OG0007639.5	OG0002309.26	OG0000236.122	OG0007127.0	OG0000264.1	OG0005266.0	OG0005326.0	OG0008341.0	OG0001844.24	OG0009857.2	OG0012896.0	OG0029057.0	OG0000318.0	OG0004205.0	OG0002590.0	OG0003991.2	OG0008335.19	OG0000456.0	OG0000236.19	OG0005400.0	OG0000833.0	OG0016785.2	OG0013218.3	OG0000320.0	OG0000324.0	OG0053812.0	OG0002988.0	OG0004314.0	OG0019212.0	OG0005741.0	OG0015105.0	OG0000834.15	OG0000834.30	OG0004135.0	OG0007845.0	OG0000920.27	OG0002488.24	OG0014302.8	OG0001764.0	OG0004226.0	OG0006225.0	OG0014817.2	OG0029060.0	OG0000213.17	OG0014065.0
1.3476	223.6779	3.7621559999999996	3.407475	3.3690550000000004	1.7660470000000001	1.4963110000000002	nan	1.995522	2.474502	3.764736	1.948276	nan	1.391429	nan	1.347787	2.006	1.4451040000000002	1.623448	2.67097	3.7427	1.256302	4.019145	1.066817	nan	2.0191060000000003	4.920738	216.8548	1.6922529999999998	40.20821	1.8034150000000002	3.772686	3.739518	1.657534	1.0658290000000001	1.2055870000000002	3.763186	1.9499090000000001	nan	2.761794	nan	2.974337	3.769749	1.202045	1.975469	2.444712	2.807016	1.075511	2.982134	190.358	3.66591	4.025816000000001	nan	1.3673799999999998	0.9909386	nan	1.186326	3.705424	2.079993	1.2259950000000002	3.07577	1.9461119999999998	3.7528370000000004	nan	2.194922
OG0045615.0	OG0024714.0	OG0024355.0	OG0012114.8	OG0025975.0	OG0035573.0	OG0043551.0	OG0043678.0	OG0003362.0	OG0025470.0	OG0016430.7	OG0017149.4	OG0041521.0	OG0057499.0	OG0000207.240	OG0022053.0	OG0004947.4	OG0008735.0	OG0004736.6	OG0046820.0	OG0004753.0	OG0009148.0	OG0003206.16	OG0046991.0	OG0043965.0	OG0007045.2	OG0015023.7	OG0045556.0	OG0045671.0	OG0046642.0	OG0008138.14	OG0045836.0	OG0006262.5	OG0046904.0	OG0009066.4	OG0019625.0	OG0011694.15	OG0038654.0	OG0038065.0	OG0020746.0	OG0009932.0	OG0013606.4	OG0047529.0	OG0057390.0	OG0015222.0	OG0002631.6	OG0046666.0	OG0009048.1	OG0003031.18	OG0043623.0	OG0047283.0	OG0048012.0	OG0024521.0	OG0028429.0	OG0016359.1	OG0056524.0	OG0015760.0	OG0038696.0	OG0020504.0	OG0022036.0	OG0006143.2	OG0057525.0	OG0012415.0	OG0003627.46	OG0008824.1
258.8435	1.990193	2.559275	2.983893	1.6196700000000002	2.8553669999999998	1.4911379999999999	1.491762	45.55214	2.528494	3.0500700000000003	2.737763	3.270196	2.541744	nan	1.85828	2.881801	5.356413	3.7388519999999996	257.8074	2.261837	1.411718	9.904163	257.177	2.902059	212.6237	3.368357	261.5164	254.1928	268.2931	3.2914779999999997	255.9399	257.6499	259.2518	4.604927	2.655072	3.254644	3.425128	2.681749	2.395999	2.829789	6.439394999999999	3.3834809999999997	2.8452509999999998	1.62378	6.110939	260.3148	1.6078940000000002	21.55012	1.481467	3.371752	3.804828	3.0088939999999997	2.375848	2.731937	2.569691	2.283774	3.410274	3.3734629999999997	2.357325	6.87927	2.907893	1.620444	3.737107	3.4113809999999996
OG0057388.0	OG0004254.44	OG0048082.0	OG0005875.0	OG0005345.4	OG0043368.0	OG0015202.0	OG0002348.56	OG0017924.2	OG0037837.0	OG0005206.34	OG0004463.2	OG0008015.25	OG0002469.0	OG0046980.0	OG0019619.0	OG0001880.0	OG0046558.0	OG0002799.0	OG0002833.0	OG0009048.1	OG0001385.1	OG0006114.1	OG0020556.0	OG0017943.0	OG0023121.0	OG0013048.8	OG0026844.0	OG0003130.1	OG0014148.3	OG0001586.3	OG0003988.1	OG0030139.0	OG0026676.0	OG0004420.2	OG0008034.1	OG0000298.0	OG0006124.2	OG0002829.1	OG0046508.0	OG0045063.0	OG0007437.0	OG0008603.0	OG0001525.51	OG0013496.4	OG0000479.1	OG0045098.0	OG0006678.4	OG0000796.20	OG0025004.0	OG0003743.1	OG0012133.4	OG0029101.0	OG0001461.24	OG0004222.0	OG0028044.0	OG0044894.0	OG0025842.0	OG0011887.5	OG0044571.0	OG0038901.0	OG0000604.1	OG0056689.0	OG0034678.0	OG0018047.4
2.8685009999999997	2.6504830000000004	3.7825349999999998	7.522442	3.307989	1.489219	1.8118189999999998	nan	3.114439	3.065741	4.017380999999999	3.877652	1.610551	27.83845	262.7916	3.398419	nan	260.2622	3.451632	9.590843	1.6078940000000002	nan	2.47467	1.4637950000000002	nan	1.929557	2.1771990000000003	1.875156	72.61831	2.572602	nan	3.016377	2.680812	2.298345	2.235226	3.214116	nan	113.219	170.3246	253.2401	269.5953	0.6079578	3.819265	7.376416000000001	8.086003	2.3473189999999997	259.63	4.589758	nan	1.2838610000000001	4.5166580000000005	230.71599999999998	2.636996	nan	1.6518950000000001	1.5169030000000001	1.8423029999999998	2.895871	3.078554	1.459642	3.3605660000000004	1.196568	2.70193	1.452008	6.3340190000000005
OG0043366.0	OG0045184.0	OG0000006.1	OG0024581.0	OG0007769.0	OG0005756.2	OG0017283.5	OG0057305.0	OG0006280.10	OG0057341.0	OG0002892.4	OG0003211.0	OG0018398.0	OG0028976.0	OG0012627.1	OG0014687.1	OG0015246.3	OG0005083.0	OG0056881.0	OG0045029.0	OG0002587.0	OG0012141.4	OG0035690.0	OG0037747.0	OG0006891.4	OG0056736.0	OG0019003.1	OG0002836.4	OG0044802.0	OG0034800.0	OG0047517.0	OG0037830.0	OG0016839.3	OG0016203.1	OG0011002.0	OG0000587.1	OG0010894.7	OG0045779.0	OG0017836.4	OG0011913.0	OG0057444.0	OG0038890.0	OG0010125.0	OG0014666.4	OG0015130.10	OG0007581.0	OG0019214.0	OG0006272.0	OG0047244.0	OG0046007.0	OG0001791.12	OG0007531.3	OG0016827.0	OG0008286.2	OG0005691.3	OG0011332.6	OG0024587.0	OG0046123.0	OG0007273.0	OG0020317.0	OG0027627.0	OG0016257.3	OG0022773.0	OG0001301.24	OG0013873.1
1.4715850000000001	261.0853	1.261431	3.012304	1.28395	13.926379999999998	2.699239	1.5097200000000002	211.2625	1.497059	3.7941830000000003	19.01184	1.681625	3.735496	3.3525739999999997	8.135869	2.6220369999999997	8.245956	2.774814	256.8481	0.9250491	227.579	1.307166	3.0695419999999998	219.817	2.594218	1.8563610000000001	4.6752910000000005	1.8473970000000002	2.242876	3.358403	3.045054	3.046291	2.208552	4.658632	2.6173490000000004	3.802572	259.7982	1.474306	2.839744	2.796535	3.3810059999999997	1.8014919999999999	8.058774	1.8799169999999998	217.3784	1.6511930000000001	26.42555	3.354651	257.4695	nan	4.1873629999999995	2.976805	2.970234	2.462253	0.8206015	1.144428	261.0832	216.08900000000003	3.7708129999999995	2.122363	2.2936669999999997	1.440618	nan	2.9535310000000004
OG0018627.0	OG0014258.7	OG0011996.0	OG0000787.3	OG0004584.32	OG0006996.3	OG0001845.2	OG0008273.0	OG0026913.0	OG0001893.0	OG0008140.1	OG0044389.0	OG0018376.3	OG0003754.0	OG0025341.0	OG0009908.12	OG0046278.0	OG0008484.3	OG0018118.2	OG0054128.0	OG0008175.0	OG0012886.8	OG0001449.24	OG0005704.4	OG0000021.847	OG0007272.0	OG0024598.0	OG0000377.2	OG0001568.0	OG0015243.2	OG0045960.0	OG0003971.6	OG0046640.0	OG0015772.1	OG0003067.0	OG0045465.0	OG0010169.2	OG0000005.318	OG0004096.6	OG0014317.6	OG0044433.0	OG0024570.0	OG0046701.0	OG0047973.0	OG0011471.4	OG0023059.0	OG0001558.2	OG0003162.80	OG0009129.0	OG0012768.6	OG0016606.8	OG0019206.0	OG0016022.4	OG0010733.0	OG0020754.0	OG0004443.0	OG0043479.0	OG0008409.1	OG0038034.0	OG0025021.0	OG0007174.2	OG0021381.0	OG0020763.0	OG0004144.0	OG0046635.0
2.011172	2.405883	2.357189	5.900684	2.7310470000000002	3.431087	nan	3.268732	1.521197	nan	20.23312	1.471308	3.4061239999999997	1.492679	2.38824	2.5775900000000003	265.2328	1.5160209999999998	3.776643	2.5985549999999997	1.445602	2.993961	nan	7.83886	nan	214.548	3.043872	nan	1.2685170000000001	2.087595	257.4326	14.84675	251.3367	255.7504	2.491982	259.0983	1.755868	1.858959	76.56326999999999	2.6984060000000003	1.4553610000000001	3.0169770000000002	257.7558	3.7471690000000004	1.7552860000000001	1.9350169999999998	3.385443	2.890078	1.827336	1.258809	3.270423	1.439611	3.371691	2.353335	6.266265	116.4046	1.4739280000000001	20.206889999999998	2.795888	2.751421	146.579	2.063915	2.345114	19.117079999999998	257.9576
OG0027782.0	OG0001536.0	OG0025128.0	OG0015358.8	OG0001139.24	OG0002869.0	OG0002093.0	OG0019066.1	OG0020816.0	OG0008349.0	OG0009051.0	OG0019423.0	OG0004354.0	OG0012626.1	OG0012880.2	OG0006519.0	OG0012308.1	OG0045729.0	OG0017882.2	OG0035796.0	OG0002429.0	OG0015114.0	OG0012536.0	OG0027494.0	OG0017157.4	OG0057505.0	OG0017539.2	OG0037819.0	OG0044671.0	OG0006220.13	OG0038656.0	OG0041828.0	OG0015201.0	OG0014619.0	OG0012889.0	OG0011969.0	OG0013577.0	OG0028126.0	OG0045211.0	OG0025053.0	OG0022004.0	OG0005701.33	OG0007601.0	OG0045964.0	OG0002373.38	OG0057513.0	OG0016961.3	OG0002021.4	OG0019161.0	OG0034289.0	OG0047455.0	OG0022760.0	OG0056737.0	OG0034550.0	OG0029613.0	OG0001507.1	OG0029210.0	OG0043616.0	OG0006524.0	OG0009120.0	OG0045182.0	OG0002828.24	OG0017741.0	OG0022086.0	OG0017003.0
