OG0007639.25	OG0005056.1	OG0008342.0	OG0000264.1	OG0019212.0	OG0000834.30	OG0006158.4	OG0000751.0	OG0016785.2	OG0014302.8	OG0014817.2	OG0001607.2	OG0000213.256	OG0000236.122	OG0004314.0	OG0001844.24	OG0006225.0	OG0029060.0	OG0000456.0	OG0053812.0	OG0013218.3	OG0005400.0	OG0011985.2	OG0008341.0	OG0004205.0	OG0007639.5	OG0000236.19	OG0020019.0	OG0000119.0	OG0005741.0	OG0008335.19	OG0003991.2	OG0007127.0	OG0000324.0	OG0002309.26	OG0009857.2	OG0002590.0	OG0000236.1	OG0003860.1	OG0000320.0	OG0002488.24	OG0002988.0	OG0000206.0	OG0004226.0	OG0000098.0	OG0005266.0	OG0006752.0	OG0044466.0	OG0005996.10	OG0000833.0	OG0012896.0	OG0012897.4	OG0000920.27	OG0000318.0	OG0003342.16	OG0007845.0	OG0000551.2	OG0015105.0	OG0005326.0	OG0001764.0	OG0000834.15	OG0004135.0	OG0014065.0	OG0000213.17	OG0029057.0
-13.287712379549449	1.6537565757081047	2.0552809769629103	3.8575066198161356	-1.4359944550876724	5.715460755168607	3.9656708814581436	6.447846877871754	-1.1496317731419636	-3.4807872286686834	3.234706469320964	5.187671167977073	0.4034662349374713	4.786184983578821	1.6229558387278331	8.174524311534741	5.365626814603067	-13.287712379549449	5.159877328725069	nan	-2.642443082390205	2.202553039883437	2.6960638375939587	1.572250273562005	3.450355864670709	1.495391589015806	nan	0.10530712763183743	6.587403802095375	0.8597269647071779	-3.8073653093449016	3.2698707834165	2.8464985840896126	4.526772943954153	5.827379706515126	2.8517635646175195	4.570057236979119	1.5310303170156239	4.044403467311483	6.886812060071616	2.295832553403203	4.596247762489816	7.477226549593553	2.706220409918841	6.3050139535711285	2.4051629028587582	3.9194154556998035	nan	1.6950591606198113	5.080776630397934	2.9455225643395324	1.101067360102019	5.4964325093141655	6.229054930893693	4.976253214915082	1.4869934039635813	6.917485888354072	0.7331669607525073	0.6644185811037266	2.032030862812303	1.2893551033789747	1.0484604864355695	0.004390892080869884	8.173941193078683	-13.287712379549449
OG0013073.2	OG0001039.1	OG0000512.25	OG0013724.0	OG0006295.0	OG0007289.0	OG0035578.0	OG0000328.0	OG0001161.24	OG0004843.6	OG0002867.1	OG0001567.1	OG0006462.0	OG0016290.2	OG0015537.0	OG0002437.4	OG0002390.42	OG0007523.4	OG0004923.0	OG0006694.0	OG0010698.0	OG0015720.2	OG0018083.0	OG0007107.0	OG0000466.0	OG0003620.0	OG0022346.0	OG0000327.54	OG0016802.2	OG0015673.5	OG0000448.1	OG0000420.0	OG0000133.60	OG0003513.0	OG0003531.0	OG0011471.4	OG0011884.0	OG0010877.4	OG0020198.0	OG0004708.0	OG0005041.0	OG0048963.0	OG0002592.3	OG0003924.0	OG0003546.0	OG0004438.0	OG0000749.2	OG0003713.0	OG0020618.0	OG0006677.0	OG0001442.1	OG0016863.2	OG0002321.0	OG0004537.8	OG0019029.0	OG0002881.24	OG0008313.24	OG0003642.0	OG0000225.48	OG0029077.0	OG0027522.0	OG0001215.24	OG0003652.0	OG0003749.1	OG0000127.0
1.5777228164432895	1.096141643748655	2.3702150585190127	1.17736505956934	0.4759073475908476	1.7859995963981299	nan	8.600838462845806	1.4018499119324095	0.3773167880740936	0.09033233975202462	3.356837488145097	1.2941303812458043	-0.046298224890341556	0.5962475733233624	5.3384755203772585	5.36786524719539	3.5136102228424573	2.3850538125975103	0.6361193909244084	2.8659151080207543	0.4949322624158217	1.6305936574007538	2.65378372922079	6.111316507344073	1.2755208380688186	-0.6664661424372729	4.52452134109125	0.7237879726807224	nan	0.8164051249260089	7.583796104199324	7.164905048274332	6.3173958971352	5.071535835610629	1.588623692104072	2.3008792587578	2.6583052921931314	1.217987282587597	2.103664353846285	4.622617893627597	nan	5.1104754550832805	4.3558717623666405	3.1902465653691645	0.7357549372551498	5.2285619572734765	1.3165376187411384	0.04934942607701266	1.6274982855285194	0.6457422657666343	1.2899171418579787	0.8534349059972103	3.2254420960255117	0.1814557336200528	2.349134784796318	0.30843555137590756	4.0598487067722315	7.056858061644441	-13.287712379549449	2.10118262605173	1.6742479087011926	5.674498788652294	1.475865752166683	8.203055795177706
OG0011172.0	OG0022617.0	OG0002960.16	OG0006978.0	OG0018116.4	OG0006804.0	OG0008355.0	OG0003036.0	OG0009072.0	OG0000658.0	OG0008108.0	OG0000188.1	OG0000078.263	OG0002999.0	OG0014632.1	OG0004251.2	OG0000177.191	OG0020582.0	OG0001900.0	OG0000085.0	OG0004228.1	OG0022253.0	OG0004557.0	OG0000042.314	OG0012413.8	OG0005489.4	OG0006724.0	OG0012212.6	OG0000075.0	OG0002034.0	OG0007446.0	OG0000483.0	OG0001055.24	OG0001647.0	OG0003100.0	OG0001500.24	OG0012759.0	OG0014677.4	OG0012940.3	OG0002872.0	OG0016105.0	OG0019362.0	OG0000583.0	OG0004136.2	OG0007950.0	OG0011720.2	OG0005908.0	OG0005011.0	OG0000915.28	OG0002524.0	OG0008245.0	OG0003848.6	OG0007027.0	OG0021239.0	OG0008867.1	OG0005704.4	OG0045700.0	OG0000728.24	OG0003709.2	OG0001617.1	OG0015927.4	OG0044386.0	OG0015234.2	OG0003821.20	OG0015760.0
2.9906297717680053	-13.287712379549449	5.1122364768628055	1.0008685621423592	-0.7959684990395669	3.3471865635528135	1.5780725563625435	3.8432936377929323	1.5930396428667544	8.395060215532954	3.1540712128854684	7.652604043299282	-0.026919498785407968	0.740933015084261	-1.4097313489623675	8.131846789910387	5.650764649665876	nan	5.159157465697237	7.622215252535698	4.191964493131327	3.31926964052134	2.738416807320284	5.884601013464694	-0.24099360947592416	4.385339759863417	2.4036214109571468	1.500245974061233	7.047519380973122	0.9283845651316928	2.8545821289925737	7.52834953367076	-1.6895734041538348	7.599108380374692	2.7062156088294365	0.4430832798324649	4.508182429155199	2.760448528660005	0.13295178837298358	4.701419105266747	0.8801023847633761	1.2833941292144466	5.111382055716506	2.6593690258831466	1.810263098383032	3.087058678854249	1.4514451590126969	3.0062976730310376	-0.6693210247243021	7.219564220227653	0.12790316242991023	2.8332399292225237	-0.03812999111491445	0.3914675157334304	-0.03778897839200952	0.9076591333344387	nan	4.658735022687043	4.814539717175611	0.6331511119319931	1.1148579801801088	nan	1.3841391953115592	1.2567185003828003	2.309922650989702
OG0007556.0	OG0004174.0	OG0045633.0	OG0005127.2	OG0009112.0	OG0000407.1	OG0001021.49	OG0011198.6	OG0000081.256	OG0016995.2	OG0011719.2	OG0013286.2	OG0010791.5	OG0017764.3	OG0005491.2	OG0002441.0	OG0024480.0	OG0000568.0	OG0018050.0	OG0001900.0	OG0000232.8	OG0010500.6	OG0007623.8	OG0000698.19	OG0005525.30	OG0000661.3	OG0004566.0	OG0002873.0	OG0014663.1	OG0000575.28	OG0024978.0	OG0000929.1	OG0000223.2	OG0000001.2546	OG0006582.0	OG0003307.20	OG0013081.0	OG0001428.1	OG0003587.16	OG0011737.0	OG0013439.2	OG0004351.0	OG0004338.2	OG0002763.0	OG0003247.1	OG0005894.10	OG0007658.2	OG0000376.174	OG0000749.2	OG0000741.0	OG0007292.0	OG0022186.0	OG0024591.0	OG0010759.0	OG0011200.0	OG0025093.0	OG0005949.0	OG0001089.2	OG0002130.0	OG0015365.0	OG0000007.585	OG0000286.32	OG0008677.1	OG0007117.0	OG0008127.0
4.6840387671183885	3.9162447555927415	nan	2.1572403870064036	2.239990418044572	7.293414089489028	2.8979120455982526	-0.13388582582729724	4.484901154699422	0.4231016751441505	-0.019181151716187922	-0.18190692271204445	0.4485637237161023	2.6234305752634217	5.347174814146021	2.7181114708491245	0.8512381778910821	8.213356154075893	1.6656454152767473	5.159157465697237	-0.2702641968153663	1.6034743386192076	0.7149733686583626	0.32683165084995136	nan	7.396926333158043	4.914112886307178	1.9393769272241668	0.9278042363876035	7.651671259815025	nan	1.236275633701305	7.752326758869543	8.15395684674223	2.7501689086952417	1.0556779030699561	0.9862378566723347	0.14745546380612165	2.472147256965779	2.7468330347354395	2.216023891984795	3.0313288896568653	3.1718221101701016	4.986081884700359	2.774767372547856	4.792626301628782	1.3815560706139323	1.9589584872517014	5.2285619572734765	0.46644835986536143	2.1388635777501865	-0.17141466772698827	0.8644842878826402	2.7122363668081895	2.765288932892919	1.0147028121614494	1.3803454856913244	3.487422926663283	1.4389780003155472	0.9682061717703286	7.698342762758861	7.320140817931725	-1.1848982045561456	4.712605180169104	1.5744481513702278
OG0007162.4	OG0008133.2	OG0001711.10	OG0008305.20	OG0002369.0	OG0007033.0	OG0003762.0	OG0000777.0	OG0007888.4	OG0001061.24	OG0000291.0	OG0009803.0	OG0012177.2	OG0010734.0	OG0005636.2	OG0007826.10	OG0001415.1	OG0003087.0	OG0000085.0	OG0000378.2	OG0000522.0	OG0004341.2	OG0015628.2	OG0000362.42	OG0015209.2	OG0007107.0	OG0005682.0	OG0000246.0	OG0023141.0	OG0003933.8	OG0000662.1	OG0008691.0	OG0010696.0	OG0005469.6	OG0003740.0	OG0000947.24	OG0021189.0	OG0004730.4	OG0008278.4	OG0018079.3	OG0004154.1	OG0003383.0	OG0024706.0	OG0005986.4	OG0019957.0	OG0027805.0	OG0000026.621	OG0019383.0	OG0056683.0	OG0025018.0	OG0020256.0	OG0000359.28	OG0001748.1	OG0007960.0	OG0009920.0	OG0017954.0	OG0003635.0	OG0000026.628	OG0007258.2	OG0012972.9	OG0007948.0	OG0017886.0	OG0000276.72	OG0001802.4	OG0000015.773
4.9323200474434445	-0.2630009379157775	6.673293958680064	1.6958258858109845	3.536572710401544	1.3764200701452238	2.288043215538446	8.141177145813625	-0.03558014357621403	-0.764225608226506	7.699969580127442	1.5408389450144284	1.0380622153865702	2.5398066569865314	3.7756067024220616	2.772315772851517	4.2658768156744875	4.263409212077984	7.622215252535698	3.949257524904131	4.438118697917621	2.233803086044627	1.153851772715782	8.26093866558611	-0.590481552054333	2.65378372922079	3.094585335335341	5.033241909050571	2.346496465065816	1.2371759619572236	-0.14755003083435322	1.0715058261538823	2.1173413112141994	3.082457551589437	4.815914151788804	4.281931318890889	0.9085038910482551	1.3867233427596033	-0.5200906917032655	-1.0197512779369136	3.6464559151706757	1.3793442422151572	-0.19622554312816193	0.7061500081265675	-13.287712379549449	nan	-0.38398986678192804	0.9376994441866271	nan	nan	0.49584281442529193	7.74452267107974	2.1968786070431605	3.9489599342365964	3.5343967749267433	1.6515625042531425	1.2363233082906522	1.5199686081817325	2.16524487763212	1.8932559428190183	1.09073996456674	-0.12338693489787904	4.246636946294859	6.829852871343419	8.790301108590631
OG0008213.6	OG0005681.2	OG0003402.0	OG0009966.4	OG0011517.2	OG0004182.0	OG0001021.49	OG0000842.0	OG0000081.256	OG0006323.0	OG0007425.0	OG0011499.1	OG0000026.780	OG0004232.0	OG0028998.0	OG0002170.0	OG0001861.0	OG0001893.0	OG0041639.0	OG0007829.0	OG0005283.0	OG0010028.8	OG0005242.14	OG0010154.0	OG0006556.0	OG0000005.297	OG0000661.3	OG0000120.105	OG0002752.1	OG0017936.0	OG0017833.2	OG0018117.2	OG0000001.2546	OG0000431.12	OG0000837.0	OG0022086.0	OG0007347.0	OG0000498.0	OG0010812.8	OG0000631.0	OG0024490.0	OG0001175.1	OG0025087.0	OG0011706.0	OG0016673.6	OG0002592.3	OG0003980.9	OG0002720.27	OG0004145.0	OG0000716.2	OG0025001.0	OG0000071.0	OG0015092.0	OG0006008.0	OG0019403.0	OG0001259.24	OG0034898.0	OG0003533.1	OG0005360.0	OG0001144.24	OG0011470.0	OG0012207.4	OG0006676.0	OG0015684.5	OG0004901.9
