OG0007639.25	OG0005056.1	OG0008342.0	OG0000264.1	OG0019212.0	OG0000834.30	OG0006158.4	OG0000751.0	OG0016785.2	OG0014302.8	OG0014817.2	OG0001607.2	OG0000213.256	OG0000236.122	OG0004314.0	OG0001844.24	OG0006225.0	OG0029060.0	OG0000456.0	OG0053812.0	OG0013218.3	OG0005400.0	OG0011985.2	OG0008341.0	OG0004205.0	OG0007639.5	OG0000236.19	OG0020019.0	OG0000119.0	OG0005741.0	OG0008335.19	OG0003991.2	OG0007127.0	OG0000324.0	OG0002309.26	OG0009857.2	OG0002590.0	OG0000236.1	OG0003860.1	OG0000320.0	OG0002488.24	OG0002988.0	OG0000206.0	OG0004226.0	OG0000098.0	OG0005266.0	OG0006752.0	OG0044466.0	OG0005996.10	OG0000833.0	OG0012896.0	OG0012897.4	OG0000920.27	OG0000318.0	OG0003342.16	OG0007845.0	OG0000551.2	OG0015105.0	OG0005326.0	OG0001764.0	OG0000834.15	OG0004135.0	OG0014065.0	OG0000213.17	OG0029057.0
-13.287712379549449	-0.40254477219737267	-0.11108232093003877	-0.39191642613293387	-1.4359944550876724	0.39462223279488984	1.5047362898471088	0.14637556395641846	-1.1496317731419636	-3.4807872286686834	0.666926436922195	0.8376064985087806	0.4034662349374713	0.47174124311625504	0.1294434137272129	0.21483853187865953	-0.17132702739739747	-13.287712379549449	0.33942602596370375	nan	-2.642443082390205	0.0700879769523404	0.5318482191768008	1.4091380175176096	0.7854756524107099	1.495391589015806	nan	0.10530712763183743	0.6441848183194789	0.31084744248656526	-3.8073653093449016	-0.3231348291098198	-0.2561584779183969	0.5633565711396273	0.03230464666485579	1.529902227401704	1.4206747302640448	1.5310303170156239	1.831595044302865	0.4278612776546661	0.4984322183473175	0.31437249912292065	0.9779949259616734	0.9004165034640287	1.3764007627255037	1.0126602346510893	0.5142954387845684	nan	1.1056209896866196	-0.061052781838215546	1.057877257780895	1.0947657203045267	-0.05408632246016782	-0.16099870804441482	1.300536164422742	0.30874263935829077	0.12004374815933493	0.6970732271761306	-0.6812428796663623	-1.1869163230457778	1.2893551033789747	-0.28884367443802567	-1.712716136602532	1.6131541272329173	-13.287712379549449
OG0013073.2	OG0001039.1	OG0000512.25	OG0013724.0	OG0006295.0	OG0007289.0	OG0035578.0	OG0000328.0	OG0001161.24	OG0004843.6	OG0002867.1	OG0001567.1	OG0006462.0	OG0016290.2	OG0015537.0	OG0002437.4	OG0002390.42	OG0007523.4	OG0004923.0	OG0006694.0	OG0010698.0	OG0015720.2	OG0018083.0	OG0007107.0	OG0000466.0	OG0003620.0	OG0022346.0	OG0000327.54	OG0016802.2	OG0015673.5	OG0000448.1	OG0000420.0	OG0000133.60	OG0003513.0	OG0003531.0	OG0011471.4	OG0011884.0	OG0010877.4	OG0020198.0	OG0004708.0	OG0005041.0	OG0048963.0	OG0002592.3	OG0003924.0	OG0003546.0	OG0004438.0	OG0000749.2	OG0003713.0	OG0020618.0	OG0006677.0	OG0001442.1	OG0016863.2	OG0002321.0	OG0004537.8	OG0019029.0	OG0002881.24	OG0008313.24	OG0003642.0	OG0000225.48	OG0029077.0	OG0027522.0	OG0001215.24	OG0003652.0	OG0003749.1	OG0000127.0
1.5777228164432895	0.3297214947498188	0.013139911140853007	1.1333602383778614	-0.151782921583074	1.583975009622038	nan	1.6578419331274667	-0.337124002306178	-0.7458753213866538	-1.7162495634028476	-0.8618163367911472	0.07059481338844602	-0.046298224890341556	0.5962475733233624	0.481396241062756	1.1529079970570604	0.36503813323312173	0.31685035242857673	0.5549048621156596	2.176200953427624	0.4949322624158217	-0.07449819139344221	0.210868135212414	0.5064627019620722	0.11120668494911237	-0.6664661424372729	-0.014779156760561669	0.7237879726807224	nan	0.22152851497309892	0.9342960975731764	0.6697703340519057	0.6540349211245509	0.925276793306296	0.37131057576402426	2.274185143908474	2.6583052921931314	1.217987282587597	0.6926523897587308	1.4154196244286616	nan	1.302189477360994	0.00940862944275505	-0.7208696484163886	-0.08214103395744402	0.6960006209538083	1.0644961305139449	0.04934942607701266	0.9469137186676376	-0.7012328064171617	0.9907636307202523	-0.6925931069390918	0.20088410859886882	0.1814557336200528	0.3806630989944587	0.30843555137590756	1.6239806471566207	0.6293536164857614	-13.287712379549449	2.10118262605173	0.8563285264155072	1.2241695600909916	0.7141786991115535	1.118531141855312
OG0011172.0	OG0022617.0	OG0002960.16	OG0006978.0	OG0018116.4	OG0006804.0	OG0008355.0	OG0003036.0	OG0009072.0	OG0000658.0	OG0008108.0	OG0000188.1	OG0000078.263	OG0002999.0	OG0014632.1	OG0004251.2	OG0000177.191	OG0020582.0	OG0001900.0	OG0000085.0	OG0004228.1	OG0022253.0	OG0004557.0	OG0000042.314	OG0012413.8	OG0005489.4	OG0006724.0	OG0012212.6	OG0000075.0	OG0002034.0	OG0007446.0	OG0000483.0	OG0001055.24	OG0001647.0	OG0003100.0	OG0001500.24	OG0012759.0	OG0014677.4	OG0012940.3	OG0002872.0	OG0016105.0	OG0019362.0	OG0000583.0	OG0004136.2	OG0007950.0	OG0011720.2	OG0005908.0	OG0005011.0	OG0000915.28	OG0002524.0	OG0008245.0	OG0003848.6	OG0007027.0	OG0021239.0	OG0008867.1	OG0005704.4	OG0045700.0	OG0000728.24	OG0003709.2	OG0001617.1	OG0015927.4	OG0044386.0	OG0015234.2	OG0003821.20	OG0015760.0
0.5246558657452363	-13.287712379549449	0.5804449963341061	0.7343440604470777	-0.7959684990395669	1.4202738952916638	0.21185480135168902	0.9515365844308045	0.1800801923129443	-0.009551679778455101	1.3245742791717325	1.4042568241362623	-1.2403334055688953	0.13339842887414458	-1.4097313489623675	3.2322962723149176	1.7249649758612364	nan	1.2351278289047976	1.053881751889486	0.4447801066295268	1.8614094621611668	1.7537202403210805	1.365775345578985	-0.24099360947592416	1.3515934997433567	1.1657364911671615	0.7322498351845137	0.5693993179636847	-0.29092240999699187	1.2692106898370628	0.7743046641435996	-2.1100181719231705	0.7339126062116462	-0.7327427202534313	-0.5069372329284414	2.5031470531857383	2.7578616289951086	0.13295178837298358	0.9677534619823026	0.8801023847633761	1.2833941292144466	1.4863386915829282	1.2108896623019063	1.778365847169664	3.087058678854249	0.5084711489023093	1.130305284862796	-1.3237300708068076	1.4332152683374546	0.07265771609362719	0.7146453437869282	-0.1151394669854418	0.3914675157334304	-0.03778897839200952	-0.23845871721331785	nan	0.5085817378574989	1.2249954995760808	0.6135214532393585	1.1148579801801088	nan	1.3841391953115592	-0.10085355080066702	2.309922650989702
OG0007556.0	OG0004174.0	OG0045633.0	OG0005127.2	OG0009112.0	OG0000407.1	OG0001021.49	OG0011198.6	OG0000081.256	OG0016995.2	OG0011719.2	OG0013286.2	OG0010791.5	OG0017764.3	OG0005491.2	OG0002441.0	OG0024480.0	OG0000568.0	OG0018050.0	OG0001900.0	OG0000232.8	OG0010500.6	OG0007623.8	OG0000698.19	OG0005525.30	OG0000661.3	OG0004566.0	OG0002873.0	OG0014663.1	OG0000575.28	OG0024978.0	OG0000929.1	OG0000223.2	OG0000001.2546	OG0006582.0	OG0003307.20	OG0013081.0	OG0001428.1	OG0003587.16	OG0011737.0	OG0013439.2	OG0004351.0	OG0004338.2	OG0002763.0	OG0003247.1	OG0005894.10	OG0007658.2	OG0000376.174	OG0000749.2	OG0000741.0	OG0007292.0	OG0022186.0	OG0024591.0	OG0010759.0	OG0011200.0	OG0025093.0	OG0005949.0	OG0001089.2	OG0002130.0	OG0015365.0	OG0000007.585	OG0000286.32	OG0008677.1	OG0007117.0	OG0008127.0
1.3855038275300429	0.038090689007030686	nan	-0.13244948753144276	1.2588327631542628	1.121185964396278	-0.1670152439928001	-0.23610067287836517	0.45569750132033804	0.4231016751441505	-0.019181151716187922	-0.18190692271204445	0.4485637237161023	2.6234305752634217	1.782896743206607	0.2842568301918479	0.8512381778910821	1.2403818578249157	1.5680959524981537	1.2351278289047976	-0.2702641968153663	0.6388240725099169	0.7149733686583626	-0.714282402270904	nan	0.4845108290833306	1.9144860912038308	0.98027792058131	0.4939047608269634	0.7036318657782659	nan	-0.6051887038829158	0.8588592305144973	1.4948320911773647	0.3555465336692873	-0.37393021569594465	0.788371035130089	-0.8780185243076191	1.7736376281518145	1.177950863839262	2.216023891984795	1.5902689822993712	1.164972429545315	1.192361581078203	1.0216310776383477	2.41857749210308	1.249452110202172	1.4359451048545404	0.6960006209538083	-0.7817563748536289	1.7133759232459662	-0.17141466772698827	0.8644842878826402	1.7803610247682846	1.4809583983781263	1.0147028121614494	0.793500681269548	0.8997326261193295	0.7149094984664837	0.041094003083524386	0.9323823453113546	0.7717329860238648	-1.1848982045561456	2.1722526158973854	-0.12364968019538518
OG0007162.4	OG0008133.2	OG0001711.10	OG0008305.20	OG0002369.0	OG0007033.0	OG0003762.0	OG0000777.0	OG0007888.4	OG0001061.24	OG0000291.0	OG0009803.0	OG0012177.2	OG0010734.0	OG0005636.2	OG0007826.10	OG0001415.1	OG0003087.0	OG0000085.0	OG0000378.2	OG0000522.0	OG0004341.2	OG0015628.2	OG0000362.42	OG0015209.2	OG0007107.0	OG0005682.0	OG0000246.0	OG0023141.0	OG0003933.8	OG0000662.1	OG0008691.0	OG0010696.0	OG0005469.6	OG0003740.0	OG0000947.24	OG0021189.0	OG0004730.4	OG0008278.4	OG0018079.3	OG0004154.1	OG0003383.0	OG0024706.0	OG0005986.4	OG0019957.0	OG0027805.0	OG0000026.621	OG0019383.0	OG0056683.0	OG0025018.0	OG0020256.0	OG0000359.28	OG0001748.1	OG0007960.0	OG0009920.0	OG0017954.0	OG0003635.0	OG0000026.628	OG0007258.2	OG0012972.9	OG0007948.0	OG0017886.0	OG0000276.72	OG0001802.4	OG0000015.773
2.412654381115259	-0.4394047918187941	0.40752705515594106	1.6958258858109845	-0.03982348297517752	1.248977879389245	1.2378900737331822	1.068899164379289	-0.4919720953207921	-1.4042935026717356	1.1501259116260862	0.81904095778968	0.42659476884947406	1.3088090817559592	1.4888146503961421	2.1195139398233436	0.3672336281525022	0.7460404024123641	1.053881751889486	0.04853611257066563	0.5442902745130277	1.1045665420643822	1.153851772715782	1.7698005337386966	-0.590481552054333	0.210868135212414	1.7943282633329913	0.899291754623149	2.346496465065816	0.474267674541549	-0.8105074684980428	1.0715058261538823	0.7777878002196118	0.5582200955366825	1.3016387417828703	0.45217333081061484	0.9085038910482551	0.1760257168419922	-0.8558345592416695	-1.0197512779369136	1.9621992146254061	1.0929656579400435	-0.19622554312816193	0.5877724808468809	-13.287712379549449	nan	-0.38398986678192804	0.9376994441866271	nan	nan	0.49584281442529193	1.1005795226002013	0.07536904379053423	0.749727267759103	0.5247969545098167	0.5313755711117143	-0.18554442311556812	0.07118961613366655	1.5105657788654683	1.8932559428190183	-0.3221411979478685	-0.14511033962982695	0.20658904468242925	1.7612187123719623	2.2134495457046173
OG0008213.6	OG0005681.2	OG0003402.0	OG0009966.4	OG0011517.2	OG0004182.0	OG0001021.49	OG0000842.0	OG0000081.256	OG0006323.0	OG0007425.0	OG0011499.1	OG0000026.780	OG0004232.0	OG0028998.0	OG0002170.0	OG0001861.0	OG0001893.0	OG0041639.0	OG0007829.0	OG0005283.0	OG0010028.8	OG0005242.14	OG0010154.0	OG0006556.0	OG0000005.297	OG0000661.3	OG0000120.105	OG0002752.1	OG0017936.0	OG0017833.2	OG0018117.2	OG0000001.2546	OG0000431.12	OG0000837.0	OG0022086.0	OG0007347.0	OG0000498.0	OG0010812.8	OG0000631.0	OG0024490.0	OG0001175.1	OG0025087.0	OG0011706.0	OG0016673.6	OG0002592.3	OG0003980.9	OG0002720.27	OG0004145.0	OG0000716.2	OG0025001.0	OG0000071.0	OG0015092.0	OG0006008.0	OG0019403.0	OG0001259.24	OG0034898.0	OG0003533.1	OG0005360.0	OG0001144.24	OG0011470.0	OG0012207.4	OG0006676.0	OG0015684.5	OG0004901.9
