OG0007639.25	OG0005056.1	OG0008342.0	OG0000264.1	OG0019212.0	OG0000834.30	OG0006158.4	OG0000751.0	OG0016785.2	OG0014302.8	OG0014817.2	OG0001607.2	OG0000213.256	OG0000236.122	OG0004314.0	OG0001844.24	OG0006225.0	OG0029060.0	OG0000456.0	OG0053812.0	OG0013218.3	OG0005400.0	OG0011985.2	OG0008341.0	OG0004205.0	OG0007639.5	OG0000236.19	OG0020019.0	OG0000119.0	OG0005741.0	OG0008335.19	OG0003991.2	OG0007127.0	OG0000324.0	OG0002309.26	OG0009857.2	OG0002590.0	OG0000236.1	OG0003860.1	OG0000320.0	OG0002488.24	OG0002988.0	OG0000206.0	OG0004226.0	OG0000098.0	OG0005266.0	OG0006752.0	OG0044466.0	OG0005996.10	OG0000833.0	OG0012896.0	OG0012897.4	OG0000920.27	OG0000318.0	OG0003342.16	OG0007845.0	OG0000551.2	OG0015105.0	OG0005326.0	OG0001764.0	OG0000834.15	OG0004135.0	OG0014065.0	OG0000213.17	OG0029057.0
0.0	0.854973904796	0.461209422417	0.659184373158	0.022153403446999998	1.414753237073	1.104995305064	0.845876187114	0.02701875753	0.004710052017	0.920791952692	2.691940381764	0.384186343146	1.654318226193	0.48016786871000006	2.614350283428	2.170429832158	0.0	2.262471793988	nan	0.008425706057	0.8776201629610001	0.827043504274	0.65137136077	0.8682230219760001	0.148413875623	nan	0.516405508761	2.121221749549	1.305227807308	0.003754849906	0.541845618444	1.310807996801	1.3539130359290001	1.758751606939	0.432808459754	1.9900418320939999	0.18037054668900002	3.223845549875	1.11019913486	1.039223796183	1.110216240036	2.522749018167	0.9345747640880001	2.7556804500050003	2.125862773797	1.015998847196	nan	0.72366574325	1.704263518845	1.679417176972	0.692784124998	0.845410968474	1.383725896207	2.058837602109	0.884724392481	1.584199702703	1.1795217834010001	0.513043302179	0.58295634836	1.7326498048719998	1.188563628866	0.028313699501	2.605431327044	0.0
OG0013073.2	OG0001039.1	OG0000512.25	OG0013724.0	OG0006295.0	OG0007289.0	OG0035578.0	OG0000328.0	OG0001161.24	OG0004843.6	OG0002867.1	OG0001567.1	OG0006462.0	OG0016290.2	OG0015537.0	OG0002437.4	OG0002390.42	OG0007523.4	OG0004923.0	OG0006694.0	OG0010698.0	OG0015720.2	OG0018083.0	OG0007107.0	OG0000466.0	OG0003620.0	OG0022346.0	OG0000327.54	OG0016802.2	OG0015673.5	OG0000448.1	OG0000420.0	OG0000133.60	OG0003513.0	OG0003531.0	OG0011471.4	OG0011884.0	OG0010877.4	OG0020198.0	OG0004708.0	OG0005041.0	OG0048963.0	OG0002592.3	OG0003924.0	OG0003546.0	OG0004438.0	OG0000749.2	OG0003713.0	OG0020618.0	OG0006677.0	OG0001442.1	OG0016863.2	OG0002321.0	OG0004537.8	OG0019029.0	OG0002881.24	OG0008313.24	OG0003642.0	OG0000225.48	OG0029077.0	OG0027522.0	OG0001215.24	OG0003652.0	OG0003749.1	OG0000127.0
1.732057393921	1.100306373329	0.8459700439839999	1.6088229936329999	0.548611342626	0.7707519514129999	nan	2.753251556955	0.664928007374	0.26371930461599996	0.541029692846	0.5561097237100001	1.4201978301750002	0.279977802166	1.059714552081	1.096755834089	2.022218281848	0.40572629482100003	1.34730830355	0.35226701226999996	0.381667309538	0.074180682561	0.467284520684	2.594498190932	2.127066083197	1.4063143611000002	0.37902849462300003	0.797375587439	0.099012716605	nan	0.836619797322	1.5431179497440002	1.4324436249360002	2.3237262750839998	1.784820076521	0.246416525878	1.101317741532	0.33231882051	1.626014332759	1.159825546806	1.951833467736	nan	2.848360845791	1.054715867578	0.590319241179	0.42273185496200005	1.281508523635	1.5725275700049999	0.494059723584	0.48141406930799996	0.6058461186240001	0.574557263366	0.520136521393	0.8616161455210001	0.6822639382160001	0.535624271227	0.065184669509	2.210428641101	1.979395562228	0.0	2.090078651078	1.3658816443619999	2.143872158697	1.673521682191	2.433086151795
OG0011172.0	OG0022617.0	OG0002960.16	OG0006978.0	OG0018116.4	OG0006804.0	OG0008355.0	OG0003036.0	OG0009072.0	OG0000658.0	OG0008108.0	OG0000188.1	OG0000078.263	OG0002999.0	OG0014632.1	OG0004251.2	OG0000177.191	OG0020582.0	OG0001900.0	OG0000085.0	OG0004228.1	OG0022253.0	OG0004557.0	OG0000042.314	OG0012413.8	OG0005489.4	OG0006724.0	OG0012212.6	OG0000075.0	OG0002034.0	OG0007446.0	OG0000483.0	OG0001055.24	OG0001647.0	OG0003100.0	OG0001500.24	OG0012759.0	OG0014677.4	OG0012940.3	OG0002872.0	OG0016105.0	OG0019362.0	OG0000583.0	OG0004136.2	OG0007950.0	OG0011720.2	OG0005908.0	OG0005011.0	OG0000915.28	OG0002524.0	OG0008245.0	OG0003848.6	OG0007027.0	OG0021239.0	OG0008867.1	OG0005704.4	OG0045700.0	OG0000728.24	OG0003709.2	OG0001617.1	OG0015927.4	OG0044386.0	OG0015234.2	OG0003821.20	OG0015760.0
0.442553673653	0.0	1.192949476014	0.45360586413500004	0.030314218896	1.9929775891639998	1.1631004462630001	1.469140569691	0.13209706106799998	2.1628327347589997	1.378096524806	2.467359084216	0.373812560929	1.005504854895	0.036807441491	2.600367974964	4.914408436325	nan	2.259679912579	1.839177548508	1.7123516961460001	1.9055654433450002	1.806751888845	2.476573318562	0.41376731677199996	1.3899675692289999	1.504513172474	0.8569705554279999	1.198904738926	0.6193054670520001	1.5765267717759999	1.399476356236	0.22400861841999997	1.236800125042	0.509111940261	0.558076756659	0.20871365864100003	0.707221131156	0.6828872993870001	1.798545339953	0.18002634913600002	0.14920198027999998	2.704177503858	2.370199540947	0.7711618537270001	0.447326200985	1.109816998478	1.3551828184099999	0.301419280533	2.213933441679	0.783178459736	1.381813450063	0.208835825401	0.9480417558290001	0.700839515725	0.462473183362	nan	1.346492493303	0.969286068099	0.296097043607	0.114003405887	nan	0.7066595015539999	0.919196476317	1.108243066462
OG0007556.0	OG0004174.0	OG0045633.0	OG0005127.2	OG0009112.0	OG0000407.1	OG0001021.49	OG0011198.6	OG0000081.256	OG0016995.2	OG0011719.2	OG0013286.2	OG0010791.5	OG0017764.3	OG0005491.2	OG0002441.0	OG0024480.0	OG0000568.0	OG0018050.0	OG0001900.0	OG0000232.8	OG0010500.6	OG0007623.8	OG0000698.19	OG0005525.30	OG0000661.3	OG0004566.0	OG0002873.0	OG0014663.1	OG0000575.28	OG0024978.0	OG0000929.1	OG0000223.2	OG0000001.2546	OG0006582.0	OG0003307.20	OG0013081.0	OG0001428.1	OG0003587.16	OG0011737.0	OG0013439.2	OG0004351.0	OG0004338.2	OG0002763.0	OG0003247.1	OG0005894.10	OG0007658.2	OG0000376.174	OG0000749.2	OG0000741.0	OG0007292.0	OG0022186.0	OG0024591.0	OG0010759.0	OG0011200.0	OG0025093.0	OG0005949.0	OG0001089.2	OG0002130.0	OG0015365.0	OG0000007.585	OG0000286.32	OG0008677.1	OG0007117.0	OG0008127.0
1.288730016283	1.071071392738	nan	1.067326551184	0.28362142813200003	1.061904491775	0.471406176777	0.42054691068000005	1.2583280820829998	0.068971877144	0.051941450298	0.046400587367	0.9719041669480001	0.324381765767	2.439023368131	1.725728769846	0.098297211723	1.963360302157	0.29824728599100003	2.259679912579	0.240568320669	0.189659316504	0.316173667035	0.5041096440199999	nan	1.109242823491	1.266116952935	1.8474029494980002	0.137743705499	1.7824630045339998	nan	0.608579705301	1.3521247143200001	1.996254614292	0.9456413397040001	0.604812793984	1.4056982374579998	0.441826687412	1.339148473598	1.281555042984	0.24457524751600002	2.545038647777	0.776368442629	2.5445783282359997	1.716560818359	1.78375287495	0.49743661188500005	0.8812578483769999	1.281508523635	0.494137524895	0.840846711178	0.055417219537000004	0.16771638737800001	0.415707603476	2.043655728521	0.609503140148	0.8133863492919999	1.4324009663150001	1.433937848854	0.146889654969	1.586928019729	0.9663286453479999	0.30724884608	1.821405089709	0.493884075893
OG0007162.4	OG0008133.2	OG0001711.10	OG0008305.20	OG0002369.0	OG0007033.0	OG0003762.0	OG0000777.0	OG0007888.4	OG0001061.24	OG0000291.0	OG0009803.0	OG0012177.2	OG0010734.0	OG0005636.2	OG0007826.10	OG0001415.1	OG0003087.0	OG0000085.0	OG0000378.2	OG0000522.0	OG0004341.2	OG0015628.2	OG0000362.42	OG0015209.2	OG0007107.0	OG0005682.0	OG0000246.0	OG0023141.0	OG0003933.8	OG0000662.1	OG0008691.0	OG0010696.0	OG0005469.6	OG0003740.0	OG0000947.24	OG0021189.0	OG0004730.4	OG0008278.4	OG0018079.3	OG0004154.1	OG0003383.0	OG0024706.0	OG0005986.4	OG0019957.0	OG0027805.0	OG0000026.621	OG0019383.0	OG0056683.0	OG0025018.0	OG0020256.0	OG0000359.28	OG0001748.1	OG0007960.0	OG0009920.0	OG0017954.0	OG0003635.0	OG0000026.628	OG0007258.2	OG0012972.9	OG0007948.0	OG0017886.0	OG0000276.72	OG0001802.4	OG0000015.773
1.6175226539840002	0.59921456699	1.218524479024	1.949162958538	0.692596231699	1.685492494421	0.984306703344	3.126764084752	0.187918059169	0.339532203278	1.8301554384779999	0.586787799458	0.39933059744599997	0.879533193519	1.647241566283	0.30776699917399997	1.3966754560499999	1.301538188212	1.839177548508	0.973702022774	1.45648005008	1.434227269215	1.385768364576	10.145822818326	0.039812305304	2.594498190932	0.968549772334	2.057935302318	0.130522905495	0.530596023118	0.5137127963629999	0.476369154595	0.164744031647	0.594483776331	2.085947967486	1.166405469667	1.363293585981	0.63590998219	0.13311880628699999	0.048234598335999995	1.112489282924	1.494970681151	0.418948937297	0.352525931929	0.0	nan	0.04782395129	0.049156668016	nan	nan	0.315152340758	2.2452286155489998	0.914720689684	1.852269890921	0.821883331752	0.690074057275	1.3686181194029998	0.894476414304	0.673762804522	0.095333291613	0.52650579181	0.271388052392	1.453864721583	1.0187727901980002	3.96233221273
OG0008213.6	OG0005681.2	OG0003402.0	OG0009966.4	OG0011517.2	OG0004182.0	OG0001021.49	OG0000842.0	OG0000081.256	OG0006323.0	OG0007425.0	OG0011499.1	OG0000026.780	OG0004232.0	OG0028998.0	OG0002170.0	OG0001861.0	OG0001893.0	OG0041639.0	OG0007829.0	OG0005283.0	OG0010028.8	OG0005242.14	OG0010154.0	OG0006556.0	OG0000005.297	OG0000661.3	OG0000120.105	OG0002752.1	OG0017936.0	OG0017833.2	OG0018117.2	OG0000001.2546	OG0000431.12	OG0000837.0	OG0022086.0	OG0007347.0	OG0000498.0	OG0010812.8	OG0000631.0	OG0024490.0	OG0001175.1	OG0025087.0	OG0011706.0	OG0016673.6	OG0002592.3	OG0003980.9	OG0002720.27	OG0004145.0	OG0000716.2	OG0025001.0	OG0000071.0	OG0015092.0	OG0006008.0	OG0019403.0	OG0001259.24	OG0034898.0	OG0003533.1	OG0005360.0	OG0001144.24	OG0011470.0	OG0012207.4	OG0006676.0	OG0015684.5	OG0004901.9
