	1021	3841	CCGE532	CCGM7	CCNWGS0123	CFN42	CIAT899	HAMBI540	IE4803	IRBG74	LMTR13	MAFF303099	Mim1	N161	N561	NGR234	NXC24	ORS2060	ORS285	ORS571	R602	USDA110	USDA6	WSM1325	WSM2073	WSM2304	WSM419
1021	1.0	0.734375	0.6301369863013698	0.7183098591549296	0.5925925925925926	0.569620253164557	0.625	0.6865671641791045	0.525	0.6	0.5333333333333333	0.6125	0.5875	0.569620253164557	0.5569620253164557	0.5280898876404494	0.6666666666666666	0.6527777777777778	0.49411764705882355	0.5128205128205128	0.6756756756756757	0.4631578947368421	0.4583333333333333	0.6818181818181818	0.6805555555555556	0.676923076923077	0.9508196721311475
3841	0.734375	1.0	0.6923076923076923	0.6617647058823529	0.6216216216216216	0.6197183098591549	0.7142857142857143	0.7931034482758621	0.5915492957746479	0.6567164179104478	0.5357142857142857	0.6	0.6619718309859155	0.6197183098591549	0.6285714285714286	0.5487804878048781	0.7076923076923077	0.6176470588235294	0.5526315789473685	0.5797101449275363	0.6911764705882353	0.4772727272727273	0.45555555555555555	0.8214285714285714	0.6716417910447762	0.8181818181818182	0.71875
CCGE532	0.6301369863013698	0.6923076923076923	1.0	0.7794117647058824	0.7534246575342466	0.7571428571428571	0.9661016949152542	0.8064516129032258	0.7285714285714285	0.859375	0.6309523809523809	0.7297297297297297	0.8	0.7323943661971831	0.7183098591549296	0.6265060240963856	0.9193548387096774	0.7352941176470589	0.68	0.7205882352941176	0.782608695652174	0.5862068965517241	0.5617977528089888	0.71875	0.8461538461538461	0.7419354838709677	0.6619718309859155
CCGM7	0.7183098591549296	0.6617647058823529	0.7794117647058824	1.0	0.7945205479452054	0.726027397260274	0.803030303030303	0.7424242424242424	0.6756756756756757	0.7428571428571429	0.6470588235294118	0.7236842105263158	0.7916666666666666	0.7027027027027027	0.6891891891891891	0.6428571428571429	0.8208955223880597	0.704225352112676	0.6538461538461539	0.6901408450704225	0.8805970149253731	0.5842696629213483	0.5604395604395604	0.6376811594202898	0.835820895522388	0.6567164179104478	0.704225352112676
CCNWGS0123	0.5925925925925926	0.6216216216216216	0.7534246575342466	0.7945205479452054	1.0	0.7051282051282052	0.7746478873239436	0.6712328767123288	0.6794871794871795	0.7432432432432432	0.7093023255813954	0.8157894736842105	0.8888888888888888	0.7051282051282052	0.6923076923076923	0.7682926829268293	0.7432432432432432	0.6842105263157895	0.6790123456790124	0.6933333333333334	0.7733333333333333	0.6263736263736264	0.6195652173913043	0.6438356164383562	0.7808219178082192	0.6388888888888888	0.5802469135802469
CFN42	0.569620253164557	0.6197183098591549	0.7571428571428571	0.726027397260274	0.7051282051282052	1.0	0.7794117647058824	0.6956521739130435	0.9090909090909091	0.7714285714285715	0.632183908045977	0.75	0.7466666666666667	0.9393939393939394	0.9242424242424242	0.7283950617283951	0.7464788732394366	0.7083333333333334	0.6794871794871795	0.7183098591549296	0.7066666666666667	0.6067415730337079	0.6	0.6666666666666666	0.7605633802816901	0.6617647058823529	0.5974025974025974
CIAT899	0.625	0.7142857142857143	0.9661016949152542	0.803030303030303	0.7746478873239436	0.7794117647058824	1.0	0.8333333333333334	0.75	0.8571428571428571	0.6265060240963856	0.726027397260274	0.8235294117647058	0.7536231884057971	0.7391304347826086	0.6419753086419753	0.9180327868852459	0.7313432835820896	0.6756756756756757	0.7424242424242424	0.8059701492537313	0.5813953488372093	0.5568181818181818	0.7419354838709677	0.84375	0.7666666666666667	0.6571428571428571
HAMBI540	0.6865671641791045	0.7931034482758621	0.8064516129032258	0.7424242424242424	0.6712328767123288	0.6956521739130435	0.8333333333333334	1.0	0.6666666666666666	0.765625	0.5595238095238095	0.6486486486486487	0.7391304347826086	0.6714285714285714	0.6571428571428571	0.573170731707317	0.7936507936507936	0.6470588235294118	0.6	0.6567164179104478	0.7205882352941176	0.5172413793103449	0.4943820224719101	0.7931034482758621	0.7538461538461538	0.8214285714285714	0.7230769230769231
IE4803	0.525	0.5915492957746479	0.7285714285714285	0.6756756756756757	0.6794871794871795	0.9090909090909091	0.75	0.6666666666666666	1.0	0.7681159420289855	0.6091954022988506	0.7012987012987013	0.72	0.9384615384615385	0.953125	0.6829268292682927	0.7183098591549296	0.6805555555555556	0.6329113924050633	0.6901408450704225	0.6578947368421053	0.5842696629213483	0.5777777777777777	0.6376811594202898	0.7083333333333334	0.6567164179104478	0.5512820512820513
IRBG74	0.6	0.6567164179104478	0.859375	0.7428571428571429	0.7432432432432432	0.7714285714285715	0.8571428571428571	0.765625	0.7681159420289855	1.0	0.6428571428571429	0.7671232876712328	0.7638888888888888	0.7464788732394366	0.7323943661971831	0.6385542168674698	0.8181818181818182	0.7246376811594203	0.6710526315789473	0.7878787878787878	0.7464788732394366	0.5795454545454546	0.5730337078651685	0.7619047619047619	0.8333333333333334	0.7301587301587301	0.6081081081081081
