OG0019212.0	OG0000441.96	OG0001741.1	OG0007639.5	OG0000236.1	OG0011318.4	OG0012897.4	OG0020019.0	OG0005996.10	OG0001699.1	OG0000834.15	OG0002590.0	OG0001842.34	OG0002488.24	OG0002309.26	OG0005056.1	OG0014063.4	OG0000833.0	OG0008015.25	OG0001843.5	OG0013273.0	OG0014068.0	OG0006158.4	OG0000606.2	OG0011319.4	OG0013106.2	OG0000236.19	OG0003001.0	OG0000750.0	OG0003342.16	OG0004314.0	OG0005266.0	OG0000264.1	OG0015416.2	OG0020502.0	OG0000236.122	OG0014817.2	OG0000098.0	OG0007127.0	OG0001764.0	OG0001964.1	OG0005326.0	OG0001607.2	OG0002787.0	OG0000751.0	OG0013218.3	OG0006225.0	OG0001844.24	OG0003860.1	OG0000324.0	OG0005400.0	OG0029060.0	OG0000920.27	OG0001698.26	OG0001309.24	OG0003151.14	OG0006297.0	OG0003991.2	OG0001711.10	OG0001643.24	OG0002012.0	OG0002651.6	OG0000119.0	OG0008335.19	OG0044466.0	OG0002988.0	OG0000213.17	OG0000471.2	OG0053812.0	OG0004226.0	OG0000038.0	OG0004205.0	OG0005741.0	OG0006752.0	OG0000869.2	OG0000834.30	OG0016785.2	OG0002101.0	OG0001824.24	OG0000646.28	OG0009857.2	OG0000711.2	OG0001778.24	OG0000318.0	OG0000441.1	OG0001579.36	OG0000320.0	OG0000456.0	OG0000749.2	OG0000310.18	OG0011985.2	OG0012896.0	OG0001016.1	OG0005567.0	OG0001567.1	OG0002348.56	OG0015415.0	OG0029057.0	OG0000213.256	OG0002178.2	OG0014065.0	OG0000065.1	OG0000740.26	OG0028281.0	OG0000065.40	OG0004135.0	OG0005575.28	OG0007639.25	OG0008099.0	OG0008342.0	OG0001907.32	OG0014302.8	OG0007845.0	OG0001602.32	OG0001566.2	OG0001823.24	OG0008341.0	OG0015105.0	OG0000206.0	OG0000551.2
-1.4359944550876724	3.880915015811211	3.8517109410655888	1.495391589015806	1.5310303170156239	1.1396614238054927	1.101067360102019	0.10530712763183743	1.6950591606198113	3.7523703714243846	1.2893551033789747	4.570057236979119	5.079294039474334	2.295832553403203	5.827379706515126	1.6537565757081047	0.6104295172831056	5.080776630397934	nan	7.397343880921011	3.0523898604119752	1.2105338620753263	3.9656708814581436	5.666171523074633	1.8697340329898202	nan	nan	2.3315741799228893	5.29951426134823	4.976253214915082	1.6229558387278331	2.4051629028587582	3.8575066198161356	-1.558650266329535	2.0656960305292356	4.786184983578821	3.234706469320964	6.3050139535711285	2.8464985840896126	2.032030862812303	4.919822104221287	0.6644185811037266	5.187671167977073	5.245417447596345	6.447846877871754	-2.642443082390205	5.365626814603067	8.174524311534741	4.044403467311483	4.526772943954153	2.202553039883437	-13.287712379549449	5.4964325093141655	3.76834630985074	1.2884378831439265	5.633741776396054	1.6144356397594812	3.2698707834165	6.673293958680064	3.2101128903137615	0.0747948769887755	3.8840996729189494	6.587403802095375	-3.8073653093449016	nan	4.596247762489816	8.173941193078683	4.959066512187899	nan	2.706220409918841	8.28439494743276	3.450355864670709	0.8597269647071779	3.9194154556998035	3.700510734503725	5.715460755168607	-1.1496317731419636	2.5508252004725858	3.770679823954512	1.919017548184029	2.8517635646175195	4.331837342718466	5.349550131414722	6.229054930893693	0.24202770751783143	4.4105716742090815	6.886812060071616	5.159877328725069	5.2285619572734765	5.521260749079113	2.6960638375939587	2.9455225643395324	3.747776637495327	1.5791337058197286	3.356837488145097	1.9655354618241838	-13.287712379549449	-13.287712379549449	0.4034662349374713	3.3728897288458564	0.004390892080869884	nan	0.5732508868879453	nan	6.251074076649885	1.0484604864355695	0.4662688241784086	-13.287712379549449	3.272885388862685	2.0552809769629103	4.608496418591426	-3.4807872286686834	1.4869934039635813	4.714144465679471	6.524116308090783	4.249390717438137	1.572250273562005	0.7331669607525073	7.477226549593553	6.917485888354072
OG0004601.0	OG0004091.0	OG0018087.2	OG0000922.28	OG0000682.0	OG0000381.0	OG0027752.0	OG0002580.2	OG0011489.0	OG0010872.12	OG0000406.0	OG0012126.3	OG0012959.2	OG0000753.0	OG0004852.0	OG0000085.0	OG0020899.0	OG0000814.1	OG0005307.0	OG0012202.0	OG0020848.0	OG0003440.0	OG0027806.0	OG0000364.1	OG0000288.79	OG0011438.4	OG0014033.0	OG0005681.2	OG0012683.2	OG0000862.34	OG0041540.0	OG0012064.0	OG0048147.0	OG0000143.0	OG0001302.24	OG0000807.26	OG0001863.0	OG0000420.0	OG0001087.24	OG0000377.148	OG0005304.0	OG0000158.1	OG0006643.0	OG0000100.1	OG0003592.0	OG0001237.24	OG0004198.0	OG0000004.433	OG0015187.4	OG0000013.2	OG0007023.0	OG0000256.24	OG0003642.0	OG0004640.26	OG0003067.0	OG0012651.6	OG0000413.2	OG0000380.29	OG0001419.3	OG0000261.0	OG0002128.0	OG0041541.0	OG0005901.4	OG0000019.2	OG0011924.11	OG0024505.0	OG0008665.0	OG0000002.1147	OG0001857.4	OG0000419.108	OG0045229.0	OG0002133.0	OG0001736.4	OG0002210.0	OG0007723.0	OG0001365.24	OG0010577.0	OG0002418.9	OG0003423.0	OG0025008.0	OG0000297.1	OG0000290.0	OG0008097.4	OG0000962.24	OG0000225.48	OG0005287.12	OG0045888.0	OG0003502.3	OG0015967.4	OG0007159.0	OG0022375.0	OG0000858.32	OG0002117.0	OG0013881.0	OG0009205.0	OG0013892.2	OG0014234.1	OG0017257.0	OG0000177.8	OG0002448.22	OG0001273.24	OG0004163.4	OG0003928.0	OG0000287.0	OG0010584.0	OG0003281.0	OG0002298.4	OG0020651.0	OG0001656.2	OG0002464.21	OG0000257.0	OG0010775.0	OG0006941.0	OG0001594.1	OG0015168.2	OG0000336.0	OG0004935.0	OG0009014.0	OG0004096.6	OG0000317.0
1.4688476025642392	2.4123265364152573	2.2350828533450295	2.274351136662061	3.423445589218969	5.002716719123624	nan	4.1546914423034575	2.2947106069849013	-0.9225686445015202	5.459275219768065	1.823255469702265	0.8390721477473141	3.983524713471365	1.154030746282325	7.622215252535698	3.2591225728445536	0.9348031432106697	4.049803871843497	1.4074581479902335	0.339145681414932	0.9214081171790293	nan	7.786821281785832	0.4657649661149983	0.018020984765031424	0.1717277109199108	2.9439396983302633	2.0982969034604637	0.11654770167091166	nan	5.064000218342876	nan	5.435185459793109	0.809036679467597	2.093911287492807	1.4317592913617831	7.583796104199324	1.62522652101972	6.622112859541697	6.079876465764711	1.5155693349053756	0.7109787771165429	8.14818925314384	1.1552762187796062	2.2469180444781593	3.2565244299795277	0.6682810786402791	-2.240399055911864	8.1570455112967	1.1395765091985233	7.923545600875363	4.0598487067722315	1.6262032991028732	5.156347908456634	0.21391558615534895	-0.21521941733277486	4.872386177330234	2.8826196523536725	5.682342037612831	0.5660724676640452	nan	1.7409332632252472	7.456204755076856	1.8564187083431842	-2.544073578468491	2.646099660736485	8.251531954213922	3.660696396959234	5.00131632681734	nan	1.0620895305252744	4.813207210818548	1.0733456244483348	0.6141123147215084	1.234854609171314	1.1096978360515355	4.8722994665272665	1.8515943663946366	-13.287712379549449	2.164460891788714	8.07330697198598	2.0166374256703534	1.6283949179470851	7.056858061644441	0.900655764700884	nan	2.4353330785935645	0.9469723906909401	1.119294621554288	-0.21594428420489886	2.306838270324943	3.7590921879515156	1.728452871640336	1.9830886247327009	1.5936031550660332	1.2955450711944303	0.9839050163770394	5.955284279267988	3.979837247650046	0.5377949472606645	2.6384411949588693	1.5448913954233117	6.5969918658049735	2.2558390015486474	1.647524990277568	7.9033063504936205	0.3854471641542011	4.2743045229806	-0.27105764074992783	8.512085004384593	3.5123738620930367	2.6380543644463206	0.7979749484189431	2.118301697837052	7.210301562029272	4.347420564411994	4.294647399903338	3.2206531390985234	5.734774505378915
OG0009189.0	OG0013716.0	OG0002284.0	OG0000001.2003	OG0003330.1	OG0004811.0	OG0002387.20	OG0002618.0	OG0002201.2	OG0013042.0	OG0013923.2	OG0000005.318	OG0047243.0	OG0013062.2	OG0000396.79	OG0027668.0	OG0002884.0	OG0001189.24	OG0000685.33	OG0000132.40	OG0000349.0	OG0027498.0	OG0003357.4	OG0004044.36	OG0001416.0	OG0000461.0	OG0000705.16	OG0001463.24	OG0007561.6	OG0018811.0	OG0011755.11	OG0004011.8	OG0007086.1	OG0001598.16	OG0004180.46	OG0003834.8	OG0016401.1	OG0000232.19	OG0006283.0	OG0002597.0	OG0011134.8	OG0002031.0	OG0000042.23	OG0005282.0	OG0029018.0	OG0000151.0	OG0002352.25	OG0000014.1	OG0005290.0	OG0001831.0	OG0027783.0	OG0000059.133	OG0000605.0	OG0002336.0	OG0003923.0	OG0043410.0	OG0015129.0	OG0006880.13	OG0005227.24	OG0043861.0	OG0025893.0	OG0001267.24	OG0000186.266	OG0001737.0	OG0002181.0	OG0000305.0	OG0000338.41	OG0012902.0	OG0011321.2	OG0016067.1	OG0012102.0	OG0002493.6	OG0001329.24	OG0012172.0	OG0010592.6	OG0020456.0	OG0000460.47	OG0001036.24	OG0000431.12	OG0010951.0	OG0017962.4	OG0002084.0	OG0005341.0	OG0000780.24	OG0011350.0	OG0001235.24	OG0001260.24	OG0003158.0	OG0005087.2	OG0003683.0	OG0008200.0	OG0001136.24	OG0003332.0	OG0005989.0	OG0007506.1	OG0000001.1420	OG0035652.0	OG0000214.0	OG0000180.0	OG0006365.0	OG0000451.0	OG0001143.26	OG0046034.0	OG0011633.1	OG0000287.0	OG0000647.0	OG0019704.0	OG0001401.24	OG0000407.1	OG0014746.1	OG0007702.0	OG0025974.0	OG0001649.0	OG0001060.26	OG0012911.0	OG0000336.0	OG0006459.10	OG0000553.6	OG0005565.0	OG0000528.32
1.183620403389013	0.6135031668583237	2.6144067320054107	4.672860751870576	0.371344426804605	2.695970798358751	2.4970733626384374	3.0882987660428416	1.0703885469552636	1.7410149286707814	-0.786813967753995	3.188600617057113	nan	1.5597234803680802	-0.7945155777700551	2.097950742002777	7.021203517060319	0.7454771747253657	0.834876003649757	7.752396580203677	5.9424934351629055	1.8831388972179077	1.7835395139374257	2.7732880779021074	4.636380606819096	7.899579657381418	1.8816033875120242	1.2849021745176956	1.3793304639317832	1.0560404918794746	0.021481560788717408	3.578676400510653	1.00084589913948	0.09495770851375139	4.465728849673779	1.4976946929570578	1.0647512712456597	3.4239511106302496	0.7321490171989806	4.910913393902406	2.6873445448040494	0.6825874758347912	3.851945514660969	1.8420137351633368	-2.875893438894193	5.679349831227119	4.2944568191348065	4.6892493121695615	1.994877999189211	3.927920589371852	nan	8.084647459782627	5.233309101176453	3.8909677098971103	2.936236959298592	nan	3.821535222013126	1.2153644452706978	2.421969081670833	nan	0.971086221682077	1.5154670167386892	0.14229144808687902	1.0839018281491994	5.082733138702395	7.938496486501033	5.5115727712411005	1.2848105311676363	3.90912456637837	1.8234286958494483	0.6046835183519657	2.8182125877513493	0.4804541395899687	1.4657448214674837	2.9635762696734926	3.512050933814675	-0.35659434721635414	1.152138200617846	5.129817500709197	4.4969628972745515	1.3207233419928528	1.2276085729105997	0.9325015538296124	4.34532529874459	1.8254311482696441	0.7322528611245507	-0.495999893672581	1.882707463462195	5.444205038318844	1.357461055853469	3.0492969964485606	0.5027774325612493	3.6630895958262095	1.2658672527879922	2.868941317787746	8.01975167213718	nan	7.805841431593453	6.151833733811486	3.7636329794054095	5.058788663458043	0.6603940622684865	nan	0.9362435235249961	6.5969918658049735	4.556440858217385	nan	0.7928159076645883	7.293414089489028	0.251823494665971	0.9954355532045185	3.2862807631575603	2.9859847561085497	0.5954542046652846	1.2389102312834224	7.210301562029272	1.4621140389854534	4.4693963010039095	1.4430701320353814	8.068284723085426
OG0006665.0	OG0004356.0	OG0013652.3	OG0001165.26	OG0000139.0	OG0002559.0	OG0002195.1	OG0000288.62	OG0001130.24	OG0006720.0	OG0000726.25	OG0005042.6	OG0000101.90	OG0003595.1	OG0047433.0	OG0001522.0	OG0005196.0	OG0000075.0	OG0007200.0	OG0024557.0	OG0004108.36	OG0046151.0	OG0002053.0	OG0007557.2	OG0004888.1	OG0001687.23	OG0001881.0	OG0004234.0	OG0004005.1	OG0003699.6	OG0018183.2	OG0014171.0	OG0007108.26	OG0004167.25	OG0005358.0	OG0004053.58	OG0001802.4	OG0001262.36	OG0000498.0	OG0001539.22	OG0006903.2	OG0003976.0	OG0000044.1	OG0010092.0	OG0037957.0	OG0000042.23	OG0024558.0	OG0000603.1	OG0001242.28	OG0007131.0	OG0000683.0	OG0016892.2	OG0003293.4	OG0000302.34	OG0000525.2	OG0001885.0	OG0009263.0	OG0001918.20	OG0002987.2	OG0001608.24	OG0001090.26	OG0016466.2	OG0029220.0	OG0013563.0	OG0013008.8	OG0022367.0	OG0006509.2	OG0006332.2	OG0000404.58	OG0004559.0	OG0011704.2	OG0010741.0	OG0000185.5	OG0000204.2	OG0001009.24	OG0007742.2	OG0038652.0	OG0001174.24	OG0000403.25	OG0001830.6	OG0001573.24	OG0001774.6	OG0009249.0	OG0000741.0	OG0002117.0	OG0005537.2	OG0003076.0	OG0009899.0	OG0003635.0	OG0027701.0	OG0005087.2	OG0011345.0	OG0000760.17	OG0002577.26	OG0029017.0	OG0008482.0	OG0012527.4	OG0000001.2142	OG0024737.0	OG0005149.0	OG0000526.0	OG0000177.8	OG0000006.1	OG0000011.866	OG0012674.4	OG0009159.0	OG0001083.26	OG0003281.0	OG0004726.1	OG0005604.1	OG0024660.0	OG0006559.0	OG0000062.12	OG0002219.0	OG0000230.58	OG0001272.24	OG0011312.2	OG0016859.0	OG0000336.0	OG0000753.0
1.1996558333519576	1.512128819677664	nan	0.4547399276603643	5.138622586619456	3.5878555971819988	1.0320301685372393	0.9400814658070276	0.6172313685092006	1.679355568017316	4.211751292417766	3.201831660568097	-0.4412848619700049	4.015928405826351	nan	2.684592317180716	2.9819741335069225	7.047519380973122	-0.3828824554689451	-0.9497203921584545	2.3745465101349073	nan	1.8097525737436693	1.1523779650956592	1.8350669689913313	-0.10117495116915085	1.0778159195132526	2.023877611859418	3.694640047305519	2.383845705717414	-1.66208578756225	0.6676616202185472	nan	0.8785279928275384	3.113664512006996	0.844263886928423	6.829852871343419	1.3380542463766723	4.6305490641603315	-0.17936978368773715	1.9699084325497045	3.3716706225883533	6.606838137470721	-0.7517369411984585	nan	3.851945514660969	-2.9508619398658418	5.0657311377947	0.05463120819440418	-0.6319512544384749	4.633422593432474	2.4530702442042274	1.8690791403843017	6.700306630115481	7.429074197392482	3.2311853351559514	2.515219253615737	1.5220084718078766	2.246775436145851	5.160046151029784	1.3427234797060883	3.5277912838600587	nan	1.6128961042565846	1.1155488917638319	-0.3390332464543942	2.4777564852802927	2.3786001842141316	4.785069729788903	1.9752884285919636	2.0492333681833346	2.2437614009156976	3.487248683472032	5.453802951949331	1.1434391099458283	3.1211637646014836	nan	1.7485335585871529	7.507753212393696	2.3805054888464667	1.7708458740691395	4.499236455531888	-0.024324126657543455	0.46644835986536143	3.7590921879515156	1.4303018527608409	4.87557567426014	-0.1630842057324246	1.2363233082906522	-0.1358923567715642	5.444205038318844	2.065700041339473	7.293179877986827	3.3185396432110594	-2.5167878587035033	1.3872304136238922	2.028486615155633	8.237806588331404	0.8755898718902759	0.7582078623630211	4.2687160841612055	5.955284279267988	5.28059216839957	8.379899695700772	1.8116091586217296	2.6791518519681627	1.6089994426304266	1.647524990277568	3.061993325145211	2.252019950155226	-3.0176593513412544	1.073803147706438	5.874710367217308	5.154980719392038	5.275097595593402	0.2817303687504114	0.8338508663579506	0.13509579176315212	7.210301562029272	3.983524713471365
OG0028987.0	OG0000897.0	OG0003413.0	OG0006186.0	OG0003219.0	OG0000910.22	OG0019469.0	OG0000866.3	OG0011986.10	OG0006349.2	OG0000209.146	OG0000859.24	OG0023936.0	OG0000414.34	OG0004739.0	OG0016036.0	OG0009314.0	OG0016272.0	OG0000364.1	OG0002803.15	OG0012876.0	OG0001170.24	OG0010847.0	OG0001045.24	OG0000279.0	OG0024632.0	OG0010949.13	OG0006703.0	OG0038836.0	OG0012213.0	OG0004513.4	OG0000350.8	OG0000197.0	OG0019385.0	OG0000522.0	OG0001209.1	OG0000062.320	OG0000914.30	OG0007148.0	OG0003372.6	OG0020760.0	OG0024533.0	OG0003920.14	OG0008053.1	OG0000092.1	OG0003592.0	OG0006692.0	OG0002350.22	OG0028525.0	OG0004186.6	OG0001896.13	OG0004792.0	OG0015752.2	OG0000940.24	OG0001770.0	OG0003036.0	OG0003424.0	OG0000561.24	OG0001063.0	OG0006180.8	OG0003675.0	OG0001380.24	OG0015196.0	OG0000035.64	OG0000009.802	OG0001404.24	OG0002095.0	OG0011153.0	OG0013862.2	OG0002133.0	OG0005442.4	OG0001497.24	OG0017923.3	OG0001766.6	OG0011223.2	OG0000175.197	OG0003260.63	OG0000631.0	OG0041898.0	OG0000290.0	OG0005012.2	OG0004251.2	OG0000431.12	OG0010004.2	OG0010526.2	OG0002478.0	OG0001253.24	OG0000188.1	OG0003777.2	OG0003299.0	OG0004770.1	OG0014667.0	OG0012123.0	OG0024706.0	OG0004258.0	OG0005327.0	OG0012459.6	OG0002333.0	OG0008095.2	OG0000727.24	OG0000411.0	OG0000159.8	OG0000276.72	OG0000175.4	OG0001828.65	OG0000778.0	OG0003177.0	OG0001406.24	OG0015952.0	OG0010743.6	OG0001984.118	OG0002612.0	OG0000011.1	OG0006294.10	OG0000012.581	OG0000183.0	OG0021470.0	OG0006627.0	OG0010757.0	OG0006834.2
-0.6289524203481283	1.3814312717850306	0.4066897332332215	1.4807347099612307	5.300134216943517	3.3562216921761183	1.1958794976338383	5.945358644032157	-0.17084088200641354	4.0899276436236605	2.5940578235324603	4.559409286853027	nan	4.429609461470229	2.1206259651459143	2.9078055953470257	2.2984859406925007	2.591998783871745	7.786821281785832	5.002660170632785	1.0851467953960792	0.6189039020997289	1.0994401557652178	3.971821760175619	5.061278176866655	3.2059606085665617	nan	0.9643385127618767	nan	-0.29037648676320754	3.7960536886307215	5.379636474459374	7.946133217056028	0.12673017859831456	4.438118697917621	0.2808010181264353	0.8904215140624882	3.885339297406806	0.9617777042952509	4.3540849503513295	-0.1536709723237527	-13.287712379549449	2.598284487607148	0.6139054885166313	7.35739525784662	1.1552762187796062	0.7266103339394855	6.2453077162227055	nan	0.15164361049073988	2.738353183246691	3.1034453375143154	1.0209681785791156	1.3440163906749083	1.3152244431005164	3.8432936377929323	1.425021590605542	3.2557999900374393	1.8408942763633187	-0.5935243825599923	4.51542181700176	1.6826062044642878	1.8770059289878354	7.999568499934008	0.8533973576090902	0.4774069056101872	1.6336101877138351	1.5914315273077486	2.944487431484077	1.0620895305252744	2.6146734198516195	0.9211925809612445	0.12763618469973229	1.36452503602462	3.189856905388515	4.018431525683541	4.360582862383634	7.267153083704974	nan	8.07330697198598	4.961696205069931	8.131846789910387	5.129817500709197	3.4007115467123703	1.764652374495161	7.196612234435591	-1.0947546793205831	7.652604043299282	3.6146101434751996	1.6104339635628662	-0.16059648993423012	1.5284789534722871	3.5124371245034887	-0.19622554312816193	1.1048190681172054	2.455903096168378	2.754175730195834	1.3310920806332025	2.0389268228601622	3.8120275773155274	2.8704451897567718	8.204956826838986	4.246636946294859	5.665402814704755	1.773952315324715	6.295633603171594	4.146544291099222	-0.30226828341240436	0.45320651947005264	1.137525190075778	nan	4.781604827704892	8.483344082882272	0.41381484057904994	4.469690057571146	7.344406464305546	nan	0.2590816254929212	3.380837432815149	2.1192000550146495
OG0002591.2	OG0002187.7	OG0005644.0	OG0003422.0	OG0020001.0	OG0003460.0	OG0002961.20	OG0000027.457	OG0002697.0	OG0006349.2	OG0013506.0	OG0000173.0	OG0013510.0	OG0000859.24	OG0002447.0	OG0006003.0	OG0000575.28	OG0024724.0	OG0000919.32	OG0000088.3	OG0002340.0	OG0000121.128	OG0003525.5	OG0002145.0	OG0000415.0	OG0008965.0	OG0000364.1	OG0007440.0	OG0017905.0	OG0000739.15	OG0009031.0	OG0007548.0	OG0004422.0	OG0011202.1	OG0001847.4	OG0003252.0	OG0010498.1	OG0001265.24	OG0006356.1	OG0011763.0	OG0003071.0	OG0000196.0	OG0024513.0	OG0008252.2	OG0000568.0	OG0001878.2	OG0001068.1	OG0011296.2	OG0000452.0	OG0001438.24	OG0010044.0	OG0000062.320	OG0000893.3	OG0007043.6	OG0000100.1	OG0056579.0	OG0002733.0	OG0000495.53	OG0025171.0	OG0013534.2	OG0006275.0	OG0018989.0	OG0004906.0	OG0000059.133	OG0000261.0	OG0022476.0	OG0001561.0	OG0000581.0	OG0046576.0	OG0025090.0	OG0002158.0	OG0003194.15	OG0000419.108	OG0000198.0	OG0002656.2	OG0020054.0	OG0018991.0	OG0006696.0	OG0001853.0	OG0003587.16	OG0001647.0	OG0002670.1	OG0002914.0	OG0007522.1	OG0006642.0	OG0005820.0	OG0029130.0	OG0002172.0	OG0014416.5	OG0001495.2	OG0000431.12	OG0019380.0	OG0001148.24	OG0001179.24	OG0004125.0	OG0002084.0	OG0014766.3	OG0002911.0	OG0028446.0	OG0012200.0	OG0025899.0	OG0000359.28	OG0018193.2	OG0000497.40	OG0003288.0	OG0003926.2	OG0008294.0	OG0000092.236	OG0000214.0	OG0021964.0	OG0000159.8	OG0002572.0	OG0001514.22	OG0000983.28	OG0027462.0	OG0053998.0	OG0009133.1	OG0000160.224	OG0002824.0	OG0005590.0
