OG0019212.0	OG0000441.96	OG0001741.1	OG0007639.5	OG0000236.1	OG0011318.4	OG0012897.4	OG0020019.0	OG0005996.10	OG0001699.1	OG0000834.15	OG0002590.0	OG0001842.34	OG0002488.24	OG0002309.26	OG0005056.1	OG0014063.4	OG0000833.0	OG0008015.25	OG0001843.5	OG0013273.0	OG0014068.0	OG0006158.4	OG0000606.2	OG0011319.4	OG0013106.2	OG0000236.19	OG0003001.0	OG0000750.0	OG0003342.16	OG0004314.0	OG0005266.0	OG0000264.1	OG0015416.2	OG0020502.0	OG0000236.122	OG0014817.2	OG0000098.0	OG0007127.0	OG0001764.0	OG0001964.1	OG0005326.0	OG0001607.2	OG0002787.0	OG0000751.0	OG0013218.3	OG0006225.0	OG0001844.24	OG0003860.1	OG0000324.0	OG0005400.0	OG0029060.0	OG0000920.27	OG0001698.26	OG0001309.24	OG0003151.14	OG0006297.0	OG0003991.2	OG0001711.10	OG0001643.24	OG0002012.0	OG0002651.6	OG0000119.0	OG0008335.19	OG0044466.0	OG0002988.0	OG0000213.17	OG0000471.2	OG0053812.0	OG0004226.0	OG0000038.0	OG0004205.0	OG0005741.0	OG0006752.0	OG0000869.2	OG0000834.30	OG0016785.2	OG0002101.0	OG0001824.24	OG0000646.28	OG0009857.2	OG0000711.2	OG0001778.24	OG0000318.0	OG0000441.1	OG0001579.36	OG0000320.0	OG0000456.0	OG0000749.2	OG0000310.18	OG0011985.2	OG0012896.0	OG0001016.1	OG0005567.0	OG0001567.1	OG0002348.56	OG0015415.0	OG0029057.0	OG0000213.256	OG0002178.2	OG0014065.0	OG0000065.1	OG0000740.26	OG0028281.0	OG0000065.40	OG0004135.0	OG0005575.28	OG0007639.25	OG0008099.0	OG0008342.0	OG0001907.32	OG0014302.8	OG0007845.0	OG0001602.32	OG0001566.2	OG0001823.24	OG0008341.0	OG0015105.0	OG0000206.0	OG0000551.2
-1.4359944550876724	-0.5727254127502814	-0.680268944779874	1.495391589015806	1.5310303170156239	-0.40598301649357743	1.0947657203045267	0.10530712763183743	1.1056209896866196	-0.7124423598948861	1.2893551033789747	1.4206747302640448	0.21941908014489597	0.4984322183473175	0.03230464666485579	-0.40254477219737267	-1.1067903923754705	-0.061052781838215546	nan	1.0474810177103138	1.7782750421580191	-0.39463544457933014	1.5047362898471088	0.5143631591319802	0.9348322285482507	nan	nan	0.22885401610173564	0.6612062542641206	1.300536164422742	0.1294434137272129	1.0126602346510893	-0.39191642613293387	-3.275114157080866	2.0479131263403865	0.47174124311625504	0.666926436922195	1.3764007627255037	-0.2561584779183969	-1.1869163230457778	0.4542770991057501	-0.6812428796663623	0.8376064985087806	1.5035881392871318	0.14637556395641846	-2.642443082390205	-0.17132702739739747	0.21483853187865953	1.831595044302865	0.5633565711396273	0.0700879769523404	-13.287712379549449	-0.05408632246016782	-0.48242311792037795	0.3180555112856485	1.2916562519215704	0.642176788353265	-0.3231348291098198	0.40752705515594106	-1.1462318953681279	-0.6813434948078769	0.3106096505403069	0.6441848183194789	-3.8073653093449016	nan	0.31437249912292065	1.6131541272329173	-0.4219138979696112	nan	0.9004165034640287	1.194228300642796	0.7854756524107099	0.31084744248656526	0.5142954387845684	-0.5600460737743269	0.39462223279488984	-1.1496317731419636	0.41855354017508173	-0.2962932362793678	-1.8909081989065304	1.529902227401704	0.4340571477562879	0.24112140489684192	-0.16099870804441482	-0.5723053512585266	0.19116511498209737	0.4278612776546661	0.33942602596370375	0.6960006209538083	1.1697913907077246	0.5318482191768008	1.057877257780895	-0.7757798480286758	0.8811363307482183	-0.8618163367911472	0.9499464532714113	-13.287712379549449	-13.287712379549449	0.4034662349374713	-0.33168268056816924	-1.712716136602532	nan	-0.7346831150482035	nan	1.8188668823091523	-0.28884367443802567	-0.6431226676320512	-13.287712379549449	2.0776815374034694	-0.11108232093003877	0.36047243875961443	-3.4807872286686834	0.30874263935829077	0.1888709079569439	0.5979055890573353	-0.08519813468265601	1.4091380175176096	0.6970732271761306	0.9779949259616734	0.12004374815933493
OG0004601.0	OG0004091.0	OG0018087.2	OG0000922.28	OG0000682.0	OG0000381.0	OG0027752.0	OG0002580.2	OG0011489.0	OG0010872.12	OG0000406.0	OG0012126.3	OG0012959.2	OG0000753.0	OG0004852.0	OG0000085.0	OG0020899.0	OG0000814.1	OG0005307.0	OG0012202.0	OG0020848.0	OG0003440.0	OG0027806.0	OG0000364.1	OG0000288.79	OG0011438.4	OG0014033.0	OG0005681.2	OG0012683.2	OG0000862.34	OG0041540.0	OG0012064.0	OG0048147.0	OG0000143.0	OG0001302.24	OG0000807.26	OG0001863.0	OG0000420.0	OG0001087.24	OG0000377.148	OG0005304.0	OG0000158.1	OG0006643.0	OG0000100.1	OG0003592.0	OG0001237.24	OG0004198.0	OG0000004.433	OG0015187.4	OG0000013.2	OG0007023.0	OG0000256.24	OG0003642.0	OG0004640.26	OG0003067.0	OG0012651.6	OG0000413.2	OG0000380.29	OG0001419.3	OG0000261.0	OG0002128.0	OG0041541.0	OG0005901.4	OG0000019.2	OG0011924.11	OG0024505.0	OG0008665.0	OG0000002.1147	OG0001857.4	OG0000419.108	OG0045229.0	OG0002133.0	OG0001736.4	OG0002210.0	OG0007723.0	OG0001365.24	OG0010577.0	OG0002418.9	OG0003423.0	OG0025008.0	OG0000297.1	OG0000290.0	OG0008097.4	OG0000962.24	OG0000225.48	OG0005287.12	OG0045888.0	OG0003502.3	OG0015967.4	OG0007159.0	OG0022375.0	OG0000858.32	OG0002117.0	OG0013881.0	OG0009205.0	OG0013892.2	OG0014234.1	OG0017257.0	OG0000177.8	OG0002448.22	OG0001273.24	OG0004163.4	OG0003928.0	OG0000287.0	OG0010584.0	OG0003281.0	OG0002298.4	OG0020651.0	OG0001656.2	OG0002464.21	OG0000257.0	OG0010775.0	OG0006941.0	OG0001594.1	OG0015168.2	OG0000336.0	OG0004935.0	OG0009014.0	OG0004096.6	OG0000317.0
0.6515412815630701	0.3040770344094268	1.5556925278400255	-0.6790253489429583	0.4726002275643439	1.285424260122202	nan	0.798080013268647	0.23078243133861753	-0.9225686445015202	0.7698509795593087	1.6972519451351746	0.8390721477473141	-0.755350795193287	-0.7702809241801797	1.053881751889486	1.228009305216813	-0.33824674506344	1.4063465405140716	-0.21953895041410648	0.24127621312895173	-0.6498532004293026	nan	1.6170964088847648	-0.06154236545775866	0.018020984765031424	-1.433307335828282	2.2286067637311744	2.0982969034604637	-0.6029887232166941	nan	1.5446259195510366	nan	1.5118440897094985	-0.18252526717546985	-1.3087612047037644	0.2884567102863242	0.9342960975731764	-0.034887082362297955	1.262811390951336	1.5791931630844702	-0.13195197742273823	0.5127900332744297	1.7146771170663186	0.3493194906019206	0.12529975182387412	0.16315051270247863	0.27685505020010626	-2.240399055911864	1.69165337647498	1.0123188974526132	1.408744706767424	1.6239806471566207	1.563231711675221	1.1960830517954302	-0.6405477913846245	-0.6067256718584104	-1.0240704158406948	0.3609401091491437	0.7236934159911699	0.3070710540339263	nan	1.3960742920013534	0.8327801404563032	1.8564187083431842	-2.544073578468491	-0.09675447800005263	2.1709707682299135	0.2606268722316073	1.4102746563948818	nan	0.6059695936865456	0.713945981136157	0.71890760743638	-0.4871149069771956	0.3344649573203765	0.4370394210070439	0.8070623530495349	1.446346889586833	-13.287712379549449	-1.6424835876430974	1.3161034795736934	0.6737516206512033	-0.595606078448927	0.6293536164857614	0.5520834895592451	nan	0.6625147325383911	0.9469723906909401	0.6026976526930181	-0.21594428420489886	-0.7626516260362846	0.42529445241038805	1.235908540687256	0.42030908661004557	1.5936031550660332	0.46216166608343745	0.9839050163770394	1.5266319293220363	0.3466506370791399	-1.474661522395404	0.579622612985827	0.1312197991282566	0.6620300185122698	1.1690338208680324	0.6410538139342563	1.1261311507650111	0.3854471641542011	1.1492681529066626	-1.377202804431906	1.2083230786982155	2.202620493013534	0.9615958622610903	-1.6450461872679245	2.118301697837052	0.513388932651857	1.8588580543544493	2.000338873789308	1.6902637868315955	0.556578595121319
OG0009189.0	OG0013716.0	OG0002284.0	OG0000001.2003	OG0003330.1	OG0004811.0	OG0002387.20	OG0002618.0	OG0002201.2	OG0013042.0	OG0013923.2	OG0000005.318	OG0047243.0	OG0013062.2	OG0000396.79	OG0027668.0	OG0002884.0	OG0001189.24	OG0000685.33	OG0000132.40	OG0000349.0	OG0027498.0	OG0003357.4	OG0004044.36	OG0001416.0	OG0000461.0	OG0000705.16	OG0001463.24	OG0007561.6	OG0018811.0	OG0011755.11	OG0004011.8	OG0007086.1	OG0001598.16	OG0004180.46	OG0003834.8	OG0016401.1	OG0000232.19	OG0006283.0	OG0002597.0	OG0011134.8	OG0002031.0	OG0000042.23	OG0005282.0	OG0029018.0	OG0000151.0	OG0002352.25	OG0000014.1	OG0005290.0	OG0001831.0	OG0027783.0	OG0000059.133	OG0000605.0	OG0002336.0	OG0003923.0	OG0043410.0	OG0015129.0	OG0006880.13	OG0005227.24	OG0043861.0	OG0025893.0	OG0001267.24	OG0000186.266	OG0001737.0	OG0002181.0	OG0000305.0	OG0000338.41	OG0012902.0	OG0011321.2	OG0016067.1	OG0012102.0	OG0002493.6	OG0001329.24	OG0012172.0	OG0010592.6	OG0020456.0	OG0000460.47	OG0001036.24	OG0000431.12	OG0010951.0	OG0017962.4	OG0002084.0	OG0005341.0	OG0000780.24	OG0011350.0	OG0001235.24	OG0001260.24	OG0003158.0	OG0005087.2	OG0003683.0	OG0008200.0	OG0001136.24	OG0003332.0	OG0005989.0	OG0007506.1	OG0000001.1420	OG0035652.0	OG0000214.0	OG0000180.0	OG0006365.0	OG0000451.0	OG0001143.26	OG0046034.0	OG0011633.1	OG0000287.0	OG0000647.0	OG0019704.0	OG0001401.24	OG0000407.1	OG0014746.1	OG0007702.0	OG0025974.0	OG0001649.0	OG0001060.26	OG0012911.0	OG0000336.0	OG0006459.10	OG0000553.6	OG0005565.0	OG0000528.32
0.5130314662295701	-0.3282632315991494	0.5536466131548529	1.7435594805967574	-0.3931229521205674	1.2049217193287611	0.6239687555336504	0.5468445963886501	0.8476178546619249	0.804901981468044	-0.786813967753995	-1.2041348366170515	nan	1.5597234803680802	-1.1471173742872904	2.097950742002777	1.2868933253291175	-0.8683102696008447	-2.063498393396524	1.6006477362280964	0.7419929106634897	1.8831388972179077	1.6470929399660248	1.7204824656354587	1.20027451195885	0.8958177695271463	0.9324404711388291	0.10094608752650232	-0.024777136944605423	1.0560404918794746	0.021481560788717408	-0.6733476968583018	0.9034167402267143	-0.5147654298563837	3.131696274592452	0.2564151335366313	1.0647512712456597	-0.040986860724369925	-0.2707174773337168	1.5866483407413199	2.6873445448040494	-0.18880822962941177	-0.5045080699318825	0.5723881920319173	-2.875893438894193	1.5887903278992066	0.12002104927382493	0.02735979221697928	0.6794407474419417	0.5007251892741998	nan	1.0702504855069959	0.7559483296318918	0.7555189571707172	1.2285173280912232	nan	0.3016572961914244	-0.15417928216945262	1.8674130913806493	nan	0.971086221682077	0.28267140023709963	-0.6433369426341856	-1.582902021756325	1.4889383193020158	1.6796750376350877	0.7073512954993111	0.7919143777470237	0.4275421814938423	1.8234286958494483	-0.7363143797571223	0.6672418426387055	-0.1911717381553313	0.933164081736504	2.4606103205468695	3.501872771362381	-1.2726377138757918	-0.0480313474091541	0.9832660060264495	0.7409221985011877	1.3207233419928528	0.7882662953052824	0.7510624996708031	0.15038513508626938	1.5724977171814656	-0.007923935436447097	-1.6590568913260006	0.3186579019671998	1.7466832675134076	-0.30415428672499756	0.642845217288657	-0.7691568261616335	0.026142391921253165	1.0314439749834423	-0.520942131616563	1.5827312540510659	nan	1.6529089590662098	1.3621512852440558	1.6305623592713412	0.7826306385444155	-0.07623107993355797	nan	0.9362435235249961	0.6620300185122698	1.5595952744675021	nan	0.27454116086204	1.121185964396278	0.17409474419368465	-1.6175548719528943	3.2862807631575603	-1.28016212482161	-0.035368698013777705	-0.07051569570883856	0.513388932651857	0.009006771139781425	0.610916679904391	1.059593348337133	1.8537945850259465
OG0006665.0	OG0004356.0	OG0013652.3	OG0001165.26	OG0000139.0	OG0002559.0	OG0002195.1	OG0000288.62	OG0001130.24	OG0006720.0	OG0000726.25	OG0005042.6	OG0000101.90	OG0003595.1	OG0047433.0	OG0001522.0	OG0005196.0	OG0000075.0	OG0007200.0	OG0024557.0	OG0004108.36	OG0046151.0	OG0002053.0	OG0007557.2	OG0004888.1	OG0001687.23	OG0001881.0	OG0004234.0	OG0004005.1	OG0003699.6	OG0018183.2	OG0014171.0	OG0007108.26	OG0004167.25	OG0005358.0	OG0004053.58	OG0001802.4	OG0001262.36	OG0000498.0	OG0001539.22	OG0006903.2	OG0003976.0	OG0000044.1	OG0010092.0	OG0037957.0	OG0000042.23	OG0024558.0	OG0000603.1	OG0001242.28	OG0007131.0	OG0000683.0	OG0016892.2	OG0003293.4	OG0000302.34	OG0000525.2	OG0001885.0	OG0009263.0	OG0001918.20	OG0002987.2	OG0001608.24	OG0001090.26	OG0016466.2	OG0029220.0	OG0013563.0	OG0013008.8	OG0022367.0	OG0006509.2	OG0006332.2	OG0000404.58	OG0004559.0	OG0011704.2	OG0010741.0	OG0000185.5	OG0000204.2	OG0001009.24	OG0007742.2	OG0038652.0	OG0001174.24	OG0000403.25	OG0001830.6	OG0001573.24	OG0001774.6	OG0009249.0	OG0000741.0	OG0002117.0	OG0005537.2	OG0003076.0	OG0009899.0	OG0003635.0	OG0027701.0	OG0005087.2	OG0011345.0	OG0000760.17	OG0002577.26	OG0029017.0	OG0008482.0	OG0012527.4	OG0000001.2142	OG0024737.0	OG0005149.0	OG0000526.0	OG0000177.8	OG0000006.1	OG0000011.866	OG0012674.4	OG0009159.0	OG0001083.26	OG0003281.0	OG0004726.1	OG0005604.1	OG0024660.0	OG0006559.0	OG0000062.12	OG0002219.0	OG0000230.58	OG0001272.24	OG0011312.2	OG0016859.0	OG0000336.0	OG0000753.0
0.9649451891495577	1.0789131694573713	nan	-0.2837140887148304	0.5938118263549013	1.3665256880516643	1.0320301685372393	-0.6041988582265142	0.1429790703353279	1.4330610014506788	0.05299492726030245	1.3003510036813122	-1.1897948051103893	0.6544228015980595	nan	-0.3939814684263054	1.3412026249251034	0.5693993179636847	-1.6117470872877504	-0.9497203921584545	-1.3304889102520607	nan	0.2545189283874826	-0.7277441978203834	-0.0457813787373139	-0.3755594790273825	0.3208609838637041	-0.17820795826205865	0.4485532660131918	-0.4120619948291848	-1.66208578756225	0.6676616202185472	nan	0.722573266630236	1.2820978902581253	0.844263886928423	1.7612187123719623	0.21217432973503736	0.0645558673124051	-0.7870515834093497	1.6258247925859306	0.11455336272421734	0.4457415121066777	-0.7517369411984585	nan	-0.5045080699318825	-2.9508619398658418	0.5390040973246024	-0.7847254275029486	-1.3987798783396905	1.1243217110297203	2.402161400732757	0.5748288755650864	-0.013756112132353272	0.9682630495574485	-0.4563147112452523	1.1255175370425772	0.744053988740009	0.8910035108922848	1.5699370438059561	0.5279419527803271	2.215150080660769	nan	0.8413531346485197	-0.22775752221175247	-0.3390332464543942	2.3577969345368626	0.8652420615331287	0.770569490973533	1.499762483401645	2.0492333681833346	1.466208835445079	0.8704497699003424	0.15919489252289842	0.31677950902366936	1.2942341737764713	nan	0.5664482841772502	0.5362233855087336	-0.7145659426680793	0.10731852293785009	0.85384591349142	-0.316790774291734	-0.7817563748536289	0.42529445241038805	1.1094582389298144	1.3083020457662453	-0.43657557732710967	-0.18554442311556812	-0.1358923567715642	1.7466832675134076	1.345091610876432	0.769673623512751	0.22632817675375755	-2.5167878587035033	1.1637959859811327	2.028486615155633	1.3223097090130342	0.8755898718902759	-0.1999366934058783	0.6780369817430896	1.5266319293220363	0.5640458246836109	1.892675424017318	-0.13505147753521607	2.022520116067559	0.5634420254057693	0.6410538139342563	-0.1015873290740782	1.406377227533823	-3.0176593513412544	0.9280532195164259	-1.5511254181862375	0.8298010426831008	0.8715470701285468	-0.8743904700221976	0.3486363218823543	0.05970538463344959	0.513388932651857	-0.755350795193287
OG0028987.0	OG0000897.0	OG0003413.0	OG0006186.0	OG0003219.0	OG0000910.22	OG0019469.0	OG0000866.3	OG0011986.10	OG0006349.2	OG0000209.146	OG0000859.24	OG0023936.0	OG0000414.34	OG0004739.0	OG0016036.0	OG0009314.0	OG0016272.0	OG0000364.1	OG0002803.15	OG0012876.0	OG0001170.24	OG0010847.0	OG0001045.24	OG0000279.0	OG0024632.0	OG0010949.13	OG0006703.0	OG0038836.0	OG0012213.0	OG0004513.4	OG0000350.8	OG0000197.0	OG0019385.0	OG0000522.0	OG0001209.1	OG0000062.320	OG0000914.30	OG0007148.0	OG0003372.6	OG0020760.0	OG0024533.0	OG0003920.14	OG0008053.1	OG0000092.1	OG0003592.0	OG0006692.0	OG0002350.22	OG0028525.0	OG0004186.6	OG0001896.13	OG0004792.0	OG0015752.2	OG0000940.24	OG0001770.0	OG0003036.0	OG0003424.0	OG0000561.24	OG0001063.0	OG0006180.8	OG0003675.0	OG0001380.24	OG0015196.0	OG0000035.64	OG0000009.802	OG0001404.24	OG0002095.0	OG0011153.0	OG0013862.2	OG0002133.0	OG0005442.4	OG0001497.24	OG0017923.3	OG0001766.6	OG0011223.2	OG0000175.197	OG0003260.63	OG0000631.0	OG0041898.0	OG0000290.0	OG0005012.2	OG0004251.2	OG0000431.12	OG0010004.2	OG0010526.2	OG0002478.0	OG0001253.24	OG0000188.1	OG0003777.2	OG0003299.0	OG0004770.1	OG0014667.0	OG0012123.0	OG0024706.0	OG0004258.0	OG0005327.0	OG0012459.6	OG0002333.0	OG0008095.2	OG0000727.24	OG0000411.0	OG0000159.8	OG0000276.72	OG0000175.4	OG0001828.65	OG0000778.0	OG0003177.0	OG0001406.24	OG0015952.0	OG0010743.6	OG0001984.118	OG0002612.0	OG0000011.1	OG0006294.10	OG0000012.581	OG0000183.0	OG0021470.0	OG0006627.0	OG0010757.0	OG0006834.2
-0.6289524203481283	0.49837676770784445	-0.2487630824483533	0.2937939723106001	1.942332564805679	0.705382689698697	1.1958794976338383	-0.3015295441486601	-1.9157044820554685	0.9277460250398529	0.6886544927050624	0.8479724588770339	nan	0.6713422116574644	1.5080773415782605	0.8191840641938187	1.8826656808149242	1.6034190336776435	1.6170964088847648	1.9143832576554884	0.10683104753705724	-0.32800864379519895	1.0545210702180123	-0.46137867154047213	0.5294015602184245	3.2059606085665617	nan	0.8325380575402223	nan	-0.7456586958328151	1.5812600438497337	1.605308722421307	2.284407431088221	0.12673017859831456	0.5442902745130277	-0.5374962063029127	-1.5735537944230686	-0.07373804446360425	0.7646627231025982	1.1694087562017992	-0.1536709723237527	-13.287712379549449	1.2256383916728053	0.6139054885166313	1.3056856842431328	0.3493194906019206	0.6265406722447124	0.687506233935004	nan	-0.18255848263405167	0.018371865848243088	1.0997931039929971	1.0209681785791156	-1.1444172239276138	0.6843032228591179	0.9515365844308045	0.5831459900181077	-0.16779187175936608	0.08716996272236799	-0.7487131519558066	1.8413594388832923	0.5560362509637689	-0.3219282532056825	1.3403360059740228	0.6722962345553786	-0.6585073227778916	0.9023540195865268	0.4869267414299404	2.012579819606991	0.6059695936865456	1.755867490912659	-0.5337755125083503	0.12763618469973229	0.5333193508137088	1.0643530368756102	-0.23535405431678996	4.360582862383634	1.0226134013495936	nan	1.3161034795736934	1.3994697491658958	3.2322962723149176	0.9832660060264495	3.4007115467123703	0.4122133995777048	0.1844952785280672	-1.2486182365886158	1.4042568241362623	1.6878660014558524	1.0967052807653506	-0.3127981253765785	1.4991839987824533	2.1262559317259404	-0.19622554312816193	0.7864284492321778	0.9014199901540473	2.754175730195834	0.5251380936668422	0.9796969252043973	-0.022937692461799167	-0.7697713354445754	1.517351530863093	0.20658904468242925	0.006416746466527288	-0.12537608726194707	0.07737812351455184	0.5527635387904507	-0.665881929778231	0.45320651947005264	0.9231339577591535	nan	2.193463944985728	2.0510426948705494	0.13391252608851847	1.8113451039986888	0.9210535027066309	nan	0.08864469743695062	2.8085959807300305	-0.11405742778229508
OG0002591.2	OG0002187.7	OG0005644.0	OG0003422.0	OG0020001.0	OG0003460.0	OG0002961.20	OG0000027.457	OG0002697.0	OG0006349.2	OG0013506.0	OG0000173.0	OG0013510.0	OG0000859.24	OG0002447.0	OG0006003.0	OG0000575.28	OG0024724.0	OG0000919.32	OG0000088.3	OG0002340.0	OG0000121.128	OG0003525.5	OG0002145.0	OG0000415.0	OG0008965.0	OG0000364.1	OG0007440.0	OG0017905.0	OG0000739.15	OG0009031.0	OG0007548.0	OG0004422.0	OG0011202.1	OG0001847.4	OG0003252.0	OG0010498.1	OG0001265.24	OG0006356.1	OG0011763.0	OG0003071.0	OG0000196.0	OG0024513.0	OG0008252.2	OG0000568.0	OG0001878.2	OG0001068.1	OG0011296.2	OG0000452.0	OG0001438.24	OG0010044.0	OG0000062.320	OG0000893.3	OG0007043.6	OG0000100.1	OG0056579.0	OG0002733.0	OG0000495.53	OG0025171.0	OG0013534.2	OG0006275.0	OG0018989.0	OG0004906.0	OG0000059.133	OG0000261.0	OG0022476.0	OG0001561.0	OG0000581.0	OG0046576.0	OG0025090.0	OG0002158.0	OG0003194.15	OG0000419.108	OG0000198.0	OG0002656.2	OG0020054.0	OG0018991.0	OG0006696.0	OG0001853.0	OG0003587.16	OG0001647.0	OG0002670.1	OG0002914.0	OG0007522.1	OG0006642.0	OG0005820.0	OG0029130.0	OG0002172.0	OG0014416.5	OG0001495.2	OG0000431.12	OG0019380.0	OG0001148.24	OG0001179.24	OG0004125.0	OG0002084.0	OG0014766.3	OG0002911.0	OG0028446.0	OG0012200.0	OG0025899.0	OG0000359.28	OG0018193.2	OG0000497.40	OG0003288.0	OG0003926.2	OG0008294.0	OG0000092.236	OG0000214.0	OG0021964.0	OG0000159.8	OG0002572.0	OG0001514.22	OG0000983.28	OG0027462.0	OG0053998.0	OG0009133.1	OG0000160.224	OG0002824.0	OG0005590.0
