OG0004710.2	OG0012896.0	OG0001643.24	OG0000471.2	OG0000027.457	OG0001698.26	OG0016785.2	OG0001566.2	OG0012926.0	OG0022825.0
0.249612	0.2173	0.05576709999999999	0.0321629	0.198373	0.168699	nan	0.234066	nan	nan
OG0001388.12	OG0002087.0	OG0000038.0	OG0004608.0	OG0018427.0	OG0000409.24	OG0056740.0	OG0006987.0	OG0000704.0	OG0004027.1
0.034815399999999996	0.0	0.26144	0.0	nan	0.0375539	nan	nan	0.0221734	nan
OG0000606.2	OG0021117.0	OG0000001.1420	OG0001191.24	OG0013740.8	OG0009949.0	OG0004240.0	OG0000382.41	OG0016027.4	OG0001996.0
0.0615641	nan	0.265491	0.0	nan	nan	0.21375300000000003	0.060740999999999996	nan	0.015547100000000001
OG0000006.561	OG0000643.24	OG0012875.0	OG0001086.0	OG0019494.0	OG0000263.57	OG0004807.4	OG0014207.0	OG0047088.0	OG0002138.0
0.274516	0.0739035	nan	0.045445599999999996	nan	-0.247707	0.07863510000000001	nan	nan	0.0
OG0001734.7	OG0019182.0	OG0000056.0	OG0003610.0	OG0010606.0	OG0015812.0	OG0053838.0	OG0000044.1	OG0001402.24	OG0000512.25
0.0	nan	0.21965300000000001	0.042743699999999996	nan	nan	nan	0.21297399999999997	0.016760900000000002	0.043209199999999996
OG0003604.62	OG0024446.0	OG0007665.0	OG0000032.252	OG0002151.0	OG0005256.10	OG0013957.4	OG0001169.24	OG0000383.2	OG0000001.2899
nan	nan	0.0	0.101138	0.021987700000000002	0.0	nan	0.0	0.01253	0.22476999999999997
OG0000405.0	OG0043476.0	OG0007565.0	OG0019016.0	OG0007920.14	OG0000125.49	OG0001435.1	OG0008551.0	OG0000007.976	OG0000830.1
0.113721	nan	nan	nan	nan	-0.09833099999999999	0.0	0.0	0.23405399999999998	0.0
OG0014358.0	OG0000886.24	OG0001238.24	OG0000032.252	OG0001242.28	OG0009781.2	OG0003752.2	OG0012427.14	OG0024512.0	OG0000126.1
nan	0.0514845	0.0166323	0.101138	0.0	0.447912	0.512159	nan	nan	0.11565999999999999
OG0001228.1	OG0000946.1	OG0000010.475	OG0004958.0	OG0001134.24	OG0020423.0	OG0049025.0	OG0006410.0	OG0027420.0	OG0000092.1
0.0	0.0167583	0.241958	0.313381	0.0	nan	nan	nan	nan	0.220702
OG0000764.26	OG0018934.1	OG0007070.2	OG0043565.0	OG0001163.24	OG0009316.2	OG0000044.1	OG0000082.1	OG0001309.24	OG0007809.2
0.041236699999999994	nan	nan	nan	0.0	nan	0.21297399999999997	0.0397954	0.0	0.0
OG0000627.52	OG0006805.0	OG0000006.561	OG0000327.1	OG0024566.0	OG0002127.0	OG0020485.0	OG0000175.4	OG0005354.1	OG0001941.0
0.0	0.0	0.274516	nan	nan	0.0	nan	0.0560416	nan	0.0204113
OG0000054.0	OG0001349.1	OG0000018.1	OG0004412.2	OG0013488.2	OG0001513.24	OG0008965.0	OG0010629.10	OG0000918.1	OG0020760.0
0.202251	0.0	0.231008	0.10002899999999999	nan	0.037611900000000004	nan	nan	0.015547100000000001	nan
OG0000537.8	OG0000006.561	OG0022225.0	OG0047063.0	OG0000263.57	OG0010608.0	OG0018373.0	OG0002062.0	OG0004865.2	OG0002170.0
0.0585115	0.274516	nan	nan	-0.247707	nan	nan	0.0	0.179928	0.0670358
OG0001203.24	OG0011159.0	OG0015174.0	OG0000209.2	OG0014662.0	OG0047284.0	OG0000062.12	OG0000082.1	OG0000372.92	OG0005659.6
0.0	nan	nan	0.0219902	nan	nan	0.09083200000000001	0.0397954	0.031291900000000004	0.0
OG0001271.1	OG0000006.561	OG0006436.0	OG0010512.0	OG0000892.1	OG0003382.0	OG0027648.0	OG0000272.36	OG0000524.1	OG0022425.0
0.015547100000000001	0.274516	0.043925099999999995	nan	0.08512919999999999	0.0	nan	0.130997	0.0365956	nan
OG0017903.2	OG0000955.28	OG0000198.0	OG0000056.0	OG0001122.1	OG0000463.51	OG0016170.4	OG0056848.0	OG0004168.24	OG0007187.0
nan	0.0379193	0.0629555	0.21965300000000001	0.0	0.123427	nan	nan	nan	0.0
OG0004256.2	OG0000032.252	OG0014484.2	OG0001243.24	OG0010631.0	OG0014841.0	OG0000711.2	OG0002113.0	OG0018086.1	OG0000611.0
0.22140900000000002	0.101138	nan	0.012780799999999998	nan	nan	0.134422	-0.0196274	nan	0.0502404
OG0005582.1	OG0000010.475	OG0007539.0	OG0001243.24	OG0001365.24	OG0016827.0	OG0000209.146	OG0000154.2	OG0008258.0	OG0046862.0
nan	0.241958	0.0929153	0.012780799999999998	0.0166026	nan	0.0160812	0.175021	nan	nan
OG0001161.24	OG0012848.0	OG0057290.0	OG0000088.3	OG0008204.0	OG0007348.0	OG0001502.26	OG0001146.1	OG0021271.0	OG0000082.1
0.0166026	nan	nan	0.0678205	0.0	nan	0.0386625	0.04235119999999999	nan	0.0397954
OG0007549.0	OG0000006.561	OG0043590.0	OG0001813.8	OG0000463.51	OG0000290.0	OG0014542.4	OG0001167.24	OG0006963.0	OG0015978.3
0.011341200000000001	0.274516	nan	0.0	0.123427	0.09333739999999999	nan	0.0	nan	nan
OG0001366.26	OG0008225.6	OG0000011.1	OG0009024.0	OG0004459.0	OG0002127.0	OG0000046.1	OG0038832.0	OG0016933.0	OG0001770.0
0.061448300000000004	nan	0.22381199999999998	nan	0.25665	0.0	0.253973	nan	nan	0.0021568
