OG0012896.0	OG0000471.2	OG0022825.0	OG0004710.2	OG0016785.2
0.0785529	0.07626310000000001	nan	1e-07	nan
OG0011486.5	OG0011344.2	OG0004022.8	OG0010170.14	OG0000002.763
nan	nan	1e-07	nan	1e-07
OG0011881.8	OG0000022.878	OG0019271.0	OG0057202.0	OG0000206.0
nan	1e-07	nan	nan	0.0338505
OG0004622.6	OG0000186.266	OG0047073.0	OG0022618.0	OG0000046.1
1e-07	nan	nan	nan	0.00996134
OG0003118.5	OG0045196.0	OG0014346.0	OG0000359.28	OG0012157.2
1e-07	nan	nan	1e-07	nan
OG0004406.0	OG0018950.4	OG0000276.72	OG0014983.3	OG0004620.0
nan	nan	0.020701900000000002	nan	0.12003
OG0008056.1	OG0047437.0	OG0000420.0	OG0006009.0	OG0006412.3
nan	nan	1e-07	nan	1e-07
OG0017958.3	OG0007458.0	OG0009251.1	OG0000225.48	OG0043623.0
nan	1e-07	nan	0.0108116	nan
OG0006175.0	OG0005346.24	OG0003258.3	OG0000125.49	OG0019480.0
1e-07	nan	nan	0.19612000000000002	nan
OG0000018.1	OG0004738.6	OG0000042.185	OG0015333.0	OG0037725.0
0.00206709	1e-07	1e-07	nan	nan
OG0000062.12	OG0028345.0	OG0005477.0	OG0008453.0	OG0010499.16
0.084912	nan	0.034769800000000003	1e-07	nan
OG0005759.6	OG0000263.57	OG0041783.0	OG0015187.4	OG0006086.0
0.15800799999999998	0.289385	nan	nan	1e-07
OG0041772.0	OG0020944.0	OG0006471.8	OG0007818.0	OG0000364.1
nan	nan	nan	1e-07	1e-07
OG0020543.0	OG0005855.0	OG0000048.122	OG0028873.0	OG0004208.2
nan	0.08605030000000001	0.032089299999999994	nan	1e-07
OG0044717.0	OG0015711.2	OG0007486.2	OG0000160.4	OG0013035.0
nan	nan	1e-07	1e-07	0.1
OG0012996.0	OG0000279.0	OG0007538.2	OG0024478.0	OG0056933.0
nan	0.00149303	0.0428279	nan	nan
OG0000104.79	OG0000188.1	OG0004386.2	OG0006936.0	OG0004854.4
nan	1e-07	0.0764448	nan	1e-07
OG0000044.1	OG0027100.0	OG0003102.40	OG0015254.6	OG0006349.2
1e-07	nan	1e-07	nan	1e-07
OG0005696.4	OG0018632.3	OG0000014.1	OG0006725.0	OG0024663.0
1e-07	nan	0.00998388	nan	nan
OG0005845.2	OG0006425.0	OG0057335.0	OG0000336.0	OG0027523.0
0.0249368	nan	nan	0.00315844	nan
OG0008528.0	OG0024783.0	OG0007191.0	OG0000014.1	OG0043509.0
1e-07	nan	1e-07	0.00998388	nan
OG0005846.2	OG0012177.2	OG0017997.4	OG0041546.0	OG0000088.3
1e-07	nan	nan	nan	1e-07
OG0000180.0	OG0027819.0	OG0007348.0	OG0007163.2	OG0014417.1
0.00893898	nan	nan	1e-07	nan
OG0000180.0	OG0003511.4	OG0005146.0	OG0004972.1	OG0027595.0
0.00893898	1e-07	nan	nan	nan
OG0005717.2	OG0000785.2	OG0014018.2	OG0045623.0	OG0003390.22
nan	1e-07	nan	nan	1e-07
OG0003559.24	OG0027666.0	OG0000276.72	OG0019704.0	OG0005701.4
0.1	nan	0.020701900000000002	nan	1e-07
OG0047536.0	OG0000256.24	OG0024538.0	OG0008453.0	OG0005285.0
nan	1e-07	nan	1e-07	1.66598e-05
OG0017825.2	OG0000092.1	OG0004280.1	OG0044577.0	OG0005285.0
nan	1e-07	nan	nan	1.66598e-05
OG0005845.2	OG0013058.0	OG0000204.2	OG0013440.5	OG0012991.1
0.0249368	nan	1e-07	nan	nan
OG0004204.4	OG0000225.48	OG0004274.22	OG0027486.0	OG0025104.0
nan	0.0108116	nan	nan	nan
OG0000018.1	OG0046984.0	OG0000066.1	OG0010700.2	OG0012008.6
0.00206709	nan	1e-07	nan	nan
OG0004631.4	OG0011476.0	OG0000034.305	OG0034678.0	OG0011669.2
1e-07	nan	0.00121528	nan	nan
OG0048146.0	OG0000018.1	OG0025975.0	OG0009267.0	OG0003729.6
nan	0.00206709	nan	0.1	0.08231369999999999
OG0027108.0	OG0000403.25	OG0010524.6	OG0004622.6	OG0000371.137
nan	1e-07	nan	1e-07	nan
OG0000180.0	OG0001597.32	OG0005758.2	OG0018359.4	OG0003375.2
0.00893898	nan	nan	nan	1e-07
OG0007763.20	OG0004387.2	OG0000012.581	OG0000188.1	OG0015952.0
nan	1e-07	0.1	1e-07	nan
OG0029003.0	OG0002959.32	OG0000059.133	OG0010621.0	OG0025954.0
nan	1e-07	1e-07	nan	nan
OG0004290.0	OG0028171.0	OG0024621.0	OG0000088.3	OG0012098.2
1e-07	nan	nan	1e-07	nan
OG0006017.0	OG0021464.0	OG0035578.0	OG0000088.3	OG0004090.26
nan	nan	nan	1e-07	1e-07
OG0000261.0	OG0005248.24	OG0008376.3	OG0006392.0	OG0000175.187
1e-07	nan	nan	1e-07	nan
OG0000188.1	OG0008726.2	OG0011968.0	OG0003040.0	OG0027803.0
1e-07	nan	nan	1e-07	nan
OG0003726.42	OG0027611.0	OG0000000.2172	OG0000272.36	OG0021228.0
1e-07	nan	nan	1e-07	nan
OG0024575.0	OG0000183.0	OG0016708.7	OG0005854.2	OG0000323.172
nan	1e-07	nan	1e-07	nan
OG0008698.0	OG0000018.1	OG0045700.0	OG0004503.8	OG0015773.2
nan	0.00206709	nan	1e-07	nan
OG0004949.2	OG0008317.0	OG0048119.0	OG0000223.2	OG0012201.0
1e-07	nan	nan	1e-07	nan
OG0007196.4	OG0014134.1	OG0011989.1	OG0007072.0	OG0000256.24
1e-07	nan	nan	nan	1e-07
OG0000257.0	OG0019159.1	OG0007803.0	OG0020728.0	OG0013502.0
1e-07	nan	1e-07	nan	nan
OG0000869.2	OG0004207.12	OG0011897.10	OG0012157.2	OG0045697.0
0.0938026	1e-07	nan	nan	nan
OG0000869.2	OG0010617.4	OG0035615.0	OG0003358.3	OG0013315.4
0.0938026	nan	nan	1e-07	nan
OG0000042.314	OG0002382.8	OG0009842.2	OG0005619.0	OG0024623.0
1e-07	nan	nan	1e-07	nan
OG0004347.0	OG0003743.1	OG0043435.0	OG0005949.0	OG0000223.2
1e-07	nan	nan	nan	1e-07
OG0026929.0	OG0000584.0	OG0004124.0	OG0009005.0	OG0057408.0
nan	0.124526	0.035983600000000004	nan	nan
OG0047396.0	OG0000302.34	OG0005384.1	OG0003543.0	OG0016008.4
nan	1e-07	nan	1e-07	nan
OG0005824.0	OG0057576.0	OG0000110.3	OG0012227.0	OG0027566.0
1e-07	nan	1e-07	nan	nan
OG0047592.0	OG0005248.24	OG0006393.0	OG0010139.0	OG0000147.0
nan	nan	1e-07	nan	0.187808
OG0044197.0	OG0024570.0	OG0007411.0	OG0007822.0	OG0000147.0
nan	nan	0.0908636	1e-07	0.187808
OG0037838.0	OG0000014.1	OG0010773.2	OG0003661.0	OG0011718.13
nan	0.00998388	nan	1e-07	nan
OG0004758.4	OG0000092.1	OG0017484.2	OG0044086.0	OG0009267.0
1e-07	1e-07	nan	nan	0.1
OG0045023.0	OG0000204.2	OG0005854.2	OG0017964.4	OG0011459.1
nan	1e-07	1e-07	nan	nan
OG0003189.0	OG0018431.0	OG0043618.0	OG0000584.0	OG0007146.0
nan	nan	nan	0.124526	1e-07
OG0007539.0	OG0005384.1	OG0016889.0	OG0000001.2899	OG0007096.15
1e-07	nan	nan	0.019229200000000002	nan
OG0000302.34	OG0019368.0	OG0043997.0	OG0004989.0	OG0003838.7
1e-07	nan	nan	nan	1e-07
OG0000750.0	OG0008528.0	OG0007191.0	OG0018953.5	OG0015753.2
0.0366767	1e-07	1e-07	nan	nan
OG0005696.4	OG0008225.6	OG0005823.9	OG0000272.36	OG0006650.0
1e-07	nan	nan	1e-07	nan
OG0019951.0	OG0005977.0	OG0000160.4	OG0018117.2	OG0005851.2
nan	nan	1e-07	nan	1e-07
OG0006014.0	OG0017540.5	OG0005428.4	OG0014051.0	OG0000147.0
nan	nan	1e-07	nan	0.187808
OG0012104.6	OG0000403.25	OG0010622.0	OG0004951.0	OG0045894.0
nan	1e-07	0.1	0.0378455	nan
OG0000364.1	OG0006964.0	OG0014303.3	OG0005491.2	OG0045238.0
1e-07	nan	nan	1e-07	nan
OG0005687.4	OG0027784.0	OG0024529.0	OG0013513.2	OG0000256.24
1e-07	nan	nan	nan	1e-07
OG0005501.1	OG0057041.0	OG0000120.105	OG0005570.0	OG0020766.0
nan	nan	1e-07	nan	nan
OG0046203.0	OG0000257.0	OG0010828.0	OG0006000.0	OG0005285.0
nan	1e-07	nan	nan	1.66598e-05
OG0000290.0	OG0004362.4	OG0006290.0	OG0029018.0	OG0056920.0
1e-07	1e-07	nan	nan	nan
OG0000207.240	OG0000599.0	OG0005548.4	OG0047075.0	OG0024755.0
1e-07	1e-07	nan	nan	nan
OG0000180.0	OG0004207.12	OG0009011.0	OG0043749.0	OG0016823.0
0.00893898	1e-07	0.1	nan	nan
OG0000034.305	OG0014589.0	OG0006388.0	OG0016594.0	OG0045524.0
0.00121528	0.1	1e-07	nan	nan
OG0000869.2	OG0017039.1	OG0005869.0	OG0010636.0	OG0047165.0
0.0938026	nan	1e-07	nan	nan
OG0007539.0	OG0057320.0	OG0011685.2	OG0004910.0	OG0000198.0
1e-07	nan	nan	nan	1e-07
OG0006190.0	OG0007473.0	OG0000175.4	OG0016105.0	OG0034386.0
nan	1e-07	0.0411284	nan	nan
OG0015291.0	OG0000207.240	OG0000431.12	OG0005926.0	OG0046757.0
nan	1e-07	0.0471691	0.0772546	nan
OG0005687.4	OG0000228.35	OG0000302.34	OG0054120.0	OG0018942.1
1e-07	nan	1e-07	nan	nan
OG0011345.0	OG0006827.2	OG0000272.36	OG0048792.0	OG0027685.0
nan	1e-07	1e-07	nan	nan
OG0009850.0	OG0000336.0	OG0027493.0	OG0043705.0	OG0005491.2
nan	0.00315844	nan	nan	1e-07
OG0000062.12	OG0016598.7	OG0003543.0	OG0027607.0	OG0008599.0
0.084912	nan	1e-07	nan	nan
OG0026528.0	OG0013931.2	OG0007473.0	OG0000092.1	OG0005359.4
nan	nan	1e-07	1e-07	nan
OG0005530.6	OG0000279.0	OG0007639.5	OG0004362.4	OG0018866.3
0.06399490000000001	0.00149303	nan	1e-07	nan
OG0016765.0	OG0005501.1	OG0038844.0	OG0006310.0	OG0000264.1
nan	nan	nan	nan	0.05482769999999999
OG0007565.0	OG0020573.0	OG0000302.34	OG0004290.0	OG0047475.0
nan	nan	1e-07	1e-07	nan
OG0000175.4	OG0021242.0	OG0008209.0	OG0015496.3	OG0007356.0
0.0411284	nan	1e-07	nan	nan
OG0000018.1	OG0024498.0	OG0041551.0	OG0007493.0	OG0006005.0
0.00206709	nan	nan	1e-07	nan
OG0000176.0	OG0005729.2	OG0002708.0	OG0019223.0	OG0041687.0
1e-07	0.1	1e-07	nan	nan
OG0000294.0	OG0046801.0	OG0009091.4	OG0006873.3	OG0024549.0
0.0172898	nan	nan	1e-07	nan
OG0014025.6	OG0000272.36	OG0006328.0	OG0004208.2	OG0047584.0
nan	1e-07	nan	1e-07	nan
OG0005687.4	OG0006489.14	OG0007850.2	OG0000225.48	OG0056799.0
1e-07	nan	nan	0.0108116	nan
OG0011910.0	OG0007191.0	OG0013815.1	OG0000176.0	OG0004375.58
nan	1e-07	nan	1e-07	nan
OG0041937.0	OG0008270.2	OG0000285.1	OG0005734.0	OG0004053.9
nan	nan	0.010965	nan	1e-07
OG0004347.0	OG0019200.0	OG0000175.4	OG0012904.0	OG0045836.0
1e-07	nan	0.0411284	nan	nan
OG0000062.12	OG0025990.0	OG0003326.0	OG0047434.0	OG0004505.0
0.084912	nan	nan	nan	1e-07
OG0000403.25	OG0045754.0	OG0005830.0	OG0001597.53	OG0008292.10
1e-07	nan	nan	0.0393955	nan
OG0000062.12	OG0003843.12	OG0006023.0	OG0018976.2	OG0046912.0
0.084912	1e-07	nan	nan	nan
OG0000750.0	OG0018020.2	OG0015721.8	OG0005852.2	OG0004901.9
0.0366767	nan	nan	1e-07	nan
OG0044095.0	OG0004892.3	OG0024554.0	OG0004025.11	OG0000088.3
nan	nan	nan	1e-07	1e-07
OG0005846.2	OG0000044.1	OG0006810.3	OG0045467.0	OG0009877.2
1e-07	1e-07	nan	nan	0.1
OG0000012.581	OG0012567.1	OG0000081.1	OG0046541.0	OG0006195.0
0.1	nan	0.042629900000000005	nan	nan
OG0000993.148	OG0003061.8	OG0007926.2	OG0008096.5	OG0000407.1
nan	1e-07	nan	nan	1e-07
OG0010906.0	OG0056992.0	OG0000042.314	OG0007587.1	OG0003786.18
nan	nan	1e-07	nan	1e-07
OG0000204.2	OG0009163.11	OG0057294.0	OG0007427.0	OG0007822.0
1e-07	nan	nan	nan	1e-07
OG0016846.2	OG0011952.0	OG0004740.12	OG0000272.36	OG0013323.10
nan	nan	1e-07	1e-07	nan
OG0000005.545	OG0011989.1	OG0004823.2	OG0000046.1	OG0018936.6
