OG0004835.2	OG0000692.0	OG0004617.12	OG0004338.2	OG0000027.1	OG0004464.0	OG0000107.44	OG0000038.0	OG0012915.3	OG0009883.5
nan	-0.8648591836051853	nan	nan	-0.6803820657998387	nan	-0.7312063248775214	-0.5443505726835847	nan	nan
OG0009117.4	OG0003625.28	OG0000177.8	OG0000056.0	OG0000307.20	OG0009163.11	OG0003732.8	OG0011678.0	OG0000102.0	OG0003818.6
nan	nan	-1.1697446758323171	-0.4548223653847077	-0.24639546372000481	nan	nan	nan	-0.40966146682091265	nan
OG0024475.0	OG0000054.0	OG0001610.50	OG0000132.40	OG0005176.0	OG0006956.0	OG0000139.0	OG0000074.152	OG0007485.0	OG0003588.2
nan	-0.4819685073978307	-1.0652193273029835	-0.791357890984834	nan	nan	-0.6148451031156562	-0.6702449142552531	nan	nan
OG0000575.28	OG0007394.2	OG0000010.64	OG0009025.0	OG0024568.0	OG0000056.0	OG0005315.0	OG0000074.152	OG0005465.0	OG0004964.6
-1.2039006722965686	nan	-0.5602173105240185	nan	nan	-0.4548223653847077	-3.2750878406843897	-0.6702449142552531	nan	nan
OG0000310.18	OG0005660.0	OG0006672.0	OG0000000.3460	OG0003155.34	OG0012223.0	OG0016625.0	OG0006117.2	OG0000010.475	OG0000435.0
-0.912401382076379	nan	nan	-1.4077462998850927	-2.736965594166206	nan	nan	nan	-0.18147661793370173	-1.026205070347394
OG0002590.0	OG0000269.0	OG0003564.0	OG0018616.0	OG0000349.0	OG0003338.0	OG0000200.0	OG0007468.0	OG0000006.561	OG0005399.4
-1.5274082542630671	-1.0794780212096609	nan	nan	-1.349970759472354	-2.537005393324501	-0.6992319667196912	nan	-0.17266872938773947	nan
OG0006294.10	OG0016661.3	OG0000099.0	OG0004249.0	OG0000228.54	OG0000139.0	OG0000011.1	OG0002448.22	OG0008106.2	OG0003593.0
nan	nan	-0.42876006879851164	nan	-0.7553564542606015	-0.6148451031156562	-0.5576668766702485	-1.5911794654711495	nan	-1.5311560570253626
OG0000112.0	OG0009215.1	OG0004961.2	OG0000056.0	OG0000710.0	OG0003695.0	OG0004473.2	OG0008975.0	OG0005495.0	OG0000007.3
-0.41580714189026247	nan	-1.9562355576898298	-0.4548223653847077	-0.6517675807607293	-3.2337864980183446	nan	nan	-1.866173472701172	-0.5036910551752718
OG0000027.457	OG0000923.0	OG0004469.6	OG0007098.2	OG0022067.0	OG0005153.1	OG0004970.0	OG0000139.0	OG0007761.3	OG0000127.0
-0.9018499789079885	-0.41773304664948757	nan	nan	nan	nan	nan	-0.6148451031156562	nan	-0.7543826472436156
OG0000112.0	OG0004494.1	OG0003424.0	OG0006712.0	OG0000039.0	OG0013911.3	OG0000710.0	OG0000060.0	OG0003386.20	OG0004128.4
-0.41580714189026247	nan	-1.1555339986339046	nan	-0.23158274510390153	nan	-0.6517675807607293	-0.6093323144403325	nan	-1.3222888137393203
OG0000132.40	OG0000228.54	OG0005105.0	OG0011433.8	OG0011552.0	OG0000349.0	OG0000011.1	OG0004757.2	OG0003993.4	OG0003370.4
-0.791357890984834	-0.7553564542606015	nan	nan	nan	-1.349970759472354	-0.5576668766702485	nan	nan	nan
OG0016132.6	OG0002604.2	OG0016143.0	OG0002709.2	OG0005870.0	OG0000074.152	OG0000090.24	OG0000001.1420	OG0010671.0	OG0000075.0
nan	-13.287712379549449	nan	-2.855170479161191	nan	-0.6702449142552531	-0.22701644786189557	-0.01727103870140411	-2.416577195306404	-0.6540359696571283
OG0000012.918	OG0013503.4	OG0016077.0	OG0000196.0	OG0005672.0	OG0005315.0	OG0004376.0	OG0000307.20	OG0006135.0	OG0000007.585
-0.3367920275193528	nan	nan	-0.21089678249861854	nan	-3.2750878406843897	nan	-0.24639546372000481	nan	-0.4371348323438358
OG0000112.0	OG0006978.0	OG0016135.0	OG0000047.282	OG0011224.0	OG0000011.866	OG0005764.0	OG0005145.0	OG0005107.4	OG0000015.1
-0.41580714189026247	nan	nan	-0.815021540306669	nan	-0.2970765465464272	nan	nan	nan	0.08963373610689557
OG0009776.8	OG0004678.12	OG0000923.0	OG0000009.921	OG0000334.9	OG0005940.0	OG0012769.0	OG0013541.2	OG0005299.0	OG0000071.0
nan	nan	-0.41773304664948757	-0.5047141706290358	-0.4353779475630195	nan	nan	nan	nan	-0.36642929324206563
OG0011605.0	OG0000045.0	OG0000228.54	OG0000196.0	OG0006118.4	OG0003695.0	OG0002447.0	OG0020648.0	OG0005495.0	OG0000007.3
nan	-0.2963676925629297	-0.7553564542606015	-0.21089678249861854	nan	-3.2337864980183446	-1.3061450976464348	nan	-1.866173472701172	-0.5036910551752718
OG0004942.0	OG0000112.0	OG0005939.0	OG0028991.0	OG0000002.1788	OG0005115.3	OG0000435.0	OG0005088.0	OG0000007.3	OG0009074.8
nan	-0.41580714189026247	nan	nan	-0.5532144378568775	nan	-1.026205070347394	nan	-0.5036910551752718	nan
OG0004971.4	OG0000009.921	OG0011499.1	OG0010013.0	OG0000239.0	OG0000060.0	OG0003505.8	OG0005870.0	OG0000435.0	OG0012210.0
nan	-0.5047141706290358	nan	nan	-0.4494932990471394	-0.6093323144403325	nan	nan	-1.026205070347394	nan
OG0007615.6	OG0005947.0	OG0004749.2	OG0004970.0	OG0006322.4	OG0000192.0	OG0005115.3	OG0000074.152	OG0000035.64	OG0000013.2
nan	nan	-2.6117553466077004	nan	nan	-0.7107557148433575	nan	-0.6702449142552531	-0.2618807112174235	0.07464243793449277
OG0000486.2	OG0005643.0	OG0000001.425	OG0000032.252	OG0000169.16	OG0006500.0	OG0003880.0	OG0021387.0	OG0005764.0	OG0009237.0
-0.8688056482915498	nan	0.661840791305371	-0.7843835229227877	-0.5532144378568775	nan	nan	nan	nan	nan
OG0000018.842	OG0011718.13	OG0005936.0	OG0000000.3460	OG0000047.282	OG0003568.0	OG0006980.0	OG0010101.0	OG0000001.1420	OG0006444.0
-0.5918316292918937	nan	nan	-1.4077462998850927	-0.815021540306669	nan	nan	nan	-0.01727103870140411	nan
OG0005686.0	OG0006708.0	OG0020441.0	OG0000015.773	OG0000026.45	OG0000090.24	OG0008066.0	OG0006389.4	OG0006418.0	OG0000442.2
nan	nan	nan	-0.022830000309873453	-0.17527287276789724	-0.22701644786189557	nan	nan	nan	-0.3459311372709193
OG0003502.3	OG0000027.457	OG0000176.0	OG0007584.0	OG0006370.4	OG0018981.2	OG0000192.0	OG0004957.0	OG0000200.0	OG0005447.3
nan	-0.9018499789079885	-0.7171450906774453	nan	nan	nan	-0.7107557148433575	nan	-0.6992319667196912	nan
OG0000054.0	OG0024950.0	OG0009978.0	OG0000429.0	OG0006744.1	OG0001608.24	OG0000001.425	OG0000074.152	OG0002577.26	OG0006474.4
-0.4819685073978307	nan	nan	-0.8767311125056534	nan	-1.0436459153546316	0.661840791305371	-0.6702449142552531	-2.1603628384903306	nan
OG0000099.0	OG0005986.4	OG0006790.0	OG0000139.0	OG0001710.24	OG0007958.13	OG0000026.45	OG0005097.2	OG0010513.2	OG0000442.2
-0.42876006879851164	nan	nan	-0.6148451031156562	-1.6148451031156563	nan	-0.17527287276789724	nan	nan	-0.3459311372709193
OG0003584.16	OG0003514.0	OG0000018.842	OG0013132.4	OG0008562.0	OG0000011.1	OG0000074.152	OG0000105.0	OG0004977.0	OG0027623.0
nan	-3.143054136717567	-0.5918316292918937	nan	-3.1949552386295967	-0.5576668766702485	-0.6702449142552531	-0.6139616401113864	nan	nan
OG0004966.0	OG0000710.0	OG0007761.3	OG0000032.252	OG0000187.1	OG0022068.0	OG0004128.4	OG0000102.0	OG0012093.2	OG0003198.2
nan	-0.6517675807607293	nan	-0.7843835229227877	-0.2067283455019175	nan	-1.3222888137393203	-0.40966146682091265	nan	nan
OG0000923.0	OG0008277.0	OG0000056.0	OG0001981.2	OG0005153.1	OG0013535.7	OG0005463.3	OG0000139.0	OG0011434.0	OG0000015.1
-0.41773304664948757	nan	-0.4548223653847077	nan	nan	nan	nan	-0.6148451031156562	nan	0.08963373610689557
OG0010779.2	OG0000027.457	OG0006566.0	OG0006082.0	OG0000169.16	OG0001557.1	OG0004569.0	OG0000043.242	OG0029064.0	OG0006143.2
nan	-0.9018499789079885	nan	nan	-0.5532144378568775	-1.033864894562046	-2.4281775931667964	-0.20257191784768686	nan	nan
OG0000018.842	OG0011211.0	OG0000486.2	OG0000039.0	OG0005229.4	OG0000015.773	OG0016644.5	OG0002991.24	OG0003614.8	OG0015351.0
-0.5918316292918937	nan	-0.8688056482915498	-0.23158274510390153	nan	-0.022830000309873453	nan	nan	-2.2778837621813413	nan
OG0000027.457	OG0006298.0	OG0000177.8	OG0005940.0	OG0004453.2	OG0005212.2	OG0019272.0	OG0003247.1	OG0000121.128	OG0000105.0
-0.9018499789079885	nan	-1.1697446758323171	nan	nan	nan	nan	-0.6186058682131488	-0.9810810178369486	-0.6139616401113864
OG0000265.0	OG0000112.0	OG0000995.122	OG0005841.2	OG0028974.0	OG0000056.0	OG0003526.0	OG0007389.9	OG0000710.0	OG0007546.0
-1.8241880062782692	-0.41580714189026247	nan	nan	nan	-0.4548223653847077	nan	nan	-0.6517675807607293	nan
OG0005431.0	OG0000142.14	OG0005109.6	OG0007221.2	OG0000710.0	OG0003169.0	OG0000032.252	OG0006632.0	OG0000119.0	OG0016847.4
nan	-0.4004917640810645	nan	nan	-0.6517675807607293	nan	-0.7843835229227877	nan	-1.6237096166629486	nan
OG0002858.1	OG0003645.1	OG0012040.0	OG0006142.4	OG0005740.24	OG0000032.252	OG0000169.16	OG0001557.1	OG0000119.0	OG0004579.2
-2.9839316313723465	nan	nan	nan	nan	-0.7843835229227877	-0.5532144378568775	-1.033864894562046	-1.6237096166629486	-2.0368218438261088
OG0011287.3	OG0005460.0	OG0000177.8	OG0008459.10	OG0003833.22	OG0000121.128	OG0003800.0	OG0000035.64	OG0000011.866	OG0022174.0
nan	nan	-1.1697446758323171	nan	nan	-0.9810810178369486	-1.7022803279564873	-0.2618807112174235	-0.2970765465464272	nan
OG0000027.457	OG0005882.2	OG0006250.0	OG0021625.0	OG0000000.3460	OG0000192.0	OG0000435.0	OG0005827.2	OG0004987.26	OG0005917.0
-0.9018499789079885	nan	nan	nan	-1.4077462998850927	-0.7107557148433575	-1.026205070347394	nan	nan	-1.8206163456437023
OG0004737.6	OG0005738.2	OG0000000.3460	OG0000139.0	OG0007299.6	OG0005817.0	OG0000200.0	OG0000026.45	OG0005105.0	OG0008989.0
nan	nan	-1.4077462998850927	-0.6148451031156562	nan	nan	-0.6992319667196912	-0.17527287276789724	nan	nan
OG0000027.457	OG0008073.0	OG0000334.9	OG0000010.64	OG0007753.0	OG0017860.0	OG0000047.282	OG0004479.1	OG0000009.1514	OG0003614.8
-0.9018499789079885	nan	-0.4353779475630195	-0.5602173105240185	nan	nan	-0.815021540306669	nan	-1.563624917755461	-2.2778837621813413
OG0000575.28	OG0008512.0	OG0012068.2	OG0000109.0	OG0000132.40	OG0000018.289	OG0002453.0	OG0018801.0	OG0006383.0	OG0006875.0
