OG0004710.2	OG0022825.0	OG0012896.0	OG0016785.2	OG0000471.2
0.6036406999999999	2.8980900000000003	0.5931903000000001	-1.8704049999999999	nan
OG0007333.0	OG0011513.15	OG0013502.0	OG0002894.0	OG0005481.0
-1.289323	2.978176	0.2157018	0.5469874	1.32847
OG0015762.3	OG0004155.0	OG0011927.6	OG0016607.0	OG0007658.2
-1.4736850000000001	-0.8324353999999999	-1.622467	-1.222128	-1.461726
OG0029980.0	OG0043356.0	OG0013576.4	OG0000928.30	OG0005440.0
1.64369	1.560337	-1.303968	nan	-0.39800640000000004
OG0038603.0	OG0047019.0	OG0027827.0	OG0057014.0	OG0000571.0
-0.12070109999999999	0.23956260000000001	-5.7184919999999995	1.407158	0.2905545
OG0016134.2	OG0045151.0	OG0022291.0	OG0001730.2	OG0013548.2
-0.6254576	-6.649444	1.1168200000000001	0.3743477	-0.6794346
OG0000682.0	OG0004423.0	OG0002987.2	OG0001531.24	OG0044553.0
-1.179322	-1.1435440000000001	0.3171813	-0.6317366	1.141546
OG0007400.9	OG0000321.132	OG0048126.0	OG0018069.2	OG0015980.3
0.4393526	0.08708754	-0.612053	-1.634688	1.5141229999999999
OG0018859.6	OG0011360.2	OG0015270.2	OG0043383.0	OG0028982.0
1.069205	1.080484	-0.3130861	1.53653	-1.540602
OG0007810.5	OG0047597.0	OG0011949.0	OG0019494.0	OG0006039.1
-0.7111703	0.18217560000000002	-0.09579800000000001	1.409226	0.1434351
OG0001567.1	OG0037949.0	OG0053856.0	OG0020590.0	OG0001833.32
nan	1.14109	3.133846	-1.735222	-0.8281825
OG0046902.0	OG0009194.1	OG0016807.0	OG0008668.22	OG0006468.8
-6.574878999999999	1.133109	-1.787247	1.0378889999999998	0.8588906
OG0053926.0	OG0024628.0	OG0003305.0	OG0034348.0	OG0038651.0
3.1387650000000002	0.9463648000000001	-0.14685710000000002	0.9299023999999999	-0.04695042
OG0053991.0	OG0057080.0	OG0005598.38	OG0022053.0	OG0046872.0
2.8626549999999997	1.435616	-0.06228852	2.609141	-6.05499
OG0001040.1	OG0023205.0	OG0018588.1	OG0012515.12	OG0025971.0
nan	1.1975069999999999	0.9881708	-1.531534	0.8945843000000001
OG0012164.0	OG0045990.0	OG0025137.0	OG0001413.1	OG0003613.0
0.08394015	-6.310486	0.0757157	nan	-0.683094
