OG0012896.0	OG0000471.2	OG0022825.0	OG0004710.2	OG0016785.2
-1.4131151871478154	-1.3375210295767486	nan	-0.512925319948276	-1.8411459704833824
OG0011486.5	OG0011344.2	OG0004022.8	OG0010170.14	OG0000002.763
-2.9612828924271466	-2.0005771934627457	-0.8876334769274369	nan	-0.7257085158978973
OG0011881.8	OG0000022.878	OG0019271.0	OG0057202.0	OG0000206.0
-2.4104282460262545	-1.1929748745013562	nan	nan	0.24865627000440324
OG0004622.6	OG0000186.266	OG0047073.0	OG0022618.0	OG0000046.1
-2.5344956303704946	-2.4892405784478306	nan	nan	-0.4065984188743529
OG0003118.5	OG0045196.0	OG0014346.0	OG0000359.28	OG0012157.2
-1.2172559636048	nan	-1.5399389790226587	-0.5942254220501242	-2.1791879227712805
OG0004406.0	OG0018950.4	OG0000276.72	OG0014983.3	OG0004620.0
-1.2149098450052418	-1.234465253637023	-0.8999642788381562	nan	0.557875677239934
OG0008056.1	OG0047437.0	OG0000420.0	OG0006009.0	OG0006412.3
-1.766602735898117	nan	-0.49045616203966397	-1.0457292298551206	-1.2615347826602237
OG0017958.3	OG0007458.0	OG0009251.1	OG0000225.48	OG0043623.0
-2.5786285669991056	-0.7138285488929806	-1.810460055611497	-0.3057883922321096	nan
OG0006175.0	OG0005346.24	OG0003258.3	OG0000125.49	OG0019480.0
-1.2348047512361633	-2.710283551513701	-1.7918573526622783	0.8343876146053895	nan
OG0000018.1	OG0004738.6	OG0000042.185	OG0015333.0	OG0037725.0
-0.6106534638375021	-1.458386043707783	-0.8953949567706891	nan	nan
OG0000062.12	OG0028345.0	OG0005477.0	OG0008453.0	OG0010499.16
-1.5538496598709068	nan	-1.0174170530774094	-0.43693951723612684	-2.3473987824034808
OG0005759.6	OG0000263.57	OG0041783.0	OG0015187.4	OG0006086.0
-0.39119075732447617	0.818932344010497	nan	-2.80793211552035	-1.7036894392919077
OG0041772.0	OG0020944.0	OG0006471.8	OG0007818.0	OG0000364.1
nan	-1.5920490827614273	-2.5353317329965557	-2.0356383367532658	-0.7065117976244923
OG0020543.0	OG0005855.0	OG0000048.122	OG0028873.0	OG0004208.2
-2.0782590139204995	-1.639354797539784	-0.7157227819448722	nan	-0.9481407011647501
OG0044717.0	OG0015711.2	OG0007486.2	OG0000160.4	OG0013035.0
nan	-1.4579896444633909	-2.168771306825942	-0.030913993470059714	-1.9323612831246366
OG0012996.0	OG0000279.0	OG0007538.2	OG0024478.0	OG0056933.0
-2.308287184217976	-0.7006381023484414	-1.5153978056277968	-3.6236207013727357	nan
OG0000104.79	OG0000188.1	OG0004386.2	OG0006936.0	OG0004854.4
nan	-0.09449505685038438	-1.1837689496578923	-2.594225422050124	-0.4001109550407409
OG0000044.1	OG0027100.0	OG0003102.40	OG0015254.6	OG0006349.2
-0.6009930135276029	nan	-1.3176064889372687	-2.229044129208878	-1.859352206845158
OG0005696.4	OG0018632.3	OG0000014.1	OG0006725.0	OG0024663.0
-1.7833899312575583	-1.6529013293777317	-0.4737308279347723	-1.6556259667142674	nan
OG0005845.2	OG0006425.0	OG0057335.0	OG0000336.0	OG0027523.0
-1.9822205874387653	-1.951205819739195	nan	-0.4330387576855113	nan
OG0008528.0	OG0024783.0	OG0007191.0	OG0000014.1	OG0043509.0
-1.4651415485992816	-0.6117553466077006	-0.5536378881214055	-0.4737308279347723	nan
OG0005846.2	OG0012177.2	OG0017997.4	OG0041546.0	OG0000088.3
-1.482774707497541	-1.1523237279704035	-2.3982084161379738	nan	-0.11434754870041268
OG0000180.0	OG0027819.0	OG0007348.0	OG0007163.2	OG0014417.1
-0.15826835651750287	nan	-0.6064739677716448	-2.0115879742752116	nan
OG0000180.0	OG0003511.4	OG0005146.0	OG0004972.1	OG0027595.0
-0.15826835651750287	-1.0655212410931172	-1.427401324629968	nan	-2.4058336719490043
OG0005717.2	OG0000785.2	OG0014018.2	OG0045623.0	OG0003390.22
-1.203568368934305	-0.6060347243397574	-3.306145097646435	nan	-0.7861239566170575
OG0003559.24	OG0027666.0	OG0000276.72	OG0019704.0	OG0005701.4
-1.1867215954566879	-0.9334629976042087	-0.8999642788381562	nan	-1.6748438822584089
OG0047536.0	OG0000256.24	OG0024538.0	OG0008453.0	OG0005285.0
nan	-0.250165425587271	nan	-0.43693951723612684	-1.7898605425983316
OG0017825.2	OG0000092.1	OG0004280.1	OG0044577.0	OG0005285.0
-1.5445609854369495	0.8123750005659496	-1.9445266641015684	nan	-1.7898605425983316
OG0005845.2	OG0013058.0	OG0000204.2	OG0013440.5	OG0012991.1
-1.9822205874387653	-0.9107730579296045	-0.7138285488929806	-2.9029286294560968	nan
OG0004204.4	OG0000225.48	OG0004274.22	OG0027486.0	OG0025104.0
-1.1306813051710953	-0.3057883922321096	-1.521183470950585	-3.7061351640129314	nan
OG0000018.1	OG0046984.0	OG0000066.1	OG0010700.2	OG0012008.6
-0.6106534638375021	nan	-1.097270360766624	-2.4227524644068494	-2.1622989090661346
OG0004631.4	OG0011476.0	OG0000034.305	OG0034678.0	OG0011669.2
-1.3632709872102522	-1.9845024306046744	-0.6588112275212595	nan	-2.7131188522118386
OG0048146.0	OG0000018.1	OG0025975.0	OG0009267.0	OG0003729.6
nan	-0.6106534638375021	-0.8114724732255982	-1.0609991549304867	-0.8033929559051822
OG0027108.0	OG0000403.25	OG0010524.6	OG0004622.6	OG0000371.137
nan	-0.4597742994044606	-1.8287931725818576	-2.5344956303704946	-2.1253210507925444
OG0000180.0	OG0001597.32	OG0005758.2	OG0018359.4	OG0003375.2
-0.15826835651750287	nan	-0.8185793597198583	-2.985073455761897	-0.9045481189143395
OG0007763.20	OG0004387.2	OG0000012.581	OG0000188.1	OG0015952.0
nan	-0.8367589148364569	-0.4801562026905301	-0.09449505685038438	-1.4100448054815682
OG0029003.0	OG0002959.32	OG0000059.133	OG0010621.0	OG0025954.0
nan	-1.2088944295874708	-0.3735141370944932	-1.8241880062782692	nan
OG0004290.0	OG0028171.0	OG0024621.0	OG0000088.3	OG0012098.2
-1.247080178987195	nan	-2.4763376860395074	-0.11434754870041268	-0.34538115503887357
OG0006017.0	OG0021464.0	OG0035578.0	OG0000088.3	OG0004090.26
-0.9751130006868205	nan	nan	-0.11434754870041268	-1.296190533473754
OG0000261.0	OG0005248.24	OG0008376.3	OG0006392.0	OG0000175.187
-0.7946074870103151	-2.324093762105477	nan	-0.9539979534554796	-2.386091221203337
OG0000188.1	OG0008726.2	OG0011968.0	OG0003040.0	OG0027803.0
-0.09449505685038438	-3.196276993225842	-1.0244431791767878	-1.1933047464682418	nan
OG0003726.42	OG0027611.0	OG0000000.2172	OG0000272.36	OG0021228.0
-1.3573446321104978	-2.5657587667480635	-2.879382638782058	-1.0174170530774094	nan
OG0024575.0	OG0000183.0	OG0016708.7	OG0005854.2	OG0000323.172
