OG0006225.0	OG0000711.2	OG0019212.0	OG0002787.0	OG0001823.24	OG0000065.1	OG0002101.0	OG0001699.1	OG0001764.0	OG0005056.1	OG0001607.2	OG0029060.0	OG0001566.2	OG0002309.26	OG0008341.0	OG0004205.0	OG0002988.0	OG0005575.28	OG0015416.2	OG0001842.34	OG0000098.0	OG0000236.122	OG0000264.1	OG0000551.2	OG0008342.0	OG0001907.32	OG0016785.2	OG0020502.0	OG0000119.0	OG0000441.1	OG0002651.6	OG0008335.19	OG0000833.0	OG0000750.0	OG0001778.24	OG0014063.4	OG0000456.0	OG0002012.0	OG0005567.0	OG0011318.4	OG0001741.1	OG0000038.0	OG0011985.2	OG0000834.30	OG0000213.256	OG0002348.56	OG0014065.0	OG0003001.0	OG0001309.24	OG0000740.26	OG0004226.0	OG0013273.0	OG0029057.0	OG0000441.96	OG0008015.25	OG0000318.0	OG0007639.25	OG0002178.2	OG0001567.1	OG0000324.0	OG0003342.16	OG0006752.0	OG0008099.0	OG0001643.24	OG0000065.40	OG0000920.27	OG0007127.0	OG0001843.5	OG0000749.2	OG0005996.10	OG0002590.0	OG0005741.0	OG0000310.18	OG0000206.0	OG0000236.1	OG0000320.0	OG0001964.1	OG0053812.0	OG0007845.0	OG0001698.26	OG0001824.24	OG0000213.17	OG0003860.1	OG0015415.0	OG0044466.0	OG0005326.0	OG0007639.5	OG0012896.0	OG0012897.4	OG0004314.0	OG0006297.0	OG0014302.8	OG0000606.2	OG0020019.0	OG0006158.4	OG0001579.36	OG0000751.0	OG0014817.2	OG0000834.15	OG0002488.24	OG0015105.0	OG0000869.2	OG0001711.10	OG0028281.0	OG0000646.28	OG0013218.3	OG0001844.24	OG0003991.2	OG0001602.32	OG0011319.4	OG0000471.2	OG0000236.19	OG0001016.1	OG0013106.2	OG0014068.0	OG0009857.2	OG0004135.0	OG0005266.0	OG0003151.14	OG0005400.0
0.79149752588	0.495641684794	0.022153403446999998	1.0572396993320001	0.43125959949299997	0.048481179496999996	0.650611032635	0.302651402911	0.144828121245	0.47684643994099996	1.2296063848945	0.0	0.7248987999335	0.446050764961	0.5499829647505	0.582329258555	0.8034460851144999	0.348528646655	0.0047902667355	0.618175537394	1.4031352697045	0.8854773171189999	0.353609284525	0.6425243599555	0.422841818714	0.42374960881449997	0.02701875753	0.38092232668000003	0.497975484525	0.225707484043	0.3800584632215	0.003754849906	0.340178793548	0.631250045128	0.47722639120099997	0.021548511697499998	0.37297337941650005	0.309935876002	1.008367418955	0.21451563346000002	0.313088200552	1.134143995644	0.658372681463	0.491201572971	0.384186343146	0.982317917016	0.0141568497505	0.735807923143	0.666321541351	0.288324657467	0.454195010179	2.3906292280645003	0.0	0.30835831298	nan	0.41174843893299995	0.0	0.5211773102065	0.1616891407855	0.7158626525409999	1.513251683356	0.646215900203	0.635002099653	0.192877343808	2.213630469603	0.38726760713299996	0.5323554360365	0.973361793778	0.717814020096	0.46085186625249996	1.4403699270950001	0.2507378685415	1.332109307964	1.0126616633310002	0.18037054668900002	0.5666704008905	0.5537250862975	nan	0.8213827892535	0.363416734626	0.40259730881399997	1.211413138282	0.7955008027600001	0.0	nan	0.341042683287	0.148413875623	1.401534755683	0.685019942888	0.41497503944200004	0.32298959204	0.004710052017	0.624064331833	0.516405508761	0.6148309591825	0.54520919228	0.474069926778	0.762198595428	1.7326498048719998	0.824863438289	1.153236635687	0.243392971871	0.567675930182	nan	0.08899192361199999	0.008425706057	0.552135854413	0.29796809588350004	0.579345579173	0.5153775395915	0.337049587624	nan	0.288720660563	nan	0.0356524927955	0.338426833074	0.382499503094	1.4196458025510001	0.9368979012540001	0.628505433122
OG0013961.0	OG0004125.0	OG0034275.0	OG0015984.2	OG0003537.2	OG0047178.0	OG0004055.0	OG0015212.3	OG0034671.0	OG0001143.26	OG0003695.0	OG0003674.0	OG0002126.0	OG0017331.4	OG0060369.0	OG0024695.0	OG0037769.0	OG0043441.0	OG0026545.0	OG0037717.0	OG0060345.0	OG0017007.0	OG0021312.0	OG0014976.2	OG0018420.5	OG0044420.0	OG0000001.2	OG0029251.0	OG0045601.0	OG0003356.2	OG0012516.3	OG0010109.10	OG0000910.22	OG0021422.0	OG0018873.4	OG0009191.17	OG0016229.7	OG0028194.0	OG0043587.0	OG0013044.2	OG0044405.0	OG0000777.0	OG0047957.0	OG0014980.7	OG0049180.0	OG0053978.0	OG0034997.0	OG0010769.5	OG0020026.0	OG0027886.0	OG0007364.5	OG0045019.0	OG0015297.0	OG0005187.0	OG0025128.0	OG0030068.0	OG0054107.0	OG0029606.0	OG0045240.0	OG0011531.13	OG0002586.25	OG0034443.0	OG0000151.0	OG0056888.0	OG0027882.0	OG0049121.0	OG0003363.0	OG0015603.2	OG0013735.9	OG0054020.0	OG0002645.26	OG0008720.0	OG0053860.0	OG0046032.0	OG0027029.0	OG0020495.0	OG0029130.0	OG0003740.0	OG0027539.0	OG0038829.0	OG0016419.0	OG0057036.0	OG0000562.130	OG0006147.34	OG0014836.5	OG0011529.8	OG0003458.0	OG0057445.0	OG0020380.0	OG0009797.0	OG0041943.0	OG0004419.0	OG0025940.0	OG0007653.0	OG0020659.0	OG0007788.4	OG0004867.1	OG0013093.0	OG0001087.24	OG0029995.0	OG0003103.85	OG0001322.24	OG0000518.24	OG0018774.3	OG0021198.0	OG0004757.2	OG0012131.2	OG0013568.4	OG0013535.7	OG0018847.2	OG0016154.2	OG0013928.0	OG0007234.0	OG0013600.0	OG0022907.0	OG0000932.26	OG0010161.0	OG0002373.38	OG0001528.16	OG0044265.0
0.14289145190400002	1.425551463296	nan	0.32694833794	0.6764483605670001	nan	0.7745855407960001	0.021046365928	nan	0.45705232893	0.321039856756	0.516463935813	0.537314653679	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.59330755166	0.817730490546	nan	nan	1.3963505298464998	nan	nan	0.43411875883400003	0.155893418052	nan	1.107312062856	nan	nan	0.210736055192	nan	nan	nan	0.19405932839	nan	1.2399869168200002	nan	nan	nan	nan	nan	1.069492066783	nan	nan	nan	nan	0.1628120964535	0.42951626085649997	nan	nan	nan	nan	nan	nan	0.9681422964799998	nan	1.5053560039109999	nan	nan	nan	0.28425567663	2.196250763792	nan	nan	0.23821200126800002	0.6070353851815	nan	nan	nan	0.053105974434	0.0	1.4861561719835001	0.7325892292180001	nan	nan	nan	0.711029444619	nan	nan	0.134749984204	0.565707490702	nan	nan	1.025149599252	nan	0.238521315913	nan	0.378210953609	0.6726713959559999	0.8901869102200002	0.7893748912805	0.632351218411	0.442541483375	nan	nan	0.881704627016	0.75940960088	nan	nan	0.903863622648	0.774241748053	0.284329600108	0.030601103122	0.22748051746300002	0.21068796218199998	0.488190595369	0.9133603210629999	0.123167768735	nan	0.533834734982	0.35138006624300006	0.291596397898	1.6930864837535	nan
OG0025670.0	OG0045253.0	OG0007454.2	OG0016037.0	OG0026962.0	OG0006458.0	OG0008432.3	OG0037796.0	OG0022975.0	OG0016658.6	OG0016109.1	OG0019073.3	OG0045726.0	OG0023486.0	OG0004382.22	OG0001313.24	OG0004768.0	OG0035662.0	OG0003672.0	OG0045763.0	OG0027692.0	OG0002219.0	OG0003957.1	OG0041596.0	OG0028162.0	OG0045950.0	OG0054032.0	OG0054007.0	OG0060332.0	OG0005576.4	OG0001654.2	OG0029105.0	OG0046965.0	OG0027235.0	OG0000367.174	OG0021379.0	OG0028862.0	OG0027012.0	OG0019048.5	OG0007986.5	OG0018551.2	OG0048977.0	OG0044631.0	OG0009920.0	OG0000716.2	OG0002417.0	OG0017087.4	OG0041606.0	OG0034304.0	OG0002645.26	OG0047561.0	OG0028903.0	OG0002195.39	OG0010171.9	OG0037719.0	OG0044852.0	OG0018871.0	OG0008213.6	OG0038690.0	OG0047112.0	OG0009066.4	OG0030057.0	OG0019756.0	OG0013126.0	OG0001952.4	OG0026959.0	OG0046634.0	OG0014821.9	OG0035538.0	OG0006905.0	OG0026275.0	OG0018451.0	OG0021654.0	OG0046930.0	OG0024612.0	OG0023018.0	OG0045592.0	OG0010941.0	OG0024232.0	OG0006943.0	OG0002509.0	OG0054046.0	OG0005328.10	OG0004090.26	OG0009149.0	OG0056762.0	OG0002829.1	OG0004014.6	OG0017270.5	OG0014789.4	OG0048057.0	OG0057587.0	OG0008538.0	OG0021915.0	OG0000674.30	OG0049027.0	OG0005926.0	OG0012092.2	OG0013043.4	OG0001042.5	OG0037761.0	OG0044289.0	OG0005608.1	OG0005393.6	OG0038889.0	OG0053886.0	OG0038723.0	OG0000034.230	OG0016715.4	OG0019125.2	OG0004776.24	OG0007313.0	OG0024526.0	OG0000508.48	OG0045052.0	OG0003730.10	OG0045137.0	OG0016419.0	OG0012990.0	OG0015750.2
nan	nan	0.044554173335999994	1.219715023523	nan	0.50489205885	nan	nan	nan	0.262525648103	0.241991045041	nan	nan	nan	0.45892533453699996	0.24120487013099998	1.2874989944470001	nan	0.8515041390395001	nan	nan	0.697466310199	0.421610057493	nan	nan	nan	nan	nan	nan	0.5969356449135	1.7855430012490001	nan	nan	nan	0.47129587728699995	1.488950251954	nan	nan	nan	nan	1.141904899889	nan	nan	0.659345858033	0.7447132206110001	0.8722928148815	nan	nan	nan	0.23821200126800002	nan	nan	1.4687522991905	nan	nan	nan	0.63349328298	0.2358883783685	nan	nan	0.239175029723	nan	nan	0.416496330853	0.8343743170219999	1.100884963633	nan	nan	nan	0.284465812654	1.4294377353780001	0.533747876103	nan	nan	0.174927525375	nan	nan	1.259067418886	nan	0.304469896294	0.964618440589	nan	0.1253439981045	0.20642595843199998	1.5184180505379998	nan	0.42627120777649996	0.736127175837	nan	0.22289367419199999	nan	nan	0.23791953401500002	nan	0.6739550402869999	nan	0.521172979515	0.7997006151064999	0.602316170975	0.8180755618800001	nan	nan	1.895800207438	1.249313898778	nan	nan	nan	0.6867577878829999	nan	0.0	0.6371405925105	0.679866627601	0.007790738962	1.651626093944	nan	0.6348896014135	nan	nan	0.5560844939774999	0.23008729238000003
OG0047196.0	OG0001216.24	OG0001352.26	OG0028257.0	OG0007287.0	OG0013618.1	OG0008959.12	OG0005515.0	OG0023126.0	OG0000154.2	OG0047346.0	OG0022635.0	OG0004012.2	OG0005139.28	OG0037844.0	OG0005210.0	OG0018157.2	OG0002676.13	OG0010688.2	OG0002289.0	OG0022840.0	OG0007893.0	OG0003152.0	OG0022309.0	OG0041962.0	OG0028935.0	OG0020690.0	OG0029043.0	OG0044609.0	OG0034975.0	OG0006661.0	OG0045459.0	OG0056763.0	OG0017146.3	OG0001012.4	OG0005447.3	OG0015957.5	OG0004063.6	OG0011990.16	OG0016862.2	OG0007687.1	OG0008868.1	OG0044082.0	OG0016635.0	OG0023365.0	OG0015657.3	OG0027664.0	OG0046095.0	OG0022833.0	OG0023149.0	OG0023156.0	OG0001555.4	OG0019381.0	OG0015006.0	OG0001431.24	OG0049192.0	OG0013605.0	OG0002211.0	OG0017433.3	OG0018077.1	OG0020648.0	OG0017428.3	OG0005902.0	OG0004173.4	OG0007345.0	OG0044134.0	OG0017152.2	OG0005766.0	OG0014232.3	OG0005005.8	OG0003376.12	OG0044243.0	OG0020940.0	OG0005504.0	OG0000618.54	OG0013332.12	OG0029568.0	OG0044816.0	OG0010579.4	OG0041832.0	OG0041885.0	OG0026959.0	OG0005009.2	OG0028276.0	OG0022924.0	OG0010785.14	OG0013984.0	OG0003367.2	OG0045756.0	OG0001544.92	OG0017923.3	OG0001678.0	OG0053808.0	OG0034855.0	OG0007734.2	OG0026125.0	OG0034773.0	OG0013889.2	OG0004731.6	OG0010738.0	OG0002382.29	OG0006709.0	OG0015949.0	OG0060438.0	OG0045132.0	OG0035684.0	OG0018521.0	OG0043848.0	OG0020836.0	OG0005274.0	OG0049185.0	OG0006223.1	OG0046184.0	OG0057019.0	OG0012248.0	OG0047518.0	OG0004163.55	OG0016048.3	OG0023430.0	OG0045254.0
nan	0.35114537819700004	0.289819781643	nan	0.8736633793505	0.963614920413	nan	0.365694295171	0.211220528079	0.8861108894799999	nan	0.0	0.171415052597	0.063735790987	nan	0.3594044843205	0.888701077227	nan	0.9540646094415	0.47615540421700003	nan	0.567826616341	1.133446407448	nan	nan	nan	nan	nan	nan	nan	0.230295008587	nan	nan	nan	0.398678893698	0.110464107687	nan	0.558502528962	nan	0.207421850013	1.227062296507	nan	nan	0.6878809659289999	nan	nan	0.291934287208	nan	0.028371509618	nan	0.011302495349000002	1.14356120162	nan	1.6371424598750002	0.410862587635	nan	0.4100448154625	0.485937128147	nan	0.139913398853	1.268996471053	nan	0.635604243413	0.433784553949	0.459614317456	nan	2.035347123186	1.586860047708	nan	0.57436474582	0.30587529953299997	nan	nan	0.772599804435	0.501362015506	nan	nan	nan	0.136105050009	nan	nan	1.100884963633	1.013540185168	nan	nan	0.26779873455200004	0.176886881657	0.648222543226	nan	2.1115929588449998	0.350714123336	0.8062942970039999	nan	nan	1.152861735223	nan	nan	1.337297726768	0.182213729318	0.888410971276	0.0703971467865	0.394451150231	1.3469346370429998	nan	nan	nan	2.016662104734	nan	0.008366927204	1.006482055709	nan	0.830911308241	nan	nan	0.104356544279	nan	nan	nan	nan	nan
OG0046621.0	OG0013034.0	OG0009963.2	OG0035832.0	OG0000047.2	OG0016166.2	OG0004946.5	OG0013289.6	OG0025814.0	OG0021948.0	OG0043924.0	OG0001072.1	OG0001489.4	OG0015259.2	OG0024461.0	OG0006327.0	OG0038800.0	OG0044616.0	OG0014542.4	OG0001625.2	OG0014708.6	OG0005322.4	OG0022380.0	OG0028298.0	OG0028203.0	OG0014815.3	OG0024564.0	OG0019285.0	OG0047317.0	OG0002411.1	OG0022094.0	OG0022277.0	OG0014805.4	OG0025076.0	OG0024447.0	OG0019024.6	OG0025672.0	OG0016755.0	OG0011129.17	OG0022252.0	OG0047506.0	OG0006730.0	OG0057276.0	OG0018404.0	OG0019338.0	OG0007250.0	OG0035703.0	OG0008972.0	OG0027623.0	OG0015093.9	OG0014978.9	OG0019304.0	OG0043496.0	OG0004370.2	OG0024723.0	OG0044364.0	OG0054002.0	OG0010726.0	OG0006504.0	OG0006827.2	OG0022875.0	OG0013023.0	OG0041845.0	OG0047953.0	OG0046125.0	OG0006377.0	OG0011423.1	OG0010571.0	OG0017871.2	OG0028109.0	OG0007850.16	OG0016715.7	OG0017341.3	OG0012142.2	OG0041518.0	OG0005993.0	OG0002289.0	OG0019248.0	OG0007160.0	OG0028229.0	OG0057067.0	OG0034722.0	OG0038597.0	OG0017866.2	OG0046197.0	OG0043935.0	OG0034382.0	OG0014372.0	OG0018087.2	OG0001985.1	OG0006566.0	OG0023992.0	OG0012680.0	OG0021186.0	OG0035778.0	OG0047052.0	OG0043969.0	OG0034800.0	OG0047130.0	OG0008764.0	OG0024472.0	OG0054006.0	OG0005818.0	OG0011186.0	OG0045063.0	OG0044501.0	OG0010962.0	OG0000089.1	OG0009811.0	OG0008580.0	OG0047176.0	OG0014005.0	OG0037766.0	OG0003322.8	OG0024284.0	OG0043745.0	OG0022939.0	OG0017441.1	OG0053807.0	OG0044039.0
nan	0.360217324199	0.39595975681199996	nan	0.6974757517100001	0.496073290125	1.1331855698264999	nan	nan	nan	nan	0.722415546167	1.8796405986449998	1.565287967749	nan	0.603356679953	nan	nan	0.139208529955	0.231815592838	0.220563477749	0.1250156435675	0.208162135253	nan	nan	0.6944290518189999	0.629970829343	nan	nan	0.1328235830905	1.615702385295	0.122577851554	0.041460595528	0.834706008654	nan	nan	nan	0.20498314483600003	nan	0.150978322937	nan	0.7848600651865	nan	0.17265939287700002	nan	1.745661534388	nan	0.763247070698	0.36283279544200003	nan	nan	nan	nan	0.2618270325905	0.230020257595	nan	nan	0.099727651404	0.2644552051775	0.21554325739	nan	0.32146119956950003	nan	nan	nan	1.120931553331	1.63667951042	0.471727559124	0.7299246729359999	nan	0.000587218394	nan	nan	0.2118092686605	nan	0.2694989687785	0.47615540421700003	nan	0.308365547184	nan	nan	nan	nan	0.161758049403	nan	nan	nan	0.7314131177600001	0.29384097528700004	0.053300227273	0.174971900088	nan	0.27803874049849997	nan	nan	nan	nan	nan	nan	1.247328610335	0.138872452918	nan	1.0402506222645	0.590925814601	nan	nan	0.90832889621	nan	0.24834896054800001	0.08663669569900001	nan	0.281429361193	nan	0.88781090591	nan	nan	nan	nan	nan	nan
OG0038730.0	OG0060377.0	OG0011214.2	OG0043698.0	OG0046791.0	OG0006361.0	OG0014863.6	OG0005001.1	OG0025133.0	OG0045221.0	OG0012653.0	OG0024972.0	OG0041579.0	OG0000255.37	OG0007271.0	OG0007483.0	OG0000397.30	OG0007549.0	OG0001589.0	OG0007789.0	OG0024484.0	OG0006751.14	OG0012348.5	OG0007932.0	OG0017046.0	OG0057173.0	OG0012530.0	OG0018005.0	OG0013924.0	OG0023059.0	OG0007392.0	OG0044307.0	OG0002588.4	OG0006577.0	OG0002946.0	OG0014726.3	OG0005449.2	OG0044456.0	OG0043814.0	OG0038752.0	OG0019326.0	OG0020885.0	OG0046604.0	OG0003748.49	OG0021970.0	OG0016623.4	OG0027869.0	OG0019560.0	OG0034823.0	OG0053936.0	OG0024829.0	OG0044258.0	OG0001908.2	OG0038817.0	OG0020309.0	OG0028860.0	OG0046099.0	OG0027902.0	OG0020496.0	OG0016132.6	OG0000100.1	OG0002161.0	OG0007638.14	OG0028998.0	OG0012037.4	OG0013292.10	OG0000137.0	OG0008638.0	OG0007040.0	OG0013903.0	OG0022448.0	OG0017518.3	OG0003711.6	OG0025724.0	OG0016697.7	OG0057300.0	OG0010639.2	OG0001926.0	OG0009082.0	OG0046309.0	OG0045631.0	OG0010822.13	OG0000946.1	OG0027738.0	OG0001725.29	OG0016246.7	OG0044538.0	OG0044651.0	OG0000148.0	OG0003396.26	OG0018420.6	OG0044374.0	OG0017129.3	OG0007012.0	OG0003887.2	OG0044052.0	OG0020320.0	OG0060545.0	OG0003682.2	OG0013658.3	OG0044160.0	OG0000671.12	OG0011297.6	OG0009120.0	OG0007669.2	OG0024517.0	OG0022307.0	OG0003636.4	OG0034938.0	OG0012145.2	OG0046600.0	OG0053903.0	OG0027660.0	OG0006347.24	OG0007536.1	OG0007179.8	OG0003585.0	OG0018457.6	OG0013848.0	OG0043483.0
