OG0001698.26	OG0012926.0	OG0000027.457	OG0001566.2	OG0001643.24
nan	2.960436	nan	nan	nan
OG0021387.0	OG0001139.24	OG0019386.0	OG0026570.0	OG0000681.0
1.6388049999999998	nan	1.9321970000000002	2.359845	nan
OG0010012.0	OG0002309.26	OG0000298.0	OG0012865.13	OG0002438.24
3.447207	1.2466270000000002	4.6242980000000005	252.5859	0.7654584
OG0025841.0	OG0013493.0	OG0005870.0	OG0027623.0	OG0012781.0
1.8798830000000002	1.9728240000000001	nan	2.039987	0.9955130999999999
OG0037720.0	OG0002414.18	OG0014874.2	OG0015286.0	OG0029053.0
3.075729	264.8577	256.4672	2.164749	nan
OG0000974.123	OG0013565.5	OG0014021.0	OG0044562.0	OG0015488.1
1.166433	8.071701	nan	1.47038	3.341564
OG0027685.0	OG0056666.0	OG0029101.0	OG0007439.0	OG0011147.18
1.4174950000000002	2.560079	2.4238020000000002	2.210239	2.241386
OG0009965.0	OG0038798.0	OG0025072.0	OG0019528.0	OG0044257.0
3.349905	3.3979589999999997	1.306001	1.495794	2.8794939999999998
OG0021358.0	OG0048152.0	OG0035822.0	OG0016666.3	OG0007959.6
1.667687	3.7982910000000003	1.293138	1.477331	3.262557
OG0053946.0	OG0048140.0	OG0027589.0	OG0008559.4	OG0007389.1
2.6996860000000003	3.8120309999999997	2.59954	170.2615	2.2151009999999998
OG0056788.0	OG0056650.0	OG0057281.0	OG0022287.0	OG0044932.0
2.7125790000000003	2.617871	1.5078610000000001	nan	1.853045
OG0003958.0	OG0004892.3	OG0026496.0	OG0047246.0	OG0045830.0
1.283756	189.2282	1.530767	3.4030089999999995	263.5598
OG0000419.1	OG0037938.0	OG0007984.6	OG0014529.2	OG0021181.0
17.71953	3.077612	4.608425	nan	3.0891610000000003
OG0045543.0	OG0010017.0	OG0016246.7	OG0057118.0	OG0014804.6
264.6483	nan	3.237863	1.499195	8.001421
OG0044126.0	OG0047612.0	OG0011528.12	OG0001032.24	OG0000246.0
2.6746790000000003	3.356447	3.241834	nan	nan
OG0000895.1	OG0011911.0	OG0044129.0	OG0015612.4	OG0013109.0
nan	1.805567	2.890684	3.273788	4.452019
OG0001520.24	OG0000835.7	OG0016985.0	OG0044638.0	OG0006291.0
1.308589	0.9340764000000001	1.47376	nan	26.232409999999998
OG0029189.0	OG0029582.0	OG0025891.0	OG0008444.0	OG0021304.0
nan	nan	3.856204	1.9647860000000001	2.061293
OG0000258.1	OG0048180.0	OG0012864.8	OG0049158.0	OG0019411.0
20.30692	3.743496	259.5601	2.359134	2.527118
OG0044483.0	OG0018155.0	OG0018016.0	OG0007327.2	OG0046721.0
1.437746	2.186154	8.090468	4.631814	255.8507
OG0005696.4	OG0057320.0	OG0053977.0	OG0003006.0	OG0001368.24
2.84135	1.520189	2.6078	1.594075	nan
OG0060552.0	OG0045679.0	OG0011755.11	OG0011634.6	OG0003899.0
1.513617	256.0184	3.8039300000000003	3.810793	0.5815083000000001
OG0004642.1	OG0007511.2	OG0007317.4	OG0006017.0	OG0001896.13
3.4298309999999996	nan	4.62594	28.026159999999997	3.766006
OG0002777.4	OG0009204.7	OG0043666.0	OG0005160.1	OG0004478.4
13.95474	2.718962	1.500977	0.6015808000000001	5.527938
OG0046288.0	OG0003089.5	OG0048004.0	OG0000660.14	OG0019305.0
255.5963	16.59338	3.80019	4.726062000000001	1.48248
OG0046914.0	OG0047996.0	OG0009287.0	OG0000863.32	OG0056905.0
254.6566	3.7342449999999996	4.667433	nan	2.786478
OG0024668.0	OG0034754.0	OG0006522.0	OG0016430.8	OG0048795.0
1.44976	2.250146	211.6506	3.058123	2.381452
OG0017941.0	OG0041680.0	OG0009103.4	OG0005700.0	OG0060423.0
1.6291790000000002	3.299846	1.674346	1.236653	1.5149709999999998
OG0000585.5	OG0021251.0	OG0029038.0	OG0021208.0	OG0012663.4
3.370626	3.060535	3.721056	3.082398	1.1724729999999999
OG0038133.0	OG0004132.1	OG0003683.0	OG0005997.6	OG0002288.14
2.534568	1.677461	44.989129999999996	2.417951	0.24812089999999998
OG0019267.0	OG0001472.0	OG0047510.0	OG0009078.0	OG0024287.0
1.441934	nan	3.3858910000000004	nan	2.607614
OG0006396.6	OG0035667.0	OG0003203.2	OG0027512.0	OG0046409.0
2.8266869999999997	1.311237	26.239959999999996	1.478108	251.9599
OG0013138.3	OG0006113.2	OG0046672.0	OG0034589.0	OG0023440.0
4.589906	0.567818	266.2641	1.444179	3.3979480000000004
OG0005536.1	OG0000921.32	OG0000779.1	OG0007436.0	OG0005190.4
4.811829	7.970646	14.02145	2.602032	2.5168060000000003
OG0029006.0	OG0026486.0	OG0010072.7	OG0056788.0	OG0001442.1
3.761476	1.8825450000000001	3.23958	2.7125790000000003	nan
OG0020814.0	OG0034316.0	OG0045228.0	OG0046629.0	OG0010518.2
257.5135	1.3070620000000002	262.6367	266.1248	0.4851568
OG0000896.1	OG0016114.0	OG0038082.0	OG0034510.0	OG0002828.24
nan	2.5628599999999997	2.811552	1.45138	170.3373
OG0056658.0	OG0015115.7	OG0004869.12	OG0037900.0	OG0029626.0
2.6532009999999997	2.6644240000000003	3.1409740000000004	nan	1.4344290000000002
OG0007131.0	OG0015206.2	OG0045127.0	OG0002519.0	OG0013302.9
1.114162	2.980865	277.2524	1.0312700000000001	nan
OG0007017.0	OG0007021.0	OG0025682.0	OG0002653.5	OG0002608.1
224.033	213.9539	nan	0.9296796	0.6001164999999999
OG0005845.2	OG0037820.0	OG0002332.0	OG0006011.0	OG0006642.0
4.22853	3.0363580000000003	nan	26.456999999999997	nan
OG0044379.0	OG0041636.0	OG0049022.0	OG0045745.0	OG0010504.6
1.449842	3.269352	2.365866	260.8644	1.185389
OG0007564.3	OG0043920.0	OG0008512.0	OG0024746.0	OG0001064.24
3.399377	2.73	1.192854	nan	nan
OG0005378.12	OG0012982.2	OG0005991.0	OG0046635.0	OG0005120.26
212.2234	1.7094029999999998	13.881120000000001	259.013	3.669178
OG0005346.24	OG0009012.4	OG0011680.11	OG0003783.0	OG0012766.4
3.296788	1.440669	3.241704	21.63523	3.210654
OG0017034.0	OG0024538.0	OG0027433.0	OG0018603.2	OG0045811.0
1.597572	3.066062	1.4701549999999999	1.731134	260.8462
OG0008919.0	OG0006020.0	OG0002725.11	OG0000435.0	OG0003672.0
3.305367	25.872989999999998	5.502185	1.409416	46.85738
OG0018953.6	OG0053869.0	OG0047609.0	OG0009152.1	OG0005693.0
1.483291	2.4754709999999998	3.3508150000000003	5.320775	2.85122
OG0020504.0	OG0012227.0	OG0038657.0	OG0047381.0	OG0011146.2
3.405014	1.555233	3.394336	3.411488	0.8004238
OG0016733.2	OG0010885.0	OG0019014.3	OG0026304.0	OG0005381.10
