OG0004710.2	OG0022825.0	OG0012896.0	OG0016785.2	OG0000471.2
0.2339541474835	nan	1.401534755683	0.02701875753	0.337049587624
OG0007333.0	OG0011513.15	OG0013502.0	OG0002894.0	OG0005481.0
0.067170440076	nan	0.791449486224	1.006201869997	0.251590999956
OG0015762.3	OG0004155.0	OG0011927.6	OG0016607.0	OG0007658.2
0.0	1.353403888118	0.25582929306200003	0.0	0.45796050026699997
OG0029980.0	OG0043356.0	OG0013576.4	OG0000928.30	OG0005440.0
nan	nan	nan	0.324564438947	0.885065785348
OG0038603.0	OG0047019.0	OG0027827.0	OG0057014.0	OG0000571.0
nan	nan	nan	nan	1.293267752691
OG0016134.2	OG0045151.0	OG0022291.0	OG0001730.2	OG0013548.2
nan	nan	nan	0.430531151558	1.131267232188
OG0000682.0	OG0004423.0	OG0002987.2	OG0001531.24	OG0044553.0
0.446347487256	0.662307650884	1.1618756990635	0.820155870473	nan
OG0007400.9	OG0000321.132	OG0048126.0	OG0018069.2	OG0015980.3
0.855325423483	1.040437522905	nan	0.46269694098	nan
OG0018859.6	OG0011360.2	OG0015270.2	OG0043383.0	OG0028982.0
nan	0.128788951842	0.965268923345	nan	0.0
OG0007810.5	OG0047597.0	OG0011949.0	OG0019494.0	OG0006039.1
0.084011364241	nan	0.31285145316999996	0.476156582206	1.479013808204
OG0001567.1	OG0037949.0	OG0053856.0	OG0020590.0	OG0001833.32
0.1616891407855	nan	nan	0.299810909157	0.601887513141
OG0046902.0	OG0009194.1	OG0016807.0	OG0008668.22	OG0006468.8
nan	1.328813134472	0.228859412304	nan	0.41629021617749995
OG0053926.0	OG0024628.0	OG0003305.0	OG0034348.0	OG0038651.0
nan	0.873864947519	0.4948366419685	nan	nan
OG0053991.0	OG0057080.0	OG0005598.38	OG0022053.0	OG0046872.0
nan	nan	0.07302022591900001	nan	nan
OG0001040.1	OG0023205.0	OG0018588.1	OG0012515.12	OG0025971.0
0.45691339132700004	nan	nan	0.0	0.346326919333
OG0012164.0	OG0045990.0	OG0025137.0	OG0001413.1	OG0003613.0
0.332925422355	nan	0.7200251291580001	0.23734089280600001	0.7318161940905
OG0005498.6	OG0000546.2	OG0002703.16	OG0004268.26	OG0019062.1
0.2773671032625	0.945028930651	0.6271189981425	0.43656151062200005	nan
OG0043736.0	OG0028147.0	OG0007732.0	OG0015604.7	OG0003085.8
nan	nan	1.2366946366590001	nan	0.1709262041015
OG0003408.0	OG0006271.0	OG0004639.6	OG0019752.0	OG0001845.2
0.8381133664145001	0.7325000369425	1.572307845088	nan	0.949716194336
OG0005244.10	OG0005275.2	OG0013618.1	OG0013322.2	OG0022027.0
0.4927912237585	0.243047920299	0.963614920413	2.0258840298539997	nan
OG0007061.32	OG0014025.6	OG0004215.0	OG0034908.0	OG0053973.0
nan	0.940564023478	0.842246260194	nan	nan
OG0003897.10	OG0001608.24	OG0057272.0	OG0029027.0	OG0002856.0
1.05712384066	1.9236305970099998	nan	0.0	0.304448047653
OG0043939.0	OG0022733.0	OG0006963.0	OG0003997.0	OG0014683.4
nan	nan	0.9916524494589999	1.1239851352815	0.440877427133
OG0005485.2	OG0026929.0	OG0016166.2	OG0000083.0	OG0009932.0
0.20256627168699998	0.771563785243	0.496073290125	1.272668864244	0.053623398986
OG0035782.0	OG0002516.0	OG0010116.20	OG0034772.0	OG0005228.0
nan	0.2950432713075	nan	nan	0.377040200678
OG0005075.42	OG0009082.0	OG0056969.0	OG0020856.0	OG0004466.4
nan	0.1599692959315	nan	0.594296769582	0.27486680371100003
OG0003298.30	OG0038594.0	OG0016290.2	OG0005869.0	OG0044284.0
0.466298346357	nan	0.279977802166	0.247465989466	nan
OG0043496.0	OG0002065.0	OG0044202.0	OG0002275.1	OG0025963.0
nan	0.8831760947600001	nan	0.4971750668215	0.158541971285
OG0015324.6	OG0019317.0	OG0006502.0	OG0003042.54	OG0020396.0
0.016783485881	0.34541406984899997	0.4593330274275	0.143896768485	nan
OG0047563.0	OG0038895.0	OG0004806.1	OG0034318.0	OG0045140.0
nan	nan	nan	nan	nan
OG0000436.0	OG0003030.22	OG0047101.0	OG0028482.0	OG0037681.0
1.133782770837	0.3171655361695	nan	nan	nan
OG0001415.132	OG0013585.4	OG0057570.0	OG0015202.0	OG0020497.0
nan	0.9506106315975	nan	0.272894627099	nan
OG0005702.0	OG0045741.0	OG0000000.503	OG0000010.2	OG0006581.6
1.259978433175	nan	0.49931386304799996	1.153252468744	1.739470949136
OG0035771.0	OG0006193.0	OG0029965.0	OG0000618.54	OG0007910.4
nan	0.29171169561349997	nan	0.501362015506	0.579519434847
OG0015960.2	OG0001938.0	OG0003484.0	OG0000836.25	OG0002324.87
0.310214369902	0.497451902698	0.44868726874399995	0.351369288587	0.48495513018799996
OG0021217.0	OG0041519.0	OG0017324.1	OG0011415.2	OG0010602.0
nan	nan	nan	0.07015406403300001	1.582163544555
OG0006833.2	OG0023504.0	OG0048892.0	OG0004105.5	OG0023041.0
0.538144114339	nan	nan	0.390883193195	0.030608067647
OG0004442.0	OG0016256.4	OG0013635.2	OG0048144.0	OG0015548.8
0.129722059212	0.16240649557700002	1.3389540978455	nan	nan
OG0018761.5	OG0022461.0	OG0041731.0	OG0034283.0	OG0002891.4
nan	0.120800968313	nan	nan	0.6612443132715
OG0009833.18	OG0001950.6	OG0012213.0	OG0002775.2	OG0001295.24
0.0	0.481741624629	0.1526079961405	0.41052526522	0.264197089314
OG0016716.6	OG0046728.0	OG0011380.2	OG0000106.6	OG0013189.5
0.108495278431	nan	0.37676046823	0.3380427171795	0.282002914919
OG0034893.0	OG0007965.0	OG0006423.0	OG0024403.0	OG0024330.0
nan	1.132294757546	0.5360159496745001	nan	nan
OG0027798.0	OG0046349.0	OG0022864.0	OG0009934.0	OG0017880.2
nan	nan	nan	0.1359330478255	0.04277977272
OG0006713.0	OG0034597.0	OG0020642.0	OG0006079.0	OG0038727.0
0.444875100511	nan	nan	0.4230982643775	nan
OG0015519.3	OG0024562.0	OG0010822.13	OG0029158.0	OG0011216.10
0.5328268651100001	0.009934503415	0.008495663952	nan	1.0362908243389999
OG0038716.0	OG0007578.1	OG0001645.0	OG0034915.0	OG0024746.0
nan	nan	1.176245458032	nan	nan
OG0007344.0	OG0009072.0	OG0027672.0	OG0012395.1	OG0008003.2
0.601612120067	0.094829009279	nan	nan	1.207164777167
OG0013888.0	OG0022594.0	OG0007947.25	OG0002880.0	OG0011487.0
1.201252440986	nan	nan	0.27576718346900003	0.273486050171
OG0002896.8	OG0038921.0	OG0034629.0	OG0001744.0	OG0008715.9
1.365140266314	nan	nan	0.9139249672495	nan
OG0045833.0	OG0001963.0	OG0009817.0	OG0048104.0	OG0000361.81
nan	0.9411268244930001	1.626786981338	nan	0.7276693622220001
OG0011167.0	OG0008596.4	OG0026844.0	OG0044711.0	OG0028882.0
0.104878771206	0.339177133284	nan	nan	nan
OG0022793.0	OG0020493.0	OG0008193.4	OG0028437.0	OG0018172.5
nan	nan	0.355367213212	nan	nan
OG0056939.0	OG0005685.0	OG0016716.6	OG0014735.4	OG0018158.5
nan	1.1774529625255001	0.108495278431	0.180041457777	nan
OG0002529.86	OG0003436.4	OG0000494.1	OG0006049.4	OG0013811.11
0.337176965999	0.330276212874	0.917389758704	0.6016931929335	nan
OG0035742.0	OG0046526.0	OG0001179.24	OG0012348.14	OG0044337.0
nan	nan	0.330651105425	nan	nan
OG0056753.0	OG0024573.0	OG0006212.0	OG0027145.0	OG0010139.0
nan	0.392034807363	0.165673265496	nan	0.792574634092
OG0025058.0	OG0035788.0	OG0015165.4	OG0048819.0	OG0022949.0
0.0	nan	0.055539556259000006	nan	nan
OG0007110.33	OG0001426.2	OG0015962.0	OG0000450.1	OG0037846.0
nan	0.341189879929	0.454511896024	nan	nan
OG0060358.0	OG0007386.1	OG0017488.1	OG0010755.16	OG0015106.9
nan	0.448062836514	nan	nan	nan
OG0045408.0	OG0017853.0	OG0007128.8	OG0011670.8	OG0011944.4
nan	1.3096667681515	0.229159825062	0.051965427928	0.7702494072345001
OG0001056.26	OG0002206.0	OG0012806.6	OG0002808.0	OG0011380.2
0.39639402439000004	0.6618364188579999	nan	0.4933896893445	0.37676046823
OG0006285.0	OG0019916.0	OG0043673.0	OG0046663.0	OG0034487.0
0.21073540341650002	nan	nan	nan	nan
OG0060430.0	OG0004064.0	OG0017998.0	OG0007456.5	OG0045507.0
nan	0.3510953927	0.302201075043	1.397670925251	nan
OG0006357.12	OG0041652.0	OG0046183.0	OG0002583.0	OG0007353.2
nan	nan	nan	0.48034347613000006	0.172230771654
OG0019633.0	OG0012166.6	OG0025076.0	OG0019409.0	OG0014828.2
0.642121635954	0.3726508998165	0.834706008654	0.777590807474	0.081211779762
OG0014983.3	OG0056701.0	OG0012702.2	OG0024980.0	OG0000063.48
nan	nan	0.315428929839	nan	1.9617782709209999
OG0018755.3	OG0035764.0	OG0007671.2	OG0019580.0	OG0047156.0
nan	nan	1.127234407356	0.118869306666	nan
OG0049008.0	OG0034346.0	OG0004357.0	OG0017768.2	OG0001035.0
nan	nan	0.7707176561169999	0.862123661294	0.611719116312
OG0004554.6	OG0046767.0	OG0029947.0	OG0011648.5	OG0030110.0
0.306287950838	nan	nan	0.427132626262	nan
OG0057099.0	OG0026530.0	OG0022589.0	OG0037753.0	OG0057409.0
nan	nan	nan	nan	nan
OG0005554.0	OG0010710.2	OG0006210.12	OG0045913.0	OG0015005.2
1.081987993617	0.283100821485	0.2000828162995	nan	0.9903873803669999
OG0060403.0	OG0003159.70	OG0026485.0	OG0027921.0	OG0003189.0
nan	0.095120574033	nan	nan	0.326458274586
OG0017165.3	OG0041576.0	OG0002638.2	OG0004859.0	OG0004761.2
nan	nan	0.40045008879199995	0.46968413678099996	0.10327097617799999
OG0000006.561	OG0002250.0	OG0001396.24	OG0008396.1	OG0025588.0
1.331800867994	0.853918795325	0.374078655075	nan	nan
OG0023397.0	OG0024783.0	OG0018094.5	OG0005151.29	OG0009777.0
nan	0.451452364491	nan	0.361464769573	0.2719913150765
OG0046010.0	OG0004621.4	OG0008131.2	OG0016298.6	OG0000565.36
nan	0.095216261603	1.8832858080050001	0.252541339136	nan
OG0003066.1	OG0000826.148	OG0056616.0	OG0043695.0	OG0041961.0
0.687586537186	nan	nan	nan	nan
OG0048177.0	OG0046502.0	OG0022633.0	OG0024553.0	OG0002445.1
nan	nan	0.064066661366	0.027162876675	0.7720249928935
OG0056714.0	OG0004927.0	OG0021326.0	OG0018995.0	OG0014830.9
nan	1.67928364728	nan	0.569929561466	nan
OG0018080.2	OG0018407.0	OG0053963.0	OG0041841.0	OG0002841.0
0.560603476751	0.916832246999	nan	nan	1.0591350165445
OG0018188.1	OG0018740.0	OG0024758.0	OG0007110.29	OG0047330.0
nan	1.18001146907	nan	nan	nan
OG0053920.0	OG0008592.0	OG0045250.0	OG0016691.6	OG0014110.0
nan	0.10460509607799999	nan	nan	0.953894278781
OG0006709.0	OG0035837.0	OG0012054.14	OG0004385.0	OG0029005.0
0.394451150231	nan	nan	1.137721659666	0.0
OG0000048.382	OG0043655.0	OG0008282.0	OG0028056.0	OG0016474.1
0.8219857972505	nan	0.594819111132	nan	1.6976672419569998
OG0022042.0	OG0026473.0	OG0038007.0	OG0034685.0	OG0011198.6
nan	nan	nan	nan	0.2427690166905
OG0011880.1	OG0021349.0	OG0018988.0	OG0012724.0	OG0014026.0
nan	0.7351794506939999	0.091282697663	1.2276858029105	0.438807395166
OG0005057.0	OG0004932.20	OG0021626.0	OG0004238.6	OG0015209.2
0.6326211149025	0.8649400840829999	nan	0.253533447634	0.039812305304
OG0053826.0	OG0028982.0	OG0006355.24	OG0011713.10	OG0005276.0
nan	0.0	0.622248368116	0.109005850133	1.006420784813
OG0011673.0	OG0007880.0	OG0044249.0	OG0001730.2	OG0029626.0
0.050290679529	0.7788273893350001	nan	0.430531151558	nan
OG0003906.0	OG0000116.0	OG0026486.0	OG0028121.0	OG0007057.4
0.128232160987	0.893046210666	nan	nan	0.8035242904600001
OG0015618.5	OG0000707.0	OG0034745.0	OG0021181.0	OG0017850.0
nan	0.847961619092	nan	nan	0.5854069279625
OG0022998.0	OG0005353.1	OG0009800.2	OG0047606.0	OG0000797.20
nan	0.5993283487595	0.558700659305	nan	0.315289940498
OG0046490.0	OG0011261.0	OG0004117.11	OG0007096.15	OG0019514.0
nan	1.1479904681685	0.3191846416675	nan	nan
OG0015467.8	OG0043820.0	OG0009913.0	OG0004384.0	OG0022174.0
nan	nan	1.3574140295469999	1.115378846515	1.821946629641
OG0025841.0	OG0047507.0	OG0022233.0	OG0022890.0	OG0044510.0
nan	nan	0.811044758461	nan	nan
OG0056879.0	OG0002238.0	OG0007763.20	OG0006746.0	OG0001382.24
nan	0.9650150125275	nan	0.958593653573	0.18761962231100002
OG0045848.0	OG0019673.0	OG0003046.0	OG0005554.0	OG0046184.0
nan	nan	0.627292441785	1.081987993617	nan
OG0000706.150	OG0035043.0	OG0003864.2	OG0012126.3	OG0010566.0
0.943089840444	nan	0.253031428217	0.366639857117	1.139048838069
OG0017754.4	OG0024826.0	OG0002534.16	OG0010054.0	OG0041643.0
0.132087665315	nan	0.179720812837	1.863688595985	nan
OG0007116.0	OG0026914.0	OG0027497.0	OG0004377.2	OG0017861.4
1.0453255271670001	0.872042808767	0.076202886832	0.29473847489300004	0.175119105405
OG0010876.2	OG0057375.0	OG0015981.1	OG0060474.0	OG0014658.0
0.685059594317	nan	nan	nan	0.44376345702799996
OG0010031.14	OG0000048.382	OG0045957.0	OG0017845.2	OG0019604.0
nan	0.8219857972505	nan	1.5392140507379999	nan
OG0048857.0	OG0020665.0	OG0016213.0	OG0041511.0	OG0011909.12
nan	nan	0.622701160735	nan	nan
OG0001170.24	OG0030135.0	OG0044037.0	OG0014559.0	OG0013190.8
0.373373696801	nan	nan	0.033413431603999996	0.813770429406
OG0023469.0	OG0057476.0	OG0012995.0	OG0045060.0	OG0011881.8
nan	nan	0.429027348578	nan	0.1674599938485
OG0013037.0	OG0008607.0	OG0020634.0	OG0000554.14	OG0008686.0
0.194251602361	0.13475052835100002	0.211321545471	0.8171084915019999	1.6799662661615
OG0034347.0	OG0016933.0	OG0060497.0	OG0001775.0	OG0004395.1
nan	0.138686492081	nan	1.226250877816	0.5532962033425001
OG0004825.0	OG0000795.40	OG0016951.2	OG0041506.0	OG0025020.0
0.444873463393	0.25712544018800004	0.099212213795	nan	nan
OG0001083.26	OG0009895.5	OG0003160.34	OG0015796.7	OG0002785.91
0.755511277331	0.267204931314	0.13179434535999998	nan	nan
OG0016157.0	OG0029114.0	OG0000596.1	OG0028174.0	OG0044087.0
0.371076840758	nan	1.620430647364	nan	nan
