OG0004324.0	OG0001967.0	OG0006400.2	OG0000835.7	OG0000606.2	OG0002346.16	OG0000177.8	OG0002252.0	OG0000019.257	OG0022826.0	OG0006804.0
3.189307	0.5640989000000001	1.236635	1.015206	0.8135521	1.678453	nan	nan	1.157585	1.439683	1.060669
OG0004461.4	OG0000187.1	OG0000032.86	OG0046717.0	OG0002778.0	OG0002971.0	OG0002682.12	OG0000471.2	OG0010587.0	OG0000846.25	OG0006802.11
7.412988	1.141045	nan	266.2578	7.276051	1.000098	1.495164	nan	28.979229999999998	nan	1.9927599999999999
OG0000112.0	OG0001300.1	OG0001528.16	OG0005118.8	OG0001701.8	OG0045960.0	OG0000559.30	OG0012123.0	OG0000042.314	OG0003360.2	OG0003978.4
nan	nan	1.477331	4.871926	2.366676	257.4326	5.674795	2.726522	nan	16.4228	2.655059
OG0001018.1	OG0024351.0	OG0000090.24	OG0003241.1	OG0000749.2	OG0000604.1	OG0005077.4	OG0007724.0	OG0000497.40	OG0002862.0	OG0000848.32
1.079107	2.5812150000000003	1.232129	4.944086	1.0199120000000002	1.196568	10.27208	4.368041000000001	1.657934	1.8585049999999999	1.4519469999999999
OG0000392.72	OG0004437.0	OG0046798.0	OG0001829.22	OG0004817.2	OG0000596.47	OG0002777.4	OG0000196.0	OG0006315.0	OG0004142.0	OG0000223.2
0.8365353000000001	118.4887	254.5006	1.255436	8.945703	2.817554	14.17534	1.810744	26.21589	9.716986	2.952292
OG0005040.3	OG0047409.0	OG0002822.4	OG0000090.24	OG0000420.0	OG0002906.4	OG0000789.1	OG0000236.122	OG0005693.0	OG0000874.1	OG0010757.0
189.2469	3.3763389999999998	2.717821	1.232129	3.214203	3.9524220000000003	3.338764	4.019145	2.838346	nan	4.645896
OG0002621.3	OG0056696.0	OG0002078.0	OG0008599.0	OG0000779.1	OG0007385.6	OG0000276.72	OG0003360.2	OG0000107.44	OG0000294.0	OG0005458.0
nan	2.541082	nan	1.173218	4.503597	0.6201449	1.184657	16.4228	0.2686815	12.53245	3.2219919999999997
OG0003620.0	OG0002676.20	OG0001174.24	OG0000658.0	OG0003373.0	OG0001620.0	OG0000239.0	OG0000589.0	OG0000371.2	OG0041510.0	OG0016053.0
2.50968	1.399713	nan	0.4812948	2.058159	2.45323	3.3288260000000003	nan	3.135684	3.271043	2.218624
OG0007198.0	OG0000090.24	OG0000671.12	OG0000002.585	OG0002778.0	OG0005485.2	OG0041521.0	OG0003028.0	OG0000391.20	OG0001996.0	OG0012227.0
2.875842	1.232129	0.5234941	0.7382526999999999	7.276051	4.624994	3.270196	5.706822	7.998943	nan	1.540441
OG0003988.1	OG0003197.4	OG0000062.12	OG0002777.4	OG0011409.0	OG0005890.2	OG0000169.16	OG0006715.0	OG0024831.0	OG0001058.26	OG0000771.24
3.016377	15.057939999999999	nan	14.17534	2.35069	3.7274550000000004	nan	1.0658290000000001	2.218665	nan	3.743532
OG0005466.0	OG0000078.207	OG0000261.0	OG0000598.0	OG0002041.0	OG0002882.0	OG0013275.0	OG0000018.842	OG0045374.0	OG0005912.2	OG0000771.24
0.4315458	2.469271	4.577841	2.7042080000000004	nan	1.043963	1.063152	nan	264.8767	115.0891	3.743532
OG0001696.0	OG0005756.2	OG0046909.0	OG0003698.0	OG0007743.0	OG0003273.0	OG0000350.8	OG0000874.1	OG0002918.1	OG0000320.0	OG0001381.24
1.0970799999999998	13.926379999999998	262.1909	0.29140340000000003	2.136578	3.0095970000000003	nan	nan	8.399011999999999	1.202045	nan
OG0002077.0	OG0007886.0	OG0001489.4	OG0006139.0	OG0000169.16	OG0003875.2	OG0044496.0	OG0012732.0	OG0000634.26	OG0000966.4	OG0000226.4
nan	0.5707807	1.8170830000000002	115.8468	nan	12.55964	1.4631120000000002	4.245062	1.606172	0.9937863000000001	3.099688
OG0001668.0	OG0035835.0	OG0001245.24	OG0003825.26	OG0003837.0	OG0004683.0	OG0002940.48	OG0002209.38	OG0000700.36	OG0000018.842	OG0000226.4
6.501203	1.296353	nan	5.731138	16.106460000000002	9.788022999999999	10.57541	6.47046	6.385463	nan	3.099688
OG0001770.0	OG0006270.12	OG0002536.0	OG0004837.2	OG0048079.0	OG0001829.22	OG0000748.0	OG0000188.1	OG0010703.0	OG0001401.24	OG0000310.18
9.334264	2.835948	2.235695	9.553168	3.7658199999999997	1.255436	2.32935	2.2660720000000003	4.603299	nan	0.7930934000000001
OG0000599.0	OG0045783.0	OG0000504.24	OG0004935.0	OG0009848.0	OG0006434.0	OG0003028.0	OG0000018.842	OG0000814.1	OG0000966.4	OG0004320.3
8.414296	259.6049	220.628	3.772468	3.2985050000000005	2.295789	5.706822	nan	nan	0.9937863000000001	2.05002
OG0003698.0	OG0000584.0	OG0005693.0	OG0045507.0	OG0002857.4	OG0000001.2052	OG0001443.24	OG0003634.44	OG0002487.0	OG0000343.0	OG0000876.20
0.29140340000000003	1.206301	2.838346	256.0079	nan	4.168362999999999	nan	4.517298	5.205383	nan	1.4979120000000001
OG0013433.5	OG0000092.1	OG0000318.0	OG0001551.34	OG0003714.0	OG0002213.0	OG0000059.59	OG0005019.0	OG0001832.1	OG0006023.0	OG0002487.0
3.2698110000000002	1.5749870000000001	3.739518	1.030986	27.134490000000003	nan	1.15815	4.771547	2.1106700000000003	26.259870000000003	5.205383
OG0010762.2	OG0002449.21	OG0005448.0	OG0000892.1	OG0005886.2	OG0017345.1	OG0002718.4	OG0000561.24	OG0000107.44	OG0000294.0	OG0000966.4
2.073051	1.5315219999999998	0.5699951999999999	3.3837879999999996	113.6419	1.857391	2.266343	215.6959	0.2686815	12.53245	0.9937863000000001
OG0000014.1	OG0000090.24	OG0001815.3	OG0008507.1	OG0000724.26	OG0003714.0	OG0000589.0	OG0007230.0	OG0056807.0	OG0003181.15	OG0004557.0
nan	1.232129	nan	2.897351	8.063195	27.134490000000003	nan	1.430962	2.7018619999999998	12.71838	8.469526
OG0000822.0	OG0000187.1	OG0000044.1	OG0000558.24	OG0001609.10	OG0005133.0	OG0003343.2	OG0013961.0	OG0008491.2	OG0008692.19	OG0002885.12
1.4474280000000002	1.141045	0.51542	0.5800251999999999	4.026032	2.3964220000000003	6.598714	2.747004	1.1536680000000001	3.250179	0.9351954
OG0002260.4	OG0006459.10	OG0007743.0	OG0000160.4	OG0011533.13	OG0000349.0	OG0004215.0	OG0002514.2	OG0000878.5	OG0001207.24	OG0000124.174
2.746711	1.540662	2.136578	3.111616	2.391312	0.7331578000000001	4.869985	1.3259299999999998	2.59807	nan	224.5507
OG0007699.0	OG0002700.0	OG0001604.2	OG0000888.24	OG0001802.47	OG0000350.8	OG0014165.3	OG0003343.2	OG0005276.0	OG0000579.24	OG0000046.1
2.432682	3.950333	5.080793	1.446825	6.625387	nan	258.978	6.598714	42.51507	4.594691	nan
OG0001416.0	OG0002674.20	OG0000139.0	OG0005040.3	OG0001091.2	OG0046049.0	OG0000214.0	OG0001730.2	OG0002471.0	OG0005162.0	OG0005908.0
3.6374449999999996	1.402771	nan	189.2469	nan	262.5822	0.4511129	1.1706809999999999	4.972983	2.0347310000000003	4.5110589999999995
OG0002674.20	OG0000090.24	OG0001471.24	OG0000524.1	OG0003607.0	OG0027548.0	OG0002626.26	OG0010587.0	OG0005086.0	OG0002487.0	OG0000046.1
1.402771	1.232129	nan	212.9155	3.892007	1.493942	72.32235	28.979229999999998	8.484245	5.205383	nan
OG0003960.4	OG0000990.0	OG0002821.0	OG0004169.4	OG0005653.0	OG0044930.0	OG0002862.0	OG0000407.1	OG0000973.2	OG0000310.18	OG0008579.6
8.669737	2.238157	2.222141	3.3084949999999997	3.910464	1.8659130000000002	1.8585049999999999	1.9915889999999998	nan	0.7930934000000001	4.601558
OG0000139.0	OG0002353.2	OG0006146.0	OG0024735.0	OG0006346.0	OG0000894.25	OG0009977.0	OG0003689.1	OG0002209.38	OG0000861.24	OG0000198.0
nan	2.889185	114.1009	2.225755	3.820476	nan	1.807652	4.930536	6.47046	1.403429	2.048675
OG0017198.1	OG0000081.1	OG0003540.0	OG0003823.8	OG0002248.0	OG0015302.0	OG0003714.0	OG0001659.0	OG0000581.0	OG0007702.0	OG0000343.0
263.20799999999997	nan	1.3767909999999999	4.635567	nan	2.674332	27.134490000000003	3.570905	nan	1.320284	nan
OG0000112.0	OG0000539.1	OG0003167.0	OG0001351.24	OG0000420.0	OG0002676.20	OG0045854.0	OG0000268.1	OG0006386.0	OG0009815.0	OG0001664.2
nan	4.342931	0.5867973000000001	nan	3.214203	1.399713	257.3243	4.111832	10.47144	3.6725779999999997	2.282811
OG0000677.1	OG0026990.0	OG0000192.0	OG0001849.0	OG0000779.1	OG0010712.0	OG0000188.1	OG0002841.0	OG0002974.24	OG0012675.2	OG0003343.2
nan	3.2768669999999998	nan	1.23143	4.503597	4.562604	2.2660720000000003	6.148013	5.079898	0.716145	6.598714
OG0003925.0	OG0001415.1	OG0026279.0	OG0003825.26	OG0001701.8	OG0007260.0	OG0000196.0	OG0000276.72	OG0002572.0	OG0004024.2	OG0000579.24
nan	1.9385599999999998	3.385126	5.731138	2.366676	3.461904	1.810744	1.184657	1.405281	nan	4.594691
OG0000901.0	OG0001831.0	OG0005927.14	OG0000866.110	OG0000187.1	OG0004081.1	OG0002442.0	OG0000290.0	OG0005615.0	OG0001659.0	OG0000771.24
3.756139	2.875085	1.1633040000000001	2.802466	1.141045	1.765536	4.3548160000000005	16.54658	10.6863	3.570905	3.743532
